file_id,filename,doc_type,reason
SRC431,Financials_KPMG_Cayman_Private_Equity_Illustrative_FY2022.pdf,Financials,"page 1 masthead ""Illustrative financial statements Private equity funds"""
SRC432,Financials_KPMG_IFRS_Investment_Funds_Illustrative_Disclosures_FY2025.pdf,Financials,"page 1 ""Illustrative disclosures for investment funds"" IFRS annual statements"
SRC433,Financials_KPMG_IFRS_Investment_Funds_Illustrative_Disclosures_FY2022.pdf,Financials,"page 1 ""Illustrative disclosures for investment funds"" IFRS annual statements"
SRC434,Financials_KPMG_Luxembourg_RAIF_Illustrative_Annual_Report_2021.pdf,Financials,"page 1 ""Illustrative annual report for reserved alternative investment funds"""
SRC435,Financials_PwC_Cayman_IFRS_Investment_Funds_Illustrative_2024.pdf,Financials,"page 1 ""Illustrative IFRS financial statements 2024 Investment funds"""
SRC436,Financials_PwC_Cayman_IFRS_Investment_Funds_Illustrative_2023.pdf,Financials,"page 1 ""Illustrative IFRS financial statements 2023 Investment funds"""
SRC437,Financials_PwC_Cayman_IFRS_Investment_Funds_Illustrative_2022.pdf,Financials,"page 1 ""Illustrative IFRS financial statements 2022 Investment funds"""
SRC438,Financials_PwC_Cayman_IFRS_Investment_Funds_Illustrative_2021.pdf,Financials,"page 1 ""Illustrative IFRS financial statements 2021 Investment funds"""
SRC439,Financials_PwC_Luxembourg_GAAP_Investment_Funds_Illustrative_Annual_Report.pdf,Financials,"page 1 ""Illustrative annual report for investment funds"" Luxembourg GAAP"
SRC440,Financials_PwC_Investment_Property_IFRS_Illustrative_Consolidated_2024.pdf,Financials,"page 1 ""Illustrative consolidated financial statements"" investment property group"
SRC441,Financials_Deloitte_Luxembourg_GAAP_Illustrative_Annual_Accounts_Nov2020.pdf,Financials,"page 1 ""Illustrative Annual Accounts"" Luxembourg GAAP ABC Company"
SRC442,Financials_BDO_IFRS_Illustrative_A_Layout_FY2025.pdf,Financials,"page 1 ""Illustrative Financial Statements"" IFRS year ended 2025"
