file_id,filename,doc_type,reason
SRC306,Financials_Gimv_Annual_Report_FY2023_2024_Mar.pdf,Financials,page 1 masthead Annual Report 2023-2024 with Financial section
SRC307,Financials_Gimv_Half_Year_Report_Sep2024.pdf,Financials,page 1 condensed interim consolidated financial statements 30 September 2024
SRC308,Financials_Brederode_Annual_Report_FY2024.pdf,Financials,page 1 masthead BREDERODE ANNUAL REPORT 2024
SRC309,Financials_Brederode_Half_Year_Report_Jun2025.pdf,Financials,page 1 SEMI-ANNUAL PRESS RELEASE FINANCIAL INFORMATION 30 JUNE 2025
SRC310,Financials_Cordiant_Digital_Infrastructure_Annual_Report_FY2025_Mar.pdf,Financials,page 1 masthead Annual Report 2025 with Financial statements
SRC311,Financials_Cordiant_Digital_Infrastructure_Interim_Report_Sep2025.pdf,Financials,page 1 Interim Report 2025 with condensed financial statements
SRC312,Financials_Seraphim_Space_Investment_Trust_Annual_Report_FY2025_Jun.pdf,Financials,page 1 annual report contents include business review
SRC313,Financials_Seraphim_Space_Investment_Trust_Annual_Report_FY2023_Jun.pdf,Financials,page 1 annual report year ended 30 June 2023
SRC314,Valuation_Augmentum_Fintech_Portfolio_Valuation_Mar2026.pdf,Valuation,page 1 Grant Thornton Valuation Report gross portfolio value
SRC315,Performance_CT_Private_Equity_Trust_AGM_Presentation_May2026.pdf,Performance,page 1 AGM pack contents NAV progression and total returns
SRC316,Financials_NBIM_GPFG_Annual_Report_2025.pdf,Institutional_Report,page 1 Government Pension Fund Global Annual Report 2025
SRC317,Reporting_NBIM_GPFG_Responsible_Investment_2025.pdf,Stewardship_Proxy_Report,page 1 masthead Responsible investment Government Pension Fund Global 2025
SRC318,Financials_NBIM_GPFG_Half_Year_Report_2025.pdf,Institutional_Report,page 1 Government Pension Fund Global Half-year report 2025
SRC319,Financials_Future_Fund_Australia_Annual_Report_FY2025.pdf,Institutional_Report,page 1 Future Fund Annual Report 2024-25 table of contents
