file_id,filename,doc_type,reason
SRC183,Performance_Alaska_PERS_Investment_Section_ACFR_FY2021.pdf,Performance,page 3 letter reviews fiscal-year investment performance and benchmarks
SRC184,Financials_Hawaii_ERS_ACFR_FY2021.pdf,Financials,page 1 says Annual Comprehensive Financial Report fiscal year ended June 30
SRC185,Reporting_CalSTRS_Investment_Committee_Item08_FY2024_25.pdf,Institutional_Report,page 1 Investment Committee Item 8 annual management-of-investments report
SRC186,Fee_Report_FCERA_Fresno_AB2833_Alternative_Investment_Fees_2021.pdf,Fee_Report,page 1 subject says Alternative Investment Vehicle Fee Disclosures
SRC187,Fee_Report_CalPERS_AB2833_Alternative_Investments_Nov2023.pdf,Fee_Report,page 1 says AIV Fee & Expense Disclosure AB 2833
SRC188,Performance_CalPERS_Private_Equity_Annual_Program_Review_Jun2025.pdf,Performance,page 1 Private Equity Annual Program Review; contents include Portfolio Performance
SRC189,Performance_CalPERS_Private_Equity_Annual_Program_Review_Jun2023.pdf,Performance,page 1 Private Equity Annual Program Review; contents include Portfolio Performance
SRC190,Performance_SBCERS_Quarterly_Investment_Performance_Dec2024.pdf,Performance,page 1 masthead Quarterly Performance Report for SBCERS
SRC191,Financials_Nevada_PERS_ACFR_FY2024.pdf,Financials,page 1 says Annual Comprehensive Financial Report fiscal year ended June 30
SRC192,Reporting_Utah_URS_Investment_Policies_ACFR_2021.pdf,Institutional_Report,page 1 heading Outline of Investment Policies for defined benefit investments
SRC193,Reporting_LACERA_CIO_Monthly_Report_May2021.pdf,Institutional_Report,page 1 masthead Chief Investment Officer Monthly Report
SRC194,Performance_CalSTRS_Real_Estate_Semi_Annual_Report_Q3_2025.pdf,Institutional_Report,page 1 Real Estate Strategy Semi-Annual Report prepared for CalSTRS
SRC195,Fee_Report_CalSTRS_Annual_Cost_And_Collaborative_Model_Savings_2023.pdf,Fee_Report,page 1 says Annual Cost & Collaborative Model Savings Report
SRC196,Performance_SERS_Ohio_Quarterly_Alternative_Investment_Q2_2023.pdf,Performance,page 1 masthead Quarterly Investments Performance Report
SRC197,Financials_NC_Dept_State_Treasurer_Investment_Programs_FY2020.pdf,Financials,page 1 says Financial Statements with Independent Auditors’ Report
SRC198,Performance_MOSERS_ACFR_Investment_Section_FY2025.pdf,Performance,page 3 CIO report states portfolio returns and benchmark outperformance
SRC199,Quarterly_Report_NC_Treasurer_Investment_Report_2025Q1.pdf,Quarterly_Report,page 1 says Quarterly Investment Report period ending March 31 2025
SRC200,Financials_Massachusetts_PRIT_ACFR_FY2024.pdf,Financials,page 1 says Annual Comprehensive Financial Report for PRIT Fund
SRC201,Performance_Virginia_VRS_IAC_Materials_Aug2025.pdf,Institutional_Report,page 1 Investment Advisory Committee meeting materials with CIO and portfolio reviews
SRC202,Performance_Rhode_Island_ERSRI_SIC_Monthly_Feb2026.pdf,Institutional_Report,page 1 says Monthly Performance Report for ERSRI
