file_id,filename,file_path,batch,a_doc_type,a_reason,b_doc_type,b_reason,final_doc_type,final_reason
SRC001,PPM_Fundsmith_Equity_Fund.pdf,data/documents/pdf/PPM_Fundsmith_Equity_Fund.pdf,batch1,PPM,page 1 says Confidential Private Placement Memorandum,PPM,"page 1 ""Confidential Private Placement Memorandum"" Fundsmith",PPM,both agents agreed
SRC002,PPM_Worcester_Fund_LLC.pdf,data/documents/pdf/PPM_Worcester_Fund_LLC.pdf,batch1,PPM,page 1 says Confidential Private Placement Memorandum,PPM,"page 1 ""CONFIDENTIAL PRIVATE PLACEMENT MEMORANDUM"" Worcester Fund",PPM,both agents agreed
SRC003,LPA_ILPA_Model_Whole_of_Fund.pdf,data/documents/pdf/LPA_ILPA_Model_Whole_of_Fund.pdf,batch1,LPA,page 1 says Model Limited Partnership Agreement,LPA,ILPA Model Limited Partnership Agreement Whole-of-Fund Waterfall,LPA,both agents agreed
SRC004,LPA_SCP_Private_Equity_Partners_II_Public_FOIA.pdf,data/documents/pdf/LPA_SCP_Private_Equity_Partners_II_Public_FOIA.pdf,batch1,LPA,page 1 says Limited Partnership Agreement,LPA,"masthead ""LIMITED PARTNERSHIP AGREEMENT OF SCP PRIVATE EQUITY PARTNERS II""",LPA,both agents agreed
SRC005,Subscription_ILPA_Model_Subscription_Agreement.pdf,data/documents/pdf/Subscription_ILPA_Model_Subscription_Agreement.pdf,batch1,Subscription,page 1 says Subscription Agreement,Subscription,"cover ""SUBSCRIPTION AGREEMENT"" relating to named fund",Subscription,both agents agreed
SRC006,Subscription_Hedge_Fund_Template.pdf,data/documents/pdf/Subscription_Hedge_Fund_Template.pdf,batch1,Subscription,subscription instructions require signing Subscription Agreement and purchaser questionnaire,Subscription,"""Instructions for Subscription Documents"" sign Subscription Agreement",Subscription,both agents agreed
SRC007,Side_Letter_MEABF_Sample.pdf,data/documents/pdf/Side_Letter_MEABF_Sample.pdf,batch1,Side_Letter,page 1 says TEMPLATE SIDELETTER,Side_Letter,"""TEMPLATE SIDELETTER"" letter agreement with MEABF Investor",Side_Letter,both agents agreed
SRC008,Side_Letter_Fiducient_Private_Fund_Sample.pdf,data/documents/pdf/Side_Letter_Fiducient_Private_Fund_Sample.pdf,batch1,Side_Letter,letter grants investor-specific terms alongside partnership documents,Side_Letter,November 2020 letter on subscription and limited partnership interest,Side_Letter,both agents agreed
SRC011,PCAP_Invest_Europe_Individual_Capital_Account_Statement.pdf,data/documents/pdf/PCAP_Invest_Europe_Individual_Capital_Account_Statement.pdf,batch1,PCAP,page 1 says Individual Capital Account Statement,PCAP,"""Example 5"" Individual Capital Account Statement investor statement",PCAP,both agents agreed
SRC013,PPM_RockStep_Hometown_America_Fund_I.pdf,data/documents/pdf/PPM_RockStep_Hometown_America_Fund_I.pdf,batch1,PPM,page 1 says Confidential Private Placement Memorandum,PPM,"""CONFIDENTIAL PRIVATE PLACEMENT MEMORANDUM"" RockStep Hometown America Fund I",PPM,both agents agreed
SRC014,PPM_Blackcommerce_LLC_SEC_EDGAR.pdf,data/documents/pdf/PPM_Blackcommerce_LLC_SEC_EDGAR.pdf,batch1,PPM,page 1 says Private Placement Memorandum,PPM,"page 1 ""PRIVATE PLACEMENT MEMORANDUM"" Blackcommerce LLC",PPM,both agents agreed
