scenario_id,scenario_type,fund_id,manager_id,strategy,baseline_score,scenario_score,baseline_tvpi,scenario_tvpi,haircut,official_eligibility,affected_ids,evidence_id
nav_00,nav_haircut,FUND_SYNTH_000001,MANAGER_SYNTH_00001,buyout,42.0338983051,42.03389830509695,1.75774698868,1.757746988674,0.0,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000001:nav_00
nav_10,nav_haircut,FUND_SYNTH_000001,MANAGER_SYNTH_00001,buyout,42.0338983051,40.00000000001221,1.75774698868,1.7079279695906,0.1,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000001:nav_10
nav_20,nav_haircut,FUND_SYNTH_000001,MANAGER_SYNTH_00001,buyout,42.0338983051,38.983050847469826,1.75774698868,1.6581089505072,0.2,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000001:nav_20
nav_30,nav_haircut,FUND_SYNTH_000001,MANAGER_SYNTH_00001,buyout,42.0338983051,37.96610169492746,1.75774698868,1.6082899314238,0.3,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000001:nav_30
nav_00,nav_haircut,FUND_SYNTH_000003,MANAGER_SYNTH_00001,venture,64.4444444444,64.44444444445779,2.56230304063,2.562303040631,0.0,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000003:nav_00
nav_10,nav_haircut,FUND_SYNTH_000003,MANAGER_SYNTH_00001,venture,64.4444444444,64.44444444445779,2.56230304063,2.5074951026359,0.1,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000003:nav_10
nav_20,nav_haircut,FUND_SYNTH_000003,MANAGER_SYNTH_00001,venture,64.4444444444,64.44444444445779,2.56230304063,2.4526871646407997,0.2,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000003:nav_20
nav_30,nav_haircut,FUND_SYNTH_000003,MANAGER_SYNTH_00001,venture,64.4444444444,62.22222222223556,2.56230304063,2.3978792266457,0.3,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000003:nav_30
nav_00,nav_haircut,FUND_SYNTH_000004,MANAGER_SYNTH_00001,venture,83.7037037037,83.70370370370667,3.32384450566,3.323844505661,0.0,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000004:nav_00
nav_10,nav_haircut,FUND_SYNTH_000004,MANAGER_SYNTH_00001,venture,83.7037037037,81.48148148148445,3.32384450566,3.2732646328589,0.1,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000004:nav_10
