order,phase,stage,input,output,check_description,status,checked_at_utc,stage_id,execution_order,source,test,evidence,result_detail,next_readme
1,Preparation,Source collection and classification,Public report addresses and document classifications,Source ledger and retained PDFs,Every catalogued PDF matches its source entry and page count,PASS,2026-09-15T15:13:42+00:00,source-catalog,,data-gathering/src/fetch_corpus.py,python -m src.repository.build_release_audit --verify-inputs,ledgers/pipeline/release-checks.csv#8ba209e2657a4fca986adedf33a8eb27,455 catalogued PDFs matched their source entries and physical page counts,data-gathering/README.md
2,Preparation,Document preparation,Assigned PDFs and report-specific field contracts,Page-aligned text and page images with table grids,Every assigned page has an image and each document has its text and grid files,PASS,2026-09-15T15:13:42+00:00,document-preparation,,instructions/01-pdf-extraction-csv/00-OPERATOR-RUNBOOK.md,python -m src.repository.build_release_audit --verify-inputs,ledgers/pipeline/release-checks.csv#1e86a60ea7d64ce08e1ac5ef3db9a88e,"36 assigned documents; 693 pages; text, images, and grids present",instructions/01-pdf-extraction-csv/README.md
3,Extraction,Independent extraction,The same assigned pages read independently by two agents,Separate A and B proposal files and page-coverage records,Both proposal sets retain every assigned page and reconcile their row counts; value decisions belong to adjudication,PASS,2026-09-15T15:13:43+00:00,blind-extraction,,src/catalog/simple_pdf_extraction/csv_workflow.py,python -m src.repository.build_release_audit --verify-inputs,ledgers/pipeline/release-checks.csv#c0085709f4b44fce82f28c5a14ab6b30,72 retained proposal sets; 15760 rows; complete page and row-count records. Original proposals remain unchanged; current field semantics are checked on adjudicated finals.,ledgers/working/pdf-extraction-csv/README.md
4,Review,Adjudication and source review,A and B proposals plus page evidence and correction decisions,Reviewed final records and final page coverage,Final validation checks source evidence and field semantics and page completeness,PASS,2026-09-15T15:13:50+00:00,adjudication,,src/catalog/simple_pdf_extraction/csv_workflow.py,python -m src.repository.build_release_audit --verify-inputs,ledgers/pipeline/release-checks.csv#a3b73efe74254276b192752f5818e815,"36 adjudicated documents; 8613 final records; source, field, and page-completeness checks passed",instructions/01-pdf-extraction-csv/README.md
5,Publication,Publish reviewed evidence,Reviewed fields and page-reading records from all completed assignments,Combined reviewed fields and page-by-page reading records,Every reviewed field and page-coverage record matches the published route,PASS,2026-09-15T19:38:41+00:00,corpus-publication,3,src/pipeline/publish_review_release.py,python instructions/01-pdf-extraction-csv/workflow.py publish --scope active,ledgers/pipeline/release-checks.csv#4fe9d3afbf04400395a8f02becc937c6,Stage completed; output receipts record data changes,data/extracted/README.md
6,Publication,Reconcile document assignments,Active worklists and final files,Assignment and completion counts,Assigned and completed and deferred documents reconcile,PASS,2026-09-15T19:38:41+00:00,extraction-scope,5,src/pipeline/publish_review_release.py,"read the active worklists and their finals; record assigned, finished, unfinished, and backlog rows against the published backlog ledger",ledgers/pipeline/release-checks.csv#1200903e95e9451c917aeeccbdd0eb99,Stage completed; output receipts record data changes,docs/README.md
7,Publication,Combine extraction files,Published document records,Raw extraction tables by report type,Original field values and extractor attribution are preserved,PASS,2026-09-15T19:38:42+00:00,raw-combination,10,src/pipeline/publish_review_release.py,python -m src.pipeline.combine_extracted_raw,ledgers/pipeline/release-checks.csv#4d39c36da9284f95b76c862b761853eb,Stage completed; output receipts record data changes,data/extracted/raw/README.md
8,Publication,Combine native filing records,Reviewed native SEC filing records from the native working tree,Raw native extraction table and native round records,Every native record keeps its filing table cell or XML element and the filing totals reconcile,PASS,2026-09-15T19:38:43+00:00,native-combination,12,src/pipeline/publish_review_release.py,python -m src.pipeline.combine_native_filings,ledgers/pipeline/release-checks.csv#b88ba68467dd492d86c016b19217e524,Stage completed; output receipts record data changes,data/extracted/raw/README.md
9,Publication,Verify published source fields,Raw tables and published extraction files,Verification result with no data rewrite,Raw fields and extractor-model attribution agree,PASS,2026-09-15T19:38:45+00:00,round-publication-verification,15,src/pipeline/publish_review_release.py,verify raw core fields; hold extractor_model attribution across publications,ledgers/pipeline/release-checks.csv#5f49bc53a37847848e7c92fda9954f9a,Stage completed; output receipts record data changes,data/extracted/raw/README.md
10,Publication,Validate normalization rules,Source corrections and identity and attribute matrices,Matrix validation results and qualifier backlog,Source decisions and transformation rules satisfy their contracts,PASS,2026-09-15T19:38:48+00:00,normalization-gates,20,src/pipeline/publish_review_release.py,source_review; name_normalization check; fund_attributes conflicts --strict; matrices --check,ledgers/pipeline/release-checks.csv#c6070ea0fd5245b2ac9022f840026d61,Stage completed; output receipts record data changes,data/normalization/README.md
