source_family,file_count,total_bytes,row_count,analysis_tiers,pme_roles,source_systems,rights_status,note
ADJUSTED_ETF_LONG_HISTORY,29,8790470,174108,PME_CORE,PRIMARY_OR_MATCHED_PROXY,YAHOO_FINANCE_VIA_YFINANCE,DEMONSTRATION_ONLY,The close field reflects the downloader's auto-adjusted setting.
ADJUSTED_ETF_REFERENCE,11,2475166,53658,PME_CORE,VALIDATION_REFERENCE,YAHOO_FINANCE_VIA_YFINANCE,DEMONSTRATION_ONLY,The adj_close field provides an independent comparison for selected ETF histories.
ADJUSTED_ETF_WIDE_PANEL,1,1380051,3627,PME_CORE,MATCHED_PROXY_SUPPLEMENT,YAHOO_FINANCE_VIA_YFINANCE,DEMONSTRATION_ONLY,"The panel adds sector, geography, style, fixed-income, and real-asset proxies from 2012."
COMMODITY_SURPRISES,2,139803,3136,MARKET_CONTEXT,REAL_ASSET_CONTEXT,US_EIA,DEMONSTRATION_ONLY,Storage surprise series support energy-fund sensitivity work.
COT_FEATURES,7,1882731,11343,ADVANCED_DAILY,POSITIONING_FEATURE,DERIVED_FEATURE_BUILD,DEMONSTRATION_ONLY,Friday knowledge dates govern weekly feature availability.
COT_POSITIONING,46,9761051,70023,MARKET_CONTEXT,POSITIONING_CONTEXT,US_CFTC,DEMONSTRATION_ONLY,Weekly positioning supports regime and crowding analysis.
CRYPTO_DAILY,32,3766037,142079,MARKET_CONTEXT,SPECIALIST_FUND_CONTEXT,CRYPTO_EXCHANGE_AND_PROVIDER_SOURCES,DEMONSTRATION_ONLY,A 24-hour cash-flow-date convention governs specialist PME use.
ENERGY_FUNDAMENTALS,8,431120,36137,MARKET_CONTEXT,REAL_ASSET_CONTEXT,US_EIA,DEMONSTRATION_ONLY,"Energy production, demand, storage, and export series support real-asset research."
FUTURES_DAILY,8,1930618,41358,MARKET_CONTEXT,MATCHED_OPPORTUNITY_COST,YAHOO_FINANCE_AND_EIA,DEMONSTRATION_ONLY,"PME use requires a declared roll, collateral, exposure, and cost convention."
GEX_DAILY,25,468102,9578,ADVANCED_DAILY,GAMMA_EXPOSURE_FEATURE,DERIVED_FEATURE_BUILD,DEMONSTRATION_ONLY,Daily gamma summaries support stress and market-structure research.
MACRO_EVENTS,1,141395,2681,MARKET_CONTEXT,EVENT_CONTEXT,MULTI_SOURCE_EVENT_CALENDAR,DEMONSTRATION_ONLY,Knowledge timestamps support event-aligned analysis.
MACRO_FEATURES,1,1563224,7086,ADVANCED_DAILY,REGIME_FEATURE,DERIVED_FEATURE_BUILD,DEMONSTRATION_ONLY,Release-lag rules govern daily feature availability.
MACRO_FRED,97,8836527,434234,MARKET_CONTEXT,REGIME_CONTEXT,FRED_OR_ALFRED,DEMONSTRATION_ONLY,The realtime_start field supplies the recorded knowledge date when present.
NATURAL_GAS_FEATURES,3,1702798,26812,ADVANCED_DAILY,ALTERNATIVE_DATA_FEATURE,DERIVED_FEATURE_BUILD,DEMONSTRATION_ONLY,"Weather, balance, and spread summaries support real-asset analysis."
OPTIONS_DAILY,25,442963,9709,ADVANCED_DAILY,VOLATILITY_AND_LIQUIDITY_FEATURE,DERIVED_FEATURE_BUILD,DEMONSTRATION_ONLY,Daily aggregates retain the useful surface statistics at compact scale.
PRICE_FEATURES,22,13357916,98474,ADVANCED_DAILY,RISK_AND_REGIME_FEATURE,DERIVED_FEATURE_BUILD,DEMONSTRATION_ONLY,Momentum and volatility features support risk research; dividend-adjusted PME uses the core tier.
RATES,12,1917838,181620,MARKET_CONTEXT,QUALITY_CONTROL_CASE,THETADATA,DEMONSTRATION_ONLY,"Vintage, weekend-fill, and pre-2018 SOFR treatment require adjudication."
TREASURY_AUCTIONS,1,112014,1257,MARKET_CONTEXT,CAPITAL_MARKETS_CONTEXT,US_TREASURY,DEMONSTRATION_ONLY,Auction outcomes support rates and liquidity context.
VIX_FUTURES_DAILY,3,283557,12002,MARKET_CONTEXT,VOLATILITY_CONTEXT,DATABENTO,DEMONSTRATION_ONLY,Daily VIX futures support volatility-regime research.
