cashflow_id,position_id,deal_id,scenario_id,cashflow_date,cashflow_type,amount,currency,origin_type,assumption_id
PCF_88AC3B177A418CD39160,POS_DA6311364A78F70A7FBD,DEAL_INTEGRATED_DEMO,base,2026-12-30,future_capital_call,-162.79778925,USD,FORECAST,FORECAST_BASE_V1
PCF_374F387564E9BA85B414,POS_DA6311364A78F70A7FBD,DEAL_INTEGRATED_DEMO,base,2027-03-30,future_capital_call,-162.79778925,USD,FORECAST,FORECAST_BASE_V1
PCF_EB0B66F58BA9BB3FBECF,POS_DA6311364A78F70A7FBD,DEAL_INTEGRATED_DEMO,base,2027-06-30,future_capital_call,-162.79778925,USD,FORECAST,FORECAST_BASE_V1
PCF_B5A660E9BFE5CBEA3395,POS_DA6311364A78F70A7FBD,DEAL_INTEGRATED_DEMO,base,2027-09-30,future_capital_call,-162.79778925,USD,FORECAST,FORECAST_BASE_V1
PCF_B0E6FA41EBF336AE185F,POS_DA6311364A78F70A7FBD,DEAL_INTEGRATED_DEMO,base,2027-12-30,future_capital_call,-162.79778925,USD,FORECAST,FORECAST_BASE_V1
PCF_555EA46643A3DEB61CC2,POS_DA6311364A78F70A7FBD,DEAL_INTEGRATED_DEMO,base,2028-03-30,future_capital_call,-162.79778925,USD,FORECAST,FORECAST_BASE_V1
PCF_A8ACD369E860465A0CDD,POS_DA6311364A78F70A7FBD,DEAL_INTEGRATED_DEMO,base,2028-06-30,future_capital_call,-162.79778925,USD,FORECAST,FORECAST_BASE_V1
PCF_F791B8CA181BFBC39D8C,POS_DA6311364A78F70A7FBD,DEAL_INTEGRATED_DEMO,base,2028-09-30,future_capital_call,-162.79778925,USD,FORECAST,FORECAST_BASE_V1
PCF_40A1196A4742CDEE9B7D,POS_DA6311364A78F70A7FBD,DEAL_INTEGRATED_DEMO,base,2028-12-30,future_distribution,1370.08095990,USD,FORECAST,FORECAST_BASE_V1
PCF_C45BB8B0EECB22517AB0,POS_DA6311364A78F70A7FBD,DEAL_INTEGRATED_DEMO,base,2029-03-30,future_distribution,1047.24662230,USD,FORECAST,FORECAST_BASE_V1
