position_id,display_name,scenario_id,status,reason,ask_nav_fraction,max_nav_fraction,consent_status,source_record_ids
POS_DA6311364A78F70A7FBD,Demo Position 01,base,DEMO_PURSUABLE,ASK_MEETS_BUYER_HURDLE,0.7618793228,0.7773492746,APPROVED,FPRINT_39134BF37290A608363E
POS_DA6311364A78F70A7FBD,Demo Position 01,downside,DEMO_DECLINE,ASK_EXCEEDS_BUYER_CEILING,0.7618793228,0.3359458931,APPROVED,FPRINT_39134BF37290A608363E
POS_DA6311364A78F70A7FBD,Demo Position 01,upside,DEMO_PURSUABLE,ASK_MEETS_BUYER_HURDLE,0.7618793228,0.9871098818,APPROVED,FPRINT_39134BF37290A608363E
POS_6B0F7E65F1989530B1AD,Demo Position 02,base,DEMO_DECLINE,ASK_EXCEEDS_BUYER_CEILING,0.8423927184,0.8323797572,APPROVED,FPRINT_5608FF7B5BE02CE6EAC2
POS_6B0F7E65F1989530B1AD,Demo Position 02,downside,DEMO_DECLINE,ASK_EXCEEDS_BUYER_CEILING,0.8423927184,0.4687373453,APPROVED,FPRINT_5608FF7B5BE02CE6EAC2
POS_6B0F7E65F1989530B1AD,Demo Position 02,upside,DEMO_PURSUABLE,ASK_MEETS_BUYER_HURDLE,0.8423927184,1.0167850324,APPROVED,FPRINT_5608FF7B5BE02CE6EAC2
POS_725036467434A9CFE2C8,Demo Position 03,base,DEMO_REVIEW,TRANSFER_CONSENT_PENDING,0.8723650455,0.8121380376,PENDING,FPRINT_96C454A0D631EDFC788A
POS_725036467434A9CFE2C8,Demo Position 03,downside,DEMO_REVIEW,TRANSFER_CONSENT_PENDING,0.8723650455,0.4198722037,PENDING,FPRINT_96C454A0D631EDFC788A
POS_725036467434A9CFE2C8,Demo Position 03,upside,DEMO_REVIEW,TRANSFER_CONSENT_PENDING,0.8723650455,1.0058998774,PENDING,FPRINT_96C454A0D631EDFC788A
POS_03BACFCF783B5AAEF3FA,Demo Position 04,base,DEMO_DECLINE,ASK_EXCEEDS_BUYER_CEILING,0.8807337664,0.4193249789,APPROVED,FPRINT_D35D8007E962EEF10181
POS_03BACFCF783B5AAEF3FA,Demo Position 04,downside,DEMO_DECLINE,NEGATIVE_BUYER_PRICE_CEILING,0.8807337664,-0.5277714559,APPROVED,FPRINT_D35D8007E962EEF10181
POS_03BACFCF783B5AAEF3FA,Demo Position 04,upside,DEMO_DECLINE,ASK_EXCEEDS_BUYER_CEILING,0.8807337664,0.7937349407,APPROVED,FPRINT_D35D8007E962EEF10181
POS_BC8C03B81492D1FB1E28,Demo Position 05,base,DEMO_REVIEW,TRANSFER_CONSENT_UNKNOWN,0.7703033645,0.7893110133,UNKNOWN,FPRINT_06BA40EA5807C58319A7
POS_BC8C03B81492D1FB1E28,Demo Position 05,downside,DEMO_REVIEW,TRANSFER_CONSENT_UNKNOWN,0.7703033645,0.3648030447,UNKNOWN,FPRINT_06BA40EA5807C58319A7
POS_BC8C03B81492D1FB1E28,Demo Position 05,upside,DEMO_REVIEW,TRANSFER_CONSENT_UNKNOWN,0.7703033645,0.9935706178,UNKNOWN,FPRINT_06BA40EA5807C58319A7
POS_759DB0D2AC8193AC62DD,Demo Position 06,base,DEMO_PURSUABLE,ASK_MEETS_BUYER_HURDLE,0.7385585381,0.7747076970,APPROVED,FPRINT_C38D8769C44DA8D22870
POS_759DB0D2AC8193AC62DD,Demo Position 06,downside,DEMO_DECLINE,ASK_EXCEEDS_BUYER_CEILING,0.7385585381,0.3295732074,APPROVED,FPRINT_C38D8769C44DA8D22870
POS_759DB0D2AC8193AC62DD,Demo Position 06,upside,DEMO_PURSUABLE,ASK_MEETS_BUYER_HURDLE,0.7385585381,0.9856831212,APPROVED,FPRINT_C38D8769C44DA8D22870
POS_3F7F05AC9AC73D2299D8,Demo Position 07,base,NO_QUOTE,TRANSFER_CONSENT_DENIED,0.9444186215,0.3803958937,DENIED,FPRINT_EE18A02AB4A7D7189767
POS_3F7F05AC9AC73D2299D8,Demo Position 07,downside,NO_QUOTE,TRANSFER_CONSENT_DENIED,0.9444186215,-0.6216861055,DENIED,FPRINT_EE18A02AB4A7D7189767
POS_3F7F05AC9AC73D2299D8,Demo Position 07,upside,NO_QUOTE,TRANSFER_CONSENT_DENIED,0.9444186215,0.7727086873,DENIED,FPRINT_EE18A02AB4A7D7189767
