position_id,scenario_id,hurdle_rate,future_cashflow_pv,max_reference_price,max_nav_fraction,currency,origin_type
POS_DA6311364A78F70A7FBD,base,0.1000000000,3192.49331425,3186.98678725,0.9153942033,USD,DERIVED
POS_DA6311364A78F70A7FBD,base,0.1500000000,2711.88358106,2706.37705406,0.7773492746,USD,DERIVED
POS_DA6311364A78F70A7FBD,base,0.2000000000,2313.75112535,2308.24459835,0.6629941905,USD,DERIVED
POS_DA6311364A78F70A7FBD,downside,0.1000000000,1564.99023575,1559.48370875,0.4479285427,USD,DERIVED
POS_DA6311364A78F70A7FBD,downside,0.1500000000,1175.11751931,1169.61099231,0.3359458931,USD,DERIVED
POS_DA6311364A78F70A7FBD,downside,0.2000000000,868.19777608,862.69124908,0.2477897216,USD,DERIVED
POS_DA6311364A78F70A7FBD,upside,0.1000000000,3996.02758599,3990.52105899,1.1461923408,USD,DERIVED
POS_DA6311364A78F70A7FBD,upside,0.1500000000,3442.17472893,3436.66820193,0.9871098818,USD,DERIVED
POS_DA6311364A78F70A7FBD,upside,0.2000000000,2979.25664668,2973.75011968,0.8541465037,USD,DERIVED
POS_6B0F7E65F1989530B1AD,base,0.1000000000,122722.62343504,127008.03207404,0.9454079138,USD,DERIVED
POS_6B0F7E65F1989530B1AD,base,0.1500000000,107538.18979111,111823.59843011,0.8323797572,USD,DERIVED
POS_6B0F7E65F1989530B1AD,base,0.2000000000,94849.94904672,99135.35768572,0.7379324769,USD,DERIVED
POS_6B0F7E65F1989530B1AD,downside,0.1000000000,70297.38797609,74582.79661509,0.5551709211,USD,DERIVED
POS_6B0F7E65F1989530B1AD,downside,0.1500000000,58685.72468697,62971.13332597,0.4687373453,USD,DERIVED
POS_6B0F7E65F1989530B1AD,downside,0.2000000000,49387.39227285,53672.80091185,0.3995234782,USD,DERIVED
POS_6B0F7E65F1989530B1AD,upside,0.1000000000,150113.10389190,154398.51253090,1.1492940505,USD,DERIVED
POS_6B0F7E65F1989530B1AD,upside,0.1500000000,132311.57148678,136596.98012578,1.0167850324,USD,DERIVED
POS_6B0F7E65F1989530B1AD,upside,0.2000000000,117331.15744276,121616.56608176,0.9052755337,USD,DERIVED
POS_725036467434A9CFE2C8,base,0.1000000000,262759.25962614,268292.24236514,0.9343733348,USD,DERIVED
POS_725036467434A9CFE2C8,base,0.1500000000,227661.10265078,233194.08538978,0.8121380376,USD,DERIVED
