trade_id,split,fund_id,manager_id,deal_date,sub_strategy,actual_clearing_nav_fraction,baseline_prediction,model_prediction,baseline_abs_error,model_abs_error,reference_nav,origin_type
TRADE_FA160413FD276248F936,temporal_test,FUND_SYNTH_000001,MANAGER_SYNTH_00001,2026-02-28,middle_market,0.9505704999,0.8620495546,0.8822159637,0.0885209453,0.0683545362,796.50000000,DERIVED
TRADE_B3D03B1D4D93A613F810,temporal_test,FUND_SYNTH_000001,MANAGER_SYNTH_00001,2026-08-28,middle_market,0.9220046252,0.8620495546,0.9123090770,0.0599550706,0.0096955482,495.49000000,DERIVED
TRADE_885C61A8E2C85421BD3B,temporal_test,FUND_SYNTH_000006,MANAGER_SYNTH_00002,2026-02-28,middle_market,0.8928536614,0.8620495546,0.8862035226,0.0308041068,0.0066501388,247.92000000,DERIVED
TRADE_46AD926AF18E7D78724B,temporal_test,FUND_SYNTH_000006,MANAGER_SYNTH_00002,2026-08-28,middle_market,0.9362408897,0.8620495546,0.9272833997,0.0741913351,0.0089574900,64.05000000,DERIVED
TRADE_4C33247DAD2DFD7ADB83,temporal_test,FUND_SYNTH_000012,MANAGER_SYNTH_00003,2026-02-28,middle_market,0.8580048126,0.8620495546,0.8363532346,0.0040447420,0.0216515780,124.66000000,DERIVED
TRADE_8BFBD38F5BACD841770D,temporal_test,FUND_SYNTH_000015,MANAGER_SYNTH_00004,2026-02-28,middle_market,0.9334527658,0.8620495546,0.9482458624,0.0714032112,0.0147930966,48.07000000,DERIVED
TRADE_93CB5C50B7BE66BE1071,temporal_test,FUND_SYNTH_000015,MANAGER_SYNTH_00004,2026-08-28,middle_market,0.9106253635,0.8620495546,0.9478289658,0.0485758089,0.0372036023,59.00000000,DERIVED
TRADE_BCA6174AD68991A084E2,temporal_test,FUND_SYNTH_000018,MANAGER_SYNTH_00005,2026-02-28,middle_market,0.9081644461,0.8620495546,0.9332547342,0.0461148915,0.0250902881,101.96000000,DERIVED
TRADE_8AB3CCC1192940EDAD20,temporal_test,FUND_SYNTH_000019,MANAGER_SYNTH_00005,2026-02-28,middle_market,0.8657612800,0.8620495546,0.8330032913,0.0037117254,0.0327579887,306.92000000,DERIVED
TRADE_AD3687ABD32CFDB1E24D,temporal_test,FUND_SYNTH_000019,MANAGER_SYNTH_00005,2026-08-28,middle_market,0.8271284751,0.8620495546,0.8332539819,0.0349210795,0.0061255068,313.51000000,DERIVED
TRADE_CCCEF314264FC014BC7A,temporal_test,FUND_SYNTH_000027,MANAGER_SYNTH_00007,2026-02-28,middle_market,1.0211138729,0.8620495546,0.9809254285,0.1590643183,0.0401884444,130.46000000,DERIVED
TRADE_C475123E9C0C6E000316,temporal_test,FUND_SYNTH_000027,MANAGER_SYNTH_00007,2026-08-28,middle_market,1.0357321505,0.8620495546,0.9893921161,0.1736825959,0.0463400344,99.62000000,DERIVED
TRADE_93E2294FFB6F0A65CE62,temporal_test,FUND_SYNTH_000034,MANAGER_SYNTH_00009,2026-02-28,middle_market,0.9710566091,0.8620495546,0.9515662834,0.1090070545,0.0194903257,453.87000000,DERIVED
TRADE_95689E92158342A136F7,temporal_test,FUND_SYNTH_000034,MANAGER_SYNTH_00009,2026-08-28,middle_market,0.9959541973,0.8620495546,0.9756547168,0.1339046427,0.0202994805,193.64000000,DERIVED
TRADE_544F951A2AE5A98C2936,temporal_test,FUND_SYNTH_000046,MANAGER_SYNTH_00012,2026-02-28,middle_market,0.9350471019,0.8620495546,0.9408259976,0.0729975473,0.0057788957,189.72000000,DERIVED
TRADE_5DE7C44084CC8F4A80A1,temporal_test,FUND_SYNTH_000046,MANAGER_SYNTH_00012,2026-08-28,middle_market,0.9707331671,0.8620495546,0.9404083391,0.1086836125,0.0303248280,221.11000000,DERIVED
TRADE_8F15EBF4DF53CB78E367,temporal_test,FUND_SYNTH_000048,MANAGER_SYNTH_00012,2026-02-28,middle_market,0.8784175928,0.8620495546,0.8930175298,0.0163680382,0.0145999370,275.41000000,DERIVED
TRADE_C811988DF83428FB0462,temporal_test,FUND_SYNTH_000048,MANAGER_SYNTH_00012,2026-08-28,middle_market,0.9586692261,0.8620495546,0.9129245814,0.0966196715,0.0457446447,226.13000000,DERIVED
TRADE_B6121B5B390C4731EC98,temporal_test,FUND_SYNTH_000049,MANAGER_SYNTH_00013,2026-02-28,middle_market,0.9549065573,0.8620495546,0.9383976592,0.0928570027,0.0165088981,181.13000000,DERIVED
TRADE_4672CD7D9775E0DA1E47,temporal_test,FUND_SYNTH_000049,MANAGER_SYNTH_00013,2026-08-28,middle_market,0.9104083432,0.8620495546,0.9385678067,0.0483587886,0.0281594635,201.41000000,DERIVED
TRADE_E36E0ED20062F1B1FA56,temporal_test,FUND_SYNTH_000051,MANAGER_SYNTH_00013,2026-08-28,middle_market,0.7749852020,0.8620495546,0.8202436716,0.0870643526,0.0452584696,345.98000000,DERIVED
TRADE_135FBCF462961A7ADEBC,temporal_test,FUND_SYNTH_000065,MANAGER_SYNTH_00017,2026-02-28,middle_market,0.7972418838,0.8620495546,0.8068959111,0.0648076708,0.0096540273,200.75000000,DERIVED
TRADE_B91D293FA5EA4954CD32,temporal_test,FUND_SYNTH_000065,MANAGER_SYNTH_00017,2026-08-28,middle_market,0.8138075632,0.8620495546,0.8202666373,0.0482419914,0.0064590741,188.04000000,DERIVED
TRADE_8E6235785082E42EC39B,temporal_test,FUND_SYNTH_000067,MANAGER_SYNTH_00017,2026-02-28,middle_market,0.9110126196,0.8620495546,0.8957635814,0.0489630650,0.0152490382,626.49000000,DERIVED
TRADE_2E01B120E185D04EE24E,temporal_test,FUND_SYNTH_000074,MANAGER_SYNTH_00019,2026-02-28,middle_market,0.9317194745,0.8620495546,0.9417641559,0.0696699199,0.0100446814,385.73000000,DERIVED
TRADE_A253CD0D0EC0E0B3EF38,temporal_test,FUND_SYNTH_000074,MANAGER_SYNTH_00019,2026-08-28,middle_market,0.9715962101,0.8620495546,0.9580534191,0.1095466555,0.0135427910,255.57000000,DERIVED
TRADE_67832368CC2F03254CC7,temporal_test,FUND_SYNTH_000087,MANAGER_SYNTH_00022,2026-02-28,middle_market,0.8810002324,0.8620495546,0.8868324514,0.0189506778,0.0058322190,213.81000000,DERIVED
TRADE_16EDE9A6A4F8869AEFF1,temporal_test,FUND_SYNTH_000087,MANAGER_SYNTH_00022,2026-08-28,middle_market,0.8870101862,0.8620495546,0.9054227012,0.0249606316,0.0184125150,154.79000000,DERIVED
TRADE_229DBC3813965BA581C5,temporal_test,FUND_SYNTH_000089,MANAGER_SYNTH_00023,2026-08-28,middle_market,0.8463063856,0.8620495546,0.9022088136,0.0157431690,0.0559024280,278.36000000,DERIVED
TRADE_CAE4B8C2687376485616,temporal_test,FUND_SYNTH_000107,MANAGER_SYNTH_00027,2026-02-28,middle_market,0.9843907773,0.8620495546,0.9675668714,0.1223412227,0.0168239059,58.38000000,DERIVED
TRADE_CAE4B8C2687376485616,temporal_test,FUND_SYNTH_000107,MANAGER_SYNTH_00027,2026-02-28,middle_market,0.9329296262,0.8620495546,0.9675668714,0.0708800716,0.0346372452,58.38000000,DERIVED
TRADE_0FDEBF6F4CAE3FF64E24,temporal_test,FUND_SYNTH_000111,MANAGER_SYNTH_00028,2026-02-28,middle_market,0.9042094777,0.8620495546,0.9099837191,0.0421599231,0.0057742414,214.28000000,DERIVED
TRADE_A11BAF8C9F6DBD10FAC4,temporal_test,FUND_SYNTH_000111,MANAGER_SYNTH_00028,2026-08-28,middle_market,0.9440754863,0.8620495546,0.9193414074,0.0820259317,0.0247340789,134.71000000,DERIVED
TRADE_2BF37084918E0CAB12EC,temporal_test,FUND_SYNTH_000114,MANAGER_SYNTH_00029,2026-08-28,middle_market,0.9178497358,0.8620495546,0.8650207354,0.0558001812,0.0528290004,239.13000000,DERIVED
TRADE_817B8C6F0841AE6D0A60,temporal_test,FUND_SYNTH_000121,MANAGER_SYNTH_00031,2026-02-28,middle_market,0.9208550274,0.8620495546,0.9269240358,0.0588054728,0.0060690084,134.53000000,DERIVED
TRADE_817B8C6F0841AE6D0A60,temporal_test,FUND_SYNTH_000121,MANAGER_SYNTH_00031,2026-02-28,middle_market,0.9252919767,0.8620495546,0.9269240358,0.0632424221,0.0016320591,134.53000000,DERIVED
TRADE_B25AA95CCE18FE39A1DE,temporal_test,FUND_SYNTH_000124,MANAGER_SYNTH_00031,2026-02-28,middle_market,0.9268898279,0.8620495546,0.9071304360,0.0648402733,0.0197593919,510.43000000,DERIVED
TRADE_69F962F93E9266DCC76E,temporal_test,FUND_SYNTH_000124,MANAGER_SYNTH_00031,2026-08-28,middle_market,0.9009516323,0.8620495546,0.9074622187,0.0389020777,0.0065105864,547.12000000,DERIVED
TRADE_7EE11441E7F31F755A54,temporal_test,FUND_SYNTH_000125,MANAGER_SYNTH_00032,2026-02-28,middle_market,0.8826732067,0.8620495546,0.8256063619,0.0206236521,0.0570668448,718.43000000,DERIVED
TRADE_96CFED2038B8F4EDCEBF,temporal_test,FUND_SYNTH_000129,MANAGER_SYNTH_00033,2026-02-28,middle_market,0.9929600925,0.8620495546,0.9337489700,0.1309105379,0.0592111225,116.09000000,DERIVED
TRADE_C627280A7C5313C55AB4,temporal_test,FUND_SYNTH_000129,MANAGER_SYNTH_00033,2026-08-28,middle_market,0.9254395321,0.8620495546,0.9419511622,0.0633899775,0.0165116301,96.10000000,DERIVED
TRADE_A3B5876F090C2B30A97C,temporal_test,FUND_SYNTH_000131,MANAGER_SYNTH_00033,2026-02-28,middle_market,0.8942836965,0.8620495546,0.8857019618,0.0322341419,0.0085817347,916.97000000,DERIVED
TRADE_CC5A137A956D218A939D,temporal_test,FUND_SYNTH_000131,MANAGER_SYNTH_00033,2026-08-28,middle_market,0.8819377737,0.8620495546,0.9033556714,0.0198882191,0.0214178977,809.85000000,DERIVED
TRADE_24B9AEE9F1DFA64C43C9,temporal_test,FUND_SYNTH_000134,MANAGER_SYNTH_00034,2026-02-28,middle_market,0.8368615515,0.8620495546,0.8125033605,0.0251880031,0.0243581910,338.46000000,DERIVED
TRADE_D20C81DC5C9443FA8B11,temporal_test,FUND_SYNTH_000134,MANAGER_SYNTH_00034,2026-08-28,middle_market,0.8187030345,0.8620495546,0.8136116403,0.0433465201,0.0050913942,350.34000000,DERIVED
TRADE_82CBC3DC2AA3D00BC17D,temporal_test,FUND_SYNTH_000138,MANAGER_SYNTH_00035,2026-02-28,middle_market,0.8751004735,0.8620495546,0.8714473376,0.0130509189,0.0036531359,458.68000000,DERIVED
TRADE_BBE19F8E0CB5A0C5194D,temporal_test,FUND_SYNTH_000138,MANAGER_SYNTH_00035,2026-08-28,middle_market,0.8959517366,0.8620495546,0.8743803545,0.0339021820,0.0215713821,496.16000000,DERIVED
TRADE_74D45066DECCE077ABD8,temporal_test,FUND_SYNTH_000148,MANAGER_SYNTH_00037,2026-02-28,middle_market,0.8695500931,0.8620495546,0.8814430869,0.0075005385,0.0118929938,228.26000000,DERIVED
TRADE_8B25FEC74C86E2360485,temporal_test,FUND_SYNTH_000148,MANAGER_SYNTH_00037,2026-08-28,middle_market,0.9372737663,0.8620495546,0.9108123968,0.0752242117,0.0264613695,73.15000000,DERIVED
TRADE_AC9B59E1DF4F3496E221,temporal_test,FUND_SYNTH_000163,MANAGER_SYNTH_00041,2026-08-28,middle_market,0.8883998403,0.8620495546,0.8618715524,0.0263502857,0.0265282879,457.17000000,DERIVED
TRADE_8A9A5BE490901F9F79DE,temporal_test,FUND_SYNTH_000179,MANAGER_SYNTH_00045,2026-02-28,middle_market,0.9801051960,0.8620495546,0.9400790144,0.1180556414,0.0400261816,210.92000000,DERIVED
TRADE_0A62FF706C887F6608F4,temporal_test,FUND_SYNTH_000179,MANAGER_SYNTH_00045,2026-08-28,middle_market,0.9402424685,0.8620495546,0.9512849985,0.0781929139,0.0110425300,131.98000000,DERIVED
TRADE_F9AD69AC9286ACC328DA,temporal_test,FUND_SYNTH_000193,MANAGER_SYNTH_00049,2026-08-28,middle_market,0.8256507271,0.8620495546,0.8493511238,0.0363988275,0.0237003967,558.55000000,DERIVED
TRADE_D84F5E041F6F6C588DE1,temporal_test,FUND_SYNTH_000198,MANAGER_SYNTH_00050,2026-02-28,middle_market,0.9210121684,0.8620495546,0.8667029508,0.0589626138,0.0543092176,445.78000000,DERIVED
TRADE_2AF424F497F7C0BD9851,temporal_test,FUND_SYNTH_000198,MANAGER_SYNTH_00050,2026-08-28,middle_market,0.9205617038,0.8620495546,0.8840260316,0.0585121492,0.0365356722,408.81000000,DERIVED
TRADE_2EBB5745E388456B19FE,temporal_test,FUND_SYNTH_000211,MANAGER_SYNTH_00053,2026-08-28,middle_market,0.8169862802,0.8620495546,0.8128560076,0.0450632744,0.0041302726,478.90000000,DERIVED
TRADE_13D10321CA253F872077,temporal_test,FUND_SYNTH_000217,MANAGER_SYNTH_00055,2026-08-28,middle_market,0.8121299521,0.8620495546,0.8239606787,0.0499196025,0.0118307266,558.67000000,DERIVED
TRADE_DB7E7FA3D902B08E6F2A,temporal_test,FUND_SYNTH_000219,MANAGER_SYNTH_00055,2026-02-28,middle_market,0.7902652776,0.8620495546,0.8302532928,0.0717842770,0.0399880152,372.39000000,DERIVED
TRADE_9F1DE906BD0D85BDB9CA,temporal_test,FUND_SYNTH_000219,MANAGER_SYNTH_00055,2026-08-28,middle_market,0.8607179595,0.8620495546,0.8574121617,0.0013315951,0.0033057978,316.84000000,DERIVED
TRADE_333EA76D48C869DA017F,temporal_test,FUND_SYNTH_000225,MANAGER_SYNTH_00057,2026-08-28,middle_market,0.9119669234,0.8620495546,0.8927955997,0.0499173688,0.0191713237,142.37000000,DERIVED
TRADE_3C476B06F8A060E566DB,temporal_test,FUND_SYNTH_000230,MANAGER_SYNTH_00058,2026-02-28,middle_market,0.9276664148,0.8620495546,0.9156037753,0.0656168602,0.0120626395,593.39000000,DERIVED
