result_id,deal_id,position_id,population,display_name,fund_id,manager_id,scenario_id,currency,reference_date,quote_date,closing_date,reference_nav,reference_unfunded,closing_economic_nav,closing_unfunded,actual_settlement_adjustment,forecast_settlement_adjustment,settlement_adjustment,ask_nav_fraction,ask_reference_price,ask_closing_seller_payment,buyer_transaction_cost,buyer_initial_outflow_at_ask,buyer_hurdle_rate,future_cashflow_pv_at_hurdle,max_closing_seller_payment,max_reference_price,max_nav_fraction,ask_npv_at_hurdle,ask_irr,ask_irr_status,buyer_money_multiple,future_calls,future_distributions,consent_status,status,status_reason,origin_type,source_record_ids
PRICE_438D19694DBFB6B59060,DEAL_INTEGRATED_DEMO,POS_DA6311364A78F70A7FBD,integrated_demo,Demo Position 01,FUND_0013,MGR_0019,base,USD,2026-06-05,2026-08-31,2026-09-30,3481.54573800,1421.039077,3472.41556300,1302.38231400,-1.77629800,-1.42103900,-3.19733700,0.7618793228,2652.51770900,2649.32037200,8.70386400,2658.02423600,0.1500000000,2711.88358106,2703.17971706,2706.37705406,0.7773492746,53.85934506,0.1562471263,OK,1.4648276535,1302.38231400,5801.31303349,APPROVED,DEMO_PURSUABLE,ASK_MEETS_BUYER_HURDLE,DERIVED,FPRINT_39134BF37290A608363E
PRICE_11937FA39722F56929A4,DEAL_INTEGRATED_DEMO,POS_DA6311364A78F70A7FBD,integrated_demo,Demo Position 01,FUND_0013,MGR_0019,downside,USD,2026-06-05,2026-08-31,2026-09-30,3481.54573800,1421.039077,3472.41556300,1302.38231400,-1.77629800,-1.42103900,-3.19733700,0.7618793228,2652.51770900,2649.32037200,8.70386400,2658.02423600,0.1500000000,1175.11751931,1166.41365531,1169.61099231,0.3359458931,-1482.90671669,0.0037489391,OK,1.0138342107,1302.38231400,4015.19564870,APPROVED,DEMO_DECLINE,ASK_EXCEEDS_BUYER_CEILING,DERIVED,FPRINT_39134BF37290A608363E
PRICE_8397813494AAB384F362,DEAL_INTEGRATED_DEMO,POS_DA6311364A78F70A7FBD,integrated_demo,Demo Position 01,FUND_0013,MGR_0019,upside,USD,2026-06-05,2026-08-31,2026-09-30,3481.54573800,1421.039077,3472.41556300,1302.38231400,-1.77629800,-1.42103900,-3.19733700,0.7618793228,2652.51770900,2649.32037200,8.70386400,2658.02423600,0.1500000000,3442.17472893,3433.47086493,3436.66820193,0.9871098818,784.15049293,0.2405561187,OK,1.7123526005,1302.38231400,6781.61245496,APPROVED,DEMO_PURSUABLE,ASK_MEETS_BUYER_HURDLE,DERIVED,FPRINT_39134BF37290A608363E
PRICE_57C06577DFE8D993F2D6,DEAL_INTEGRATED_DEMO,POS_6B0F7E65F1989530B1AD,integrated_demo,Demo Position 02,FUND_0024,MGR_0028,base,USD,2026-06-05,2026-08-31,2026-09-30,134342.04455100,966.560592,129716.74541000,1725.49056000,-3300.55747800,-1320.70627200,-4621.26375000,0.8423927184,113168.76010800,108547.49635800,335.85511100,108883.35146900,0.1500000000,107538.18979111,107202.33468011,111823.59843011,0.8323797572,-1345.16167789,0.1451825362,OK,1.4935079466,1725.49056000,165195.18452972,APPROVED,DEMO_DECLINE,ASK_EXCEEDS_BUYER_CEILING,DERIVED,FPRINT_5608FF7B5BE02CE6EAC2
PRICE_C411371B660A83B8A9A8,DEAL_INTEGRATED_DEMO,POS_6B0F7E65F1989530B1AD,integrated_demo,Demo Position 02,FUND_0024,MGR_0028,downside,USD,2026-06-05,2026-08-31,2026-09-30,134342.04455100,966.560592,129716.74541000,1725.49056000,-3300.55747800,-1320.70627200,-4621.26375000,0.8423927184,113168.76010800,108547.49635800,335.85511100,108883.35146900,0.1500000000,58685.72468697,58349.86957597,62971.13332597,0.4687373453,-50197.62678203,-0.0118795544,OK,0.9530215707,1725.49056000,105412.61235999,APPROVED,DEMO_DECLINE,ASK_EXCEEDS_BUYER_CEILING,DERIVED,FPRINT_5608FF7B5BE02CE6EAC2
PRICE_B9C6C28C6E1F76138044,DEAL_INTEGRATED_DEMO,POS_6B0F7E65F1989530B1AD,integrated_demo,Demo Position 02,FUND_0024,MGR_0028,upside,USD,2026-06-05,2026-08-31,2026-09-30,134342.04455100,966.560592,129716.74541000,1725.49056000,-3300.55747800,-1320.70627200,-4621.26375000,0.8423927184,113168.76010800,108547.49635800,335.85511100,108883.35146900,0.1500000000,132311.57148678,131975.71637578,136596.98012578,1.0167850324,23428.22001778,0.2323280204,OK,1.7993800123,1725.49056000,199027.33952598,APPROVED,DEMO_PURSUABLE,ASK_MEETS_BUYER_HURDLE,DERIVED,FPRINT_5608FF7B5BE02CE6EAC2
PRICE_79FBFE81F818725D1EC7,DEAL_INTEGRATED_DEMO,POS_725036467434A9CFE2C8,integrated_demo,Demo Position 03,FUND_0025,MGR_0029,base,USD,2026-06-05,2026-08-31,2026-09-30,287136.02193400,45496.263152,280695.25224200,41697.32517900,-4448.62475900,-1802.19803500,-6250.82279400,0.8723650455,250487.42882500,244236.60603100,717.84005500,244954.44608600,0.1500000000,227661.10265078,226943.26259578,233194.08538978,0.8121380376,-17293.34343522,0.1241923287,OK,1.3924467870,41697.32517896,399147.33788613,PENDING,DEMO_REVIEW,TRANSFER_CONSENT_PENDING,DERIVED,FPRINT_96C454A0D631EDFC788A
PRICE_04F69D8E3FDF4DED4129,DEAL_INTEGRATED_DEMO,POS_725036467434A9CFE2C8,integrated_demo,Demo Position 03,FUND_0025,MGR_0029,downside,USD,2026-06-05,2026-08-31,2026-09-30,287136.02193400,45496.263152,280695.25224200,41697.32517900,-4448.62475900,-1802.19803500,-6250.82279400,0.8723650455,250487.42882500,244236.60603100,717.84005500,244954.44608600,0.1500000000,115027.45155647,114309.61150147,120560.43429547,0.4198722037,-129926.99452953,-0.0208303371,OK,0.9215664691,41697.32517896,264168.66071365,PENDING,DEMO_REVIEW,TRANSFER_CONSENT_PENDING,DERIVED,FPRINT_96C454A0D631EDFC788A
PRICE_3A116E79C81965861856,DEAL_INTEGRATED_DEMO,POS_725036467434A9CFE2C8,integrated_demo,Demo Position 03,FUND_0025,MGR_0029,upside,USD,2026-06-05,2026-08-31,2026-09-30,287136.02193400,45496.263152,280695.25224200,41697.32517900,-4448.62475900,-1802.19803500,-6250.82279400,0.8723650455,250487.42882500,244236.60603100,717.84005500,244954.44608600,0.1500000000,283297.10653552,282579.26648052,288830.08927452,1.0058998774,38342.66044952,0.2065161170,OK,1.6557118190,41697.32517896,474612.72561324,PENDING,DEMO_REVIEW,TRANSFER_CONSENT_PENDING,DERIVED,FPRINT_96C454A0D631EDFC788A
PRICE_6702C65E88721F54D298,DEAL_INTEGRATED_DEMO,POS_03BACFCF783B5AAEF3FA,integrated_demo,Demo Position 04,FUND_0026,MGR_0030,base,USD,2026-06-05,2026-08-31,2026-09-30,33091.61749900,98549.236472,39750.82907000,90320.37522700,5085.66375100,1984.99088200,7070.65463300,0.8807337664,29144.90491700,36215.55955000,82.72904400,36298.28859400,0.1500000000,21029.52548804,20946.79644404,13876.14181104,0.4193249789,-15268.76310596,0.0771475554,OK,1.1783787033,90320.37522701,149204.73688280,APPROVED,DEMO_DECLINE,ASK_EXCEEDS_BUYER_CEILING,DERIVED,FPRINT_D35D8007E962EEF10181
PRICE_E97FCEC728235BF7B231,DEAL_INTEGRATED_DEMO,POS_03BACFCF783B5AAEF3FA,integrated_demo,Demo Position 04,FUND_0026,MGR_0030,downside,USD,2026-06-05,2026-08-31,2026-09-30,33091.61749900,98549.236472,39750.82907000,90320.37522700,5085.66375100,1984.99088200,7070.65463300,0.8807337664,29144.90491700,36215.55955000,82.72904400,36298.28859400,0.1500000000,-10311.42747004,-10394.15651404,-17464.81114704,-0.5277714559,-46609.71606404,-0.0225438615,OK,0.9288126740,90320.37522701,117605.01972165,APPROVED,DEMO_DECLINE,NEGATIVE_BUYER_PRICE_CEILING,DERIVED,FPRINT_D35D8007E962EEF10181
