position_id,deal_id,scenario_id,quarter,step_date,opening_nav,growth_amount,capital_call,capitalized_call,fee_expense,distribution,ending_nav,ending_unfunded,currency,origin_type
POS_DA6311364A78F70A7FBD,DEAL_INTEGRATED_DEMO,base,1,2026-12-30,3472.41556300,67.27045128,162.79778925,154.65789979,8.13988946,0.00000000,3694.34391407,1139.58452475,USD,DERIVED
POS_DA6311364A78F70A7FBD,DEAL_INTEGRATED_DEMO,base,2,2027-03-30,3694.34391407,70.77585997,162.79778925,154.65789979,8.13988946,0.00000000,3919.77767383,976.78673550,USD,DERIVED
POS_DA6311364A78F70A7FBD,DEAL_INTEGRATED_DEMO,base,3,2027-06-30,3919.77767383,76.77970697,162.79778925,154.65789979,8.13988946,0.00000000,4151.21528059,813.98894625,USD,DERIVED
POS_DA6311364A78F70A7FBD,DEAL_INTEGRATED_DEMO,base,4,2027-09-30,4151.21528059,81.31305378,162.79778925,154.65789979,8.13988946,0.00000000,4387.18623416,651.19115700,USD,DERIVED
POS_DA6311364A78F70A7FBD,DEAL_INTEGRATED_DEMO,base,5,2027-12-30,4387.18623416,84.99213083,162.79778925,154.65789979,8.13988946,0.00000000,4626.83626478,488.39336775,USD,DERIVED
POS_DA6311364A78F70A7FBD,DEAL_INTEGRATED_DEMO,base,6,2028-03-30,4626.83626478,89.63482564,162.79778925,154.65789979,8.13988946,0.00000000,4871.12899022,325.59557850,USD,DERIVED
POS_DA6311364A78F70A7FBD,DEAL_INTEGRATED_DEMO,base,7,2028-06-30,4871.12899022,95.41455858,162.79778925,154.65789979,8.13988946,0.00000000,5121.20144858,162.79778925,USD,DERIVED
POS_DA6311364A78F70A7FBD,DEAL_INTEGRATED_DEMO,base,8,2028-09-30,5121.20144858,100.31292060,162.79778925,154.65789979,8.13988946,0.00000000,5376.17226897,0.00000000,USD,DERIVED
POS_DA6311364A78F70A7FBD,DEAL_INTEGRATED_DEMO,base,9,2028-12-30,5376.17226897,104.15157062,0.00000000,0.00000000,0.00000000,1370.08095990,4110.24287969,0.00000000,USD,DERIVED
POS_DA6311364A78F70A7FBD,DEAL_INTEGRATED_DEMO,base,10,2029-03-30,4110.24287969,78.74360950,0.00000000,0.00000000,0.00000000,1047.24662230,3141.73986689,0.00000000,USD,DERIVED
POS_DA6311364A78F70A7FBD,DEAL_INTEGRATED_DEMO,base,11,2029-06-30,3141.73986689,61.53968067,0.00000000,0.00000000,0.00000000,800.81988689,2402.45966067,0.00000000,USD,DERIVED
POS_DA6311364A78F70A7FBD,DEAL_INTEGRATED_DEMO,base,12,2029-09-30,2402.45966067,47.05882938,0.00000000,0.00000000,0.00000000,612.37962251,1837.13886754,0.00000000,USD,DERIVED
POS_DA6311364A78F70A7FBD,DEAL_INTEGRATED_DEMO,base,13,2029-12-30,1837.13886754,35.59054452,0.00000000,0.00000000,0.00000000,468.18235301,1404.54705904,0.00000000,USD,DERIVED
POS_DA6311364A78F70A7FBD,DEAL_INTEGRATED_DEMO,base,14,2030-03-30,1404.54705904,26.90816781,0.00000000,0.00000000,0.00000000,357.86380671,1073.59142014,0.00000000,USD,DERIVED
POS_DA6311364A78F70A7FBD,DEAL_INTEGRATED_DEMO,base,15,2030-06-30,1073.59142014,21.02926275,0.00000000,0.00000000,0.00000000,273.65517072,820.96551217,0.00000000,USD,DERIVED
POS_DA6311364A78F70A7FBD,DEAL_INTEGRATED_DEMO,base,16,2030-09-30,820.96551217,16.08088435,0.00000000,0.00000000,0.00000000,209.26159913,627.78479739,0.00000000,USD,DERIVED
POS_DA6311364A78F70A7FBD,DEAL_INTEGRATED_DEMO,base,17,2030-12-30,627.78479739,12.16195639,0.00000000,0.00000000,0.00000000,159.98668844,479.96006533,0.00000000,USD,DERIVED
