"source_page","a_page_status","b_page_status","a_layout_checked","b_layout_checked","a_expected_observation_count","b_expected_observation_count","a_source_structures","b_source_structures","a_relevant_record_families","b_relevant_record_families","difference_fields"
"1","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","","Governance Supplement 2025","","","source_structures"
"3","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Corporate governance statement","Corporate governance statement | Wates Principle One – Purpose and leadership","","","source_structures"
"4","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Corporate governance statement","Corporate governance statement | Wates Principle Two – Board Composition","","","source_structures"
"5","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Corporate governance statement","Corporate governance statement | Wates Principle Four – Opportunity and Risk | Wates Principle Three – Director Responsibilities","","","source_structures"
"6","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Corporate governance statement","Corporate governance statement | Wates Principle Five – Remuneration | Wates Principle Six – Stakeholder Relationships and Engagement","","","source_structures"
"7","NO_ELIGIBLE_DATA","ELIGIBLE_DATA_EXTRACTED","YES","YES","0","3","Corporate governance statement","Corporate governance statement | DOCUMENT","","document_context | stewardship_observation","page_status|expected_observation_count|source_structures|relevant_record_families"
"8","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Group Audit and Risk Committee report","Group Audit and Risk Committee report | Key activities in 2024/25","","","source_structures"
"9","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Group Audit and Risk Committee report","Group Audit and Risk Committee report | Other activities in 2024/25","","","source_structures"
"10","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Governance and Nominations Committee report","Governance and Nominations Committee report | Key activities in 2024/25","","","source_structures"
"12","NO_ELIGIBLE_DATA","ELIGIBLE_DATA_EXTRACTED","YES","YES","0","2","Investment Committee report","Key activities in 2024/25","","stewardship_policy","page_status|expected_observation_count|source_structures|relevant_record_families"
"13","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Investment Committee report","Key activities in 2024/25","","","source_structures"
"14","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Pensions Committee report","DC Investment Builder | Employer participation | Key activities in 2024/25 | Member Experience | Pensions Committee report","","","source_structures"
"15","ELIGIBLE_DATA_EXTRACTED","NO_ELIGIBLE_DATA","YES","YES","7","0","Remuneration Committee report","Remuneration Committee report","document_context | stewardship_policy","","page_status|expected_observation_count|relevant_record_families"
"18","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Joint Negotiating Committee report","Joint Negotiating Committee report","","","DETERMINISTIC_SAMPLE"
