record_group,field_name,source_labels_seen,definition,first_seen_file_id,files_processed,files_checked_for_field,files_with_field,presence_pct,total_observations,avg_observations_when_present,extractability,alt_investment_use,provisional_class,merged_into,example_file_id,example_page,notes
document_context,reporting_entity,CalPERS; CalSTRS; LACERA; FCERA; PSERS; INREV,Entity publishing the fee/cost disclosure.,SRC187,8,8,8,100.0,217,27.12,HIGH,Institutional attribution.,CORE,,SRC187,1,
document_context,report_period,fiscal year; year ended; period ended; as of,Period covered by the fee report.,SRC187,8,8,8,100.0,244,30.5,HIGH,Aligns costs and denominator values.,CORE,,SRC187,1,
document_context,as_of_date,as of; year ended; fiscal year ending,Point-in-time or period-end date attached to reported amounts.,SRC187,8,8,8,100.0,143,17.88,HIGH,Temporal key.,CORE,,SRC187,1,
document_context,currency_or_scale,USD; EUR; $; €; dollar amounts in thousands; $ in millions,Printed currency and/or scale.,SRC164,8,8,7,87.5,2116,302.29,HIGH,Preserves raw amount meaning.,CORE,,SRC164,1,
fee_line_item,investment_name,Fund Name; AIV name; investment name,Printed fund/AIV/investment row label.,SRC187,8,8,6,75.0,63,10.5,HIGH,Deterministic investment key.,CORE,,SRC187,1,
fee_line_item,manager_name,manager; General Partner; GP,Printed investment manager/GP.,SRC187,8,8,8,100.0,538,67.25,HIGH,Manager-level fee aggregation.,CORE,,SRC187,1,
fee_line_item,asset_class,asset class; Private Equity; Private Credit; Real Estate; Global Equity; Fixed Income,Printed asset-class/category context.,SRC187,8,8,8,100.0,273,34.12,HIGH,Cross-asset fee comparison.,CORE,,SRC187,1,
fee_line_item,vintage_year,vintage year; vintage,Printed fund vintage.,SRC164,8,8,5,62.5,78,15.6,HIGH,Cohort context for private-fund disclosures.,CORE,,SRC164,1,
fee_line_item,fee_type,management fee; fund expense; partnership expense; carried interest; incentive allocation; other fees,Printed fee/cost type.,SRC187,8,8,8,100.0,883,110.38,HIGH,Repeating fee-item discriminator.,CORE,,SRC187,1,
fee_line_item,fee_amount,fee amount; management fees; carried interest; expenses,Printed monetary amount for one fee item.,SRC469,8,8,6,75.0,1917,319.5,HIGH,Primary fee value.,CORE,,SRC469,1,
fee_line_item,fee_rate,fee rate; management fee %; performance fee %; basis points,Printed percentage/bps rate.,SRC195,8,8,4,50.0,46,11.5,MEDIUM,Normalizes economic terms without calculating.,CORE,,SRC195,2,
fee_line_item,fee_basis,committed capital; invested capital; NAV; GAV; average assets,Printed denominator/basis on which the fee or expense ratio is charged.,SRC195,8,8,4,50.0,174,43.5,MEDIUM,Essential to compare fee rates.,CORE,,SRC195,2,
fund_economics,commitment,commitment; capital committed,Printed LP/institutional commitment.,SRC187,8,8,5,62.5,223,44.6,HIGH,Denominator/context for alternative-investment fee rows.,CORE,,SRC187,1,
fund_economics,contributions,contributions; cash contributions; paid-in,Printed contributions/paid-in amount.,SRC187,8,8,5,62.5,154,30.8,HIGH,Cash-flow context.,CORE,,SRC187,2,
