sample_order,stratum_start_rank,stratum_end_rank,initial_representative_file_id,file_id,filename,page_count,issuer,pdf_exists,txt_exists,selection_basis,substitution_reason,population_source_ledger,document_types_md_count
1,1,7,SRC034,SRC034,Financials_Versa_Capital_Fund_II_LP_PSERS_FOIA.pdf,14,"Versa Capital Management, LLC",YES,YES,median-by-rank within deterministic page_count/file_id stratum,,221,191
2,8,14,SRC379,SRC379,Financials_Duke_Endowment_Annual_Report_2023.pdf,24,The Duke Endowment,YES,YES,median-by-rank within deterministic page_count/file_id stratum,,221,191
3,15,22,SRC287,SRC287,Financials_ICG_Enterprise_Trust_Annual_Report_FY2025_Jan_Statements.pdf,28,ICG Enterprise Trust plc,YES,YES,median-by-rank within deterministic page_count/file_id stratum,,221,191
4,23,29,SRC087,SRC087,Financials_CohnReznick_Private_Equity_Illustrative_2025.pdf,31,CohnReznick LLP,YES,YES,median-by-rank within deterministic page_count/file_id stratum,,221,191
5,30,36,SRC479,SRC479,Financials_Partners_Group_Global_MultiAsset_Fund_Annual_Report.pdf,35,Equity Trustees / Partners Group Global Multi-Asset Fund (ARSN 603 696 171),YES,YES,median-by-rank within deterministic page_count/file_id stratum,,221,191
6,37,44,SRC393,SRC393,Financials_Georgia_Tech_Foundation_FY2025_Consolidated.pdf,40,"Georgia Tech Foundation, Inc.",YES,YES,median-by-rank within deterministic page_count/file_id stratum,,221,191
7,45,51,SRC039,SRC039,Financials_Connecticut_Innovations_FY2021.pdf,44,"Connecticut Innovations, Incorporated (a component unit of the State of Connecticut)",YES,YES,median-by-rank within deterministic page_count/file_id stratum,,221,191
8,52,58,SRC451,SRC451,Financials_RicheyMay_Digital_Asset_Fund_Template_2025.pdf,49,Richey May & Co.,YES,YES,median-by-rank within deterministic page_count/file_id stratum,,221,191
9,59,66,SRC482,SRC482,Financials_Copenhagen_Infrastructure_Partners_Annual2023.pdf,52,Copenhagen Infrastructure Partners P/S,YES,YES,median-by-rank within deterministic page_count/file_id stratum,,221,191
10,67,73,SRC308,SRC308,Financials_Brederode_Annual_Report_FY2024.pdf,60,Brederode SA,YES,YES,median-by-rank within deterministic page_count/file_id stratum,,221,191
11,74,81,SRC605,SRC605,Performance_abrdn_Private_Equity_Opportunities_Trust_Annual_Report_FY2023_Sep30.pdf,65,abrdn Private Equity Opportunities Trust plc (renamed Patria Private Equity Trust),YES,YES,median-by-rank within deterministic page_count/file_id stratum,,221,191
12,82,88,SRC313,SRC313,Financials_Seraphim_Space_Investment_Trust_Annual_Report_FY2023_Jun.pdf,85,Seraphim Space Investment Trust plc,YES,YES,median-by-rank within deterministic page_count/file_id stratum,,221,191
13,89,95,SRC435,SRC435,Financials_PwC_Cayman_IFRS_Investment_Funds_Illustrative_2024.pdf,88,PricewaterhouseCoopers (Cayman Islands),YES,YES,median-by-rank within deterministic page_count/file_id stratum,,221,191
14,96,103,SRC440,SRC440,Financials_PwC_Investment_Property_IFRS_Illustrative_Consolidated_2024.pdf,99,PricewaterhouseCoopers Global,YES,YES,median-by-rank within deterministic page_count/file_id stratum,,221,191
15,104,110,SRC426,SRC426,Financials_KPMG_Hedge_Funds_Illustrative_Jan2023_FY2022.pdf,113,KPMG LLP (US),YES,YES,median-by-rank within deterministic page_count/file_id stratum,,221,191
16,111,117,SRC207,SRC207,Financials_Michigan_MSERS_ACFR_FY2025.pdf,118,Michigan Office of the Auditor General / Michigan State Employees' Retirement System (SMRS),YES,YES,median-by-rank within deterministic page_count/file_id stratum,,221,191
17,118,125,SRC409,SRC409,Schedule_Inv_AMG_Pantheon_Fund_Annual_FY2023Mar.pdf,124,"AMG Pantheon Fund, LLC",YES,YES,median-by-rank within deterministic page_count/file_id stratum,,221,191
18,126,132,SRC280,SRC280,Financials_InPoint_Commercial_RE_Income_Annual_Report_FY2024.pdf,130,"InPoint Commercial Real Estate Income, Inc.",YES,YES,median-by-rank within deterministic page_count/file_id stratum,,221,191
19,133,139,SRC106,SRC106,Financials_Tetragon_Financial_Group_Annual2022.pdf,136,Tetragon Financial Group Limited,YES,YES,median-by-rank within deterministic page_count/file_id stratum,,221,191
20,140,147,SRC271,SRC271,Financials_RREEF_Property_Trust_Annual_Report_FY2025.pdf,140,"RREEF Property Trust, Inc.",YES,YES,median-by-rank within deterministic page_count/file_id stratum,,221,191
21,148,154,SRC228,SRC228,Financials_Sculptor_Diversified_Real_Estate_Income_Trust_ARS_FY2025.pdf,144,"Sculptor Diversified Real Estate Income Trust, Inc.",YES,YES,median-by-rank within deterministic page_count/file_id stratum,,221,191
22,155,162,SRC232,SRC232,Financials_Franklin_BSP_Realty_Trust_ARS_FY2025.pdf,149,"Franklin BSP Realty Trust, Inc.",YES,YES,median-by-rank within deterministic page_count/file_id stratum,,221,191
23,163,169,SRC231,SRC231,Financials_Starwood_Real_Estate_Income_Trust_ARS_FY2025.pdf,157,"Starwood Real Estate Income Trust, Inc. (SREIT)",YES,YES,median-by-rank within deterministic page_count/file_id stratum,,221,191
24,170,176,SRC400,SRC400,Financials_Cohen_Steers_Income_Opportunities_REIT_ARS_FY2025.pdf,160,"Cohen & Steers Income Opportunities REIT, Inc.",YES,YES,median-by-rank within deterministic page_count/file_id stratum,,221,191
25,177,184,SRC047,SRC047,Schedule_Inv_BlackRock_TCP_Capital_Corp_ARS_FY2025.pdf,172,BlackRock TCP Capital Corp. (TCPC),YES,YES,median-by-rank within deterministic page_count/file_id stratum,,221,191
26,185,191,SRC227,SRC227,Schedule_Inv_CNL_Strategic_Capital_LLC_ARS_FY2025.pdf,179,"CNL Strategic Capital, LLC",YES,YES,median-by-rank within deterministic page_count/file_id stratum,,221,191
27,192,198,SRC244,SRC244,Schedule_Inv_Monroe_Capital_Income_Plus_Corp_ARS_FY2023.pdf,188,Monroe Capital Income Plus Corporation,YES,YES,median-by-rank within deterministic page_count/file_id stratum,,221,191
28,199,206,SRC270,SRC270,Financials_INREIT_Invesco_Real_Estate_Income_Trust_Annual_Report_FY2025.pdf,200,Invesco Real Estate Income Trust Inc.,YES,YES,median-by-rank within deterministic page_count/file_id stratum,,221,191
29,207,213,SRC290,SRC290,Financials_3i_Group_Annual_Report_FY2025_Mar.pdf,220,3i Group plc,YES,YES,median-by-rank within deterministic page_count/file_id stratum,,221,191
30,214,221,SRC397,SRC397,Schedule_Inv_Ares_Strategic_Income_Fund_ARS_FY2025.pdf,264,Ares Strategic Income Fund,YES,YES,median-by-rank within deterministic page_count/file_id stratum,,221,191
