"source_page","a_page_status","b_page_status","a_layout_checked","b_layout_checked","a_expected_observation_count","b_expected_observation_count","a_source_structures","b_source_structures","a_relevant_record_families","b_relevant_record_families","difference_fields"
"1","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","","Combined Financial Statements","","document_context","source_structures|relevant_record_families"
"2","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","","Table of Contents","","document_context","source_structures|relevant_record_families"
"3","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","9","8","Combined Financial Statements | Combined Statement of Assets, Liabilities, and Partners' Capital","Combined Statement of Assets, Liabilities, and Partners' Capital","document_context | financial_statement_observation","document_context | financial_statement_observation","expected_observation_count|source_structures"
"4","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","21","14","Combined Schedule of Investments","Combined Schedule of Investments","position_observation","financial_statement_observation","expected_observation_count|relevant_record_families"
"5","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","7","8","Combined Statement of Operations","Combined Statement of Operations","financial_statement_observation","financial_statement_observation","expected_observation_count"
"6","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","18","21","Combined Statement of Changes in Partners' Capital","Combined Statement of Changes in Partners' Capital","financial_statement_observation","financial_statement_observation","expected_observation_count"
"7","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","2","12","Combined Statement of Cash Flows","Combined Statement of Cash Flows","financial_statement_observation","financial_statement_observation","expected_observation_count"
"8","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","","Supplemental Information","","document_context","source_structures|relevant_record_families"
"9","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","14","23","Combining Statement of Assets, Liabilities, and Partners' Capital","Combining Statement of Assets, Liabilities, and Partners' Capital","financial_statement_observation","financial_statement_observation","expected_observation_count"
"10","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","14","24","Combining Statement of Operations","Combining Statement of Operations","financial_statement_observation","financial_statement_observation","expected_observation_count"
"11","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","45","56","Contribution Summary | Contributions | Distribution Summary | Distributions","Committed Capital | Contribution Summary | Contributions | Distribution Summary | Distributions","fund_economics_observation","fund_economics_observation","expected_observation_count|source_structures"
"12","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","73","74","Contributions | Distributions","Committed Capital | Contributions | Distributions","fund_economics_observation","fund_economics_observation","expected_observation_count|source_structures"
"13","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","26","27","Distributions","Committed Capital | Distributions","fund_economics_observation","fund_economics_observation","expected_observation_count|source_structures"
"14","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","","","","","DETERMINISTIC_SAMPLE"
