check_id,scope,record_id,fund_id,rule,status,actual_value,expected_value,difference,notes
REC_FA5B0B84D5EB44D98EA0,GLOBAL,FUND_MASTER,,IDENTITY_SPINE_COMPLETE,PASS,945,945,,
REC_F26B31626B75F73F9A86,GLOBAL,TARGET_PERIODS,,ONE_TARGET_PERIOD_PER_ELIGIBLE_FUND,PASS,941,941,,
REC_CF68C8ADD889EF50E970,GLOBAL,REAL_IDENTITIES,,NO_STANDALONE_SYNTHETIC_IDS,PASS,0,0,,
REC_8BCEA0AF9C75CDEFC467,GLOBAL,FUND_PERIODS,,EXTRACTED_PERIOD_ROWS_PRESERVED,PASS,451,451,,
REC_896A78234399B327463D,GLOBAL,FUND_CASHFLOWS,,EXTRACTED_CASHFLOW_ROWS_PRESERVED,PASS,29,29,,
REC_5F17D4AB3068EB9BDA3F,GLOBAL,FUND_HOLDINGS,,EXTRACTED_HOLDING_ROWS_PRESERVED,PASS,32,32,,
REC_03E070358BFBE1FFE752,GLOBAL,FUND_TERMS,,ONE_COMPLETED_TERM_PER_ELIGIBLE_FUND,PASS,941,941,,
REC_E434C674789561E961CF,GLOBAL,FUND_HOLDINGS,,THREE_COMPLETED_HOLDINGS_PER_ELIGIBLE_FUND,PASS,2823,2823,,
REC_46DF8D1BDBBA791601C0,GLOBAL,CELL_LINEAGE,,AUGMENTATION_LINEAGE_PRESENT,PASS,85103,>0,,
REC_5777B3B120E5932CEFDD,FUND_PERIOD,FPRINT_9F6EE72E0AE003F5DA5E,FUND_0001,FINANCIAL_IDENTITIES,PASS,0.0000000261,<=0.005,0.0000000261,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_C6B31108530ACD7DF77E,FUND_PERIOD,FPRINT_DEE97DD8B438932F1E05,FUND_0002,FINANCIAL_IDENTITIES,PASS,0.0000000093,<=0.005,0.0000000093,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_18B89D612ADC347E9603,FUND_PERIOD,FPRINT_12ED7303F66F0C5A05EE,FUND_0003,FINANCIAL_IDENTITIES,PASS,0.0000000009,<=0.005,0.0000000009,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_E08427352B841A85C76D,FUND_PERIOD,FPRINT_CF2B4688F5681A644B25,FUND_0004,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_2F759C500AFC296D93D0,FUND_PERIOD,FPRINT_90F094E455A743758BD9,FUND_0005,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_BE9C17FF6198C10C4B1F,FUND_PERIOD,FPRINT_2F4E447332E7FA73F43D,FUND_0006,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_453A63234CAE211478CD,FUND_PERIOD,FPRINT_E88ED3B59384377C2B08,FUND_0007,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_01B248C005868508FECA,FUND_PERIOD,FPRINT_5F4680E6BF42F3C680D0,FUND_0008,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_4A771CBE40AE40AB2FAD,FUND_PERIOD,FPRINT_3B479EEC5FE668ED543D,FUND_0009,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_9008D4932E6E779D3C0D,FUND_PERIOD,FPRINT_F7B5BB77DCA548C85CB6,FUND_0010,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_4734825FB6C9AD1CE421,FUND_PERIOD,FPRINT_273D6DF554EC5548952F,FUND_0011,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_3D0D4924902C221F4EEB,FUND_PERIOD,FPRINT_49E478A6918AE1906654,FUND_0012,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_BA8C4C3F4CFFB254E93A,FUND_PERIOD,FPRINT_39134BF37290A608363E,FUND_0013,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_E7E15F3FB5CE2D57C513,FUND_PERIOD,FPRINT_021AEB476CDBCF805230,FUND_0014,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_F143917FB075F873921A,FUND_PERIOD,FPRINT_2DCF113B32777ED5FB8A,FUND_0015,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_00F75A0A59F4EDC82BF9,FUND_PERIOD,FPRINT_5F6EB9379A2ECA3CA0FC,FUND_0016,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_EA40797B7C102E3942D4,FUND_PERIOD,FPRINT_78A5F78705885866E5FA,FUND_0017,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_77465F71A0FC9DCC7382,FUND_PERIOD,FPRINT_643DB053022125C771E9,FUND_0018,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_6FFDA077C6005794481D,FUND_PERIOD,FPRINT_1775DA5B7C888CBAE7FD,FUND_0019,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_4184D050491A80BFFB8C,FUND_PERIOD,FPRINT_F0D65ECC9BF2646C37B7,FUND_0020,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_4F104F4FD25CD54BF175,FUND_PERIOD,FPRINT_72760FF0DBF6EC62BE03,FUND_0021,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_10E8C2CE019E5131267F,FUND_PERIOD,FPRINT_1BDD6449C9E0F19197C8,FUND_0022,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_7DCBB227AB7B34505CEE,FUND_PERIOD,FPRINT_7EF5E187D2706CEAD23F,FUND_0023,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_6D6BBC29221043657935,FUND_PERIOD,FPRINT_5608FF7B5BE02CE6EAC2,FUND_0024,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_287ACFB45360D8FD0872,FUND_PERIOD,FPRINT_96C454A0D631EDFC788A,FUND_0025,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_C25A1D2B648E6BC0BED3,FUND_PERIOD,FPRINT_D35D8007E962EEF10181,FUND_0026,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_390E54800180602DEF19,FUND_PERIOD,FPRINT_31B09FE1CB01101D4697,FUND_0027,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_3F4D17B989E6C1AED9C6,FUND_PERIOD,FPRINT_B63AA181093C6B7BE626,FUND_0028,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_112F3AB519B66C9B6778,FUND_PERIOD,FPRINT_60B81D2C65533C807CB3,FUND_0029,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_585C3B7BC5B9B42A10B3,FUND_PERIOD,FPRINT_411A219BFD0920B8D822,FUND_0030,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_60C2D883E366F5F4A1CD,FUND_PERIOD,FPRINT_E76F35918F9588F25249,FUND_0031,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_39FBC816AF59E570BFA0,FUND_PERIOD,FPRINT_0CBF0BF649B562DE074C,FUND_0032,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_DCFCEA0B0B120A761D00,FUND_PERIOD,FPRINT_887DEEE308F6188168F5,FUND_0033,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_572A79E20CA12C3C370A,FUND_PERIOD,FPRINT_5A0E3D168F5053139EAB,FUND_0034,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_CE093A6DDCD384F5BD8B,FUND_PERIOD,FPRINT_D68D10663C2C183AC271,FUND_0035,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_7F15926186C6BA5DA233,FUND_PERIOD,FPRINT_CA5184C829B2483F515A,FUND_0036,FINANCIAL_IDENTITIES,PASS,0.0000000001,<=0.005,0.0000000001,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_DECE643D925755D361B1,FUND_PERIOD,FPRINT_DFB2A0DC64397D52714D,FUND_0037,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_DFFFF9AA4B54393FB03D,FUND_PERIOD,FPRINT_5D4D7EB94B9AC551DC70,FUND_0038,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_5830695D4C3A6A4AA5EE,FUND_PERIOD,FPRINT_7CABBA5764F0005E32B5,FUND_0039,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_178DED599E8F13A4672F,FUND_PERIOD,FPRINT_9329815AE5F23FA70541,FUND_0040,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_0AB8FEEADE2046CC037E,FUND_PERIOD,FPRINT_720CB73A999330B94724,FUND_0041,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_DD76DCEF6CFF8439BA87,FUND_PERIOD,FPRINT_16A75F365757C63162A7,FUND_0042,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_C370AFDF368339404A58,FUND_PERIOD,FPRINT_BAE567A7C676BAC68367,FUND_0043,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
