defect_id,parameter_set_id,record_table,record_id,fund_id,defect_type,field_name,clean_value,injected_value,expected_rule_id,seed,notes
DEF_F85433CE54089A0C7708,INTEGRATED_COMPLETION_V1,fund_periods,FPRINT_9F6EE72E0AE003F5DA5E,FUND_0001,WRONG_TVPI,tvpi,1.1536710429,101.1536710429,R02_TVPI_COMPONENTS,20260825,The damaged row is isolated in data/integrated/defect-periods.csv; fund-model data stays clean.
DEF_6C0EB7C87FA87A5B9EC2,INTEGRATED_COMPLETION_V1,fund_periods,FPRINT_DEE97DD8B438932F1E05,FUND_0002,NEGATIVE_NAV,nav,61408542.497991,-61408543.497991,R01_NONNEGATIVE_BALANCES,20260825,The damaged row is isolated in data/integrated/defect-periods.csv; fund-model data stays clean.
DEF_2A4E1E3FBE726B71CF5F,INTEGRATED_COMPLETION_V1,fund_periods,FPRINT_12ED7303F66F0C5A05EE,FUND_0003,FUTURE_VINTAGE,vintage_year,2009,2027,R09_VINTAGE_DATE,20260825,The damaged row is isolated in data/integrated/defect-periods.csv; fund-model data stays clean.
DEF_C8C82D7F829CE20CED1B,INTEGRATED_COMPLETION_V1,fund_periods,FPRINT_CF2B4688F5681A644B25,FUND_0004,COMMITMENT_BREAK,commitment,3000000.000000,3750000.000000,R06_COMMITMENT_RECONCILIATION,20260825,The damaged row is isolated in data/integrated/defect-periods.csv; fund-model data stays clean.
DEF_2BCA46AE58C481D2892D,INTEGRATED_COMPLETION_V1,fund_periods,FPRINT_90F094E455A743758BD9,FUND_0005,NAV_ROLLFORWARD_BREAK,ending_nav,765912.000000,957390.000000,R07_NAV_ROLLFORWARD,20260825,The damaged row is isolated in data/integrated/defect-periods.csv; fund-model data stays clean.
DEF_440B6861934A5E989520,INTEGRATED_COMPLETION_V1,fund_periods,FPRINT_2F4E447332E7FA73F43D,FUND_0006,WRONG_DPI,dpi,0.6245340000,100.6245340000,R03_DPI_RECOMPUTE,20260825,The damaged row is isolated in data/integrated/defect-periods.csv; fund-model data stays clean.
DEF_E194AD1300FB705FCCD9,INTEGRATED_COMPLETION_V1,fund_periods,FPRINT_E88ED3B59384377C2B08,FUND_0007,WRONG_TVPI,tvpi,1.4043050000,101.4043050000,R02_TVPI_COMPONENTS,20260825,The damaged row is isolated in data/integrated/defect-periods.csv; fund-model data stays clean.
DEF_C95285E0219A4FE7DB84,INTEGRATED_COMPLETION_V1,fund_periods,FPRINT_5F4680E6BF42F3C680D0,FUND_0008,NEGATIVE_NAV,nav,2000000.000000,-2000001.000000,R01_NONNEGATIVE_BALANCES,20260825,The damaged row is isolated in data/integrated/defect-periods.csv; fund-model data stays clean.
DEF_726612BEAECFF70DFFF7,INTEGRATED_COMPLETION_V1,fund_periods,FPRINT_3B479EEC5FE668ED543D,FUND_0009,FUTURE_VINTAGE,vintage_year,2021,2027,R09_VINTAGE_DATE,20260825,The damaged row is isolated in data/integrated/defect-periods.csv; fund-model data stays clean.
DEF_FE738A3D7B495109AA13,INTEGRATED_COMPLETION_V1,fund_periods,FPRINT_F7B5BB77DCA548C85CB6,FUND_0010,COMMITMENT_BREAK,commitment,5000000.000000,6250000.000000,R06_COMMITMENT_RECONCILIATION,20260825,The damaged row is isolated in data/integrated/defect-periods.csv; fund-model data stays clean.
DEF_430252078761EE853306,INTEGRATED_COMPLETION_V1,fund_periods,FPRINT_273D6DF554EC5548952F,FUND_0011,NAV_ROLLFORWARD_BREAK,ending_nav,3357542.000000,4196927.500000,R07_NAV_ROLLFORWARD,20260825,The damaged row is isolated in data/integrated/defect-periods.csv; fund-model data stays clean.
DEF_51B01F4565FFFFB86210,INTEGRATED_COMPLETION_V1,fund_periods,FPRINT_49E478A6918AE1906654,FUND_0012,WRONG_DPI,dpi,0.0100000000,100.0100000000,R03_DPI_RECOMPUTE,20260825,The damaged row is isolated in data/integrated/defect-periods.csv; fund-model data stays clean.
