instrument_id,target_id,instrument_kind,security_title_raw,security_type_raw,currency,seniority,secured_status,stated_rate,rate_type,rate_basis_raw,spread_bps,maturity_date_raw,maturity_date,identifier_type,identifier_value,instrument_status,classification_confidence,classification_confidence_basis,classification_confidence_reason,provenance_type,synthetic_parameter_set_id,record_status
INSTR_GENERATED_0052EC0229B04D13AD7A,TARGET_GENERATED_C5949650283559BEA786,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_006EB61582D2FBAF04AA,TARGET_GENERATED_7D33817C42DF3831F517,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_0076C4E35D47BF7A094B,TARGET_GENERATED_86977771CCE347D50DB8,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_0079D7203C7FFBBD63C8,TARGET_GENERATED_4DA7A9F1EE248FDBDCBF,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_0090326304AE1D91EC31,TARGET_GENERATED_9B726FE162D85AF828D6,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_00BEB266E656BFD3714A,TARGET_GENERATED_6CE4F9B32DA4A6F34AAC,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_00C8A200BBA422D8910A,TARGET_GENERATED_E7BDECEFC55A3222BFA5,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_00CF70CEC4B266E84F08,TARGET_GENERATED_AE971C9A7824491FD2F3,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_00DCF1CBC4AF9E0C46A8,TARGET_GENERATED_AD95E74980C4D191B1A4,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_00F94C3F31A98A277F87,TARGET_GENERATED_A265851D45EA0674A03C,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
