quality_result_id,run_id,record_table,record_id,fund_id,rule_id,severity,status,actual_value,expected_value,difference,tolerance,source_document_id,synthetic_parameter_set_id,checked_at,notes
QR_INTEGRATED_QC_V1_FP_631018aee601270b_R01_NONNEGATIVE_BALANCES,INTEGRATED_QC_V1,fund_periods,FP_631018aee601270b,FUND_0004,R01_NONNEGATIVE_BALANCES,error,PASS,0,0,0,0,SRC035,,1970-01-01T00:00:00Z,"minimum of paid-in capital, distributions, and NAV"
QR_INTEGRATED_QC_V1_FP_631018aee601270b_R02_TVPI_COMPONENTS,INTEGRATED_QC_V1,fund_periods,FP_631018aee601270b,FUND_0004,R02_TVPI_COMPONENTS,error,SKIP,,,,,SRC035,,1970-01-01T00:00:00Z,required reported or recomputed value is missing
QR_INTEGRATED_QC_V1_FP_631018aee601270b_R03_DPI_RECOMPUTE,INTEGRATED_QC_V1,fund_periods,FP_631018aee601270b,FUND_0004,R03_DPI_RECOMPUTE,error,SKIP,,,,,SRC035,,1970-01-01T00:00:00Z,required reported or recomputed value is missing
QR_INTEGRATED_QC_V1_FP_631018aee601270b_R04_RVPI_RECOMPUTE,INTEGRATED_QC_V1,fund_periods,FP_631018aee601270b,FUND_0004,R04_RVPI_RECOMPUTE,error,SKIP,,,,,SRC035,,1970-01-01T00:00:00Z,required reported or recomputed value is missing
QR_INTEGRATED_QC_V1_FP_631018aee601270b_R05_TVPI_RECOMPUTE,INTEGRATED_QC_V1,fund_periods,FP_631018aee601270b,FUND_0004,R05_TVPI_RECOMPUTE,error,PASS,1.95,1.94952517898,0.00047482102,0.0100007718309,SRC035,,1970-01-01T00:00:00Z,tvpi compared with distributions plus nav divided by paid-in capital; tolerance widened by 0.00500077183092 for the printed precision of the inputs
QR_INTEGRATED_QC_V1_FP_631018aee601270b_R06_COMMITMENT_RECONCILIATION,INTEGRATED_QC_V1,fund_periods,FP_631018aee601270b,FUND_0004,R06_COMMITMENT_RECONCILIATION,warning,SKIP,,,,,SRC035,,1970-01-01T00:00:00Z,"commitment, paid-in capital, unfunded commitment, or recallable treatment is missing"
QR_INTEGRATED_QC_V1_FP_631018aee601270b_R07_NAV_ROLLFORWARD,INTEGRATED_QC_V1,fund_periods,FP_631018aee601270b,FUND_0004,R07_NAV_ROLLFORWARD,error,SKIP,,,,,SRC035,,1970-01-01T00:00:00Z,one or more NAV roll-forward components are missing
QR_INTEGRATED_QC_V1_FP_631018aee601270b_R08_XIRR_RECOMPUTE,INTEGRATED_QC_V1,fund_periods,FP_631018aee601270b,FUND_0004,R08_XIRR_RECOMPUTE,error,SKIP,,,,,SRC035,,1970-01-01T00:00:00Z,cash flows plus ending NAV omit a negative value or a positive value
QR_INTEGRATED_QC_V1_FP_631018aee601270b_R09_VINTAGE_DATE,INTEGRATED_QC_V1,fund_periods,FP_631018aee601270b,FUND_0004,R09_VINTAGE_DATE,error,PASS,2007,2021,-14,0,SRC035,,1970-01-01T00:00:00Z,vintage year must fall on or before the as-of year
QR_INTEGRATED_QC_V1_FP_631018aee601270b_R10_FUND_SIZE_BOUND,INTEGRATED_QC_V1,fund_periods,FP_631018aee601270b,FUND_0004,R10_FUND_SIZE_BOUND,warning,SKIP,,,,,SRC035,,1970-01-01T00:00:00Z,fund size or LP commitment is missing
QR_INTEGRATED_QC_V1_FP_631018aee601270b_R11_PROVENANCE_REQUIREMENTS,INTEGRATED_QC_V1,fund_periods,FP_631018aee601270b,FUND_0004,R11_PROVENANCE_REQUIREMENTS,error,PASS,complete,complete,,,SRC035,,1970-01-01T00:00:00Z,EXTRACTED provenance evidence requirements
QR_INTEGRATED_QC_V1_FP_631018aee601270b_R12_SYNTHETIC_IDENTITY_SEPARATION,INTEGRATED_QC_V1,fund_periods,FP_631018aee601270b,FUND_0004,R12_SYNTHETIC_IDENTITY_SEPARATION,error,SKIP,,,,,SRC035,,1970-01-01T00:00:00Z,rule applies only to SYNTHETIC rows
QR_INTEGRATED_QC_V1_FP_631018aee601270b_R13_DUPLICATE_CASHFLOW,INTEGRATED_QC_V1,fund_periods,FP_631018aee601270b,FUND_0004,R13_DUPLICATE_CASHFLOW,warning,SKIP,,,,,SRC035,,1970-01-01T00:00:00Z,the fund has zero cash-flow rows
QR_INTEGRATED_QC_V1_FP_631018aee601270b_R14_CURRENCY_CONSISTENCY,INTEGRATED_QC_V1,fund_periods,FP_631018aee601270b,FUND_0004,R14_CURRENCY_CONSISTENCY,error,SKIP,,,,,SRC035,,1970-01-01T00:00:00Z,the fund has zero cash-flow rows
QR_INTEGRATED_QC_V1_FP_631018aee601270b_R15_CASHFLOW_SIGN_CONVENTION,INTEGRATED_QC_V1,fund_periods,FP_631018aee601270b,FUND_0004,R15_CASHFLOW_SIGN_CONVENTION,error,SKIP,,,,,SRC035,,1970-01-01T00:00:00Z,the cash-flow rows carry zero recognized types
QR_INTEGRATED_QC_V1_FP_d18ec355f3700ac7_R01_NONNEGATIVE_BALANCES,INTEGRATED_QC_V1,fund_periods,FP_d18ec355f3700ac7,FUND_0005,R01_NONNEGATIVE_BALANCES,error,PASS,0,0,0,0,SRC035,,1970-01-01T00:00:00Z,"minimum of paid-in capital, distributions, and NAV"
QR_INTEGRATED_QC_V1_FP_d18ec355f3700ac7_R02_TVPI_COMPONENTS,INTEGRATED_QC_V1,fund_periods,FP_d18ec355f3700ac7,FUND_0005,R02_TVPI_COMPONENTS,error,SKIP,,,,,SRC035,,1970-01-01T00:00:00Z,required reported or recomputed value is missing
QR_INTEGRATED_QC_V1_FP_d18ec355f3700ac7_R03_DPI_RECOMPUTE,INTEGRATED_QC_V1,fund_periods,FP_d18ec355f3700ac7,FUND_0005,R03_DPI_RECOMPUTE,error,SKIP,,,,,SRC035,,1970-01-01T00:00:00Z,required reported or recomputed value is missing
QR_INTEGRATED_QC_V1_FP_d18ec355f3700ac7_R04_RVPI_RECOMPUTE,INTEGRATED_QC_V1,fund_periods,FP_d18ec355f3700ac7,FUND_0005,R04_RVPI_RECOMPUTE,error,SKIP,,,,,SRC035,,1970-01-01T00:00:00Z,required reported or recomputed value is missing
QR_INTEGRATED_QC_V1_FP_d18ec355f3700ac7_R05_TVPI_RECOMPUTE,INTEGRATED_QC_V1,fund_periods,FP_d18ec355f3700ac7,FUND_0005,R05_TVPI_RECOMPUTE,error,SKIP,,,,,SRC035,,1970-01-01T00:00:00Z,required reported or recomputed value is missing
QR_INTEGRATED_QC_V1_FP_d18ec355f3700ac7_R06_COMMITMENT_RECONCILIATION,INTEGRATED_QC_V1,fund_periods,FP_d18ec355f3700ac7,FUND_0005,R06_COMMITMENT_RECONCILIATION,warning,SKIP,,,,,SRC035,,1970-01-01T00:00:00Z,"commitment, paid-in capital, unfunded commitment, or recallable treatment is missing"
QR_INTEGRATED_QC_V1_FP_d18ec355f3700ac7_R07_NAV_ROLLFORWARD,INTEGRATED_QC_V1,fund_periods,FP_d18ec355f3700ac7,FUND_0005,R07_NAV_ROLLFORWARD,error,SKIP,,,,,SRC035,,1970-01-01T00:00:00Z,one or more NAV roll-forward components are missing
