"file_id","fund_id","fund_name_raw","fund_name_standardized","manager_id","manager_name","lp_name","share_class","perspective","source_page","context_version","context_source"
"SRC029","FUND_0001","Incline Equity Partners III (PSERS), L.P.","Incline Equity Partners III (PSERS), L.P.","","Incline Equity Partners","Pennsylvania Public School Employees' Retirement System (PSERS)","","lp_position","1","2026-08-17.r1-consolidated","ledgers/working/round01/TEST-30/r1-consolidated.csv"
"SRC029","FUND_0002","Milestone Partners II, L.P.","Milestone Partners II, L.P.","","Milestone Partners","Pennsylvania Public School Employees' Retirement System (PSERS)","","lp_position","3","2026-08-17.r1-consolidated","ledgers/working/round01/TEST-30/r1-consolidated.csv"
"SRC029","FUND_0003","New Mountain Partners IV, L.P.","New Mountain Partners IV, L.P.","","New Mountain Capital, LLC","Pennsylvania Public School Employees' Retirement System (PSERS)","","lp_position","5","2026-08-17.r1-consolidated","ledgers/working/round01/TEST-30/r1-consolidated.csv"
"SRC034","FUND_0112","Versa Capital Fund II, L.P.","Versa Capital Fund II, L.P.","","Versa Capital Management","Pennsylvania Public School Employees' Retirement System (PSERS)","","lp_position","1","2026-08-17.r1-consolidated","ledgers/working/round01/TEST-30/r1-consolidated.csv"
"SRC034","FUND_0253","VERSA CAPITAL FUND II-A, L.P.","VERSA CAPITAL FUND II-A, L.P.","","Versa Capital Management","","","fund_total","1","2026-08-17.r1-consolidated","ledgers/working/round01/TEST-30/r1-consolidated.csv"
"SRC035","FUND_0004","Adventure Fund I, L.P.","Adventure Fund I, L.P.","","","Oregon Growth Account Private Equity Program","","lp_position","1","2026-08-17.r1-consolidated","ledgers/working/round01/TEST-30/r1-consolidated.csv"
"SRC035","FUND_0005","Builders VC Fund II","Builders VC Fund II","","Builders VC","Oregon Growth Account Private Equity Program","","lp_position","3","2026-08-17.r1-consolidated","ledgers/working/round01/TEST-30/r1-consolidated.csv"
"SRC035","FUND_0006","Cascade Angels Fund 2016, L.P.","Cascade Angels Fund 2016, L.P.","","44North Ventures","Oregon Growth Account Private Equity Program","","lp_position","2","2026-08-17.r1-consolidated","ledgers/working/round01/TEST-30/r1-consolidated.csv"
"SRC035","FUND_0007","Cascade Angels Fund V, LLC","Cascade Angels Fund V, LLC","","44North Ventures","Oregon Growth Account Private Equity Program","","lp_position","3","2026-08-17.r1-consolidated","ledgers/working/round01/TEST-30/r1-consolidated.csv"
"SRC035","FUND_0008","Cascade Seed Fund I, LLC","Cascade Seed Fund I, LLC","","44North Ventures","Oregon Growth Account Private Equity Program","","lp_position","3","2026-08-17.r1-consolidated","ledgers/working/round01/TEST-30/r1-consolidated.csv"
"SRC035","FUND_0009","Cascade Seed Fund II","Cascade Seed Fund II","","44North Ventures","Oregon Growth Account Private Equity Program","","lp_position","3","2026-08-17.r1-consolidated","ledgers/working/round01/TEST-30/r1-consolidated.csv"
"SRC035","FUND_0010","DFJ Frontier Fund II, L.P.","DFJ Frontier Fund II, L.P.","","DFJ Frontier","Oregon Growth Account Private Equity Program","","lp_position","1","2026-08-17.r1-consolidated","ledgers/working/round01/TEST-30/r1-consolidated.csv"
"SRC035","FUND_0011","Ecotrust Forests II, LLC","Ecotrust Forests II, LLC","","EFM Investments & Advisory","Oregon Growth Account Private Equity Program","","lp_position","2","2026-08-17.r1-consolidated","ledgers/working/round01/TEST-30/r1-consolidated.csv"
"SRC035","FUND_0012","Elevate Capital Fund II","Elevate Capital Fund II","","Elevate Capital","Oregon Growth Account Private Equity Program","","lp_position","3","2026-08-17.r1-consolidated","ledgers/working/round01/TEST-30/r1-consolidated.csv"
"SRC035","FUND_0013","Endeavour Capital Fund III, L.P.","Endeavour Capital Fund III, L.P.","","Endeavour Capital","Oregon Growth Account Private Equity Program","","lp_position","1","2026-08-17.r1-consolidated","ledgers/working/round01/TEST-30/r1-consolidated.csv"
"SRC035","FUND_0014","Enlightened Hospitality Investments, L.P.","Enlightened Hospitality Investments, L.P.","","Enlightened Hospitality Investments","Oregon Growth Account Private Equity Program","","lp_position","2","2026-08-17.r1-consolidated","ledgers/working/round01/TEST-30/r1-consolidated.csv"
"SRC035","FUND_0015","Epic Venture Fund IV, L.P.","Epic Venture Fund IV, L.P.","","EPIC Ventures","Oregon Growth Account Private Equity Program","","lp_position","1","2026-08-17.r1-consolidated","ledgers/working/round01/TEST-30/r1-consolidated.csv"
"SRC035","FUND_0016","Epic Venture Fund V, L.P.","Epic Venture Fund V, L.P.","","EPIC Ventures","Oregon Growth Account Private Equity Program","","lp_position","2","2026-08-17.r1-consolidated","ledgers/working/round01/TEST-30/r1-consolidated.csv"
"SRC035","FUND_0017","Epic Ventures VI, L.P.","Epic Ventures VI, L.P.","","EPIC Ventures","Oregon Growth Account Private Equity Program","","lp_position","3","2026-08-17.r1-consolidated","ledgers/working/round01/TEST-30/r1-consolidated.csv"
"SRC035","FUND_0018","Fluke Venture Partners II, L.P.","Fluke Venture Partners II, L.P.","","Fluke Venture Partners","Oregon Growth Account Private Equity Program","","lp_position","1","2026-08-17.r1-consolidated","ledgers/working/round01/TEST-30/r1-consolidated.csv"
"SRC035","FUND_0019","Founders' Co-op III, L.P.","Founders' Co-op III, L.P.","","Founders' Co-op","Oregon Growth Account Private Equity Program","","lp_position","2","2026-08-17.r1-consolidated","ledgers/working/round01/TEST-30/r1-consolidated.csv"
"SRC035","FUND_0020","Founders’ Co-op IV, L.P.","Founders’ Co-op IV, L.P.","","Founders' Co-op","Oregon Growth Account Private Equity Program","","lp_position","3","2026-08-17.r1-consolidated","ledgers/working/round01/TEST-30/r1-consolidated.csv"
"SRC035","FUND_0021","Goode Partners Consumer Fund III, L.P.","Goode Partners Consumer Fund III, L.P.","","Goode Partners LLC","Oregon Growth Account Private Equity Program","","lp_position","2","2026-08-17.r1-consolidated","ledgers/working/round01/TEST-30/r1-consolidated.csv"
"SRC035","FUND_0022","Grain Communications Opportunity Fund III, L.P.","Grain Communications Opportunity Fund III, L.P.","","Grain Management","Oregon Growth Account Private Equity Program","","lp_position","3","2026-08-17.r1-consolidated","ledgers/working/round01/TEST-30/r1-consolidated.csv"
"SRC035","FUND_0023","Homestead Capital USA Farmland Fund III, L.P.","Homestead Capital USA Farmland Fund III, L.P.","","Homestead Capital USA, LLC","Oregon Growth Account Private Equity Program","","lp_position","3","2026-08-17.r1-consolidated","ledgers/working/round01/TEST-30/r1-consolidated.csv"
"SRC035","FUND_0024","K1 Special Opportunities Fund, L.P.","K1 Special Opportunities Fund, L.P.","","K1 Investment Management, LLC","Oregon Growth Account Private Equity Program","","lp_position","2","2026-08-17.r1-consolidated","ledgers/working/round01/TEST-30/r1-consolidated.csv"
"SRC035","FUND_0025","K4 Private Investors, L.P.","K4 Private Investors, L.P.","","K1 Investment Management, LLC","Oregon Growth Account Private Equity Program","","lp_position","2","2026-08-17.r1-consolidated","ledgers/working/round01/TEST-30/r1-consolidated.csv"
"SRC035","FUND_0026","K5 Private Investors, L.P.","K5 Private Investors, L.P.","","K1 Investment Management, LLC","Oregon Growth Account Private Equity Program","","lp_position","3","2026-08-17.r1-consolidated","ledgers/working/round01/TEST-30/r1-consolidated.csv"
"SRC035","FUND_0027","Madrona Venture Fund III, L.P.","Madrona Venture Fund III, L.P.","","Madrona Venture Group","Oregon Growth Account Private Equity Program","","lp_position","1","2026-08-17.r1-consolidated","ledgers/working/round01/TEST-30/r1-consolidated.csv"
"SRC035","FUND_0028","Montlake Capital II, L.P.","Montlake Capital II, L.P.","","Montlake Capital","Oregon Growth Account Private Equity Program","","lp_position","1","2026-08-17.r1-consolidated","ledgers/working/round01/TEST-30/r1-consolidated.csv"
"SRC035","FUND_0029","Northwest Technology Ventures, L.P.","Northwest Technology Ventures, L.P.","","Northwest Technology Ventures","Oregon Growth Account Private Equity Program","","lp_position","1","2026-08-17.r1-consolidated","ledgers/working/round01/TEST-30/r1-consolidated.csv"
"SRC035","FUND_0030","Oregon Angel Conferences 2011","Oregon Angel Conferences 2011","","Oregon Entrepreneurs Network","Oregon Growth Account Private Equity Program","","lp_position","1","2026-08-17.r1-consolidated","ledgers/working/round01/TEST-30/r1-consolidated.csv"
"SRC035","FUND_0031","Oregon Angel Conferences 2012","Oregon Angel Conferences 2012","","Oregon Entrepreneurs Network","Oregon Growth Account Private Equity Program","","lp_position","2","2026-08-17.r1-consolidated","ledgers/working/round01/TEST-30/r1-consolidated.csv"
"SRC035","FUND_0032","Oregon Angel Conferences 2013","Oregon Angel Conferences 2013","","Oregon Entrepreneurs Network","Oregon Growth Account Private Equity Program","","lp_position","2","2026-08-17.r1-consolidated","ledgers/working/round01/TEST-30/r1-consolidated.csv"
"SRC035","FUND_0033","Oregon Angel Conferences 2014","Oregon Angel Conferences 2014","","Oregon Entrepreneurs Network","Oregon Growth Account Private Equity Program","","lp_position","2","2026-08-17.r1-consolidated","ledgers/working/round01/TEST-30/r1-consolidated.csv"
"SRC035","FUND_0034","Oregon Angel Fund 2008, LLC","Oregon Angel Fund 2008, LLC","","Oregon Venture Fund","Oregon Growth Account Private Equity Program","","lp_position","1","2026-08-17.r1-consolidated","ledgers/working/round01/TEST-30/r1-consolidated.csv"
"SRC035","FUND_0035","Oregon Angel Fund 2009, LLC","Oregon Angel Fund 2009, LLC","","Oregon Venture Fund","Oregon Growth Account Private Equity Program","","lp_position","1","2026-08-17.r1-consolidated","ledgers/working/round01/TEST-30/r1-consolidated.csv"
