"entity_id","entity_kind","standardized_name","first_source","registered_at"
"FUND_0001","fund","Incline Equity Partners III (PSERS), L.P.","ledgers/working/round01/TEST-30/r1-consolidated.csv","2026-08-17.r1-consolidated"
"FUND_0002","fund","Milestone Partners II, L.P.","ledgers/working/round01/TEST-30/r1-consolidated.csv","2026-08-17.r1-consolidated"
"FUND_0003","fund","New Mountain Partners IV, L.P.","ledgers/working/round01/TEST-30/r1-consolidated.csv","2026-08-17.r1-consolidated"
"FUND_0004","fund","Adventure Fund I, L.P.","ledgers/working/round01/TEST-30/r1-consolidated.csv","2026-08-17.r1-consolidated"
"FUND_0005","fund","Builders VC Fund II","ledgers/working/round01/TEST-30/r1-consolidated.csv","2026-08-17.r1-consolidated"
"FUND_0006","fund","Cascade Angels Fund 2016, L.P.","ledgers/working/round01/TEST-30/r1-consolidated.csv","2026-08-17.r1-consolidated"
"FUND_0007","fund","Cascade Angels Fund V, LLC","ledgers/working/round01/TEST-30/r1-consolidated.csv","2026-08-17.r1-consolidated"
"FUND_0008","fund","Cascade Seed Fund I, LLC","ledgers/working/round01/TEST-30/r1-consolidated.csv","2026-08-17.r1-consolidated"
"FUND_0009","fund","Cascade Seed Fund II","ledgers/working/round01/TEST-30/r1-consolidated.csv","2026-08-17.r1-consolidated"
"FUND_0010","fund","DFJ Frontier Fund II, L.P.","ledgers/working/round01/TEST-30/r1-consolidated.csv","2026-08-17.r1-consolidated"
"FUND_0011","fund","Ecotrust Forests II, LLC","ledgers/working/round01/TEST-30/r1-consolidated.csv","2026-08-17.r1-consolidated"
"FUND_0012","fund","Elevate Capital Fund II","ledgers/working/round01/TEST-30/r1-consolidated.csv","2026-08-17.r1-consolidated"
"FUND_0013","fund","Endeavour Capital Fund III, L.P.","ledgers/working/round01/TEST-30/r1-consolidated.csv","2026-08-17.r1-consolidated"
"FUND_0014","fund","Enlightened Hospitality Investments, L.P.","ledgers/working/round01/TEST-30/r1-consolidated.csv","2026-08-17.r1-consolidated"
"FUND_0015","fund","Epic Venture Fund IV, L.P.","ledgers/working/round01/TEST-30/r1-consolidated.csv","2026-08-17.r1-consolidated"
"FUND_0016","fund","Epic Venture Fund V, L.P.","ledgers/working/round01/TEST-30/r1-consolidated.csv","2026-08-17.r1-consolidated"
"FUND_0017","fund","Epic Ventures VI, L.P.","ledgers/working/round01/TEST-30/r1-consolidated.csv","2026-08-17.r1-consolidated"
"FUND_0018","fund","Fluke Venture Partners II, L.P.","ledgers/working/round01/TEST-30/r1-consolidated.csv","2026-08-17.r1-consolidated"
"FUND_0019","fund","Founders' Co-op III, L.P.","ledgers/working/round01/TEST-30/r1-consolidated.csv","2026-08-17.r1-consolidated"
"FUND_0020","fund","Founders’ Co-op IV, L.P.","ledgers/working/round01/TEST-30/r1-consolidated.csv","2026-08-17.r1-consolidated"
"FUND_0021","fund","Goode Partners Consumer Fund III, L.P.","ledgers/working/round01/TEST-30/r1-consolidated.csv","2026-08-17.r1-consolidated"
