fund_period_id,fund_id,lp_id,lp_name,share_class_name,date_role,date_raw,date_precision,as_of_date,report_date,period_start_date,period_end_date,effective_date,perspective,currency,commitment,paid_in_capital_itd,distributions_itd,nav,unfunded_commitment,recallable_distributions_itd,dpi,rvpi,tvpi,reported_irr,calculated_irr,beginning_nav,contributions_period,distributions_period,realized_gain_period,unrealized_gain_period,net_income_period,management_fee_period,other_expenses_period,ending_nav,period_return,benchmark_return,fund_size,vintage_year,strategy,sub_strategy,provenance_type,source_document_id,source_page,source_anchor,formula_id,input_observation_ids,synthetic_parameter_set_id,defect_expected,record_status,reported_irr_fee_basis,reported_irr_method,period_return_fee_basis,period_return_method,sector,canonical_asset_class,canonical_strategy,canonical_sub_strategy,canonical_sector
FP_631018aee601270b,FUND_0004,LP_0018,,,as_of,"December 31, 2021",day,2021-12-31,,,,,lp_position,USD,3000000,2558543,4987944,0,0,,,,1.95,0.1197,,,,,,,,,,,,,,2007,Growth Equity,,EXTRACTED,SRC035,1,"Fund Performance: Sorted By Vintage And Strategy / Adventure Fund I, L.P. / Committed",,0ac3a671d1bc1facc753 | 39fe85dd008955e0d5a0 | 3bcd7c3a921399886b0a | 7ef3e2a8d9d9d81b7216 | 8700a725a7918cd54ffe | cb600ac25d835c7da07f | e4ef5249319010e5e1f8,,,ACTIVE,unstated,,,,,private_equity,growth,,
FP_d18ec355f3700ac7,FUND_0005,LP_0018,,,as_of,"December 31, 2021",day,2021-12-31,,,,,lp_position,USD,5000000,750000,0,765912,4250000,,,,,,,,,,,,,,,,,,,2020,Venture Capital,,EXTRACTED,SRC035,3,Fund Performance: Sorted By Vintage And Strategy / Builders VC Fund II / Committed,,0571a342bc87df4cb40c | 0b63c417816edacc739c | 46236872ce3f9c3e9774 | 7a946ba1677ef3d61d38 | bcff265bbb8c348fd411,,,ACTIVE,,,,,,venture_capital,,,
FP_9e4b516c37003861,FUND_0006,LP_0018,,,as_of,"December 31, 2021",day,2021-12-31,,,,,lp_position,USD,500000,500000,312267,273598,0,,,,1.17,0.0297,,,,,,,,,,,,,,2016,Venture Capital,,EXTRACTED,SRC035,2,"Fund Performance: Sorted By Vintage And Strategy / Cascade Angels Fund 2016, L.P. / Committed",,2d5e270a9bbc477e2941 | 39943345805502fe1804 | 60d88537434be47bcd56 | 8c67327339347efc95c3 | ca9f78dfacc24dc4a455 | eb8be0da5bd2dff7259c | f5a74870a6623006a06e,,,ACTIVE,unstated,,,,,venture_capital,,,
FP_ae664b4f721879be,FUND_0007,LP_0018,,,as_of,"December 31, 2021",day,2021-12-31,,,,,lp_position,USD,1000000,1000000,66947,1337358,0,,,,1.4,0.1151,,,,,,,,,,,,,,2018,Venture Capital,,EXTRACTED,SRC035,3,"Fund Performance: Sorted By Vintage And Strategy / Cascade Angels Fund V, LLC / Committed",,2d07fde5638a0b639b92 | 50ed075570191356889e | 6a3e18cfdcb5b87c2bac | 74e037f06de12161e7e3 | a23ceaed5db8022e11b0 | a447d1dfa4f5ac951ac9 | d98598d7a24f520a020d,,,ACTIVE,unstated,,,,,venture_capital,,,
FP_a5f6d9f2fb28a7cd,FUND_0008,LP_0018,,,as_of,"December 31, 2021",day,2021-12-31,,,,,lp_position,USD,2000000,2000000,0,2000000,0,,,,,,,,,,,,,,,,,,,2019,Venture Capital,,EXTRACTED,SRC035,3,"Fund Performance: Sorted By Vintage And Strategy / Cascade Seed Fund I, LLC / Committed",,2ae1d8d4437f484e9fcb | 635f3df81171b5b9c56f | 6d07b76aba6f2dd6d9fb | a3d6b4ddf4508a2490d3 | d5a108b64de2c8e227c4,,,ACTIVE,,,,,,venture_capital,,,
FP_f9f7a60bb1396174,FUND_0009,LP_0018,,,as_of,"December 31, 2021",day,2021-12-31,,,,,lp_position,USD,2000000,500000,0,500000,1500000,,,,,,,,,,,,,,,,,,,2021,Venture Capital,,EXTRACTED,SRC035,3,Fund Performance: Sorted By Vintage And Strategy / Cascade Seed Fund II / Committed,,4ee40627b85a4ec39a52 | 6b59c127acdbbdfdba40 | aacec82130fd9d477936 | afefaedad64d9f4de505 | c6822df9edb2ddc6a564,,,ACTIVE,,,,,,venture_capital,,,
FP_64c9efbfc489fb80,FUND_0010,LP_0018,,,as_of,"December 31, 2021",day,2021-12-31,,,,,lp_position,USD,5000000,5000000,1786462,5066868,0,,,,1.37,0.0359,,,,,,,,,,,,,,2007,Venture Capital,,EXTRACTED,SRC035,1,"Fund Performance: Sorted By Vintage And Strategy / DFJ Frontier Fund II, L.P. / Committed",,6177301f8f7e23449460 | 7534cea2283a6b881e41 | 92053a25ff7132c1a7f2 | 94c0bb6a172f7aa542b8 | a0882ccffb723e2a644f | c273aea24d1f7b424c0c | dae52795d42ef5b81189,,,ACTIVE,unstated,,,,,venture_capital,,,
FP_91d5d0f46f1679a7,FUND_0011,LP_0018,,,as_of,"December 31, 2021",day,2021-12-31,,,,,lp_position,USD,2500000,2123388,325791,3357542,376781,,,,1.73,0.1079,,,,,,,,,,,,,,2015,Natural Resources,,EXTRACTED,SRC035,2,"Fund Performance: Sorted By Vintage And Strategy / Ecotrust Forests II, LLC / Committed",,1d4b92f456db9ef075b3 | 29cd42f5a3c43b7329a0 | 33da7299740642b2d26c | 4dbcbe4d4d83fccdaaa6 | 512210c8e5fcad524cd0 | b11b53be6196635b94cb | b9317b4bcaa5c7d47099,,,ACTIVE,unstated,,,,,natural_resources,,,
FP_b1d2559f6e1d2553,FUND_0012,LP_0018,,,as_of,"December 31, 2021",day,2021-12-31,,,,,lp_position,USD,2000000,800000,0,809911,1200000,,,,,,,,,,,,,,,,,,,2020,Venture Capital,,EXTRACTED,SRC035,3,Fund Performance: Sorted By Vintage And Strategy / Elevate Capital Fund II / Committed,,1bbf0db1a6abd302d501 | 71f52af6fc187b91fbd5 | 9a7ee9cd0c6cb2c6aa8d | 9f3193ed3a76f2fc4052 | b6b2cfd9b4da0147e187,,,ACTIVE,,,,,,venture_capital,,,
FP_5fca024d00e0f898,FUND_0013,LP_0018,,,as_of,"December 31, 2021",day,2021-12-31,,,,,lp_position,USD,7000000,7059089,18995752,0,0,,,,2.69,0.2966,,,,,,,,,,,,,,2000,Buyout,,EXTRACTED,SRC035,1,"Fund Performance: Sorted By Vintage And Strategy / Endeavour Capital Fund III, L.P. / Committed",,11c83cbdced63151f7ff | 30472d6465d9f0e84432 | 47f4d263f36bc16f510e | 8475d4a6b381b2208c31 | c6a543f32ae0468cec48 | ca6ae29291d0c9630fca | ebc8ba16acff022bff35,,,ACTIVE,unstated,,,,,private_equity,buyout,,
