parameter_id,parameter_set_id,strategy,sub_strategy,parameter_name,value_numeric,value_text,unit,provenance_type,source_document_id,source_page,source_anchor,formula_id,input_record_ids,assumption_basis,adjudication_status,active
PAR_0D1F07125B8EB145CA0B,INTEGRATED_COMPLETION_V1,ALL,ALL,fund_size_median,250000000.0000000000,,currency,ASSUMED,,,config/integrated_completion.yml,,,No eligible extracted values exist; the declared configuration fallback is used.,APPROVED_FOR_DEMO,TRUE
PAR_95E8F7AE038B3B22EA1C,INTEGRATED_COMPLETION_V1,ALL,ALL,dpi_median,0.3950000000,,ratio,DERIVED,,,data/extracted/fund-level/fund_periods.csv,MEDIAN_OF_POSITIVE_EXTRACTED_VALUES_V1,FP_01f0a82eaa1ba010 | FP_0680e86c6e7ff39a | FP_0ac8c33b0c48ace5 | FP_0f3b0fd85e4ceaf8 | FP_102b6bd88f19eb4b | FP_137e809c574be627 | FP_14dd8c252383c102 | FP_18d899ee6e091b11 | FP_1bab90291ff720c2 | FP_21d65eefb2f7c84d | FP_21f84f86f4320893 | FP_2eb51c5c4a81c94c | FP_32e18efd2514b9df | FP_339b997114910652 | FP_36700abc211bf5e5 | FP_3ba606b3abd7a9ce | FP_4040630df334fdbd | FP_458250a263a2b561 | FP_460fbb1824138f0e | FP_47d05e2c1cc481d4 | FP_4c904d48ef0485d6 | FP_5afae1129b49fa60 | FP_5d5e09d2a1b9db36 | FP_5da16957d0a316dd | FP_5e4641da977d44c7 | FP_5fbfec338a71e692 | FP_628457229f14fb22 | FP_628c2a03ce4e4e56 | FP_65bef120db980f80 | FP_67c8548989baefa0 | FP_7119c7e3c59dcf29 | FP_72166b94335f6040 | FP_75d523858f40ee31 | FP_76559329a4acf5d2 | FP_767d85f09bcb92da | FP_7bb9f55149b5a4b7 | FP_7d94f05af4d2a3d1 | FP_7f8d1ab06b944116 | FP_82c163a1eb161452 | FP_83579a294ed44897 | FP_84029f452f2496fc | FP_85fcf5727d1aa90d | FP_8916027f5b373233 | FP_9e4e8c27f192bc88 | FP_9ef2057d507fec3a | FP_a404b2958db0e04b | FP_a5dbed1b9be0e19a | FP_a6167d809c63f95e | FP_a7a672b13dd1288f | FP_b0ce49d000e7ed34 | FP_b437690361c9bd75 | FP_bfa93d8c8dd3fff9 | FP_c3246fe5b1f4ec72 | FP_c559d2c170f5419c | FP_cc5c4c55a54a8747 | FP_d281346bf61718a8 | FP_d4819eae1632abed | FP_dc9558c190b778e4,Median of eligible source-backed values.,APPROVED_FOR_DEMO,TRUE
PAR_4128247749BAD3A9C778,INTEGRATED_COMPLETION_V1,ALL,ALL,rvpi_median,0.7900000000,,ratio,DERIVED,,,data/extracted/fund-level/fund_periods.csv,MEDIAN_OF_POSITIVE_EXTRACTED_VALUES_V1,FP_01f0a82eaa1ba010 | FP_0680e86c6e7ff39a | FP_0ac8c33b0c48ace5 | FP_0f3b0fd85e4ceaf8 | FP_102b6bd88f19eb4b | FP_137e809c574be627 | FP_14dd8c252383c102 | FP_18d899ee6e091b11 | FP_1bab90291ff720c2 | FP_21d65eefb2f7c84d | FP_21f84f86f4320893 | FP_2eb51c5c4a81c94c | FP_32e18efd2514b9df | FP_339b997114910652 | FP_36700abc211bf5e5 | FP_3ba606b3abd7a9ce | FP_4040630df334fdbd | FP_458250a263a2b561 | FP_460fbb1824138f0e | FP_47d05e2c1cc481d4 | FP_4c904d48ef0485d6 | FP_5afae1129b49fa60 | FP_5d5e09d2a1b9db36 | FP_5da16957d0a316dd | FP_5e4641da977d44c7 | FP_5fbfec338a71e692 | FP_628457229f14fb22 | FP_628c2a03ce4e4e56 | FP_65bef120db980f80 | FP_67c8548989baefa0 | FP_7119c7e3c59dcf29 | FP_72166b94335f6040 | FP_75d523858f40ee31 | FP_76559329a4acf5d2 | FP_767d85f09bcb92da | FP_7bb9f55149b5a4b7 | FP_7d94f05af4d2a3d1 | FP_7f8d1ab06b944116 | FP_82c163a1eb161452 | FP_83579a294ed44897 | FP_84029f452f2496fc | FP_85fcf5727d1aa90d | FP_8916027f5b373233 | FP_9e4e8c27f192bc88 | FP_9ef2057d507fec3a | FP_a404b2958db0e04b | FP_a5dbed1b9be0e19a | FP_a6167d809c63f95e | FP_a7a672b13dd1288f | FP_b0ce49d000e7ed34 | FP_b437690361c9bd75 | FP_bfa93d8c8dd3fff9 | FP_c3246fe5b1f4ec72 | FP_c559d2c170f5419c | FP_cc5c4c55a54a8747 | FP_d281346bf61718a8 | FP_d4819eae1632abed | FP_dc9558c190b778e4,Median of eligible source-backed values.,APPROVED_FOR_DEMO,TRUE
PAR_E8D11EB93444148476CD,INTEGRATED_COMPLETION_V1,ALL,ALL,paid_in_ratio_median,1.0000000000,,ratio,DERIVED,,,data/extracted/fund-level/fund_periods.csv,MEDIAN_OF_POSITIVE_EXTRACTED_VALUES_V1,FP_0053a3beaac266a7 | FP_041bedabe83fe036 | FP_0520c5ca10911385 | FP_05415141aa450a2b | FP_061b0b2d9f6a55ad | FP_0756e0b97ad623ad | FP_08575a03178ab084 | FP_0901e093db9d35a8 | FP_0ae5d3f0e38db6a8 | FP_0c465ed4de67329e | FP_0c763faa4d058c6f | FP_0efca28c96c079a3 | FP_10278883ec25c9c8 | FP_10cf5df0a4f64457 | FP_10dbbbb299fbde10 | FP_11792179a3edf2fc | FP_11fdda983aa554ba | FP_12a7c189db536861 | FP_133a2deef1f1410a | FP_1347a9168994fb57 | FP_13ec1b6c6188fe4c | FP_13f4630cb9c73401 | FP_160b439d6c23d0c1 | FP_18f277d87235357e | FP_1992b01357c173d9 | FP_1ce1ffe872fa7ebc | FP_21d76e346e7a32d1 | FP_236ac00f2b373df9 | FP_23c07265180adcce | FP_25cfe9b9dcea87c8 | FP_26fb2325ff0e1b50 | FP_2733a29075426f9a | FP_27a558e4cef1db38 | FP_287636da76a8d030 | FP_299b4cdf1f889a84 | FP_29e18a433b116b7c | FP_2a4def4360730b42 | FP_2b86da05ef31fa2d | FP_2c850d8ba444e49e | FP_2cc8a022132ff5f5 | FP_2e4e71d3fcc7939a | FP_2f6002a9f719e08b | FP_2fa2f098a1cec2fa | FP_2fe700f8ee524232 | FP_30572895fc8d3b1e | FP_309a0e055af427ff | FP_30a61433ba43674d | FP_322b38485d6cef8a | FP_3293b132736568b8 | FP_37dc4557dd784226 | FP_383300d811d9feae | FP_395dd002e73e46fc | FP_397c84199b04a54e | FP_3996233ef15f93ff | FP_39cadf7a2d191dc8 | FP_3a96c03dcffa472f | FP_3ae3fb935db5f742 | FP_3affd4bc0d488336 | FP_3b6dff14acd3f810 | FP_3c689bfaef02a2ca | FP_3e7b22129cbb2755 | FP_3eb3545620b85297 | FP_411559eac9765abf | FP_417f8b27d28c1879 | FP_426a17d396200c0c | FP_42767dd49f2070cd | FP_43d30fe90dc38369 | FP_44616a7ebd30b865 | FP_450fd37f64f0c2da | FP_45ea677cd3698b7a | FP_48310d14123d40cd | FP_48acbca69a046e9e | FP_490d35b185d1d0bf | FP_4927b2f516af5c2b | FP_4bd2aeec9b253056 | FP_4e70e9bc8995f890 | FP_4e7c3dbb15bf9a4b | FP_4f2744c37a883d1f | FP_5043188f8ebaf276 | FP_5104eb2b45e9d3ac | FP_513eaf20e8b9d32f | FP_542d9e2fe0b919dd | FP_565021945b737229 | FP_57a8d6d1ee6cc88c | FP_5908e5ba4e90d0d4 | FP_5a5824e63ad5cc7e | FP_5aa7ef2da558c960 | FP_5bc3451bb8002c89 | FP_5e2b4087ad9d6ebe | FP_5e6c7427febfc3d2 | FP_5fca024d00e0f898 | FP_61a33d57cc361156 | FP_621deaca9c2dbc2e | FP_629cf275b4ed5321 | FP_631018aee601270b | FP_63b20e40ddbfd5f7 | FP_64c9efbfc489fb80 | FP_65c9371b55d67fe8 | FP_67c3f12abbd2ad55 | FP_6955f0349de16e36 | FP_697eb421f94aaf3d | FP_6a43b13e2d7a43ac | FP_6ac019bf4e2bd7a0 | FP_6b61aa3cff6bc4a5 | FP_6c463da9ef467c8a | FP_6d393a69855d0ff4 | FP_6d450d0561dd1224 | FP_6e5ec4e8616ce1e2 | FP_6eeb6be08dc82d46 | FP_6ef6bd7cd816890b | FP_6f97b3bfff6e5e6f | FP_705d81308d09d613 | FP_70704d05ab51e715 | FP_70a7642b57ca019b | FP_70dba5534c7788df | FP_711c00c3cda1a669 | FP_71977ed134427656 | FP_7246eb8ace56968e | FP_726c3be7fb12a02a | FP_7ad3ec5be78002a0 | FP_7b177d4e78f172f0 | FP_7cd9c547e86740c1 | FP_7d3e72be341905a5 | FP_7d79303e85e78be6 | FP_7dba3010266dab4a | FP_7ded8a222540a3c0 | FP_7e987824386db352 | FP_820915c8b9109831 | FP_83f6884d9c17711f | FP_83fff052784bfb6a | FP_893ee5ef6a200f22 | FP_89d6be6ccd720f5e | FP_8a164f5cfdbe6874 | FP_8bcfbff64e2ee7e4 | FP_8cae3ef0afe706ca | FP_8e77169069700ac6 | FP_8e8b2304d48bf861 | FP_8e909f6e4074cebc | FP_8e93036c12627a99 | FP_8f137bf00cabc3f6 | FP_91996de10b54c09e | FP_91d5d0f46f1679a7 | FP_92ea7874d56c5e8e | FP_93a92b01b38206b1 | FP_94751d186beb8168 | FP_9798532145dcb8d3 | FP_97ab2baff83e4b50 | FP_9a31ed694095aed2 | FP_9af458859aa8a612 | FP_9bb7697b33517a4a | FP_9caf6aaa2baf33b7 | FP_9e4b516c37003861 | FP_9ef2da78a0101cfd | FP_9f4ad8d9a12bdd09 | FP_a23f06ef601e8d3a | FP_a3cfec67c605d0fd | FP_a4d6dc71802451d2 | FP_a5633542d0af014c | FP_a5b1bc983d89aba6 | FP_a5f6d9f2fb28a7cd | FP_a671e905a7e1bdca | FP_a6afdaf8f75d8064 | FP_a76ec4cae0485786 | FP_a78e80b47ec5d072 | FP_aa1bda2810d82fbf | FP_ab362711e9912039 | FP_ab794bc6961c581b | FP_abea0f200524f3d5 | FP_ac7f8cb9379c1a21 | FP_ad2b1f61ca4c9eee | FP_ae664b4f721879be | FP_ae7062526df267f9 | FP_b001fbcade557223 | FP_b006e2a5c2f4778d | FP_b1c4d7896eef1111 | FP_b1d2559f6e1d2553 | FP_b36308d94fa262f4 | FP_b36cefb3e7584994 | FP_b3915aa867e8e063 | FP_b3d3e2716cfc4cce | FP_b4ed4399a2b2e199 | FP_b4f9b5c5da89939c | FP_b7a378d62c15ed10 | FP_ba3bceded94541eb | FP_bb2a3d4daf877894 | FP_bb347fda1e0adefc | FP_bc39c6860847089e | FP_bc8bc918735fed4a | FP_bda7fb0c34368781 | FP_c0b93ad4332d6dad | FP_c0c3c849739d8c67 | FP_c1306b646d2ed804 | FP_c2365fd731b9a764 | FP_c2840fec5fcb512d | FP_c30420859b4f0c8b | FP_c35e771abc61fc66 | FP_c980dedc2e083ba4 | FP_cafe008e75148a16 | FP_cc6b1e93af07da46 | FP_ccf1af0b9f2aab45 | FP_cdb9af81fb91af48 | FP_cfa89b5d22558279 | FP_d17ff66e8aa2677f | FP_d18ec355f3700ac7 | FP_d1a4decc6299e27d | FP_d2ba1a9f24d5213a | FP_d2f2f3e110b1f0ac | FP_d3b4f83ff68be198 | FP_d3d7e99eac3a599e | FP_d3e8ec94c0ae10a8 | FP_d479aa60b9b0a5f7 | FP_d500cb09982d57d8 | FP_d561388a16ba0475 | FP_d644ebccf948cd3e | FP_d68f75f868fe8254 | FP_d6caf74f73271d55 | FP_d758bb10eb35e35e | FP_d785131a53a98c58 | FP_d79da957c2d86421 | FP_d85c4bc3223019de | FP_d9cc19c629ff0a21 | FP_dcb9fe6fb27858a7 | FP_dd7b8823e6619385 | FP_df59775d26811866 | FP_dfce64fc6a5f70ce | FP_e1cbc77e57cea7fc | FP_e2519775f359ffc0 | FP_e45689057d03751b | FP_e48c91a5af8dfebb | FP_e52bd1793901243b | FP_e76445da1e800867 | FP_e7680f63a7710ba7 | FP_eaa6bcb1fe25ca20 | FP_eadc618ebd2c26c0 | FP_ebe194de3246cdcf | FP_ece3b46e71449d82 | FP_ed767f22635cf565 | FP_ee808cdabfdb0e82 | FP_eed91295fbb8fd99 | FP_eff5fa8d3272cdc7 | FP_f086379311b0ac5c | FP_f0a3e1e71dd8dc00 | FP_f0ed711c51c5d755 | FP_f14c305589b41b55 | FP_f1820c0c06055210 | FP_f28563a86853839b | FP_f2b88d65c8a863f9 | FP_f32cb565c1eef18f | FP_f33665b63b46e35d | FP_f385d0ae4617a2ad | FP_f3cf60f96c3c60d0 | FP_f4cc4a42571b014f | FP_f5323c74c9a457ed | FP_f6b13324297a2343 | FP_f771f77e48840889 | FP_f87a84598ca413f8 | FP_f884060163f3b7d0 | FP_f9f7a60bb1396174 | FP_fa2d0c30d529b937 | FP_fae19e2cf00f3d23 | FP_fbad80df169e7fe2 | FP_fbe2ff300e399296 | FP_fbf8c3b8938b2a34 | FP_fd0e43cd44268cf9 | FP_ff2e3f94c23b93d1 | FP_ff8c7d19faed2b92 | FP_fff1aa8f85886191,Median of eligible source-backed values.,APPROVED_FOR_DEMO,TRUE
PAR_F29C816E9349065E9692,INTEGRATED_COMPLETION_V1,ALL,ALL,seed,20260825,,integer,ASSUMED,,,config/integrated_completion.yml,,,Declared integration parameter; it is not represented as an extracted fact.,APPROVED_FOR_DEMO,TRUE
PAR_47929698A37A68530575,INTEGRATED_COMPLETION_V1,ALL,ALL,as_of_date,,2026-06-05,date,ASSUMED,,,config/integrated_completion.yml,,,Declared integration parameter; it is not represented as an extracted fact.,APPROVED_FOR_DEMO,TRUE
PAR_A8209B14A6AA266F2788,INTEGRATED_COMPLETION_V1,ALL,ALL,benchmark_id,,BMK_ETF_SPY,identifier,ASSUMED,,,config/integrated_completion.yml,,,Declared integration parameter; it is not represented as an extracted fact.,APPROVED_FOR_DEMO,TRUE
PAR_8C4AA45C47BEA5E2189E,INTEGRATED_COMPLETION_V1,ALL,ALL,strategy_fallback,,Diversified Alternatives,text,ASSUMED,,,config/integrated_completion.yml,,,Declared integration parameter; it is not represented as an extracted fact.,APPROVED_FOR_DEMO,TRUE
PAR_CCD5D0C5AF43995A4D33,INTEGRATED_COMPLETION_V1,ALL,ALL,currency_fallback,,USD,currency,ASSUMED,,,config/integrated_completion.yml,,,Declared integration parameter; it is not represented as an extracted fact.,APPROVED_FOR_DEMO,TRUE
PAR_650C5CBE3AA20BB089D9,INTEGRATED_COMPLETION_V1,ALL,ALL,fund_size_fallback,250000000,,currency,ASSUMED,,,config/integrated_completion.yml,,,Declared integration parameter; it is not represented as an extracted fact.,APPROVED_FOR_DEMO,TRUE
