population,fund_id,manager_id,manager_name,fund_period_id,strategy,currency,vintage_year,vintage_bucket,as_of_date,measurement_basis,paid_in,distributions,nav,dpi,rvpi,tvpi,nav_dependence,tvpi_percentile,dpi_percentile,peer_count,peer_manager_count,peer_fund_ids,fund_score,nav_haircut,scenario_tvpi,scenario_score,evidence_ids,status,score_balanced_50_50,score_value_70_30
fixture,FUND_SYNTH_000001,MANAGER_SYNTH_00001,Synthetic Alternatives Manager 0001,FP_FUND_SYNTH_000001_20260630,buyout,USD,2018,2015,2026-06-30,synthetic_basis_unspecified,994.58,1252.73,495.49,1.25955679784,0.498190190834,1.75774698868,0.283425427006,40.6779661017,44.0677966102,59,53,"[""FUND_SYNTH_000006"",""FUND_SYNTH_000046"",""FUND_SYNTH_000048"",""FUND_SYNTH_000049"",""FUND_SYNTH_000074"",""FUND_SYNTH_000087"",""FUND_SYNTH_000089"",""FUND_SYNTH_000124"",""FUND_SYNTH_000129"",""FUND_SYNTH_000148"",""FUND_SYNTH_000179"",""FUND_SYNTH_000225"",""FUND_SYNTH_000230"",""FUND_SYNTH_000242"",""FUND_SYNTH_000274"",""FUND_SYNTH_000291"",""FUND_SYNTH_000299"",""FUND_SYNTH_000315"",""FUND_SYNTH_000323"",""FUND_SYNTH_000342"",""FUND_SYNTH_000351"",""FUND_SYNTH_000357"",""FUND_SYNTH_000361"",""FUND_SYNTH_000362"",""FUND_SYNTH_000370"",""FUND_SYNTH_000376"",""FUND_SYNTH_000384"",""FUND_SYNTH_000387"",""FUND_SYNTH_000400"",""FUND_SYNTH_000402"",""FUND_SYNTH_000449"",""FUND_SYNTH_000455"",""FUND_SYNTH_000463"",""FUND_SYNTH_000466"",""FUND_SYNTH_000478"",""FUND_SYNTH_000492"",""FUND_SYNTH_000495"",""FUND_SYNTH_000496"",""FUND_SYNTH_000500"",""FUND_SYNTH_000505"",""FUND_SYNTH_000514"",""FUND_SYNTH_000518"",""FUND_SYNTH_000542"",""FUND_SYNTH_000547"",""FUND_SYNTH_000548"",""FUND_SYNTH_000579"",""FUND_SYNTH_000580"",""FUND_SYNTH_000582"",""FUND_SYNTH_000617"",""FUND_SYNTH_000631"",""FUND_SYNTH_000636"",""FUND_SYNTH_000663"",""FUND_SYNTH_000667"",""FUND_SYNTH_000702"",""FUND_SYNTH_000736"",""FUND_SYNTH_000743"",""FUND_SYNTH_000753"",""FUND_SYNTH_000756"",""FUND_SYNTH_000772""]",42.0338983051,0.2,1.65810895051,38.9830508475,"[""SYNTH:FUND_SYNTH_000001:FP_FUND_SYNTH_000001_20260630""]",RANKABLE_FUND,42.3728813559,41.6949152542
fixture,FUND_SYNTH_000003,MANAGER_SYNTH_00001,Synthetic Alternatives Manager 0001,FP_FUND_SYNTH_000003_20260630,venture,USD,2017,2015,2026-06-30,synthetic_basis_unspecified,117.41,236.49,64.35,2.01422366068,0.548079379951,2.56230304063,0.213901076984,62.962962963,66.6666666667,27,25,"[""FUND_SYNTH_000037"",""FUND_SYNTH_000038"",""FUND_SYNTH_000119"",""FUND_SYNTH_000196"",""FUND_SYNTH_000204"",""FUND_SYNTH_000239"",""FUND_SYNTH_000282"",""FUND_SYNTH_000308"",""FUND_SYNTH_000324"",""FUND_SYNTH_000329"",""FUND_SYNTH_000334"",""FUND_SYNTH_000347"",""FUND_SYNTH_000353"",""FUND_SYNTH_000422"",""FUND_SYNTH_000430"",""FUND_SYNTH_000487"",""FUND_SYNTH_000490"",""FUND_SYNTH_000516"",""FUND_SYNTH_000592"",""FUND_SYNTH_000599"",""FUND_SYNTH_000605"",""FUND_SYNTH_000622"",""FUND_SYNTH_000659"",""FUND_SYNTH_000660"",""FUND_SYNTH_000672"",""FUND_SYNTH_000720"",""FUND_SYNTH_000770""]",64.4444444444,0.2,2.45268716464,64.4444444444,"[""SYNTH:FUND_SYNTH_000003:FP_FUND_SYNTH_000003_20260630""]",RANKABLE_FUND,64.8148148148,64.0740740741
fixture,FUND_SYNTH_000004,MANAGER_SYNTH_00001,Synthetic Alternatives Manager 0001,FP_FUND_SYNTH_000004_20260630,venture,USD,2016,2015,2026-06-30,synthetic_basis_unspecified,294.03,828.59,148.72,2.81804577764,0.505798728021,3.32384450566,0.152172800851,77.7777777778,92.5925925926,27,25,"[""FUND_SYNTH_000037"",""FUND_SYNTH_000038"",""FUND_SYNTH_000119"",""FUND_SYNTH_000196"",""FUND_SYNTH_000204"",""FUND_SYNTH_000239"",""FUND_SYNTH_000282"",""FUND_SYNTH_000308"",""FUND_SYNTH_000324"",""FUND_SYNTH_000329"",""FUND_SYNTH_000334"",""FUND_SYNTH_000347"",""FUND_SYNTH_000353"",""FUND_SYNTH_000422"",""FUND_SYNTH_000430"",""FUND_SYNTH_000487"",""FUND_SYNTH_000490"",""FUND_SYNTH_000516"",""FUND_SYNTH_000592"",""FUND_SYNTH_000599"",""FUND_SYNTH_000605"",""FUND_SYNTH_000622"",""FUND_SYNTH_000659"",""FUND_SYNTH_000660"",""FUND_SYNTH_000672"",""FUND_SYNTH_000720"",""FUND_SYNTH_000770""]",83.7037037037,0.2,3.22268476006,81.4814814815,"[""SYNTH:FUND_SYNTH_000004:FP_FUND_SYNTH_000004_20260630""]",RANKABLE_FUND,85.1851851852,82.2222222222
fixture,FUND_SYNTH_000005,MANAGER_SYNTH_00002,Synthetic Alternatives Manager 0002,FP_FUND_SYNTH_000005_20260630,real_estate,EUR,2019,2015,2026-06-30,synthetic_basis_unspecified,407.07,267.49,184.13,0.657110570664,0.452330066082,1.10944063675,0.4077100217,,,1,1,"[""FUND_SYNTH_000652""]",,0.2,1.01897462353,,"[""SYNTH:FUND_SYNTH_000005:FP_FUND_SYNTH_000005_20260630""]",PEERS_INSUFFICIENT,,
fixture,FUND_SYNTH_000006,MANAGER_SYNTH_00002,Synthetic Alternatives Manager 0002,FP_FUND_SYNTH_000006_20260630,buyout,USD,2016,2015,2026-06-30,synthetic_basis_unspecified,475.25,632.98,64.05,1.33188847975,0.134771173067,1.46665965281,0.0918898756151,22.0338983051,54.2372881356,59,53,"[""FUND_SYNTH_000001"",""FUND_SYNTH_000046"",""FUND_SYNTH_000048"",""FUND_SYNTH_000049"",""FUND_SYNTH_000074"",""FUND_SYNTH_000087"",""FUND_SYNTH_000089"",""FUND_SYNTH_000124"",""FUND_SYNTH_000129"",""FUND_SYNTH_000148"",""FUND_SYNTH_000179"",""FUND_SYNTH_000225"",""FUND_SYNTH_000230"",""FUND_SYNTH_000242"",""FUND_SYNTH_000274"",""FUND_SYNTH_000291"",""FUND_SYNTH_000299"",""FUND_SYNTH_000315"",""FUND_SYNTH_000323"",""FUND_SYNTH_000342"",""FUND_SYNTH_000351"",""FUND_SYNTH_000357"",""FUND_SYNTH_000361"",""FUND_SYNTH_000362"",""FUND_SYNTH_000370"",""FUND_SYNTH_000376"",""FUND_SYNTH_000384"",""FUND_SYNTH_000387"",""FUND_SYNTH_000400"",""FUND_SYNTH_000402"",""FUND_SYNTH_000449"",""FUND_SYNTH_000455"",""FUND_SYNTH_000463"",""FUND_SYNTH_000466"",""FUND_SYNTH_000478"",""FUND_SYNTH_000492"",""FUND_SYNTH_000495"",""FUND_SYNTH_000496"",""FUND_SYNTH_000500"",""FUND_SYNTH_000505"",""FUND_SYNTH_000514"",""FUND_SYNTH_000518"",""FUND_SYNTH_000542"",""FUND_SYNTH_000547"",""FUND_SYNTH_000548"",""FUND_SYNTH_000579"",""FUND_SYNTH_000580"",""FUND_SYNTH_000582"",""FUND_SYNTH_000617"",""FUND_SYNTH_000631"",""FUND_SYNTH_000636"",""FUND_SYNTH_000663"",""FUND_SYNTH_000667"",""FUND_SYNTH_000702"",""FUND_SYNTH_000736"",""FUND_SYNTH_000743"",""FUND_SYNTH_000753"",""FUND_SYNTH_000756"",""FUND_SYNTH_000772""]",34.9152542373,0.2,1.4397054182,31.8644067797,"[""SYNTH:FUND_SYNTH_000006:FP_FUND_SYNTH_000006_20260630""]",RANKABLE_FUND,38.1355932203,31.6949152542
fixture,FUND_SYNTH_000008,MANAGER_SYNTH_00002,Synthetic Alternatives Manager 0002,FP_FUND_SYNTH_000008_20260630,venture,EUR,2022,2020,2026-06-30,synthetic_basis_unspecified,209.81,56.69,156.63,0.270196844764,0.746532577094,1.01672942186,0.734249015563,,,3,3,"[""FUND_SYNTH_000250"",""FUND_SYNTH_000465"",""FUND_SYNTH_000799""]",,0.2,0.867422906439,,"[""SYNTH:FUND_SYNTH_000008:FP_FUND_SYNTH_000008_20260630""]",PEERS_INSUFFICIENT,,
fixture,FUND_SYNTH_000009,MANAGER_SYNTH_00003,Synthetic Alternatives Manager 0003,FP_FUND_SYNTH_000009_20260630,venture,USD,2014,2010,2026-06-30,synthetic_basis_unspecified,148.5,250.53,44.97,1.68707070707,0.302828282828,1.9898989899,0.152182741117,,,4,4,"[""FUND_SYNTH_000194"",""FUND_SYNTH_000440"",""FUND_SYNTH_000565"",""FUND_SYNTH_000727""]",,0.2,1.92933333333,,"[""SYNTH:FUND_SYNTH_000009:FP_FUND_SYNTH_000009_20260630""]",PEERS_INSUFFICIENT,,
fixture,FUND_SYNTH_000010,MANAGER_SYNTH_00003,Synthetic Alternatives Manager 0003,FP_FUND_SYNTH_000010_20260630,fund_of_funds,USD,2015,2015,2026-06-30,synthetic_basis_unspecified,486.68,514.93,57.21,1.05804635489,0.117551573929,1.17559792882,0.0999930087042,13.3333333333,33.3333333333,15,15,"[""FUND_SYNTH_000014"",""FUND_SYNTH_000068"",""FUND_SYNTH_000128"",""FUND_SYNTH_000156"",""FUND_SYNTH_000213"",""FUND_SYNTH_000266"",""FUND_SYNTH_000382"",""FUND_SYNTH_000389"",""FUND_SYNTH_000410"",""FUND_SYNTH_000578"",""FUND_SYNTH_000630"",""FUND_SYNTH_000658"",""FUND_SYNTH_000671"",""FUND_SYNTH_000725"",""FUND_SYNTH_000766""]",21.3333333333,0.2,1.15208761404,21.3333333333,"[""SYNTH:FUND_SYNTH_000010:FP_FUND_SYNTH_000010_20260630""]",RANKABLE_FUND,23.3333333333,19.3333333333
fixture,FUND_SYNTH_000011,MANAGER_SYNTH_00003,Synthetic Alternatives Manager 0003,FP_FUND_SYNTH_000011_20260630,private_credit,EUR,2022,2020,2026-06-30,synthetic_basis_unspecified,271.53,100.19,245.7,0.368983169447,0.904872389791,1.27385555924,0.710341438029,,,1,1,"[""FUND_SYNTH_000690""]",,0.2,1.09288108128,,"[""SYNTH:FUND_SYNTH_000011:FP_FUND_SYNTH_000011_20260630""]",PEERS_INSUFFICIENT,,
fixture,FUND_SYNTH_000012,MANAGER_SYNTH_00003,Synthetic Alternatives Manager 0003,FP_FUND_SYNTH_000012_20260630,buyout,USD,2022,2020,2026-06-30,synthetic_basis_unspecified,135.58,51.27,128.86,0.378153119929,0.950435167429,1.32858828736,0.715372231166,35.8974358974,28.2051282051,39,35,"[""FUND_SYNTH_000019"",""FUND_SYNTH_000065"",""FUND_SYNTH_000067"",""FUND_SYNTH_000114"",""FUND_SYNTH_000125"",""FUND_SYNTH_000131"",""FUND_SYNTH_000138"",""FUND_SYNTH_000163"",""FUND_SYNTH_000193"",""FUND_SYNTH_000198"",""FUND_SYNTH_000217"",""FUND_SYNTH_000219"",""FUND_SYNTH_000241"",""FUND_SYNTH_000288"",""FUND_SYNTH_000289"",""FUND_SYNTH_000307"",""FUND_SYNTH_000336"",""FUND_SYNTH_000385"",""FUND_SYNTH_000420"",""FUND_SYNTH_000439"",""FUND_SYNTH_000486"",""FUND_SYNTH_000491"",""FUND_SYNTH_000501"",""FUND_SYNTH_000513"",""FUND_SYNTH_000515"",""FUND_SYNTH_000521"",""FUND_SYNTH_000551"",""FUND_SYNTH_000559"",""FUND_SYNTH_000585"",""FUND_SYNTH_000639"",""FUND_SYNTH_000664"",""FUND_SYNTH_000701"",""FUND_SYNTH_000708"",""FUND_SYNTH_000721"",""FUND_SYNTH_000726"",""FUND_SYNTH_000760"",""FUND_SYNTH_000792"",""FUND_SYNTH_000793"",""FUND_SYNTH_000794""]",32.8205128205,0.2,1.13850125387,17.4358974359,"[""SYNTH:FUND_SYNTH_000012:FP_FUND_SYNTH_000012_20260630""]",RANKABLE_FUND,32.0512820513,33.5897435897
fixture,FUND_SYNTH_000014,MANAGER_SYNTH_00004,Synthetic Alternatives Manager 0004,FP_FUND_SYNTH_000014_20260630,fund_of_funds,USD,2018,2015,2026-06-30,synthetic_basis_unspecified,1112.98,1229.34,501.69,1.10454815001,0.450762816942,1.55531096695,0.289821666869,60,46.6666666667,15,15,"[""FUND_SYNTH_000010"",""FUND_SYNTH_000068"",""FUND_SYNTH_000128"",""FUND_SYNTH_000156"",""FUND_SYNTH_000213"",""FUND_SYNTH_000266"",""FUND_SYNTH_000382"",""FUND_SYNTH_000389"",""FUND_SYNTH_000410"",""FUND_SYNTH_000578"",""FUND_SYNTH_000630"",""FUND_SYNTH_000658"",""FUND_SYNTH_000671"",""FUND_SYNTH_000725"",""FUND_SYNTH_000766""]",54.6666666667,0.2,1.46515840357,46.6666666667,"[""SYNTH:FUND_SYNTH_000014:FP_FUND_SYNTH_000014_20260630""]",RANKABLE_FUND,53.3333333333,56
fixture,FUND_SYNTH_000015,MANAGER_SYNTH_00004,Synthetic Alternatives Manager 0004,FP_FUND_SYNTH_000015_20260630,buyout,USD,2014,2010,2026-06-30,synthetic_basis_unspecified,315.09,583.07,59,1.8504871624,0.187248087848,2.03773525025,0.0918902923357,63.6363636364,63.6363636364,11,11,"[""FUND_SYNTH_000027"",""FUND_SYNTH_000034"",""FUND_SYNTH_000111"",""FUND_SYNTH_000259"",""FUND_SYNTH_000278"",""FUND_SYNTH_000328"",""FUND_SYNTH_000349"",""FUND_SYNTH_000468"",""FUND_SYNTH_000641"",""FUND_SYNTH_000697"",""FUND_SYNTH_000781""]",63.6363636364,0.2,2.00028563268,58.1818181818,"[""SYNTH:FUND_SYNTH_000015:FP_FUND_SYNTH_000015_20260630""]",RANKABLE_FUND,63.6363636364,63.6363636364
