level,record_id,status,primary_reason,additional_reasons,source_ids,evidence_ids
fund,FUND_SYNTH_000001,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000001_20260630""]","[""SYNTH:FUND_SYNTH_000001:FP_FUND_SYNTH_000001_20260630""]"
fund,FUND_SYNTH_000002,EXCLUDED,MINIMUM_MATURITY_NOT_MET,[],"[""FP_FUND_SYNTH_000002_20260630""]","[""SYNTH:FUND_SYNTH_000002:FP_FUND_SYNTH_000002_20260630""]"
fund,FUND_SYNTH_000003,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000003_20260630""]","[""SYNTH:FUND_SYNTH_000003:FP_FUND_SYNTH_000003_20260630""]"
fund,FUND_SYNTH_000004,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000004_20260630""]","[""SYNTH:FUND_SYNTH_000004:FP_FUND_SYNTH_000004_20260630""]"
fund,FUND_SYNTH_000005,EXCLUDED,PEERS_INSUFFICIENT,"[""peer_funds=1"",""peer_managers=1""]","[""FP_FUND_SYNTH_000005_20260630""]","[""SYNTH:FUND_SYNTH_000005:FP_FUND_SYNTH_000005_20260630""]"
fund,FUND_SYNTH_000006,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000006_20260630""]","[""SYNTH:FUND_SYNTH_000006:FP_FUND_SYNTH_000006_20260630""]"
fund,FUND_SYNTH_000007,EXCLUDED,STALE_OR_NO_COMMON_DATE,[],[],[]
fund,FUND_SYNTH_000008,EXCLUDED,PEERS_INSUFFICIENT,"[""peer_funds=3"",""peer_managers=3""]","[""FP_FUND_SYNTH_000008_20260630""]","[""SYNTH:FUND_SYNTH_000008:FP_FUND_SYNTH_000008_20260630""]"
fund,FUND_SYNTH_000009,EXCLUDED,PEERS_INSUFFICIENT,"[""peer_funds=4"",""peer_managers=4""]","[""FP_FUND_SYNTH_000009_20260630""]","[""SYNTH:FUND_SYNTH_000009:FP_FUND_SYNTH_000009_20260630""]"
fund,FUND_SYNTH_000010,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000010_20260630""]","[""SYNTH:FUND_SYNTH_000010:FP_FUND_SYNTH_000010_20260630""]"
fund,FUND_SYNTH_000011,EXCLUDED,PEERS_INSUFFICIENT,"[""peer_funds=1"",""peer_managers=1""]","[""FP_FUND_SYNTH_000011_20260630""]","[""SYNTH:FUND_SYNTH_000011:FP_FUND_SYNTH_000011_20260630""]"
fund,FUND_SYNTH_000012,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000012_20260630""]","[""SYNTH:FUND_SYNTH_000012:FP_FUND_SYNTH_000012_20260630""]"
fund,FUND_SYNTH_000013,EXCLUDED,STALE_OR_NO_COMMON_DATE,[],[],[]
fund,FUND_SYNTH_000014,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000014_20260630""]","[""SYNTH:FUND_SYNTH_000014:FP_FUND_SYNTH_000014_20260630""]"
fund,FUND_SYNTH_000015,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000015_20260630""]","[""SYNTH:FUND_SYNTH_000015:FP_FUND_SYNTH_000015_20260630""]"
fund,FUND_SYNTH_000016,EXCLUDED,MINIMUM_MATURITY_NOT_MET,[],"[""FP_FUND_SYNTH_000016_20260630""]","[""SYNTH:FUND_SYNTH_000016:FP_FUND_SYNTH_000016_20260630""]"
fund,FUND_SYNTH_000017,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000017_20260630""]","[""SYNTH:FUND_SYNTH_000017:FP_FUND_SYNTH_000017_20260630""]"
fund,FUND_SYNTH_000018,EXCLUDED,STALE_OR_NO_COMMON_DATE,[],[],[]
fund,FUND_SYNTH_000019,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000019_20260630""]","[""SYNTH:FUND_SYNTH_000019:FP_FUND_SYNTH_000019_20260630""]"
fund,FUND_SYNTH_000020,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000020_20260630""]","[""SYNTH:FUND_SYNTH_000020:FP_FUND_SYNTH_000020_20260630""]"
fund,FUND_SYNTH_000021,EXCLUDED,PEERS_INSUFFICIENT,"[""peer_funds=5"",""peer_managers=5""]","[""FP_FUND_SYNTH_000021_20260630""]","[""SYNTH:FUND_SYNTH_000021:FP_FUND_SYNTH_000021_20260630""]"
fund,FUND_SYNTH_000022,EXCLUDED,STALE_OR_NO_COMMON_DATE,[],[],[]
fund,FUND_SYNTH_000023,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000023_20260630""]","[""SYNTH:FUND_SYNTH_000023:FP_FUND_SYNTH_000023_20260630""]"
fund,FUND_SYNTH_000024,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000024_20260630""]","[""SYNTH:FUND_SYNTH_000024:FP_FUND_SYNTH_000024_20260630""]"
fund,FUND_SYNTH_000025,EXCLUDED,STALE_OR_NO_COMMON_DATE,[],[],[]
fund,FUND_SYNTH_000026,EXCLUDED,STALE_OR_NO_COMMON_DATE,[],[],[]
fund,FUND_SYNTH_000027,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000027_20260630""]","[""SYNTH:FUND_SYNTH_000027:FP_FUND_SYNTH_000027_20260630""]"
fund,FUND_SYNTH_000028,EXCLUDED,PEERS_INSUFFICIENT,"[""peer_funds=2"",""peer_managers=2""]","[""FP_FUND_SYNTH_000028_20260630""]","[""SYNTH:FUND_SYNTH_000028:FP_FUND_SYNTH_000028_20260630""]"
fund,FUND_SYNTH_000029,EXCLUDED,PEERS_INSUFFICIENT,"[""peer_funds=3"",""peer_managers=3""]","[""FP_FUND_SYNTH_000029_20260630""]","[""SYNTH:FUND_SYNTH_000029:FP_FUND_SYNTH_000029_20260630""]"
fund,FUND_SYNTH_000030,EXCLUDED,PEERS_INSUFFICIENT,"[""peer_funds=1"",""peer_managers=1""]","[""FP_FUND_SYNTH_000030_20260630""]","[""SYNTH:FUND_SYNTH_000030:FP_FUND_SYNTH_000030_20260630""]"
fund,FUND_SYNTH_000031,EXCLUDED,PEERS_INSUFFICIENT,"[""peer_funds=1"",""peer_managers=1""]","[""FP_FUND_SYNTH_000031_20260630""]","[""SYNTH:FUND_SYNTH_000031:FP_FUND_SYNTH_000031_20260630""]"
fund,FUND_SYNTH_000032,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000032_20260630""]","[""SYNTH:FUND_SYNTH_000032:FP_FUND_SYNTH_000032_20260630""]"
fund,FUND_SYNTH_000033,EXCLUDED,MINIMUM_MATURITY_NOT_MET,[],"[""FP_FUND_SYNTH_000033_20260630""]","[""SYNTH:FUND_SYNTH_000033:FP_FUND_SYNTH_000033_20260630""]"
fund,FUND_SYNTH_000034,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000034_20260630""]","[""SYNTH:FUND_SYNTH_000034:FP_FUND_SYNTH_000034_20260630""]"
fund,FUND_SYNTH_000035,EXCLUDED,PEERS_INSUFFICIENT,"[""peer_funds=8"",""peer_managers=8""]","[""FP_FUND_SYNTH_000035_20260630""]","[""SYNTH:FUND_SYNTH_000035:FP_FUND_SYNTH_000035_20260630""]"
fund,FUND_SYNTH_000036,EXCLUDED,MINIMUM_MATURITY_NOT_MET,[],"[""FP_FUND_SYNTH_000036_20260630""]","[""SYNTH:FUND_SYNTH_000036:FP_FUND_SYNTH_000036_20260630""]"
fund,FUND_SYNTH_000037,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000037_20260630""]","[""SYNTH:FUND_SYNTH_000037:FP_FUND_SYNTH_000037_20260630""]"
fund,FUND_SYNTH_000038,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000038_20260630""]","[""SYNTH:FUND_SYNTH_000038:FP_FUND_SYNTH_000038_20260630""]"
fund,FUND_SYNTH_000039,EXCLUDED,MINIMUM_MATURITY_NOT_MET,[],"[""FP_FUND_SYNTH_000039_20260630""]","[""SYNTH:FUND_SYNTH_000039:FP_FUND_SYNTH_000039_20260630""]"
fund,FUND_SYNTH_000040,EXCLUDED,STALE_OR_NO_COMMON_DATE,[],[],[]
fund,FUND_SYNTH_000041,EXCLUDED,PEERS_INSUFFICIENT,"[""peer_funds=0"",""peer_managers=0""]","[""FP_FUND_SYNTH_000041_20260630""]","[""SYNTH:FUND_SYNTH_000041:FP_FUND_SYNTH_000041_20260630""]"
fund,FUND_SYNTH_000042,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000042_20260630""]","[""SYNTH:FUND_SYNTH_000042:FP_FUND_SYNTH_000042_20260630""]"
fund,FUND_SYNTH_000043,EXCLUDED,STALE_OR_NO_COMMON_DATE,[],[],[]
