record_group,field_name,source_labels_seen,definition,first_seen_file_id,files_processed,files_checked_for_field,files_with_field,presence_pct,total_observations,avg_observations_when_present,extractability,alt_investment_use,provisional_class,merged_into,example_file_id,example_page,notes
document_context,fund_name,Partnership / Fund / Company / Trust,Exact printed name of the investment vehicle being offered.,SRC001,5,5,5,100.0,5,1,HIGH,Primary fund identity,CORE,,SRC001,1,Observation counts use document-level field presence; repeated row multiplicity is not estimated.
document_context,issuer_name,Issuer / Company / Partnership,"Legal issuer of the offered interest, unit, note, share or stock.",SRC001,5,5,5,100.0,5,1,HIGH,Legal/security identity,CORE,,SRC002,1,Often same as fund_name; preserve when separately stated. Observation counts use document-level field presence; repeated row multiplicity is not estimated.
document_context,manager_name,Investment Manager / Manager / Adviser,Primary investment manager/adviser.,SRC001,5,5,5,100.0,5,1,HIGH,Manager-fund relationship,CORE,,SRC001,1,Observation counts use document-level field presence; repeated row multiplicity is not estimated.
document_context,general_partner,General Partner / GP,General partner when the vehicle is a partnership.,SRC001,5,5,3,60.0,3,1,HIGH,Governance and economic control,CORE,,SRC001,2,Not applicable to corporate/REIT structures. Observation counts use document-level field presence; repeated row multiplicity is not estimated.
document_context,offering_date,January 2024 / March 2017 / prospectus dated ...,Date of the PPM/prospectus or governing offering document.,SRC001,5,5,5,100.0,5,1,HIGH,Version/effective context,CORE,,SRC001,1,Observation counts use document-level field presence; repeated row multiplicity is not estimated.
document_context,jurisdiction,Delaware / governing law / state offering references,"Printed formation, offering or governing jurisdiction when stated.",SRC001,5,5,4,80.0,4,1,MEDIUM,Regulatory and legal context,CORE,,SRC002,2,Observation counts use document-level field presence; repeated row multiplicity is not estimated.
document_context,currency,USD / dollar / class price currency,Currency of offering/economic terms.,SRC001,5,5,5,100.0,5,1,MEDIUM,Prevent unit/currency mismatch,CORE,,SRC421,19,Observation counts use document-level field presence; repeated row multiplicity is not estimated.
investment_mandate,investment_objective,Investment Objective / Objectives,"Stated investment objective, preserved as concise source text.",SRC001,5,5,5,100.0,5,1,HIGH,Mandate comparison,CORE,,SRC001,5,Observation counts use document-level field presence; repeated row multiplicity is not estimated.
investment_mandate,strategy,Investment Strategy / strategy description,Stated primary investment strategy or approach.,SRC001,5,5,5,100.0,5,1,HIGH,Strategy classification and routing,CORE,,SRC001,5,Observation counts use document-level field presence; repeated row multiplicity is not estimated.
investment_mandate,asset_focus,investments in equities / real estate / private markets / loans or securities,Primary asset/property/security focus explicitly described.,SRC001,5,5,5,100.0,5,1,MEDIUM,Cross-fund strategy comparison,CORE,,SRC002,6,Standardize broad synonym labels; retain source wording. Observation counts use document-level field presence; repeated row multiplicity is not estimated.
investment_mandate,geography_focus,geographic investment focus / market references,Stated geographic mandate or limitation.,SRC001,5,5,4,80.0,4,1,MEDIUM,Exposure and mandate context,CORE,,SRC001,6,Observation counts use document-level field presence; repeated row multiplicity is not estimated.
investment_mandate,leverage_borrowing_term,Borrowing / leverage / financing limits or permissions,"Stated ability, limit or policy for fund-level borrowing/leverage.",SRC001,5,5,5,100.0,5,1,MEDIUM,Liquidity and risk assessment,CORE,,SRC421,36,Do not calculate leverage from other values. Observation counts use document-level field presence; repeated row multiplicity is not estimated.
investment_mandate,investment_restriction,Investment Restrictions / concentration/diversification restrictions,Material stated investment restriction or concentration/diversification rule.,SRC001,5,5,4,80.0,4,1,MEDIUM,Mandate and compliance context,CORE,,SRC001,6,"Store concise operative rule, not every legal clause. Observation counts use document-level field presence; repeated row multiplicity is not estimated."
fund_terms,minimum_initial_investment,Minimum Investment / minimum initial investment / minimum subscription,Minimum stated initial subscription or investment at fund level.,SRC001,5,5,5,100.0,5,1,HIGH,Investor access/suitability,CORE,,SRC052,137,Class-specific exceptions belong in security_class_terms. Observation counts use document-level field presence; repeated row multiplicity is not estimated.
fund_terms,investor_eligibility,accredited investor / qualified investor / Suitability Standards,Stated investor eligibility or high-level suitability category.,SRC002,5,5,5,100.0,5,1,HIGH,Access and compliance screening,CORE,,SRC002,2,Do not explode state-by-state suitability tests into separate fields. Observation counts use document-level field presence; repeated row multiplicity is not estimated.
fund_terms,subscription_term,subscription / How to Subscribe / subscription frequency/cutoff,"Fund-level subscription process, timing or frequency.",SRC001,5,5,5,100.0,5,1,MEDIUM,Cash-flow and dealing mechanics,CORE,,SRC001,9,Observation counts use document-level field presence; repeated row multiplicity is not estimated.
fund_terms,withdrawal_repurchase_term,withdrawal / redemption / repurchase offer / share repurchase plan,Primary investor liquidity mechanism and frequency/conditions.,SRC001,5,5,5,100.0,5,1,MEDIUM,Liquidity risk and vehicle structure,CORE,,SRC421,23,"Standardizes withdrawal, redemption and repurchase synonyms without assuming equivalence of economics. Observation counts use document-level field presence; repeated row multiplicity is not estimated."
fund_terms,withdrawal_repurchase_limit,gate / repurchase limit / tender amount / discretionary cap,"Stated cap or limit on withdrawals, redemptions or repurchases.",SRC002,5,5,4,80.0,4,1,MEDIUM,Liquidity stress capacity,CORE,,SRC421,23,Observation counts use document-level field presence; repeated row multiplicity is not estimated.
fund_terms,transfer_restriction,Restrictions on Transferability / transfer restrictions / consent,Material restriction on transfers/resales of investor interests.,SRC001,5,5,5,100.0,5,1,HIGH,Illiquidity and legal transferability,CORE,,SRC002,2,Observation counts use document-level field presence; repeated row multiplicity is not estimated.
fund_terms,distribution_policy,Distributions / distribution reinvestment plan / proceeds distribution,"Stated distribution policy, mechanism or reinvestment option.",SRC001,5,5,5,100.0,5,1,MEDIUM,Cash-return mechanics,CORE,,SRC052,140,Preserve whether distribution may be sourced from return of capital/borrowings when explicitly stated. Observation counts use document-level field presence; repeated row multiplicity is not estimated.
fund_terms,management_fee_rate,Management Fee / management fee rate,Headline management/advisory fee rate or schedule.,SRC001,5,5,5,100.0,5,1,HIGH,Gross-to-net economics,CORE,,SRC001,10,Class-specific rates repeat in security_class_terms. Observation counts use document-level field presence; repeated row multiplicity is not estimated.
fund_terms,performance_fee_or_carry_rate,performance fee / carried interest / performance participation / incentive allocation,Headline performance-linked GP/adviser economics when stated.,SRC001,5,5,4,80.0,4,1,MEDIUM,Gross-to-net economics and incentive alignment,CORE,,SRC421,29,Do not infer 20% when document uses another structure. Observation counts use document-level field presence; repeated row multiplicity is not estimated.
fund_terms,preferred_return_or_hurdle,Preferred Return / Hurdle Amount / hurdle,Preferred return or hurdle applicable to performance economics.,SRC002,5,5,4,80.0,4,1,MEDIUM,Waterfall/performance economics,CORE,,SRC052,379,Observation counts use document-level field presence; repeated row multiplicity is not estimated.
fund_terms,expense_cap_or_waiver,expense limitation / fee waiver / expense cap,"Explicit expense cap, limitation or waiver.",SRC421,5,5,3,60.0,3,1,HIGH,Net-cost comparison,CORE,,SRC421,25,Key context despite 60% threshold being met exactly. Observation counts use document-level field presence; repeated row multiplicity is not estimated.
fund_terms,valuation_frequency,monthly NAV / periodic valuation / valuation date,Frequency at which the vehicle values interests or calculates NAV.,SRC001,5,5,4,80.0,4,1,MEDIUM,Freshness and liquidity mechanics,CORE,,SRC052,379,Observation counts use document-level field presence; repeated row multiplicity is not estimated.
fund_terms,valuation_method,valuation policy / valuation procedures / fair value methodology,Primary method or governance basis for valuing investments/NAV.,SRC001,5,5,5,100.0,5,1,MEDIUM,Mark quality and model risk,CORE,,SRC052,379,Keep concise method/governance description; do not duplicate every valuation clause. Observation counts use document-level field presence; repeated row multiplicity is not estimated.
fund_terms,nav_or_offering_price_basis,NAV / transaction price / offering price basis,"Basis used to determine NAV, subscription price or transaction price.",SRC001,5,5,4,80.0,4,1,MEDIUM,Subscription/valuation linkage,CORE,,SRC052,137,Observation counts use document-level field presence; repeated row multiplicity is not estimated.
service_provider,provider_role,Investment Manager / Administrator / Custodian / Distributor / Dealer Manager / Transfer Agent,Printed role of a recurring fund service provider.,SRC001,5,5,5,100.0,5,1,HIGH,Provider relationship graph,EXTENSION,,SRC421,29,Repeating relationship structure; avoids a field per provider role. Observation counts use document-level field presence; repeated row multiplicity is not estimated.
service_provider,provider_name,Printed provider name,Exact printed organization name serving the provider role.,SRC001,5,5,5,100.0,5,1,HIGH,Provider identity and operational diligence,EXTENSION,,SRC001,13,Observation counts use document-level field presence; repeated row multiplicity is not estimated.
service_provider,relationship_scope,administrator/custodian/distributor scope description,Concise stated scope or applicable vehicle/class for the provider relationship.,SRC001,5,5,4,80.0,4,1,MEDIUM,Operational model and responsibility,EXTENSION,,SRC421,29,Observation counts use document-level field presence; repeated row multiplicity is not estimated.
security_class_terms,share_class,Class S / Class I / Class T / Class D / Membership Unit / Note,"Exact printed class, series, unit or security label.",SRC002,5,5,4,80.0,4,1,HIGH,Class-specific economics and access,EXTENSION,,SRC421,19,Use security_type where no share-class concept exists. Observation counts use document-level field presence; repeated row multiplicity is not estimated.
security_class_terms,security_type,limited partner interest / membership unit / secured note / common stock share,Type of security or fund interest offered.,SRC001,5,5,5,100.0,5,1,HIGH,Offering/security identity,EXTENSION,,SRC002,1,Observation counts use document-level field presence; repeated row multiplicity is not estimated.
security_class_terms,minimum_initial_investment,class-specific minimum investment / subscription,Minimum initial investment applicable to the class/security.,SRC002,5,5,4,80.0,4,1,HIGH,Class access terms,EXTENSION,minimum_initial_investment,SRC052,137,"Same semantic field as fund-level minimum, repeated by class when applicable. Observation counts use document-level field presence; repeated row multiplicity is not estimated."
