record_group,field_name,source_labels_seen,definition,first_seen_file_id,files_processed,files_checked_for_field,files_with_field,presence_pct,total_observations,avg_observations_when_present,extractability,alt_investment_use,provisional_class,merged_into,example_file_id,example_page,notes
document_context,issuer_name,USS / Glass Lewis / Guardians of New Zealand Superannuation / Norges Bank Investment Management / Border to Coast,Organization publishing or owning the stewardship/proxy activity.,SRC329,5,5,5,100.0,5,1,HIGH,Entity/report identity,CORE,,SRC317,1,Observation counts use document-level field presence; repeated row multiplicity is not estimated.
document_context,report_name,Governance Supplement / Proxy Season Review / Stewardship Report / Responsible investment / Climate Change Report,Printed report title.,SRC329,5,5,5,100.0,5,1,HIGH,Report identity and provenance,CORE,,SRC339,1,Observation counts use document-level field presence; repeated row multiplicity is not estimated.
document_context,reporting_period_start,year ended / financial year / calendar year,Start of the period covered when stated.,SRC329,5,5,4,80.0,4,1,MEDIUM,Time alignment,CORE,,SRC329,1,May be omitted when only a year or season is printed. Observation counts use document-level field presence; repeated row multiplicity is not estimated.
document_context,reporting_period_end,31 March 2025 / 2024/25 / 2025,End of reporting period or proxy season.,SRC329,5,5,5,100.0,5,1,HIGH,Time alignment and trend comparison,CORE,,SRC339,23,Observation counts use document-level field presence; repeated row multiplicity is not estimated.
document_context,publication_date,2025 / report publication date,Publication/report date when stated.,SRC329,5,5,5,100.0,5,1,MEDIUM,Version and freshness,CORE,,SRC317,1,Observation counts use document-level field presence; repeated row multiplicity is not estimated.
stewardship_policy,policy_topic,governance / voting / engagement / exclusions / climate / remuneration,"Normalized high-level topic of a stated stewardship, governance or voting policy.",SRC329,5,5,5,100.0,5,1,MEDIUM,Policy comparison and stewardship controls,CORE,,SRC324,35,Do not create one schema field per topic; topic is a row dimension. Observation counts use document-level field presence; repeated row multiplicity is not estimated.
stewardship_policy,policy_or_guideline_name,RI Policy / Voting Guidelines / Stewardship Code / Governance policy,"Printed name of the governing policy, guideline or framework.",SRC329,5,5,5,100.0,5,1,HIGH,Policy lineage and comparability,CORE,,SRC324,9,Observation counts use document-level field presence; repeated row multiplicity is not estimated.
stewardship_policy,policy_text,operative voting/engagement/governance rule,Concise operative policy statement rather than broad narrative.,SRC329,5,5,5,100.0,5,1,MEDIUM,Explain stewardship behavior,CORE,,SRC324,35,Keep source evidence; avoid prose dumps. Observation counts use document-level field presence; repeated row multiplicity is not estimated.
stewardship_policy,applicability,all assets / listed equities / developed markets / specified issuer set,Printed scope to which the policy applies.,SRC329,5,5,4,80.0,4,1,MEDIUM,Determine portfolio coverage,CORE,,SRC324,35,Observation counts use document-level field presence; repeated row multiplicity is not estimated.
stewardship_policy,governance_body,Board / committee / stewardship team / research policy function,Named body with oversight or implementation responsibility.,SRC329,5,5,4,80.0,4,1,HIGH,Governance accountability,CORE,,SRC324,9,Observation counts use document-level field presence; repeated row multiplicity is not estimated.
