sample_order,file_id,filename,page_count,selection_note
1,SRC384,Performance_UC_Regents_Chief_Investment_Officer_Report_May2025.pdf,4,"evenly distributed index 1 of 36 after sort page_count,file_id; no substitution"
2,SRC455,Performance_NMERB_NEPC_Private_Equity_Q1_2016.pdf,17,"evenly distributed index 5 of 36 after sort page_count,file_id; no substitution"
3,SRC099,Quarterly_Report_PSERS_Real_Estate_2Q17_FOIA.pdf,21.0,"evenly distributed index 9 of 36 after sort page_count,file_id; no substitution"
4,SRC100,Performance_USS_Investment_Builder_Quarterly_Report.pdf,25.0,"evenly distributed index 13 of 36 after sort page_count,file_id; no substitution"
5,SRC452,Performance_Dallas_Police_Fire_Meketa_Private_Markets_Q4_2023.pdf,28,"evenly distributed index 17 of 36 after sort page_count,file_id; no substitution"
6,SRC205,Performance_Pennsylvania_SERS_Private_Equity_Board_Update_2025Q1.pdf,40,"evenly distributed index 20 of 36 after sort page_count,file_id; no substitution"
7,SRC161,Quarterly_Report_PA_SERS_Investment_Performance_4Q2015.pdf,59,"evenly distributed index 24 of 36 after sort page_count,file_id; no substitution"
8,SRC480,Performance_PMRS_Pennsylvania_Marquette_Quarterly_Jun2021.pdf,66,"evenly distributed index 28 of 36 after sort page_count,file_id; no substitution"
9,SRC453,Performance_Austin_Firefighters_Meketa_Report_2Q2025.pdf,109,"evenly distributed index 32 of 36 after sort page_count,file_id; no substitution"
10,SRC219,Quarterly_Report_Kentucky_KPPA_Board_Materials_Dec2025.pdf,488,"evenly distributed index 36 of 36 after sort page_count,file_id; no substitution"
