holding_id,document_id,source_page,source_table,holding_label,subject_type,resolved_entity_id,resolved_entity_kind,as_of_date,currency,fair_value,market_value,cost,notional_amount,quantity,portfolio_weight,interest_rate,maturity_date_raw,asset_class_evidence,value_scope_evidence,metric_categories,source_observation_ids,collision_note,proposed_target_action,proposed_target_kind,proposed_instrument_kind,owner_entity_id_if_accepted,owner_entity_kind_if_accepted,owner_candidates,owner_evidence_name,owner_status,owner_reason,position_status,primary_refusal_code,semantic_risks
11a75d5f8be43d2ed687,SRC034,4,Combined Schedule of Investments,REDACTED,investment,,,2018-03-31,,1000000.000000,,152562871.000000,,,0.230000,,,,| single_holding,cost|fair_value|portfolio_weight,0581838b2e2d8abe6324;e00d41cf3b0bd16275fb;fe145196badce8ccf24c,,TARGET_PROVISIONAL,UNRESOLVED,UNCLASSIFIED,OWNER_SRC034_VERSA_COMBINED,portfolio,OWNER_SRC034_VERSA_COMBINED,"Versa Capital Fund II, L.P. and Versa Capital Fund II-A, L.P. combined reporting scope",OWNER_RESOLVED,OWNMAP001: The source schedule is explicitly combined across two legal funds. The combined reporting scope is the owner; assigning either held fund as owner would invent a split.,PUBLISHED,,PORTFOLIO_WEIGHT_NOT_OWNERSHIP
1460395a6ba7415fbab5,SRC034,4,Combined Schedule of Investments,REDACTED,investment,,,2018-03-31,,43000000.000000,,34813999.000000,,,9.810000,,,,| single_holding,cost|fair_value|portfolio_weight,45953593086ec10d3a77;a3d121a9fca604dc1bec;c928a37f2244812fddc0,,TARGET_PROVISIONAL,UNRESOLVED,UNCLASSIFIED,OWNER_SRC034_VERSA_COMBINED,portfolio,OWNER_SRC034_VERSA_COMBINED,"Versa Capital Fund II, L.P. and Versa Capital Fund II-A, L.P. combined reporting scope",OWNER_RESOLVED,OWNMAP001: The source schedule is explicitly combined across two legal funds. The combined reporting scope is the owner; assigning either held fund as owner would invent a split.,PUBLISHED,,PORTFOLIO_WEIGHT_NOT_OWNERSHIP
2924232937806206d2f5,SRC034,4,Combined Schedule of Investments,REDACTED,investment,,,2018-03-31,,45000000.000000,,3073705.000000,,,10.260000,,,,| single_holding,cost|fair_value|portfolio_weight,0e1a197ffe06bf47841b;9fe719ee5c6dcbc7cf62;d3b29abe7a965d72ce3c,,TARGET_PROVISIONAL,UNRESOLVED,UNCLASSIFIED,OWNER_SRC034_VERSA_COMBINED,portfolio,OWNER_SRC034_VERSA_COMBINED,"Versa Capital Fund II, L.P. and Versa Capital Fund II-A, L.P. combined reporting scope",OWNER_RESOLVED,OWNMAP001: The source schedule is explicitly combined across two legal funds. The combined reporting scope is the owner; assigning either held fund as owner would invent a split.,PUBLISHED,,PORTFOLIO_WEIGHT_NOT_OWNERSHIP
9d6c6e5b7e369165d587,SRC034,4,Combined Schedule of Investments,REDACTED,investment,,,2018-03-31,,93000000.000000,,43376204.000000,,,21.210000,,,,| single_holding,cost|fair_value|portfolio_weight,38dd051f7ec4aee2336f;4fabe15ddc3855edbb47;b1c88a180bffcf32a854,,TARGET_PROVISIONAL,UNRESOLVED,UNCLASSIFIED,OWNER_SRC034_VERSA_COMBINED,portfolio,OWNER_SRC034_VERSA_COMBINED,"Versa Capital Fund II, L.P. and Versa Capital Fund II-A, L.P. combined reporting scope",OWNER_RESOLVED,OWNMAP001: The source schedule is explicitly combined across two legal funds. The combined reporting scope is the owner; assigning either held fund as owner would invent a split.,PUBLISHED,,PORTFOLIO_WEIGHT_NOT_OWNERSHIP
a74b8e7dd4c34499a967,SRC034,4,Combined Schedule of Investments,REDACTED,investment,,,2018-03-31,,90000000.000000,,43204400.000000,,,20.530000,,,,| single_holding,cost|fair_value|portfolio_weight,2da4e73e6f300c12d17d;391ce5f4fc89a7cc8fed;5430aea4b7a559aa3dac,,TARGET_PROVISIONAL,UNRESOLVED,UNCLASSIFIED,OWNER_SRC034_VERSA_COMBINED,portfolio,OWNER_SRC034_VERSA_COMBINED,"Versa Capital Fund II, L.P. and Versa Capital Fund II-A, L.P. combined reporting scope",OWNER_RESOLVED,OWNMAP001: The source schedule is explicitly combined across two legal funds. The combined reporting scope is the owner; assigning either held fund as owner would invent a split.,PUBLISHED,,PORTFOLIO_WEIGHT_NOT_OWNERSHIP
c57fa793893f93dbb43e,SRC034,4,Combined Schedule of Investments,REDACTED,investment,,,2018-03-31,,3000000.000000,,49457930.000000,,,0.680000,,,,| single_holding,cost|fair_value|portfolio_weight,33467ee1682e36685ac9;3f2c9a09b40fb821a54b;9f21df366069298c5133,,TARGET_PROVISIONAL,UNRESOLVED,UNCLASSIFIED,OWNER_SRC034_VERSA_COMBINED,portfolio,OWNER_SRC034_VERSA_COMBINED,"Versa Capital Fund II, L.P. and Versa Capital Fund II-A, L.P. combined reporting scope",OWNER_RESOLVED,OWNMAP001: The source schedule is explicitly combined across two legal funds. The combined reporting scope is the owner; assigning either held fund as owner would invent a split.,PUBLISHED,,PORTFOLIO_WEIGHT_NOT_OWNERSHIP
f6fcf356ce48f6ae43dd,SRC034,4,Combined Schedule of Investments,REDACTED,investment,,,2018-03-31,,150000000.000000,,89000000.000000,,,34.220000,,,,| single_holding,cost|fair_value|portfolio_weight,55c71a354ce9583abfc3;c0382c3e21afbdf80451;eeafbc0b5b57f6adcc5b,,TARGET_PROVISIONAL,UNRESOLVED,UNCLASSIFIED,OWNER_SRC034_VERSA_COMBINED,portfolio,OWNER_SRC034_VERSA_COMBINED,"Versa Capital Fund II, L.P. and Versa Capital Fund II-A, L.P. combined reporting scope",OWNER_RESOLVED,OWNMAP001: The source schedule is explicitly combined across two legal funds. The combined reporting scope is the owner; assigning either held fund as owner would invent a split.,PUBLISHED,,PORTFOLIO_WEIGHT_NOT_OWNERSHIP
04560728c5fcf6f30358,SRC192,5,Largest Equity Holdings,Apple,investment,CO_0004,company,2021-12-31,USD,354247888.000000,,,,1994976.000000,,,,Equity securities,| single_holding,fair_value|quantity,9934728139a9e044a952;c608dea9e9d97c3371ed,,TARGET_RESOLVED,PORTFOLIO_COMPANY,OTHER_EQUITY,OWNER_UTAH_RETIREMENT_INVESTMENT_FUND,portfolio,OWNER_UTAH_RETIREMENT_INVESTMENT_FUND,Utah Retirement Investment Fund,OWNER_RESOLVED,OWNMAP003: The document context names Utah Retirement Investment Fund as the portfolio whose holdings are reported.,PUBLISHED,,
05ccef01fcfb88b27627,SRC192,5,Largest Equity Holdings,United Healthcare Group,investment,CO_0028,company,2021-12-31,USD,89084155.000000,,,,177409.000000,,,,Equity securities,| single_holding,fair_value|quantity,2150c1bc2e521f5829e1;bb0a31feea7631132a06,,TARGET_RESOLVED,PORTFOLIO_COMPANY,OTHER_EQUITY,OWNER_UTAH_RETIREMENT_INVESTMENT_FUND,portfolio,OWNER_UTAH_RETIREMENT_INVESTMENT_FUND,Utah Retirement Investment Fund,OWNER_RESOLVED,OWNMAP003: The document context names Utah Retirement Investment Fund as the portfolio whose holdings are reported.,PUBLISHED,,
122b052ae7ed8e6cd1a0,SRC192,5,Largest Debt Securities Holdings,FNMA Single Family Mortgage 0% 2/2022,investment,CO_0014,company,2021-12-31,USD,248093513.000000,,,246127000.000000,,,,,Debt securities,| single_holding,fair_value|notional,ae4968202f19578a1b23;ea9a2f62bd264b7eae75,,TARGET_PROVISIONAL,UNRESOLVED,OTHER_DEBT,OWNER_UTAH_RETIREMENT_INVESTMENT_FUND,portfolio,OWNER_UTAH_RETIREMENT_INVESTMENT_FUND,Utah Retirement Investment Fund,OWNER_RESOLVED,OWNMAP003: The document context names Utah Retirement Investment Fund as the portfolio whose holdings are reported.,PUBLISHED,,
