candidate_id,expansion_document_id,folder,proposed_doc_type,title,source_format,source_url,filename,priority,status,validation_status,validated_content_type,validated_page_count,validation_note,resolved_url
EXP-001,EXPDOC-001,market-reports,Secondary_Pricing,Lazard Interim 2026 Secondary Market Report,pdf,https://www.lazard.com/media/mbcj4xsi/lazard-interim-2026-secondary-market-report.pdf,lazard-interim-2026-secondary-market-report.pdf,P0,DISCOVERED,LIVE_VALIDATED,application/pdf,22,2026 report; volume/pricing/GP-led/LP-led benchmark,https://www.lazard.com/media/mbcj4xsi/lazard-interim-2026-secondary-market-report.pdf
EXP-002,EXPDOC-002,market-reports,Secondary_Pricing,Lazard 2025 Secondary Market Report,pdf,https://www.lazard.com/media/gjzjxh1x/lazard-2025-secondary-market-report_vff.pdf,lazard-2025-secondary-market-report.pdf,P0,DISCOVERED,LIVE_VALIDATED,application/pdf,23,"2025 pricing, volume, continuation-fund, strategy and return-target benchmarks",https://www.lazard.com/media/gjzjxh1x/lazard-2025-secondary-market-report_vff.pdf
EXP-003,EXPDOC-003,market-reports,Secondary_Pricing,Lazard 2024 Secondary Market Report,pdf,https://www.lazard.com/media/drch42gk/lazard-2024-secondary-market-report.pdf,lazard-2024-secondary-market-report.pdf,P0,DISCOVERED,LIVE_VALIDATED,application/pdf,25,"2024 report; pricing, volume, LP-led/GP-led, continuation funds, deferred payments",https://www.lazard.com/media/drch42gk/lazard-2024-secondary-market-report.pdf
EXP-004,EXPDOC-004,market-reports,Secondary_Pricing,Lazard Interim 2024 Secondary Market Report,pdf,https://www.lazard.com/media/oehdl3as/lazard-interim-2024-secondary-market-report.pdf,lazard-interim-2024-secondary-market-report.pdf,P1,DISCOVERED,LIVE_VALIDATED,application/pdf,24,"Interim 2024 report; pricing, volume, continuation funds, deferred payment structures",https://www.lazard.com/media/oehdl3as/lazard-interim-2024-secondary-market-report.pdf
EXP-005,EXPDOC-005,market-reports,Secondary_Pricing,Evercore PCA 2025 Secondary Market Report,pdf,https://www.evercore.com/wp-content/uploads/2026/02/Evercore-PCA-2025-Secondary-Market-Report.pdf,evercore-pca-2025-secondary-market-report.pdf,P0,DISCOVERED,LIVE_VALIDATED,application/pdf,19,"2025 secondary market volume, LP-led/GP-led, dry powder and pricing context",https://www.evercore.com/wp-content/uploads/2026/02/Evercore-PCA-2025-Secondary-Market-Report.pdf
EXP-006,EXPDOC-006,market-reports,Secondary_Pricing,Jefferies 2025 Global Secondary Market Review,html,https://www.jefferies.com/insights/leadership-spotlight/2025-global-secondary-market-review-another-record-breaking-year/,jefferies-2025-global-secondary-market-review.html,P0,DISCOVERED,LIVE_VALIDATED,text/html,,"Live article; page metadata validates report, Firecrawl summary extraction is noisy",https://www.jefferies.com/insights/leadership-spotlight/2025-global-secondary-market-review-another-record-breaking-year/
EXP-007,EXPDOC-007,ilpa,Continuation_Fund,ILPA Continuation Funds Considerations for LPs and GPs,pdf,https://ilpa.org/wp-content/uploads/2023/05/Continuation-Funds-Considerations-for-Limited-Partners-and-General-Partners.pdf,ilpa-continuation-funds-considerations.pdf,P0,DISCOVERED,LIVE_VALIDATED,application/pdf,14,"Continuation-fund process, disclosures, LPAC, economics, advisors and fairness",https://ilpa.org/wp-content/uploads/2023/05/Continuation-Funds-Considerations-for-Limited-Partners-and-General-Partners.pdf
EXP-008,EXPDOC-008,ilpa,Continuation_Fund,ILPA Continuation Fund Disclosure Mock Multi-Asset,pdf,https://ilpa.org/wp-content/uploads/2026/04/ILPA-Continuation-Fund-Disclosure-Template_Coller-Response_Multi-Asset.pdf,ilpa-continuation-disclosure-mock-multi-asset.pdf,P0,DISCOVERED,LIVE_VALIDATED,application/pdf,9,"Mock multi-asset continuation transaction; bids, NAV, roll/sell, funding, fees/carry, ownership, settlement",https://ilpa.org/wp-content/uploads/2026/04/ILPA-Continuation-Fund-Disclosure-Template_Coller-Response_Multi-Asset.pdf
EXP-009,EXPDOC-009,ilpa,Continuation_Fund,ILPA Continuation Fund Disclosure Mock Single-Asset,pdf,https://ilpa.org/wp-content/uploads/2026/04/ILPA-Continuation-Fund-Disclosure-Template_Coller-Response_Single-Asset.pdf,ilpa-continuation-disclosure-mock-single-asset.pdf,P0,DISCOVERED,LIVE_VALIDATED,application/pdf,8,"Mock single-asset continuation transaction; price/NAV, bids, roll/sell, funding, fees/carry",https://ilpa.org/wp-content/uploads/2026/04/ILPA-Continuation-Fund-Disclosure-Template_Coller-Response_Single-Asset.pdf
EXP-010,EXPDOC-010,ilpa,Cash_Flow_Notice,ILPA Capital Call and Distribution Template Definitions,pdf,https://ilpa.org/wp-content/uploads/2025/09/Capital-Call-Template-Definitions.pdf,ilpa-capital-call-distribution-definitions.pdf,P0,DISCOVERED,LIVE_VALIDATED,application/pdf,7,"Capital call/distribution definitions; unfunded, fees, recallable amounts, NAV-facility distributions",https://ilpa.org/wp-content/uploads/2025/09/Capital-Call-Template-Definitions.pdf
