analysis_result_id,entity_id,as_of_date,metric_id,value_numeric,unit,formula_id,input_record_ids,benchmark_id,provenance_type,quality_population,notes
ANL_FUND_0004_20211231_DPI,FUND_0004,2021-12-31,dpi,1.949525179,multiple,DPI_DISTRIBUTIONS_OVER_PAID_IN_V1,FP_7d28c7670679ea19,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV."
ANL_FUND_0004_20211231_RVPI,FUND_0004,2021-12-31,rvpi,0,multiple,RVPI_NAV_OVER_PAID_IN_V1,FP_7d28c7670679ea19,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV."
ANL_FUND_0004_20211231_TVPI,FUND_0004,2021-12-31,tvpi,1.949525179,multiple,TVPI_VALUE_OVER_PAID_IN_V1,FP_7d28c7670679ea19,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV."
ANL_FUND_0005_20211231_DPI,FUND_0005,2021-12-31,dpi,0,multiple,DPI_DISTRIBUTIONS_OVER_PAID_IN_V1,FP_1343a440f9973e44,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV."
ANL_FUND_0005_20211231_RVPI,FUND_0005,2021-12-31,rvpi,1.021216,multiple,RVPI_NAV_OVER_PAID_IN_V1,FP_1343a440f9973e44,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV."
ANL_FUND_0005_20211231_TVPI,FUND_0005,2021-12-31,tvpi,1.021216,multiple,TVPI_VALUE_OVER_PAID_IN_V1,FP_1343a440f9973e44,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV."
ANL_FUND_0006_20211231_DPI,FUND_0006,2021-12-31,dpi,0.624534,multiple,DPI_DISTRIBUTIONS_OVER_PAID_IN_V1,FP_07f9d7a6458e0c87,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV."
ANL_FUND_0006_20211231_RVPI,FUND_0006,2021-12-31,rvpi,0.547196,multiple,RVPI_NAV_OVER_PAID_IN_V1,FP_07f9d7a6458e0c87,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV."
ANL_FUND_0006_20211231_TVPI,FUND_0006,2021-12-31,tvpi,1.17173,multiple,TVPI_VALUE_OVER_PAID_IN_V1,FP_07f9d7a6458e0c87,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV."
ANL_FUND_0007_20211231_DPI,FUND_0007,2021-12-31,dpi,0.066947,multiple,DPI_DISTRIBUTIONS_OVER_PAID_IN_V1,FP_d042e74626691028,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV."
