holding_id,fund_id,portfolio_company_id,portfolio_company_name,instrument_id,instrument_name,date_role,date_raw,date_precision,as_of_date,report_date,period_start_date,period_end_date,effective_date,security_type,sector,geography,currency,cost,fair_value,principal_amount,interest_rate,spread_bps,maturity_date,ownership_percent,provenance_type,source_document_id,source_page,source_anchor,synthetic_parameter_set_id,record_status,canonical_sector
1032f5583b7a423765b4,FUND_1060,FUND_0319,AUSTIN VENTURES IX LP,,,as_of,"June 30, 2025",day,2025-06-30,,,,,,,,USD,,,,,,,,EXTRACTED,SRC356,5,Economically Targeted Investments,,ACTIVE,
b594437b592c0dcbd525,FUND_1060,FUND_0320,AUSTIN VENTURES X LP,,,as_of,"June 30, 2025",day,2025-06-30,,,,,,,,USD,,,,,,,,EXTRACTED,SRC356,5,Economically Targeted Investments,,ACTIVE,
f6edf9ca379655228588,FUND_1060,CO_0008,DIRECT INVESTMENT #1,,,as_of,"June 30, 2025",day,2025-06-30,,,,,,,,USD,,,,,,,,EXTRACTED,SRC356,5,Economically Targeted Investments,,ACTIVE,
33b06fb843825a6ed6aa,FUND_1060,CO_0009,DIRECT INVESTMENT #2,,,as_of,"June 30, 2025",day,2025-06-30,,,,,,,,USD,,,,,,,,EXTRACTED,SRC356,5,Economically Targeted Investments,,ACTIVE,
b9eb781920a63f50f63f,FUND_1060,CO_0010,DIRECT INVESTMENT #3,,,as_of,"June 30, 2025",day,2025-06-30,,,,,,,,USD,,,,,,,,EXTRACTED,SRC356,5,Economically Targeted Investments,,ACTIVE,
77c7410eb598ef956ecc,FUND_1060,FUND_0488,EQT INFRASTRUCTURE IV CO-INVESTMENT A SCSP,,,as_of,"June 30, 2025",day,2025-06-30,,,,,,,,USD,,,,,,,,EXTRACTED,SRC356,5,Economically Targeted Investments,,ACTIVE,
0d9cf9ef640594807d07,FUND_1060,FUND_0494,ESCALATE CAPITAL I LP,,,as_of,"June 30, 2025",day,2025-06-30,,,,,,,,USD,,,,,,,,EXTRACTED,SRC356,5,Economically Targeted Investments,,ACTIVE,
eb0e7335faf7e86898d6,FUND_1060,FUND_0592,HANNATHON CIV LP,,,as_of,"June 30, 2025",day,2025-06-30,,,,,,,,USD,,,,,,,,EXTRACTED,SRC356,5,Economically Targeted Investments,,ACTIVE,
3c03d8b5c0e1f7e363d0,FUND_1060,FUND_0755,NCV SELECT I LP,,,as_of,"June 30, 2025",day,2025-06-30,,,,,,,,USD,,,,,,,,EXTRACTED,SRC356,5,Economically Targeted Investments,,ACTIVE,
81ce8ffd21ce02461848,FUND_1060,FUND_0759,NEW HORIZONS EL PASO LP,,,as_of,"June 30, 2025",day,2025-06-30,,,,,,,,USD,,,,,,,,EXTRACTED,SRC356,5,Economically Targeted Investments,,ACTIVE,
3a36591bec915380bbff,FUND_1060,FUND_0765,NEXT COAST VENTURES III LP,,,as_of,"June 30, 2025",day,2025-06-30,,,,,,,,USD,,,,,,,,EXTRACTED,SRC356,5,Economically Targeted Investments,,ACTIVE,
401743ad95958afb84e6,FUND_1060,FUND_0810,PBC AUSTIN 2021 EQUITY I LP,,,as_of,"June 30, 2025",day,2025-06-30,,,,,,,,USD,,,,,,,,EXTRACTED,SRC356,5,Economically Targeted Investments,,ACTIVE,
fbb0fbe0cc321f7e4a4e,FUND_1060,FUND_0812,PENNYBACKER IV LP,,,as_of,"June 30, 2025",day,2025-06-30,,,,,,,,USD,,,,,,,,EXTRACTED,SRC356,5,Economically Targeted Investments,,ACTIVE,
40a1ddf83171860db734,FUND_1060,FUND_0813,PEP DEVELOPMENT OPPORTUNITIES FUND LP,,,as_of,"June 30, 2025",day,2025-06-30,,,,,,,,USD,,,,,,,,EXTRACTED,SRC356,5,Economically Targeted Investments,,ACTIVE,
7171ef4dd061349142d5,FUND_1060,FUND_0872,ROX II MED CENTER LP,,,as_of,"June 30, 2025",day,2025-06-30,,,,,,,,USD,,,,,,,,EXTRACTED,SRC356,5,Economically Targeted Investments,,ACTIVE,
d12ed224a9a69c122a86,FUND_1060,FUND_0882,SANTÉ HEALTH VENTURES II LP,,,as_of,"June 30, 2025",day,2025-06-30,,,,,,,,USD,,,,,,,,EXTRACTED,SRC356,5,Economically Targeted Investments,,ACTIVE,
384b22141931b49c11b7,FUND_1060,FUND_0885,SCF-IX LP,,,as_of,"June 30, 2025",day,2025-06-30,,,,,,,,USD,,,,,,,,EXTRACTED,SRC356,5,Economically Targeted Investments,,ACTIVE,
