observation_id,fund_id,lp_id,lp_name,share_class_name,file_id,metric_id,date_role,date_raw,date_precision,as_of_date,report_date,period_start_date,period_end_date,cashflow_date,effective_date,due_date,maturity_date,value_raw,value_numeric,value_text,currency,unit,perspective,measure_basis,fee_basis,provenance_type,source_page,source_anchor,extractor_version,formula_id,synthetic_parameter_set_id,imputation_method,confidence,record_status
4f8079377a1c2def08b4,FUND_0832,,,,SRC152,financial_statement_observation.investment_fair_value,as_of,"June 30, 2016",day,2016-06-30,,,,,,,,"$23,944,000",23944000,,USD,currency,fund_total,point_in_time,,EXTRACTED,1,i. Fair Value Levels / PSERS Short-Term Investment Fund / 2016,2026-08-22.2,,,,,ACTIVE
c35dfcdbc30ee6ceeece,FUND_0832,,,,SRC152,financial_statement_observation.investment_fair_value,as_of,"June 30, 2016",day,2016-06-30,,,,,,,,"$89,125,000",89125000,,USD,currency,fund_total,point_in_time,,EXTRACTED,1,i. Fair Value Levels / PSERS Short-Term Investment Fund / 2016,2026-08-22.2,,,,,ACTIVE
a7de1c1a813d190b5b2c,FUND_0832,,,,SRC152,financial_statement_observation.investment_fair_value,as_of,"June 30, 2017",day,2017-06-30,,,,,,,,"$62,257,000",62257000,,USD,currency,fund_total,point_in_time,,EXTRACTED,1,i. Fair Value Levels / PSERS Short-Term Investment Fund / 2017,2026-08-22.2,,,,,ACTIVE
594df31b7104caa7303e,FUND_0832,,,,SRC152,financial_statement_observation.investment_fair_value,as_of,"June 30, 2017",day,2017-06-30,,,,,,,,"$89,755,000",89755000,,USD,currency,fund_total,point_in_time,,EXTRACTED,1,i. Fair Value Levels / PSERS Short-Term Investment Fund / 2017,2026-08-22.2,,,,,ACTIVE
e6bd83f2519e1f05e40e,FUND_0832,,,,SRC152,financial_statement_observation.investment_fair_value,as_of,"June 30, 2017",day,2017-06-30,,,,,,,,"$5,565,178",5565178,,USD,currency,fund_total,point_in_time,,EXTRACTED,2,Investments and Derivative Instruments Measured at Fair Value / PSERS Short-Term Investment Fund / 2017,2026-08-22.2,,,,,ACTIVE
2a60354bb2dbb461349e,FUND_0832,,,,SRC152,financial_statement_observation.investment_fair_value,as_of,"June 30, 2017",day,2017-06-30,,,,,,,,"$5,565,178",5565178,,USD,currency,fund_total,point_in_time,,EXTRACTED,2,Investments and Derivative Instruments Measured at Fair Value / PSERS Short-Term Investment Fund / Level 1,2026-08-22.2,,,,,ACTIVE
2a0b9148fc870bbec10a,FUND_0832,,,,SRC152,financial_statement_observation.investment_fair_value,as_of,"June 30, 2016",day,2016-06-30,,,,,,,,"$4,459,476",4459476,,USD,currency,fund_total,point_in_time,,EXTRACTED,3,Investments and Derivative Instruments Measured at Fair Value / PSERS Short-Term Investment Fund / 2016,2026-08-22.2,,,,,ACTIVE
41fca5e16f462fea75ff,FUND_0832,,,,SRC152,financial_statement_observation.investment_fair_value,as_of,"June 30, 2016",day,2016-06-30,,,,,,,,"$4,459,476",4459476,,USD,currency,fund_total,point_in_time,,EXTRACTED,3,Investments and Derivative Instruments Measured at Fair Value / PSERS Short-Term Investment Fund / Level 1,2026-08-22.2,,,,,ACTIVE
303dbadf91812a4c17ac,FUND_0832,,,,SRC152,financial_statement_observation.investment_fair_value,as_of,"June 30, 2016",day,2016-06-30,,,,,,,,"$4,572,545",4572545,,USD,currency,fund_total,point_in_time,,EXTRACTED,5,UNTITLED_TABLE_1 / PSERS Short Term Investment Fund assets / 2016,2026-08-22.2,,,,,ACTIVE
c91805a4a64754d6e88a,FUND_0832,,,,SRC152,financial_statement_observation.investment_fair_value,as_of,"June 30, 2017",day,2017-06-30,,,,,,,,"$5,718,223",5718223,,USD,currency,fund_total,point_in_time,,EXTRACTED,5,UNTITLED_TABLE_1 / PSERS Short Term Investment Fund assets / 2017,2026-08-22.2,,,,,ACTIVE
cb600ac25d835c7da07f,FUND_0004,,,,SRC035,fund_economics_observation.commitment,as_of,"December 31, 2021",day,2021-12-31,,,,,,,,"$3,000,000",3000000,,USD,currency,fund_total,static,,EXTRACTED,1,"Fund Performance: Sorted By Vintage And Strategy / Adventure Fund I, L.P. / Committed",2026-08-22.2,,,,,ACTIVE
0ac3a671d1bc1facc753,FUND_0004,,,,SRC035,fund_economics_observation.paid_in_capital,as_of,"December 31, 2021",day,2021-12-31,,,,,,,,"$2,558,543",2558543,,USD,currency,fund_total,inception_to_date,,EXTRACTED,1,"Fund Performance: Sorted By Vintage And Strategy / Adventure Fund I, L.P. / Contributed",2026-08-22.2,,,,,ACTIVE
3bcd7c3a921399886b0a,FUND_0004,,,,SRC035,fund_economics_observation.distribution,as_of,"December 31, 2021",day,2021-12-31,,,,,,,,"$4,987,944",4987944,,USD,currency,fund_total,inception_to_date,,EXTRACTED,1,"Fund Performance: Sorted By Vintage And Strategy / Adventure Fund I, L.P. / Distributed",2026-08-22.2,,,,,ACTIVE
