manager_observation_id,manager_id,file_id,metric_id,date_role,date_raw,date_precision,as_of_date,report_date,period_start_date,period_end_date,cashflow_date,effective_date,due_date,maturity_date,value_raw,value_numeric,value_text,currency,unit,perspective,measure_basis,provenance_type,source_page,source_anchor,extractor_version,formula_id,synthetic_parameter_set_id,imputation_method,confidence,record_status
MO_c925c5c4a2a3ae03,MGR_0098,SRC192,fund_economics_observation.fee,as_of,"December 31, 2021",day,2021-12-31,,,,,,,,"58,657",58657,,USD,number,manager_total,period_flow,EXTRACTED,5,Broker Commission Fees / Citigroup / Total Commission Fees,2026-08-22.2,,,,,ACTIVE
MO_13278e6071d74e98,MGR_0099,SRC192,fund_economics_observation.fee,as_of,"December 31, 2021",day,2021-12-31,,,,,,,,"143,932",143932,,USD,number,manager_total,period_flow,EXTRACTED,5,Broker Commission Fees / Cowen / Total Commission Fees,2026-08-22.2,,,,,ACTIVE
MO_0c4dc3316ce21e6f,MGR_0100,SRC192,fund_economics_observation.fee,as_of,"December 31, 2021",day,2021-12-31,,,,,,,,"49,204",49204,,USD,number,manager_total,period_flow,EXTRACTED,5,Broker Commission Fees / Daiwa / Total Commission Fees,2026-08-22.2,,,,,ACTIVE
MO_a2648136f3508356,MGR_0102,SRC192,fund_economics_observation.fee,as_of,"December 31, 2021",day,2021-12-31,,,,,,,,"168,495",168495,,USD,number,manager_total,period_flow,EXTRACTED,5,Broker Commission Fees / Goldman Sachs / Total Commission Fees,2026-08-22.2,,,,,ACTIVE
MO_b71cc787bcb9c6a2,MGR_0106,SRC192,fund_economics_observation.fee,as_of,"December 31, 2021",day,2021-12-31,,,,,,,,"105,347",105347,,USD,number,manager_total,period_flow,EXTRACTED,5,Broker Commission Fees / HSBC Securities / Total Commission Fees,2026-08-22.2,,,,,ACTIVE
MO_b698a0b84d4cb135,MGR_0108,SRC192,fund_economics_observation.fee,as_of,"December 31, 2021",day,2021-12-31,,,,,,,,"249,489",249489,,USD,number,manager_total,period_flow,EXTRACTED,5,Broker Commission Fees / Instinet / Total Commission Fees,2026-08-22.2,,,,,ACTIVE
MO_eb492761010f4e1f,MGR_0109,SRC192,fund_economics_observation.fee,as_of,"December 31, 2021",day,2021-12-31,,,,,,,,"132,304",132304,,USD,number,manager_total,period_flow,EXTRACTED,5,Broker Commission Fees / Jefferies / Total Commission Fees,2026-08-22.2,,,,,ACTIVE
MO_17168630b49ed87a,MGR_0112,SRC192,fund_economics_observation.fee,as_of,"December 31, 2021",day,2021-12-31,,,,,,,,"$408,615",408615,,USD,currency,manager_total,period_flow,EXTRACTED,5,Broker Commission Fees / Morgan Stanley / Total Commission Fees,2026-08-22.2,,,,,ACTIVE
MO_b17695b375822002,MGR_0116,SRC192,fund_economics_observation.fee,as_of,"December 31, 2021",day,2021-12-31,,,,,,,,"116,205",116205,,USD,number,manager_total,period_flow,EXTRACTED,5,Broker Commission Fees / Sanford C Bernstein / Total Commission Fees,2026-08-22.2,,,,,ACTIVE
MO_8cf2534419648a85,MGR_0117,SRC192,fund_economics_observation.fee,as_of,"December 31, 2021",day,2021-12-31,,,,,,,,"116,646",116646,,USD,number,manager_total,period_flow,EXTRACTED,5,Broker Commission Fees / UBS Warburg / Total Commission Fees,2026-08-22.2,,,,,ACTIVE
MO_d5e15901ad36cb4f,MGR_0095,SRC107,ddq_quantitative_observation.aum,static_no_date,,unknown,,,,,,,,,$36,36,,USD,currency,manager_total,point_in_time,EXTRACTED,4,COMPANY / Please give a brief history of the company / UNLABELED_COLUMN_1,2026-08-22.2,,,,,ACTIVE
MO_4fc7d9d9eca2b577,MGR_0097,SRC107,ddq_quantitative_observation.aum,as_of,"March 31, 2006",day,2006-03-31,,,,,,,,$36.1,36.1,,USD,currency,manager_total,point_in_time,EXTRACTED,5,COMPANY / Please list the total assets under management by the company across its different categories of client including the fund / UNLABELED_COLUMN_1,2026-08-22.2,,,,,ACTIVE
MO_102f12160682692e,MGR_0105,SRC107,ddq_quantitative_observation.aum,static_no_date,,unknown,,,,,,,,,$1.5,1.5,,USD,currency,manager_total,point_in_time,EXTRACTED,6,COMPANY / Please list the total assets under management by the company across its different categories of client including the fund / UNLABELED_COLUMN_1,2026-08-22.2,,,,,ACTIVE
MO_c1a0d0487121986f,MGR_0094,SRC107,ddq_quantitative_observation.staff_count,as_of,"March 31, 2006",day,2006-03-31,,,,,,,,"12,000",12000,,,number,manager_total,point_in_time,EXTRACTED,6,ORGANISATION / How many full-time employees are there? / UNLABELED_COLUMN_1,2026-08-22.2,,,,,ACTIVE
MO_0aefe60dfd9380c4,MGR_0097,SRC107,ddq_quantitative_observation.staff_count,as_of,"March 31, 2006",day,2006-03-31,,,,,,,,331,331,,,number,manager_total,point_in_time,EXTRACTED,6,ORGANISATION / How many full-time employees are there? / UNLABELED_COLUMN_1,2026-08-22.2,,,,,ACTIVE
MO_5a7a6265086fc1be,MGR_0097,SRC107,ddq_quantitative_observation.staff_count,static_no_date,,unknown,,,,,,,,,125,125,,,number,manager_total,static,EXTRACTED,6,"ORGANISATION / How many investment professionals (portfolio managers, analysts, etc.) in the company? / UNLABELED_COLUMN_1",2026-08-22.2,,,,,ACTIVE
