cashflow_id,fund_id,lp_id,lp_name,share_class_name,file_id,cashflow_event_id,date_role,date_raw,date_precision,cashflow_date,report_date,due_date,cashflow_type,amount,currency,amount_base_currency,base_currency,fx_rate,recallable_amount,provenance_type,source_page,source_anchor,synthetic_parameter_set_id,defect_expected,record_status
CF_a726b8601a8dfeba,FUND_0156,LP_0001,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,SRC462,,cashflow,"March 31, 2017",day,2017-03-31,,,fee,-55321,USD,,,,,EXTRACTED,1,Statement of Partner’s Capital Account / Current income tax expense / 1st Quarter 2017,,,ACTIVE
CF_c205a6342442c751,FUND_0156,LP_0001,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,SRC462,,cashflow,"March 31, 2017",day,2017-03-31,,,fee,-2758235,USD,,,,,EXTRACTED,1,"Statement of Partner’s Capital Account / Current income tax expense / Inception-to-Date March 31, 2017",,,ACTIVE
CF_5c2ac17fb6e5cec0,FUND_0156,LP_0001,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,SRC462,,cashflow,"March 31, 2017",day,2017-03-31,,,fee,-55321,USD,,,,,EXTRACTED,1,"Statement of Partner’s Capital Account / Current income tax expense / Year-to-Date March 31, 2017",,,ACTIVE
CF_2eb3fe78746d2dc6,FUND_0156,LP_0001,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,SRC462,,cashflow,"March 31, 2017",day,2017-03-31,,,fee,-235132,USD,,,,,EXTRACTED,1,Statement of Partner’s Capital Account / Deferred income tax benefit (expense) / 1st Quarter 2017,,,ACTIVE
CF_d2308f78887e131a,FUND_0156,LP_0001,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,SRC462,,cashflow,"March 31, 2017",day,2017-03-31,,,fee,-49571,USD,,,,,EXTRACTED,1,"Statement of Partner’s Capital Account / Deferred income tax benefit (expense) / Inception-to-Date March 31, 2017",,,ACTIVE
CF_51765fcfc6b3930c,FUND_0156,LP_0001,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,SRC462,,cashflow,"March 31, 2017",day,2017-03-31,,,fee,-235132,USD,,,,,EXTRACTED,1,"Statement of Partner’s Capital Account / Deferred income tax benefit (expense) / Year-to-Date March 31, 2017",,,ACTIVE
CF_abaa4cdd798ee20e,FUND_0156,LP_0001,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,SRC462,,cashflow,"March 31, 2017",day,2017-03-31,,,other,-6961,USD,,,,,EXTRACTED,1,Statement of Partner’s Capital Account / Interest expense / 1st Quarter 2017,,,ACTIVE
CF_8f06ca955b7ad772,FUND_0156,LP_0001,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,SRC462,,cashflow,"March 31, 2017",day,2017-03-31,,,other,-131041,USD,,,,,EXTRACTED,1,"Statement of Partner’s Capital Account / Interest expense / Inception-to-Date March 31, 2017",,,ACTIVE
CF_4a104858f4e7a79f,FUND_0156,LP_0001,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,SRC462,,cashflow,"March 31, 2017",day,2017-03-31,,,other,-6961,USD,,,,,EXTRACTED,1,"Statement of Partner’s Capital Account / Interest expense / Year-to-Date March 31, 2017",,,ACTIVE
CF_75baa105ea648d4a,FUND_0156,LP_0001,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,SRC462,,cashflow,"March 31, 2017",day,2017-03-31,,,fee,-290453,USD,,,,,EXTRACTED,1,Statement of Partner’s Capital Account / Net income tax benefit (expense) / 1st Quarter 2017,,,ACTIVE
CF_0f26ed41547f40a6,FUND_0156,LP_0001,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,SRC462,,cashflow,"March 31, 2017",day,2017-03-31,,,fee,-2807806,USD,,,,,EXTRACTED,1,"Statement of Partner’s Capital Account / Net income tax benefit (expense) / Inception-to-Date March 31, 2017",,,ACTIVE
CF_823ff07d78cf3b1f,FUND_0156,LP_0001,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,SRC462,,cashflow,"March 31, 2017",day,2017-03-31,,,fee,-290453,USD,,,,,EXTRACTED,1,"Statement of Partner’s Capital Account / Net income tax benefit (expense) / Year-to-Date March 31, 2017",,,ACTIVE
CF_f26d022cb46d9e17,FUND_0156,LP_0001,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,SRC462,,cashflow,"March 31, 2017",day,2017-03-31,,,fee,-59460,USD,,,,,EXTRACTED,1,"Statement of Partner’s Capital Account / Offering and organizational expenses / Inception-to-Date March 31, 2017",,,ACTIVE
CF_412900c2bdd717dd,FUND_0156,LP_0001,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,SRC462,,cashflow,"March 31, 2017",day,2017-03-31,,,fee,-6691,USD,,,,,EXTRACTED,1,Statement of Partner’s Capital Account / Partnership expenses / 1st Quarter 2017,,,ACTIVE
CF_793c4e50fad7e2ef,FUND_0156,LP_0001,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,SRC462,,cashflow,"March 31, 2017",day,2017-03-31,,,fee,-432674,USD,,,,,EXTRACTED,1,"Statement of Partner’s Capital Account / Partnership expenses / Inception-to-Date March 31, 2017",,,ACTIVE
CF_f1f79257648267fd,FUND_0156,LP_0001,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,SRC462,,cashflow,"March 31, 2017",day,2017-03-31,,,fee,-6691,USD,,,,,EXTRACTED,1,"Statement of Partner’s Capital Account / Partnership expenses / Year-to-Date March 31, 2017",,,ACTIVE
CF_c9523d148ed32479,FUND_0157,LP_0001,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,SRC463,,cashflow,01/06/2016,day,2016-06-01,,,capital_call,-1212984,EUR,,,,,EXTRACTED,2,CASH CALLS / 01/06/2016 / TOTAL,,,ACTIVE
CF_9448786bef14fd58,FUND_0157,LP_0001,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,SRC463,,cashflow,03/07/2014,day,2014-07-03,,,capital_call,-4008000,EUR,,,,,EXTRACTED,2,CASH CALLS / 03/07/2014 / TOTAL,,,ACTIVE
CF_fea933d20afcae4f,FUND_0157,LP_0001,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,SRC463,,cashflow,17/08/2015,day,2015-08-17,,,capital_call,-3084000,EUR,,,,,EXTRACTED,2,CASH CALLS / 17/08/2015 / TOTAL,,,ACTIVE
CF_4fd054994f377c73,FUND_0157,LP_0001,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,SRC463,,cashflow,22/12/2014,day,2014-12-22,,,capital_call,-276000,EUR,,,,,EXTRACTED,2,CASH CALLS / 22/12/2014 / TOTAL,,,ACTIVE
CF_14687e666cfd5cb5,FUND_0157,LP_0001,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,SRC463,,cashflow,25/09/2014,day,2014-09-25,,,capital_call,-3185400,EUR,,,,,EXTRACTED,2,CASH CALLS / 25/09/2014 / TOTAL,,,ACTIVE
CF_496ca811458c14e7,FUND_0157,LP_0001,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,SRC463,,cashflow,26/05/2015,day,2015-05-26,,,capital_call,-3780000,EUR,,,,,EXTRACTED,2,CASH CALLS / 26/05/2015 / TOTAL,,,ACTIVE
CF_969f4fe81c39d9f9,FUND_0157,LP_0001,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,SRC463,,cashflow,28/04/2014,day,2014-04-28,,,capital_call,-450000,EUR,,,,,EXTRACTED,2,CASH CALLS / 28/04/2014 / TOTAL,,,ACTIVE
CF_6faf485a9589ca31,FUND_0157,LP_0001,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,SRC463,,cashflow,29/03/2016,day,2016-03-29,,,capital_call,-414840,EUR,,,,,EXTRACTED,2,CASH CALLS / 29/03/2016 / TOTAL,,,ACTIVE
CF_43f47ba5b332b89e,FUND_0157,LP_0001,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,SRC463,,cashflow,29/11/2016,day,2016-11-29,,,capital_call,-3622704,EUR,,,,,EXTRACTED,2,CASH CALLS / 29/11/2016 / TOTAL,,,ACTIVE
CF_f45ce403ec167b0b,FUND_0157,LP_0001,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,SRC463,,cashflow,02/11/2016,day,2016-11-02,,,distribution,80349.5,EUR,,,,,EXTRACTED,2,DISTRIBUTIONS / 02/11/2016 / TOTAL,,,ACTIVE
CF_5c595b24fa8b86c0,FUND_0157,LP_0001,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,SRC463,,cashflow,04/03/2016,day,2016-03-04,,,distribution,72863.28,EUR,,,,,EXTRACTED,2,DISTRIBUTIONS / 04/03/2016 / TOTAL,,,ACTIVE
CF_ff474a53dbea8d11,FUND_0157,LP_0001,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,SRC463,,cashflow,06/12/2016,day,2016-12-06,,,distribution,60716.77,EUR,,,,,EXTRACTED,2,DISTRIBUTIONS / 06/12/2016 / TOTAL,,,ACTIVE
CF_f451bdf73c8b4dbd,FUND_0157,LP_0001,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,SRC463,,cashflow,24/08/2016,day,2016-08-24,,,distribution,240000,EUR,,,,,EXTRACTED,2,DISTRIBUTIONS / 24/08/2016 / TOTAL,,,ACTIVE
