record_group,field_name,source_labels_seen,definition,first_seen_file_id,files_processed,files_checked_for_field,files_with_field,presence_pct,total_observations,avg_observations_when_present,extractability,alt_investment_use,provisional_class,merged_into,example_file_id,example_page,notes
document,letter_date,"November 10, 2020",Side-letter date,SRC008,2,2,2,100.0,2,1.00,high,LP rights / legal terms / reporting obligations,CORE,,SRC008,1,
document,fund_name,Re: [Investment]; [Fund],Fund/partnership to which the side letter applies,SRC008,2,2,2,100.0,2,1.00,high,LP rights / legal terms / reporting obligations,CORE,,SRC008,1,
document,investor_lp,Board / Investor,Investor receiving the side-letter rights,SRC008,2,2,2,100.0,2,1.00,high,LP rights / legal terms / reporting obligations,CORE,,SRC008,1,
document,general_partner_name,General Partner,General partner party,SRC008,2,2,2,100.0,2,1.00,high,LP rights / legal terms / reporting obligations,CORE,,SRC008,1,
document,manager_name,Manager,Investment manager party when distinct,SRC008,2,2,2,100.0,2,1.00,high,LP rights / legal terms / reporting obligations,CORE,,SRC008,1,
document,governing_document_reference,Documents; LPA; Subscription Agreement,Underlying agreement(s) supplemented or modified,SRC008,2,2,2,100.0,8,4.00,high,LP rights / legal terms / reporting obligations,CORE,,SRC008,"1,7",
document,governing_law,Governing Law,Law governing the side letter,SRC008,2,2,2,100.0,2,1.00,high,LP rights / legal terms / reporting obligations,CORE,,SRC008,7,
document,commitment_amount_raw,purchase ... $[XXXXXXXXX] of limited partnership interests,Investor commitment/subscription amount referenced in side letter,SRC007,2,2,1,50.0,1,1.00,high,LP rights / legal terms / reporting obligations,CORE,,SRC007,1,Backfilled against SRC008: economics are present there through MFN/reporting but not as explicit candidate fields.
clause,clause_id,1..33,Printed clause/paragraph number,SRC008,2,2,2,100.0,66,33.00,high,LP rights / legal terms / reporting obligations,CORE,,SRC008,1-7,
clause,clause_title,Fiduciary Duties; Indemnification; Most-Favored-Nation; ...,Printed clause heading,SRC008,2,2,2,100.0,66,33.00,high,LP rights / legal terms / reporting obligations,CORE,,SRC008,1-7,
clause,clause_category,MFN/reporting/confidentiality/notice/tax/credit/etc.,Standardized analytical category assigned to the clause,SRC008,2,2,2,100.0,66,33.00,high,LP rights / legal terms / reporting obligations,CORE,,SRC008,1-7,
clause,text_raw,first operative sentence / clause text,"Operative contractual right, restriction, waiver, representation, or obligation",SRC008,2,2,2,100.0,66,33.00,high,LP rights / legal terms / reporting obligations,CORE,,SRC008,1-7,
clause,beneficiary_party,Investor / Board / Limited Partner,Party receiving a right/benefit or protection,SRC008,2,2,2,100.0,56,28.00,high,LP rights / legal terms / reporting obligations,CORE,,SRC008,1-7,
clause,obligated_party,General Partner / Manager / Partnership,Party bearing the obligation/restriction,SRC008,2,2,2,100.0,61,30.50,high,LP rights / legal terms / reporting obligations,CORE,,SRC008,1-7,
clause,effect_type,right; obligation; waiver; restriction; representation; notice,Legal/economic effect of the clause,SRC008,2,2,2,100.0,66,33.00,high,LP rights / legal terms / reporting obligations,CORE,,SRC008,1-7,
clause,base_term_reference,M.G.L.; 840 CMR; Code; LPA section,Printed legal or governing-document reference tied to the clause,SRC008,2,2,2,100.0,38,19.00,high,LP rights / legal terms / reporting obligations,CORE,,SRC008,1-7,
clause,condition_raw,if; for so long as; upon request; subject to,Printed condition or trigger limiting clause operation,SRC008,2,2,2,100.0,40,20.00,high,LP rights / legal terms / reporting obligations,CORE,,SRC008,1-7,
clause_parameter,parameter_name,15%; 30 days; five years; quarterly,Type/name of a quantitative or timing parameter embedded in clause,SRC008,2,2,2,100.0,27,13.50,high,LP rights / legal terms / reporting obligations,EXTENSION,,SRC008,2-6,
clause_parameter,parameter_value_raw,15%; thirty (30) days; five years,Printed numeric/rate/duration/threshold value,SRC008,2,2,2,100.0,27,13.50,high,LP rights / legal terms / reporting obligations,EXTENSION,,SRC008,2-6,
clause_parameter,parameter_basis,revenues; commitment; after closing; reporting period,Printed basis to which a parameter applies,SRC008,2,2,2,100.0,27,13.50,high,LP rights / legal terms / reporting obligations,EXTENSION,,SRC008,2-6,
clause_parameter,notice_timing,promptly; within 30 days; quarterly; annual,Printed notice/reporting timing or cadence,SRC008,2,2,2,100.0,23,11.50,high,LP rights / legal terms / reporting obligations,EXTENSION,,SRC008,2-6,
clause_parameter,mfn_comparison_basis,amount equal to or less than Board invested,Printed investor-size/comparison basis for MFN eligibility,SRC008,2,2,2,100.0,2,1.00,high,LP rights / legal terms / reporting obligations,EXTENSION,,SRC008,2,
clause_parameter,reporting_item,IRR; fees; capital contributions; distributions; NAV,Specific information item contractually required or permitted to be reported/disclosed,SRC008,2,2,2,100.0,26,13.00,high,LP rights / legal terms / reporting obligations,EXTENSION,,SRC008,3-5,
clause_parameter,economic_term_name,Management Fee; Incentive Fee; placement fees,"Named economic term affected, waived, disclosed or restricted by a clause",SRC007,2,2,1,50.0,5,5.00,high,LP rights / legal terms / reporting obligations,EXTENSION,,SRC007,"6,9,12",Backfilled against SRC008: economics are present there through MFN/reporting but not as explicit candidate fields.
clause_parameter,economic_term_effect,waived; no placement fees; increase not applicable,Contractual effect of clause on named economic term,SRC007,2,2,1,50.0,5,5.00,high,LP rights / legal terms / reporting obligations,EXTENSION,,SRC007,"6,9,12",Backfilled against SRC008: economics are present there through MFN/reporting but not as explicit candidate fields.
execution,party_role,Fund; General Partner; Manager; Board,Role of execution/countersignature party,SRC008,2,2,2,100.0,8,4.00,high,LP rights / legal terms / reporting obligations,CORE,,SRC008,8,
execution,signatory_name,Name,Printed signatory name where populated,SRC008,2,2,1,50.0,1,1.00,high,LP rights / legal terms / reporting obligations,CORE,,SRC008,8,
execution,signatory_title,Title; Chairman,Printed signatory title/capacity,SRC008,2,2,2,100.0,3,1.50,high,LP rights / legal terms / reporting obligations,CORE,,SRC008,8,
execution,execution_date,Agreed and acknowledged as of,Execution/countersignature date,SRC008,2,2,2,100.0,2,1.00,high,LP rights / legal terms / reporting obligations,CORE,,SRC008,8,
document,board_address,[Board Address],Investor mailing address,SRC008,2,2,1,50.0,1,1.00,high,LP rights / legal terms / reporting obligations,DROP,,SRC008,1,
execution,signature_image_or_specimen,specimen signatures,Signature specimen/image,SRC008,2,2,1,50.0,1,1.00,high,LP rights / legal terms / reporting obligations,DROP,,SRC008,2,
