file_id,filename,txt_filename,doc_type,pages,native_pages,ocr_pages,empty_pages,chars,seconds,error
SRC001,PPM_Fundsmith_Equity_Fund.pdf,PPM_Fundsmith_Equity_Fund.txt,PPM,47,47,0,0,182749,18.4,
SRC002,PPM_Worcester_Fund_LLC.pdf,PPM_Worcester_Fund_LLC.txt,PPM,85,85,0,0,269011,36.5,
SRC003,LPA_ILPA_Model_Whole_of_Fund.pdf,LPA_ILPA_Model_Whole_of_Fund.txt,LPA,75,75,0,0,248175,26.5,
SRC004,LPA_SCP_Private_Equity_Partners_II_Public_FOIA.pdf,LPA_SCP_Private_Equity_Partners_II_Public_FOIA.txt,LPA,62,62,0,0,195588,59.7,
SRC005,Subscription_ILPA_Model_Subscription_Agreement.pdf,Subscription_ILPA_Model_Subscription_Agreement.txt,Subscription,25,25,0,0,42900,18.7,
SRC006,Subscription_Hedge_Fund_Template.pdf,Subscription_Hedge_Fund_Template.txt,Subscription,18,18,0,0,36460,18.9,
SRC007,Side_Letter_MEABF_Sample.pdf,Side_Letter_MEABF_Sample.txt,Side_Letter,13,13,0,0,31463,19.3,
SRC008,Side_Letter_Fiducient_Private_Fund_Sample.pdf,Side_Letter_Fiducient_Private_Fund_Sample.txt,Side_Letter,8,8,0,0,26116,14.8,
SRC011,PCAP_Invest_Europe_Individual_Capital_Account_Statement.pdf,PCAP_Invest_Europe_Individual_Capital_Account_Statement.txt,PCAP,3,3,0,0,3368,15.5,
SRC013,PPM_RockStep_Hometown_America_Fund_I.pdf,PPM_RockStep_Hometown_America_Fund_I.txt,PPM,69,69,0,0,195471,53.8,
SRC014,PPM_Blackcommerce_LLC_SEC_EDGAR.pdf,PPM_Blackcommerce_LLC_SEC_EDGAR.txt,PPM,112,112,0,0,216288,43.7,
SRC017,Quarterly_Report_Hamilton_Lane_PSERS_4Q17_Public_FOIA.pdf,Quarterly_Report_Hamilton_Lane_PSERS_4Q17_Public_FOIA.txt,Quarterly_Report,41,41,0,0,72807,19.3,
SRC024,Capital_Call_Morgan_Lewis_Deskbook_Sample_Notice.pdf,Capital_Call_Morgan_Lewis_Deskbook_Sample_Notice.txt,Cash_Flow_Notice,6,6,0,0,12386,2.5,
SRC026,Financials_KPMG_PE_Illustrative_2025.pdf,Financials_KPMG_PE_Illustrative_2025.txt,Financials,51,51,0,0,133639,33.4,
SRC028,Fee_Report_PSERS_Aon_Base_Management_Fees_FY2017.pdf,Fee_Report_PSERS_Aon_Base_Management_Fees_FY2017.txt,Fee_Report,1,1,0,0,2477,0.8,
SRC029,Performance_PSERS_Direct_Alpha_Buyout_Funds_2017.pdf,Performance_PSERS_Direct_Alpha_Buyout_Funds_2017.txt,Performance,5,5,0,0,13056,5.9,
SRC034,Financials_Versa_Capital_Fund_II_LP_PSERS_FOIA.pdf,Financials_Versa_Capital_Fund_II_LP_PSERS_FOIA.txt,Financials,14,0,13,1,11142,452.2,
SRC035,Performance_Oregon_Growth_Account_VC_Program_Q4_2021.pdf,Performance_Oregon_Growth_Account_VC_Program_Q4_2021.txt,Performance,3,3,0,0,8230,8.2,
SRC036,Performance_Ohio_Capital_Fund_Annual_Report_2022.pdf,Performance_Ohio_Capital_Fund_Annual_Report_2022.txt,Institutional_Report,32,32,0,0,40253,11.4,
SRC037,Financials_Utah_Fund_of_Funds_LLC_FY2021.pdf,Financials_Utah_Fund_of_Funds_LLC_FY2021.txt,Financials,38,38,0,0,56344,19.1,
SRC038,Performance_MassVentures_Annual_Report_FY2015.pdf,Performance_MassVentures_Annual_Report_FY2015.txt,Institutional_Report,17,17,0,0,10664,4.5,
SRC039,Financials_Connecticut_Innovations_FY2021.pdf,Financials_Connecticut_Innovations_FY2021.txt,Financials,44,44,0,0,100097,36.6,
SRC040,Financials_TEDCO_Maryland_Annual_Report_FY2021.pdf,Financials_TEDCO_Maryland_Annual_Report_FY2021.txt,Institutional_Report,17,17,0,0,34016,8.2,
SRC041,Schedule_Inv_FS_KKR_Capital_Corp_ARS_FY2025.pdf,Schedule_Inv_FS_KKR_Capital_Corp_ARS_FY2025.txt,Financials,208,207,1,0,849027,175.9,
SRC042,Schedule_Inv_Blackstone_Secured_Lending_Fund_ARS_FY2025.pdf,Schedule_Inv_Blackstone_Secured_Lending_Fund_ARS_FY2025.txt,Financials,318,318,0,0,1246107,121.1,
SRC043,Schedule_Inv_Blackstone_Private_Credit_Fund_ARS_FY2025.pdf,Schedule_Inv_Blackstone_Private_Credit_Fund_ARS_FY2025.txt,Financials,522,522,0,0,1871765,235.4,
SRC044,Schedule_Inv_Sixth_Street_Specialty_Lending_ARS_FY2025.pdf,Schedule_Inv_Sixth_Street_Specialty_Lending_ARS_FY2025.txt,Financials,151,151,0,0,612582,100.8,
SRC045,Schedule_Inv_MidCap_Financial_Investment_Corp_ARS_FY2025.pdf,Schedule_Inv_MidCap_Financial_Investment_Corp_ARS_FY2025.txt,Financials,262,262,0,0,771827,144.0,
SRC046,Schedule_Inv_Apollo_Debt_Solutions_BDC_ARS_FY2025.pdf,Schedule_Inv_Apollo_Debt_Solutions_BDC_ARS_FY2025.txt,Financials,220,220,0,0,738798,117.6,
SRC047,Schedule_Inv_BlackRock_TCP_Capital_Corp_ARS_FY2025.pdf,Schedule_Inv_BlackRock_TCP_Capital_Corp_ARS_FY2025.txt,Financials,172,172,0,0,731914,168.0,
SRC048,Schedule_Inv_AB_Private_Credit_Investors_Corp_ARS_FY2025.pdf,Schedule_Inv_AB_Private_Credit_Investors_Corp_ARS_FY2025.txt,Financials,181,181,0,0,802125,187.0,
SRC049,Schedule_Inv_Franklin_BSP_Capital_Corp_ARS_FY2025.pdf,Schedule_Inv_Franklin_BSP_Capital_Corp_ARS_FY2025.txt,Financials,195,195,0,0,864660,170.2,
SRC050,Schedule_Inv_Monroe_Capital_Corp_ARS_FY2023.pdf,Schedule_Inv_Monroe_Capital_Corp_ARS_FY2023.txt,Financials,194,192,0,2,779502,254.9,
SRC051,NAV_Statement_SREIT_NAV_Supplement_May2025.pdf,NAV_Statement_SREIT_NAV_Supplement_May2025.txt,NAV_Statement,54,46,8,0,176335,584.3,
SRC052,NAV_Statement_BREIT_Prospectus_With_Supplements.pdf,NAV_Statement_BREIT_Prospectus_With_Supplements.txt,PPM,501,501,0,0,2105822,301.8,
SRC053,Performance_SREIT_Stockholder_Update_Apr2026.pdf,Performance_SREIT_Stockholder_Update_Apr2026.txt,Cash_Flow_Notice,5,5,0,0,13420,5.4,
SRC054,Performance_SREIT_Fact_Sheet_Aug2025.pdf,Performance_SREIT_Fact_Sheet_Aug2025.txt,Performance,6,6,0,0,21451,5.5,
SRC055,Quarterly_Report_JLLIPT_10Q_3Q2025.pdf,Quarterly_Report_JLLIPT_10Q_3Q2025.txt,Quarterly_Report,59,59,0,0,191699,25.3,
SRC056,Performance_JLLIPT_Quarterly_Update_3Q23.pdf,Performance_JLLIPT_Quarterly_Update_3Q23.txt,Performance,4,4,0,0,20239,6.9,
SRC058,Quarterly_Report_Oregon_PERS_OPERF_Real_Estate_Q4_2024.pdf,Quarterly_Report_Oregon_PERS_OPERF_Real_Estate_Q4_2024.txt,Performance,3,3,0,0,11866,3.2,
SRC059,Performance_LACERS_Real_Estate_Portfolio_Q4_2021.pdf,Performance_LACERS_Real_Estate_Portfolio_Q4_2021.txt,Quarterly_Report,43,43,0,0,74198,28.7,
SRC060,Performance_Oregon_PERS_Alternatives_Portfolio_Q3_2022.pdf,Performance_Oregon_PERS_Alternatives_Portfolio_Q3_2022.txt,Performance,2,2,0,0,8409,3.5,
SRC061,Reporting_NJ_Division_of_Investment_Reporting_Package_Apr2026.pdf,Reporting_NJ_Division_of_Investment_Reporting_Package_Apr2026.txt,Institutional_Report,24,24,0,0,63758,22.0,
SRC063,Performance_CalPERS_Real_Assets_Partnership_Report_Jun2023.pdf,Performance_CalPERS_Real_Assets_Partnership_Report_Jun2023.txt,Performance,2,2,0,0,6092,4.5,
SRC064,Performance_PSERS_Private_Markets_Combined_Portfolio_Report_Q3_2025.pdf,Performance_PSERS_Private_Markets_Combined_Portfolio_Report_Q3_2025.txt,Performance,35,35,0,0,59962,12.2,
SRC065,Performance_MSBI_Private_Markets_Asset_Listing_Q4_2025.pdf,Performance_MSBI_Private_Markets_Asset_Listing_Q4_2025.txt,Schedule_Inv,16,16,0,0,47296,10.0,
SRC066,Performance_HVPE_Annual_Report.pdf,Performance_HVPE_Annual_Report.txt,Financials,116,116,0,0,403163,71.4,
SRC067,Performance_Pantheon_International_Annual_Report.pdf,Performance_Pantheon_International_Annual_Report.txt,Financials,190,190,0,0,463969,121.5,
SRC068,Performance_San_Jose_Federated_Private_Markets_Q2_2017.pdf,Performance_San_Jose_Federated_Private_Markets_Q2_2017.txt,Institutional_Report,47,47,0,0,84527,37.6,
SRC069,Performance_Landmark_Real_Estate_Fund_IX_Secondaries.pdf,Performance_Landmark_Real_Estate_Fund_IX_Secondaries.txt,Performance,25,25,0,0,61958,35.3,
SRC070,Performance_WSIB_Private_Equity_Portfolio_Overview.pdf,Performance_WSIB_Private_Equity_Portfolio_Overview.txt,Performance,7,7,0,0,63818,15.7,
SRC071,Performance_CalPERS_PERF_Partnership_Report.pdf,Performance_CalPERS_PERF_Partnership_Report.txt,Performance,20,20,0,0,57055,18.9,
SRC074,Valuation_IPEV_Guidelines_December_2022.pdf,Valuation_IPEV_Guidelines_December_2022.txt,Valuation,81,81,0,0,201805,90.6,
SRC086,Financials_CohnReznick_Hedge_Fund_Illustrative_2025.pdf,Financials_CohnReznick_Hedge_Fund_Illustrative_2025.txt,Financials,145,145,0,0,267462,39.0,
SRC087,Financials_CohnReznick_Private_Equity_Illustrative_2025.pdf,Financials_CohnReznick_Private_Equity_Illustrative_2025.txt,Financials,31,31,0,0,59557,28.8,
SRC088,Financials_PwC_Investment_Fund_Illustrative_2025.pdf,Financials_PwC_Investment_Fund_Illustrative_2025.txt,Financials,91,89,0,2,269155,78.5,
SRC089,Financials_Withum_Venture_Capital_Fund_Illustrative.pdf,Financials_Withum_Venture_Capital_Fund_Illustrative.txt,Financials,28,28,0,0,69254,11.6,
SRC090,Financials_EY_Good_Investment_Fund_Illustrative_2018.pdf,Financials_EY_Good_Investment_Fund_Illustrative_2018.txt,Financials,85,85,0,0,268208,37.1,
SRC091,Financials_KPMG_Private_Equity_Illustrative_2022.pdf,Financials_KPMG_Private_Equity_Illustrative_2022.txt,Financials,40,40,0,0,108260,30.0,
SRC092,Financials_KPMG_Alternative_Investment_Fund_Illustrative_2015.pdf,Financials_KPMG_Alternative_Investment_Fund_Illustrative_2015.txt,Financials,116,116,0,0,272466,73.6,
