case_id,split,configuration,model_version,scope,evidence_ids,expected_fields,returned_fields,result,execution_state,latency_ms,usage,cost,label,publication_permission
DEV-028-1,dev,keyword,unrun,49c90d2a7e2d451e883e2b018f5554fa,SRC028:p1:row:3:e31d571cd8|SRC028:p1:paragraph:1,,1,pass,OK,42,,0,offline_keyword,foia
DEV-028-1,dev,keyword_context,unrun,49c90d2a7e2d451e883e2b018f5554fa,SRC028:p1:row:3:e31d571cd8|SRC028:p1:note:3|SRC028:p1:note:4|SRC028:p1:paragraph:1|SRC028:p1:note:3|SRC028:p1:note:4,,1,pass,OK,5,,0,offline_keyword_context,foia
DEV-028-1,dev,keyword_vector_context,BAAI/bge-small-en-v1.5@52398278842ec682c6f32300af41344b1c0b0bb2:384,49c90d2a7e2d451e883e2b018f5554fa,SRC028:p1:row:3:e31d571cd8|SRC028:p1:note:3|SRC028:p1:note:4|SRC028:p1:paragraph:1|SRC028:p1:note:3|SRC028:p1:note:4|SRC028:p1:row:2:ca32951b1f|SRC028:p1:note:3|SRC028:p1:note:4|SRC028:p1:row:1:be23885491|SRC028:p1:note:3|SRC028:p1:note:4|SRC028:p1:paragraph:2|SRC028:p1:note:3|SRC028:p1:note:4,,1,pass,OK,1841,,0,offline_local_hybrid,foia
DEV-028-1,dev,approved_assessor,deepseek/deepseek-v4.1-flash,1196605642ab4179911f35803a32f3c0,"SRC028:p1:page:0|SRC028:p1:paragraph:1|SRC028:p1:page:0|SRC028:p1:row:Private Equity 102,714,000|SRC028:p1:page:0",retrieved_fact=SUPPORTED,retrieved_fact=SUPPORTED,pass,OK,2376,in=2175;out=268,0.000974,historical_model_unverified_authorization,foia
DEV-028-2,dev,keyword,unrun,49c90d2a7e2d451e883e2b018f5554fa,SRC028:p1:note:4,,1,pass,OK,28,,0,offline_keyword,foia
DEV-028-2,dev,keyword_context,unrun,49c90d2a7e2d451e883e2b018f5554fa,SRC028:p1:note:4|SRC028:p1:note:3,,1,pass,OK,3,,0,offline_keyword_context,foia
DEV-028-2,dev,keyword_vector_context,BAAI/bge-small-en-v1.5@52398278842ec682c6f32300af41344b1c0b0bb2:384,49c90d2a7e2d451e883e2b018f5554fa,SRC028:p1:note:4|SRC028:p1:note:3|SRC028:p1:row:17:6f33d23588|SRC028:p1:note:3|SRC028:p1:note:4|SRC028:p1:paragraph:1|SRC028:p1:note:3|SRC028:p1:note:4|SRC028:p1:row:8:c2422dee12|SRC028:p1:note:3|SRC028:p1:note:4|SRC028:p1:row:2:ca32951b1f|SRC028:p1:note:3|SRC028:p1:note:4,,1,pass,OK,93,,0,offline_local_hybrid,foia
DEV-028-2,dev,approved_assessor,deepseek/deepseek-v4.1-flash,1196605642ab4179911f35803a32f3c0,SRC028:p1:page:0|SRC028:p1:paragraph:1|SRC028:p1:page:0,retrieved_fact=SUPPORTED,retrieved_fact=INSUFFICIENT_EVIDENCE,fail,OK,11192,in=1755;out=312,0.000538,historical_model_unverified_authorization,foia
DEV-028-3,dev,keyword,unrun,49c90d2a7e2d451e883e2b018f5554fa,SRC028:p1:note:4,,1,pass,OK,18,,0,offline_keyword,foia
DEV-028-3,dev,keyword_context,unrun,49c90d2a7e2d451e883e2b018f5554fa,SRC028:p1:note:4|SRC028:p1:note:3,,1,pass,OK,4,,0,offline_keyword_context,foia
