case_id,split,case_kind,file_ids,query,claim_fields,expected_pages,required_context,expected_field_assessments,source_locations,reference_checked_by,source_version,publication_permission
DEV-028-1,dev,lookup,SRC028,Private Equity 138 bps,,1,,,SRC028:p1,native PDF visual review,91068b29d6128f34c2cb9f612208cc934849cc65200842ad7c017de0b59d0eb5,foia
DEV-028-2,dev,lookup,SRC028,Portable alpha manager fees misclassified as Absolute Return,,1,note,,SRC028:p1,native PDF visual review,91068b29d6128f34c2cb9f612208cc934849cc65200842ad7c017de0b59d0eb5,foia
DEV-028-3,dev,lookup,SRC028,infrastructure fee misclassified as real estate,,1,note,,SRC028:p1,native PDF visual review,91068b29d6128f34c2cb9f612208cc934849cc65200842ad7c017de0b59d0eb5,foia
DEV-028-4,dev,quote_other_number,SRC028,Private Equity fees,value=18,1,,value=INSUFFICIENT_EVIDENCE,SRC028:p1,native PDF visual review,91068b29d6128f34c2cb9f612208cc934849cc65200842ad7c017de0b59d0eb5,foia
DEV-034-1,dev,lookup,SRC034,"Total Investments fair value 425,000,000 March 31, 2018",,3,,,SRC034:p3,native PDF visual review,c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8,foia
DEV-034-2,dev,lookup,SRC034,"cost 415,489,109",,3,,,SRC034:p3,native PDF visual review,c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8,foia
DEV-034-3,dev,lookup,SRC034,"Management fees 2,374,563",,5,,,SRC034:p5,native PDF visual review,c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8,foia
DEV-034-4,dev,constructed_claim,SRC034,"Cash 13,307,614","value=13,307,614;fee_basis=net",3,,value=SUPPORTED;fee_basis=INSUFFICIENT_EVIDENCE,SRC034:p3,native PDF visual review,c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8,foia
DEV-132-1,dev,lookup,SRC132,NAV per share is defined as the value of an investment fund assets less its liabilities,,1,,,SRC132:p1,native PDF visual review,21face6058046d49fc7005fb8a2e7b63f7bf95ffb0e72cf05abbb350733d2e6d,restricted
DEV-132-2,dev,lookup,SRC132,INDEPENDENT APPRAISALS,,2,,,SRC132:p2,native PDF visual review,21face6058046d49fc7005fb8a2e7b63f7bf95ffb0e72cf05abbb350733d2e6d,restricted
DEV-132-3,dev,lookup,SRC132,investment objectives and restrictions,,3,,,SRC132:p3,native PDF visual review,21face6058046d49fc7005fb8a2e7b63f7bf95ffb0e72cf05abbb350733d2e6d,restricted
DEV-373-1,dev,lookup,SRC373,THE DAVID AND LUCILE PACKARD FOUNDATION,,1,,,SRC373:p1,native PDF visual review,8975f55541fe0b27e768395c4b453b9debbcca6e6e4eb30ce03f9a8adf817747,permitted
DEV-373-2,dev,lookup,SRC373,94-2278431,,,,,SRC373:p1 and repeated form headers,native PDF visual review,8975f55541fe0b27e768395c4b453b9debbcca6e6e4eb30ce03f9a8adf817747,permitted
DEV-373-3,dev,lookup,SRC373,Form 990-PF 2023,,,,,SRC373:p1 and repeated form headers,native PDF visual review,8975f55541fe0b27e768395c4b453b9debbcca6e6e4eb30ce03f9a8adf817747,permitted
HOLD-606-1,held-out,lookup,SRC606,9.00 percent annualized distribution rate,,1,block:SRC606:p6:footnote:2,,SRC606:p1|SRC606:p6,native PDF visual review,e56a601bd6fc8250db7675fad2cc69f72aa70aa5ff4dd63cc0176ad602482f9f,permitted
HOLD-606-2,held-out,lookup,SRC606,9.43 percent annualized total net return,,1,block:SRC606:p6:footnote:1,,SRC606:p1|SRC606:p6,native PDF visual review,e56a601bd6fc8250db7675fad2cc69f72aa70aa5ff4dd63cc0176ad602482f9f,permitted
