parameter_id,parameter_set_id,strategy,sub_strategy,parameter_name,value_numeric,value_text,unit,provenance_type,source_document_id,source_page,source_anchor,formula_id,input_record_ids,assumption_basis,adjudication_status,active
PAR_0D1F07125B8EB145CA0B,INTEGRATED_COMPLETION_V1,ALL,ALL,fund_size_median,250000000.0000000000,,currency,ASSUMED,,,config/integrated_completion.yml,,,No eligible extracted values exist; the declared configuration fallback is used.,APPROVED_FOR_DEMO,TRUE
PAR_95E8F7AE038B3B22EA1C,INTEGRATED_COMPLETION_V1,ALL,ALL,dpi_median,0.3950000000,,ratio,DERIVED,,,data/extracted/fund-level/fund_periods.csv,MEDIAN_OF_POSITIVE_EXTRACTED_VALUES_V1,FP_01f0a82eaa1ba010 | FP_0680e86c6e7ff39a | FP_0ac8c33b0c48ace5 | FP_0f3b0fd85e4ceaf8 | FP_102b6bd88f19eb4b | FP_137e809c574be627 | FP_14dd8c252383c102 | FP_18d899ee6e091b11 | FP_1bab90291ff720c2 | FP_21d65eefb2f7c84d | FP_21f84f86f4320893 | FP_2eb51c5c4a81c94c | FP_32e18efd2514b9df | FP_339b997114910652 | FP_36700abc211bf5e5 | FP_3ba606b3abd7a9ce | FP_4040630df334fdbd | FP_458250a263a2b561 | FP_460fbb1824138f0e | FP_47d05e2c1cc481d4 | FP_4c904d48ef0485d6 | FP_5afae1129b49fa60 | FP_5d5e09d2a1b9db36 | FP_5da16957d0a316dd | FP_5e4641da977d44c7 | FP_5fbfec338a71e692 | FP_628457229f14fb22 | FP_628c2a03ce4e4e56 | FP_65bef120db980f80 | FP_67c8548989baefa0 | FP_7119c7e3c59dcf29 | FP_72166b94335f6040 | FP_75d523858f40ee31 | FP_76559329a4acf5d2 | FP_767d85f09bcb92da | FP_7bb9f55149b5a4b7 | FP_7d94f05af4d2a3d1 | FP_7f8d1ab06b944116 | FP_82c163a1eb161452 | FP_83579a294ed44897 | FP_84029f452f2496fc | FP_85fcf5727d1aa90d | FP_8916027f5b373233 | FP_9e4e8c27f192bc88 | FP_9ef2057d507fec3a | FP_a404b2958db0e04b | FP_a5dbed1b9be0e19a | FP_a6167d809c63f95e | FP_a7a672b13dd1288f | FP_b0ce49d000e7ed34 | FP_b437690361c9bd75 | FP_bfa93d8c8dd3fff9 | FP_c3246fe5b1f4ec72 | FP_c559d2c170f5419c | FP_cc5c4c55a54a8747 | FP_d281346bf61718a8 | FP_d4819eae1632abed | FP_dc9558c190b778e4,Median of eligible source-backed values.,APPROVED_FOR_DEMO,TRUE
PAR_4128247749BAD3A9C778,INTEGRATED_COMPLETION_V1,ALL,ALL,rvpi_median,0.7900000000,,ratio,DERIVED,,,data/extracted/fund-level/fund_periods.csv,MEDIAN_OF_POSITIVE_EXTRACTED_VALUES_V1,FP_01f0a82eaa1ba010 | FP_0680e86c6e7ff39a | FP_0ac8c33b0c48ace5 | FP_0f3b0fd85e4ceaf8 | FP_102b6bd88f19eb4b | FP_137e809c574be627 | FP_14dd8c252383c102 | FP_18d899ee6e091b11 | FP_1bab90291ff720c2 | FP_21d65eefb2f7c84d | FP_21f84f86f4320893 | FP_2eb51c5c4a81c94c | FP_32e18efd2514b9df | FP_339b997114910652 | FP_36700abc211bf5e5 | FP_3ba606b3abd7a9ce | FP_4040630df334fdbd | FP_458250a263a2b561 | FP_460fbb1824138f0e | FP_47d05e2c1cc481d4 | FP_4c904d48ef0485d6 | FP_5afae1129b49fa60 | FP_5d5e09d2a1b9db36 | FP_5da16957d0a316dd | FP_5e4641da977d44c7 | FP_5fbfec338a71e692 | FP_628457229f14fb22 | FP_628c2a03ce4e4e56 | FP_65bef120db980f80 | FP_67c8548989baefa0 | FP_7119c7e3c59dcf29 | FP_72166b94335f6040 | FP_75d523858f40ee31 | FP_76559329a4acf5d2 | FP_767d85f09bcb92da | FP_7bb9f55149b5a4b7 | FP_7d94f05af4d2a3d1 | FP_7f8d1ab06b944116 | FP_82c163a1eb161452 | FP_83579a294ed44897 | FP_84029f452f2496fc | FP_85fcf5727d1aa90d | FP_8916027f5b373233 | FP_9e4e8c27f192bc88 | FP_9ef2057d507fec3a | FP_a404b2958db0e04b | FP_a5dbed1b9be0e19a | FP_a6167d809c63f95e | FP_a7a672b13dd1288f | FP_b0ce49d000e7ed34 | FP_b437690361c9bd75 | FP_bfa93d8c8dd3fff9 | FP_c3246fe5b1f4ec72 | FP_c559d2c170f5419c | FP_cc5c4c55a54a8747 | FP_d281346bf61718a8 | FP_d4819eae1632abed | FP_dc9558c190b778e4,Median of eligible source-backed values.,APPROVED_FOR_DEMO,TRUE
PAR_E8D11EB93444148476CD,INTEGRATED_COMPLETION_V1,ALL,ALL,paid_in_ratio_median,1.0000000000,,ratio,DERIVED,,,data/extracted/fund-level/fund_periods.csv,MEDIAN_OF_POSITIVE_EXTRACTED_VALUES_V1,FP_015a6d1eb6fb6c4c | FP_0215883003d5d0f0 | FP_02401df6f1b960e6 | FP_02563ffc4f8af625 | FP_040f678f786628e9 | FP_059e1a052864313f | FP_06a1ef246b77d07c | FP_073115b458b99521 | FP_07f9d7a6458e0c87 | FP_0820afc1f53da5fd | FP_0a1b2f83da3ccc3d | FP_0d0dc3bda3b63b1c | FP_0dbc1b715c649319 | FP_0dc34535a138c3f5 | FP_0fca563ad1f2dcb2 | FP_10dad9a6f47ab555 | FP_12b2f96ea030e951 | FP_1343a440f9973e44 | FP_1356cf9d4933b848 | FP_13e301e3b3258d9d | FP_15e49bb0a26057f3 | FP_168df293a6f18342 | FP_182f2bc86ed93123 | FP_1842863ad620273d | FP_1aff26bc68c78dc7 | FP_1b6835846015f95a | FP_1b6ed8d8405d3993 | FP_1c2958f7d92d181a | FP_1f7659e612b95fd7 | FP_211f25d8af533b6d | FP_215187974a6dd478 | FP_2162496c10c7a94e | FP_223bc45a2f8ff104 | FP_2321045c337a5563 | FP_24f379a77867d284 | FP_2545d8d41c57efc3 | FP_26b793934f58abe1 | FP_27048a9ecaf95028 | FP_2b44319f1829f14a | FP_2b66dce30e712133 | FP_2c6aff26fc606ae9 | FP_2cbe90a3a3ec5328 | FP_2d1fd7466ff96275 | FP_2e7ce207cba6c21b | FP_33537f3b30692600 | FP_33579cdc71f5b82d | FP_338ad79fe446d011 | FP_33aa8a4e4a6af5a8 | FP_33e913261ee3f35f | FP_34d2be89d4ef204c | FP_3644dbae17ffedc6 | FP_3772f4c350f5a4d6 | FP_389d6614888e6135 | FP_38e8dc710c8627ff | FP_38ee72236ee8f4ac | FP_3a6c2501eb34c645 | FP_3ab43a98e33fe06b | FP_3b5126c2538a98d3 | FP_3d69bb17c63034c7 | FP_3fed5620394aa141 | FP_405619b391cc37d1 | FP_41915dc65e565e15 | FP_41d54f521019d7d5 | FP_42e976a27ae4e0af | FP_43f050458bd540ec | FP_45288b1423c00df1 | FP_4557cf19e28a2c56 | FP_46fdaf4b783833ba | FP_48bd4fbf63afc0f3 | FP_4c189d31726558f6 | FP_4d7aca5ebd0c757d | FP_4e7aeae421545255 | FP_4eaf96b5cbcad139 | FP_5182b800dbd4f3c1 | FP_51a54aed2bf2e02c | FP_52e8de85250b84cc | FP_533387b6f33007a0 | FP_5454f48e77e449f9 | FP_54f3821cc15b74e8 | FP_5566dadf9ed48ecb | FP_56db909f7c85f5d6 | FP_56e61cc8fb0841ec | FP_571909171075d4fc | FP_5721f2d52f7474f7 | FP_5734055d8115b194 | FP_579f48fb1fd37714 | FP_58a3081bcb9fc22d | FP_5a48c4835e56229a | FP_5bee1c3b0df85ef6 | FP_5c07fa85d55cc3fd | FP_5c74c699eb8639ca | FP_5ccd55a0ce0b335e | FP_606cfd9da213c652 | FP_615ec8eebf9930f2 | FP_63572c61a71ac65f | FP_63f1202545f081c9 | FP_6474caf0460b9c13 | FP_649966da6fec3712 | FP_6558ab79c15efe40 | FP_66b13e1c09407e0d | FP_684291184fe6be0c | FP_687af4319e518124 | FP_6a8d72cfc6e16caa | FP_6ae8b91a39a12a03 | FP_6af7989009de3796 | FP_6b4336789c2c6429 | FP_6d1db6bea7058922 | FP_6ef847161466c373 | FP_6f20ab52234c3e8e | FP_72717c23af2a49ad | FP_731b56a55ec1116e | FP_73d03790be423220 | FP_7429472ddba7f413 | FP_75285947f40ea5de | FP_7589d383606f73b5 | FP_76079955852127f5 | FP_77392569b425592c | FP_773cc50ab1446081 | FP_77cbd762dffa51fb | FP_79b50fb1cd2acba0 | FP_7a0d26ae37389e71 | FP_7b7e9ef825ac3321 | FP_7b9d851722c93822 | FP_7c7120198661b0b9 | FP_7d28c7670679ea19 | FP_7edbe31cad2c2ab9 | FP_7f4dd9348c355c9f | FP_7ffd48f71f56c5fb | FP_808c421098466dd8 | FP_80914de6071e4868 | FP_80ef60aa7a9c7145 | FP_83e122e5b5b219d5 | FP_840a79fe298c15ae | FP_84189b11a6e0f382 | FP_852c612a015316f0 | FP_87fe2f94f8863627 | FP_88699a37f2c6d4fc | FP_892765f58ec3cb7d | FP_8948830260c7ec8e | FP_8a1ee190007368e8 | FP_8a72bd55608f649e | FP_8c029da2330c74cd | FP_8c866f01d48e2aee | FP_8ca46ee8a34e69c0 | FP_8cb082f6ceb067c9 | FP_8ccd44ec4ae98867 | FP_8d4ffb378bc41bbf | FP_8eaa2fa8b4e2098a | FP_902ff87f8392ed22 | FP_90a17c7720109932 | FP_92566f7f86d22461 | FP_9320ca8929bacf9c | FP_932f0c5da9155d22 | FP_93af57c82348fb05 | FP_9468b9ab2b56e8c3 | FP_954204dcb31bf879 | FP_9844acfe16270c53 | FP_98588c2fdc06c433 | FP_9892b60a1355478b | FP_98d0860c822817e6 | FP_9c6beac200864602 | FP_9d1b63113863965c | FP_9ffa0bc85f03451e | FP_a048a6b310d46632 | FP_a0a751effaa4f637 | FP_a2a0e3f0cda376eb | FP_a352d01f60beed2a | FP_a3d0389567b7d861 | FP_a3d5a59ec2971ed5 | FP_a48ee526cd8a736e | FP_a6cf2695c8149ae9 | FP_a727845dcc6a7978 | FP_a9f8b48e49e9fc9b | FP_abbbb453a60e4a95 | FP_ad5dcbbf12b5ae7b | FP_ad6d1df1567de447 | FP_ade08daed8ef848d | FP_ae80babb5164c7bf | FP_aed5ce050218c0f6 | FP_aee58e0b9009eb1d | FP_b162df4d066f1ab6 | FP_b43116cf66885e26 | FP_b71e10189e85ce53 | FP_b754d0d76e31a793 | FP_b76e2ece32487465 | FP_b90fd6bce16e66ef | FP_b91d8e998efa78d9 | FP_b92d8d2afc0125f2 | FP_b96bd62fab3fb4cf | FP_ba14cddf1d31d242 | FP_ba25d54b27766734 | FP_bac956c67f401c48 | FP_bd4ba38ce19fd251 | FP_bea2ac5809ef5c22 | FP_bf48a9b8f16a6a7a | FP_c067217bdc380fb8 | FP_c2b0d93e491f9a5d | FP_c33341566b268b6b | FP_c56ef8989f1caa21 | FP_c5fa9bcd057f73e8 | FP_c6baa9dbb58f86bd | FP_c90b434b8ba6ac17 | FP_c9f91e22c17b1040 | FP_ca375368572070f9 | FP_ca79d55af2f2b691 | FP_ca84ebd98a6f470e | FP_cae36422ef75f8ea | FP_cb9d7f9c688123be | FP_cd9607496cba6b6c | FP_cdb976c78d868de8 | FP_cdc51ef994f1c2d4 | FP_cdc9307c604305f3 | FP_ce8862fc56396bac | FP_ce8fe3b6c33d3116 | FP_cec7a1365ee3f2f0 | FP_cf97dbfa53272280 | FP_d042e74626691028 | FP_d06a7fa457db30b9 | FP_d15941a895d99e1f | FP_d1eb7edc75fd4579 | FP_d355dc994430bbf1 | FP_d5387f1bfc5946ae | FP_d58780b4d9ce1eab | FP_d640a6343160b3a2 | FP_d71e7ed84d811200 | FP_db820568b3776924 | FP_dc1723995734966f | FP_dc22e9dd65e73fff | FP_de7fe27ce6e90c80 | FP_dfa25ad9d996df27 | FP_e0cbe79a12e84299 | FP_e2bafc7890ea4bb2 | FP_e2d74c122ea9a0fc | FP_e3164d8e7884636a | FP_e3790698c67f9bbe | FP_e49324c41e2bfeb9 | FP_e495c5599bc7d079 | FP_e4f8333ed5128c9f | FP_e5a59edb9d3196bf | FP_e7f95a0854accc5c | FP_e86c4057afdc52b4 | FP_e951538f2d392058 | FP_ea2058b3fde5a64a | FP_ea616d730669c575 | FP_eae4c928219d23f7 | FP_ec9b6c0d22147a69 | FP_eca1603af167f641 | FP_ed5bbb05489f9436 | FP_ee8bb24270a6b2ef | FP_eeb25e1371ba653e | FP_ef9b46aab76432cc | FP_efc66e200716b75e | FP_f1e88476f0c38133 | FP_f22f1f9b1c0cbddf | FP_f24aaa17e5f7fd4f | FP_f2f9fc634849a6f4 | FP_f407b00de720764d | FP_f549f35b1e7819ff | FP_f6d401b2128fb382 | FP_f85e751f0268482b | FP_f950c4a806377378 | FP_fce48e9e50abfc94 | FP_fd8128655115b28a | FP_fdfb2ba50c277172 | FP_ff1271e5b37867c4 | FP_ff465c2f9bbe6593 | FP_ff6bdbee524a5363,Median of eligible source-backed values.,APPROVED_FOR_DEMO,TRUE
PAR_F29C816E9349065E9692,INTEGRATED_COMPLETION_V1,ALL,ALL,seed,20260825,,integer,ASSUMED,,,config/integrated_completion.yml,,,Declared integration parameter; it is not represented as an extracted fact.,APPROVED_FOR_DEMO,TRUE
PAR_47929698A37A68530575,INTEGRATED_COMPLETION_V1,ALL,ALL,as_of_date,,2026-06-30,date,ASSUMED,,,config/integrated_completion.yml,,,Declared integration parameter; it is not represented as an extracted fact.,APPROVED_FOR_DEMO,TRUE
PAR_A8209B14A6AA266F2788,INTEGRATED_COMPLETION_V1,ALL,ALL,benchmark_id,,BMK_ETF_SPY,identifier,ASSUMED,,,config/integrated_completion.yml,,,Declared integration parameter; it is not represented as an extracted fact.,APPROVED_FOR_DEMO,TRUE
PAR_8C4AA45C47BEA5E2189E,INTEGRATED_COMPLETION_V1,ALL,ALL,strategy_fallback,,Diversified Alternatives,text,ASSUMED,,,config/integrated_completion.yml,,,Declared integration parameter; it is not represented as an extracted fact.,APPROVED_FOR_DEMO,TRUE
PAR_CCD5D0C5AF43995A4D33,INTEGRATED_COMPLETION_V1,ALL,ALL,currency_fallback,,USD,currency,ASSUMED,,,config/integrated_completion.yml,,,Declared integration parameter; it is not represented as an extracted fact.,APPROVED_FOR_DEMO,TRUE
PAR_650C5CBE3AA20BB089D9,INTEGRATED_COMPLETION_V1,ALL,ALL,fund_size_fallback,250000000,,currency,ASSUMED,,,config/integrated_completion.yml,,,Declared integration parameter; it is not represented as an extracted fact.,APPROVED_FOR_DEMO,TRUE
