fund_term_id,fund_id,lp_id,lp_name,share_class_name,perspective,term_scope,overrides_fund_term_id,effective_date,effective_end_date,management_fee_rate,management_fee_basis,carry_rate,hurdle_rate,catch_up_rate,catch_up_present,waterfall_type,fund_term_years,extension_years,preferred_return_compounding,expense_cap_rate,maximum_offering,currency,provenance_type,source_document_id,source_page,source_anchor,synthetic_parameter_set_id,record_status
TERMINT_48BEB3992B4FA672BDE9,FUND_0001,,,,fund_total,base_fund,,2022-01-01,2034-12-31,0.0201961827,committed_capital,0.2000000000,0.0800000000,1.0000000000,TRUE,whole_fund,10.0000,2.0000,annual,0.0030000000,349825873.096101,USD,SYNTHETIC,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
TERMINT_B9BC9B513B633069628E,FUND_0002,,,,fund_total,base_fund,,2006-01-01,2018-12-31,0.0190087344,committed_capital,0.2000000000,0.0800000000,1.0000000000,TRUE,whole_fund,10.0000,2.0000,annual,0.0030000000,228209692.089036,USD,SYNTHETIC,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
TERMINT_BF99902E2BE8BB6941D3,FUND_0003,,,,fund_total,base_fund,,2009-01-01,2021-12-31,0.0214315684,committed_capital,0.2500000000,0.0600000000,1.0000000000,TRUE,whole_fund,10.0000,2.0000,annual,0.0030000000,243470807.146070,USD,SYNTHETIC,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
TERMINT_F92B32896C3C4D55CBEE,FUND_0004,,,,fund_total,base_fund,,2007-01-01,2019-12-31,0.0222635014,committed_capital,0.2500000000,0.0600000000,1.0000000000,TRUE,whole_fund,10.0000,2.0000,annual,0.0030000000,332543959.972742,USD,SYNTHETIC,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
TERMINT_F686896EBB97717B431E,FUND_0005,,,,fund_total,base_fund,,2020-01-01,2032-12-31,0.0230225859,committed_capital,0.2000000000,0.0800000000,1.0000000000,TRUE,whole_fund,10.0000,2.0000,annual,0.0030000000,588931371.971365,USD,SYNTHETIC,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
TERMINT_CF40546084951E62F846,FUND_0006,,,,fund_total,base_fund,,2016-01-01,2028-12-31,0.0245302875,committed_capital,0.2000000000,0.0800000000,1.0000000000,TRUE,whole_fund,10.0000,2.0000,annual,0.0030000000,333212343.901020,USD,SYNTHETIC,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
TERMINT_1007D078F3557D482478,FUND_0007,,,,fund_total,base_fund,,2018-01-01,2030-12-31,0.0224456305,committed_capital,0.2000000000,0.0800000000,1.0000000000,TRUE,whole_fund,10.0000,2.0000,annual,0.0030000000,198549466.632140,USD,SYNTHETIC,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
TERMINT_91D5801672EA25D0D07E,FUND_0008,,,,fund_total,base_fund,,2019-01-01,2031-12-31,0.0176514645,committed_capital,0.2000000000,0.0800000000,1.0000000000,TRUE,whole_fund,10.0000,2.0000,annual,0.0030000000,498150878.878504,USD,SYNTHETIC,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
TERMINT_96905F710BCE9C1AF41A,FUND_0009,,,,fund_total,base_fund,,2021-01-01,2033-12-31,0.0246397284,committed_capital,0.2000000000,0.0800000000,1.0000000000,TRUE,whole_fund,10.0000,2.0000,annual,0.0030000000,542460222.420835,USD,SYNTHETIC,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
TERMINT_CECCBA1F6045D3E9F244,FUND_0010,,,,fund_total,base_fund,,2007-01-01,2019-12-31,0.0198746121,committed_capital,0.2000000000,0.0800000000,1.0000000000,TRUE,whole_fund,10.0000,2.0000,annual,0.0030000000,356179709.394598,USD,SYNTHETIC,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
TERMINT_6761429EF0F4F4C5F2FC,FUND_0011,,,,fund_total,base_fund,,2015-01-01,2027-12-31,0.0152730247,committed_capital,0.2000000000,0.0800000000,1.0000000000,TRUE,whole_fund,10.0000,2.0000,annual,0.0030000000,166286942.370386,USD,SYNTHETIC,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
TERMINT_34437044BD9E9FB2E69B,FUND_0012,,,,fund_total,base_fund,,2020-01-01,2032-12-31,0.0190187547,committed_capital,0.2000000000,0.0800000000,1.0000000000,TRUE,whole_fund,10.0000,2.0000,annual,0.0030000000,376276636.666366,USD,SYNTHETIC,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
