fund_id,fund_name,legal_name,fund_manager_id,fund_manager_name,strategy,sub_strategy,vintage_year,domicile,base_currency,fund_size,fund_size_currency,first_close_date,final_close_date,termination_date,fund_status,provenance_type,source_document_id,source_page,source_anchor,synthetic_parameter_set_id,record_status,created_at
FUND_0001,"Incline Equity Partners III (PSERS), L.P.","Incline Equity Partners III (PSERS), L.P.",MGR_0011,Incline Equity Partners,Buyout,Buyout,2022,,USD,349825873.096101,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC029,1,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0002,"Milestone Partners II, L.P.","Milestone Partners II, L.P.",MGR_0012,Milestone Partners,Diversified Alternatives,Multi-Strategy,2006,,USD,228209692.089036,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC029,3,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0003,"New Mountain Partners IV, L.P.","New Mountain Partners IV, L.P.",MGR_0013,New Mountain Partners,Secondary Investments,Multi-Strategy,2009,,USD,243470807.146070,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC029,5,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0004,"Adventure Fund I, L.P.","Adventure Fund I, L.P.",,,Growth Equity,Venture Capital,2007,,USD,332543959.972742,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,1,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0005,Builders VC Fund II,Builders VC Fund II,,,Venture Capital,Multi-Strategy,2020,,USD,588931371.971365,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,3,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0006,"Cascade Angels Fund 2016, L.P.","Cascade Angels Fund 2016, L.P.",MGR_0014,Cascade Angels,Venture Capital,Venture Capital,2016,,USD,333212343.901020,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,2,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0007,"Cascade Angels Fund V, LLC","Cascade Angels Fund V, LLC",MGR_0014,Cascade Angels,Venture Capital,Venture Capital,2018,,USD,198549466.632140,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,3,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0008,"Cascade Seed Fund I, LLC","Cascade Seed Fund I, LLC",MGR_0015,Cascade Seed,Venture Capital,Venture Capital,2019,,USD,498150878.878504,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,3,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0009,Cascade Seed Fund II,Cascade Seed Fund II,MGR_0015,Cascade Seed,Venture Capital,Venture Capital,2021,,USD,542460222.420835,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,3,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0010,"DFJ Frontier Fund II, L.P.","DFJ Frontier Fund II, L.P.",MGR_0016,DFJ Frontier,Venture Capital,Multi-Strategy,2007,,USD,356179709.394598,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,1,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0011,"Ecotrust Forests II, LLC","Ecotrust Forests II, LLC",MGR_0017,Ecotrust Forests,Natural Resources,Multi-Strategy,2015,,USD,166286942.370386,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,2,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0012,Elevate Capital Fund II,Elevate Capital Fund II,MGR_0018,Elevate Capita,Venture Capital,Multi-Strategy,2020,,USD,376276636.666366,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,3,,,ACTIVE,2026-08-10T23:57:56Z
