defect_id,parameter_set_id,record_table,record_id,fund_id,defect_type,field_name,clean_value,injected_value,expected_rule_id,seed,notes
DEF_F85433CE54089A0C7708,INTEGRATED_COMPLETION_V1,fund_periods,FPRINT_9B25F06EAD31B88B05FF,FUND_0001,WRONG_TVPI,tvpi,1.1536710429,101.1536710429,R02_TVPI_COMPONENTS,20260825,The damaged row is isolated in data/integrated/defect-periods.csv; fund-model data stays clean.
DEF_6C0EB7C87FA87A5B9EC2,INTEGRATED_COMPLETION_V1,fund_periods,FPRINT_D89D3607251F631B9972,FUND_0002,NEGATIVE_NAV,nav,61408542.497991,-61408543.497991,R01_NONNEGATIVE_BALANCES,20260825,The damaged row is isolated in data/integrated/defect-periods.csv; fund-model data stays clean.
DEF_2A4E1E3FBE726B71CF5F,INTEGRATED_COMPLETION_V1,fund_periods,FPRINT_CD32EC1729642FDD0E79,FUND_0003,FUTURE_VINTAGE,vintage_year,2009,2027,R09_VINTAGE_DATE,20260825,The damaged row is isolated in data/integrated/defect-periods.csv; fund-model data stays clean.
DEF_C8C82D7F829CE20CED1B,INTEGRATED_COMPLETION_V1,fund_periods,FPRINT_CDA69B0F87B24F979F5B,FUND_0004,COMMITMENT_BREAK,commitment,3000000.000000,3750000.000000,R06_COMMITMENT_RECONCILIATION,20260825,The damaged row is isolated in data/integrated/defect-periods.csv; fund-model data stays clean.
DEF_2BCA46AE58C481D2892D,INTEGRATED_COMPLETION_V1,fund_periods,FPRINT_3070A16ABD92E47E85D9,FUND_0005,NAV_ROLLFORWARD_BREAK,ending_nav,765912.000000,957390.000000,R07_NAV_ROLLFORWARD,20260825,The damaged row is isolated in data/integrated/defect-periods.csv; fund-model data stays clean.
DEF_440B6861934A5E989520,INTEGRATED_COMPLETION_V1,fund_periods,FPRINT_EE11E0E4375F8FA0AAFA,FUND_0006,WRONG_DPI,dpi,0.6245340000,100.6245340000,R03_DPI_RECOMPUTE,20260825,The damaged row is isolated in data/integrated/defect-periods.csv; fund-model data stays clean.
DEF_E194AD1300FB705FCCD9,INTEGRATED_COMPLETION_V1,fund_periods,FPRINT_5F2702995A2C854D5690,FUND_0007,WRONG_TVPI,tvpi,1.4043050000,101.4043050000,R02_TVPI_COMPONENTS,20260825,The damaged row is isolated in data/integrated/defect-periods.csv; fund-model data stays clean.
DEF_C95285E0219A4FE7DB84,INTEGRATED_COMPLETION_V1,fund_periods,FPRINT_85E3B87612C23E5DC6AF,FUND_0008,NEGATIVE_NAV,nav,2000000.000000,-2000001.000000,R01_NONNEGATIVE_BALANCES,20260825,The damaged row is isolated in data/integrated/defect-periods.csv; fund-model data stays clean.
DEF_726612BEAECFF70DFFF7,INTEGRATED_COMPLETION_V1,fund_periods,FPRINT_4AE7BFA2BBDCFED98E2B,FUND_0009,FUTURE_VINTAGE,vintage_year,2021,2027,R09_VINTAGE_DATE,20260825,The damaged row is isolated in data/integrated/defect-periods.csv; fund-model data stays clean.
DEF_FE738A3D7B495109AA13,INTEGRATED_COMPLETION_V1,fund_periods,FPRINT_8D6DD09AB6DA10227301,FUND_0010,COMMITMENT_BREAK,commitment,5000000.000000,6250000.000000,R06_COMMITMENT_RECONCILIATION,20260825,The damaged row is isolated in data/integrated/defect-periods.csv; fund-model data stays clean.
DEF_430252078761EE853306,INTEGRATED_COMPLETION_V1,fund_periods,FPRINT_E2505BDD1A047F874C8E,FUND_0011,NAV_ROLLFORWARD_BREAK,ending_nav,3357542.000000,4196927.500000,R07_NAV_ROLLFORWARD,20260825,The damaged row is isolated in data/integrated/defect-periods.csv; fund-model data stays clean.
DEF_51B01F4565FFFFB86210,INTEGRATED_COMPLETION_V1,fund_periods,FPRINT_C400995A22DEAB987D7E,FUND_0012,WRONG_DPI,dpi,0.0100000000,100.0100000000,R03_DPI_RECOMPUTE,20260825,The damaged row is isolated in data/integrated/defect-periods.csv; fund-model data stays clean.
