cashflow_id,fund_id,lp_id,lp_name,share_class_name,file_id,cashflow_event_id,date_role,date_raw,date_precision,cashflow_date,report_date,due_date,cashflow_type,amount,currency,amount_base_currency,base_currency,fx_rate,recallable_amount,provenance_type,source_page,source_anchor,synthetic_parameter_set_id,defect_expected,record_status
CF_a726b8601a8dfeba,FUND_0156,LP_0001,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,SRC462,,cashflow,"March 31, 2017",day,2017-03-31,,,fee,-55321,USD,,,,,EXTRACTED,1,Statement of Partner’s Capital Account / Current income tax expense / 1st Quarter 2017,,,ACTIVE
CF_c205a6342442c751,FUND_0156,LP_0001,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,SRC462,,cashflow,"March 31, 2017",day,2017-03-31,,,fee,-2758235,USD,,,,,EXTRACTED,1,"Statement of Partner’s Capital Account / Current income tax expense / Inception-to-Date March 31, 2017",,,ACTIVE
CF_5c2ac17fb6e5cec0,FUND_0156,LP_0001,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,SRC462,,cashflow,"March 31, 2017",day,2017-03-31,,,fee,-55321,USD,,,,,EXTRACTED,1,"Statement of Partner’s Capital Account / Current income tax expense / Year-to-Date March 31, 2017",,,ACTIVE
CF_2eb3fe78746d2dc6,FUND_0156,LP_0001,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,SRC462,,cashflow,"March 31, 2017",day,2017-03-31,,,fee,-235132,USD,,,,,EXTRACTED,1,Statement of Partner’s Capital Account / Deferred income tax benefit (expense) / 1st Quarter 2017,,,ACTIVE
CF_d2308f78887e131a,FUND_0156,LP_0001,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,SRC462,,cashflow,"March 31, 2017",day,2017-03-31,,,fee,-49571,USD,,,,,EXTRACTED,1,"Statement of Partner’s Capital Account / Deferred income tax benefit (expense) / Inception-to-Date March 31, 2017",,,ACTIVE
CF_51765fcfc6b3930c,FUND_0156,LP_0001,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,SRC462,,cashflow,"March 31, 2017",day,2017-03-31,,,fee,-235132,USD,,,,,EXTRACTED,1,"Statement of Partner’s Capital Account / Deferred income tax benefit (expense) / Year-to-Date March 31, 2017",,,ACTIVE
CF_abaa4cdd798ee20e,FUND_0156,LP_0001,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,SRC462,,cashflow,"March 31, 2017",day,2017-03-31,,,other,-6961,USD,,,,,EXTRACTED,1,Statement of Partner’s Capital Account / Interest expense / 1st Quarter 2017,,,ACTIVE
CF_8f06ca955b7ad772,FUND_0156,LP_0001,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,SRC462,,cashflow,"March 31, 2017",day,2017-03-31,,,other,-131041,USD,,,,,EXTRACTED,1,"Statement of Partner’s Capital Account / Interest expense / Inception-to-Date March 31, 2017",,,ACTIVE
CF_4a104858f4e7a79f,FUND_0156,LP_0001,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,SRC462,,cashflow,"March 31, 2017",day,2017-03-31,,,other,-6961,USD,,,,,EXTRACTED,1,"Statement of Partner’s Capital Account / Interest expense / Year-to-Date March 31, 2017",,,ACTIVE
CF_75baa105ea648d4a,FUND_0156,LP_0001,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,SRC462,,cashflow,"March 31, 2017",day,2017-03-31,,,fee,-290453,USD,,,,,EXTRACTED,1,Statement of Partner’s Capital Account / Net income tax benefit (expense) / 1st Quarter 2017,,,ACTIVE
CF_0f26ed41547f40a6,FUND_0156,LP_0001,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,SRC462,,cashflow,"March 31, 2017",day,2017-03-31,,,fee,-2807806,USD,,,,,EXTRACTED,1,"Statement of Partner’s Capital Account / Net income tax benefit (expense) / Inception-to-Date March 31, 2017",,,ACTIVE
CF_823ff07d78cf3b1f,FUND_0156,LP_0001,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,SRC462,,cashflow,"March 31, 2017",day,2017-03-31,,,fee,-290453,USD,,,,,EXTRACTED,1,"Statement of Partner’s Capital Account / Net income tax benefit (expense) / Year-to-Date March 31, 2017",,,ACTIVE
CF_f26d022cb46d9e17,FUND_0156,LP_0001,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,SRC462,,cashflow,"March 31, 2017",day,2017-03-31,,,fee,-59460,USD,,,,,EXTRACTED,1,"Statement of Partner’s Capital Account / Offering and organizational expenses / Inception-to-Date March 31, 2017",,,ACTIVE
CF_412900c2bdd717dd,FUND_0156,LP_0001,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,SRC462,,cashflow,"March 31, 2017",day,2017-03-31,,,fee,-6691,USD,,,,,EXTRACTED,1,Statement of Partner’s Capital Account / Partnership expenses / 1st Quarter 2017,,,ACTIVE
CF_793c4e50fad7e2ef,FUND_0156,LP_0001,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,SRC462,,cashflow,"March 31, 2017",day,2017-03-31,,,fee,-432674,USD,,,,,EXTRACTED,1,"Statement of Partner’s Capital Account / Partnership expenses / Inception-to-Date March 31, 2017",,,ACTIVE
CF_f1f79257648267fd,FUND_0156,LP_0001,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,SRC462,,cashflow,"March 31, 2017",day,2017-03-31,,,fee,-6691,USD,,,,,EXTRACTED,1,"Statement of Partner’s Capital Account / Partnership expenses / Year-to-Date March 31, 2017",,,ACTIVE
CFINT_B8801A50A3178F991EF9,FUND_0001,,,,,EVTINT_6D79B3F312FDC8271E5B,cashflow,2022-04-06,day,2022-04-06,,,capital_call,-97164710.347047,USD,-97164710.347047,USD,1.0000000000,0.000000,SYNTHETIC,,generated from FPRINT_9B25F06EAD31B88B05FF,INTEGRATED_COMPLETION_V1,FALSE,ACTIVE
CFINT_F2994D48554F4FEA5618,FUND_0001,,,,,EVTINT_60A0BB634A6DC35170E7,cashflow,2022-11-03,day,2022-11-03,,,capital_call,-97164710.347047,USD,-97164710.347047,USD,1.0000000000,0.000000,SYNTHETIC,,generated from FPRINT_9B25F06EAD31B88B05FF,INTEGRATED_COMPLETION_V1,FALSE,ACTIVE
CFINT_FA2645466D9E2462FF83,FUND_0001,,,,,EVTINT_27F8D4DF0A8A772DBA8E,cashflow,2023-06-03,day,2023-06-03,,,capital_call,-80970591.955872,USD,-80970591.955872,USD,1.0000000000,0.000000,SYNTHETIC,,generated from FPRINT_9B25F06EAD31B88B05FF,INTEGRATED_COMPLETION_V1,FALSE,ACTIVE
CFINT_E39183294574CCDEDA65,FUND_0001,,,,,EVTINT_375468DFF1F28F471519,cashflow,2023-12-31,day,2023-12-31,,,capital_call,-48582355.173523,USD,-48582355.173523,USD,1.0000000000,0.000000,SYNTHETIC,,generated from FPRINT_9B25F06EAD31B88B05FF,INTEGRATED_COMPLETION_V1,FALSE,ACTIVE
CFINT_09251B10BFAB6C0C11CE,FUND_0001,,,,,EVTINT_C55480CC0327386CE50C,cashflow,2024-09-17,day,2024-09-17,,,distribution,14656740.182136,USD,14656740.182136,USD,1.0000000000,0.000000,SYNTHETIC,,generated from FPRINT_9B25F06EAD31B88B05FF,INTEGRATED_COMPLETION_V1,FALSE,ACTIVE
CFINT_EA4049A42FE8BA91BC11,FUND_0001,,,,,EVTINT_CEC20652F21A8E13554B,cashflow,2025-06-04,day,2025-06-04,,,distribution,20519436.254991,USD,20519436.254991,USD,1.0000000000,0.000000,SYNTHETIC,,generated from FPRINT_9B25F06EAD31B88B05FF,INTEGRATED_COMPLETION_V1,FALSE,ACTIVE
CFINT_D065963962B2314F0370,FUND_0001,,,,,EVTINT_68EF751A82525D925CA3,cashflow,2026-01-18,day,2026-01-18,,,distribution,23450784.291419,USD,23450784.291419,USD,1.0000000000,0.000000,SYNTHETIC,,generated from FPRINT_9B25F06EAD31B88B05FF,INTEGRATED_COMPLETION_V1,FALSE,ACTIVE
CFINT_C44C01C834041E08302B,FUND_0002,,,,,EVTINT_88F427E93EB1367C8E50,cashflow,2007-01-23,day,2007-01-23,,,capital_call,-67093649.474176,USD,-67093649.474176,USD,1.0000000000,0.000000,SYNTHETIC,,generated from FPRINT_D89D3607251F631B9972,INTEGRATED_COMPLETION_V1,FALSE,ACTIVE
CFINT_387ED6904D5D1692F48C,FUND_0002,,,,,EVTINT_FECC3B5A187735F6BE48,cashflow,2009-09-20,day,2009-09-20,,,capital_call,-67093649.474176,USD,-67093649.474176,USD,1.0000000000,0.000000,SYNTHETIC,,generated from FPRINT_D89D3607251F631B9972,INTEGRATED_COMPLETION_V1,FALSE,ACTIVE
CFINT_90F927D8E54780B68D55,FUND_0002,,,,,EVTINT_9D5803CFC8DD142E3379,cashflow,2012-05-19,day,2012-05-19,,,capital_call,-55911374.561814,USD,-55911374.561814,USD,1.0000000000,0.000000,SYNTHETIC,,generated from FPRINT_D89D3607251F631B9972,INTEGRATED_COMPLETION_V1,FALSE,ACTIVE
CFINT_7F550187B62FEB5BE7BB,FUND_0002,,,,,EVTINT_2669EFA65A6939A5712C,cashflow,2015-01-15,day,2015-01-15,,,capital_call,-33546824.737089,USD,-33546824.737089,USD,1.0000000000,0.000000,SYNTHETIC,,generated from FPRINT_D89D3607251F631B9972,INTEGRATED_COMPLETION_V1,FALSE,ACTIVE
CFINT_BD892C64B4237071189F,FUND_0002,,,,,EVTINT_879095294203A3138FDE,cashflow,2018-04-24,day,2018-04-24,,,distribution,55247720.949793,USD,55247720.949793,USD,1.0000000000,0.000000,SYNTHETIC,,generated from FPRINT_D89D3607251F631B9972,INTEGRATED_COMPLETION_V1,FALSE,ACTIVE
CFINT_83C77BF4E989BF173565,FUND_0002,,,,,EVTINT_4C806985766FE0A4EAAA,cashflow,2021-08-01,day,2021-08-01,,,distribution,77346809.329710,USD,77346809.329710,USD,1.0000000000,0.000000,SYNTHETIC,,generated from FPRINT_D89D3607251F631B9972,INTEGRATED_COMPLETION_V1,FALSE,ACTIVE
CFINT_75627A08891FD37DA135,FUND_0002,,,,,EVTINT_ADACF23BBD7617F237A6,cashflow,2024-06-12,day,2024-06-12,,,distribution,88396353.519668,USD,88396353.519668,USD,1.0000000000,0.000000,SYNTHETIC,,generated from FPRINT_D89D3607251F631B9972,INTEGRATED_COMPLETION_V1,FALSE,ACTIVE
CFINT_3F28CDA466C92B9F2BD4,FUND_0003,,,,,EVTINT_8AFEC66EF904820996DC,cashflow,2009-11-29,day,2009-11-29,,,capital_call,-71580417.300945,USD,-71580417.300945,USD,1.0000000000,0.000000,SYNTHETIC,,generated from FPRINT_CD32EC1729642FDD0E79,INTEGRATED_COMPLETION_V1,FALSE,ACTIVE
CFINT_700DA739B37CED3CACE5,FUND_0003,,,,,EVTINT_536079E0032E31D4B515,cashflow,2012-03-07,day,2012-03-07,,,capital_call,-71580417.300945,USD,-71580417.300945,USD,1.0000000000,0.000000,SYNTHETIC,,generated from FPRINT_CD32EC1729642FDD0E79,INTEGRATED_COMPLETION_V1,FALSE,ACTIVE
CFINT_0F571E6A7B7C66FC1862,FUND_0003,,,,,EVTINT_D5968BF07CF9663FC99D,cashflow,2014-06-14,day,2014-06-14,,,capital_call,-59650347.750787,USD,-59650347.750787,USD,1.0000000000,0.000000,SYNTHETIC,,generated from FPRINT_CD32EC1729642FDD0E79,INTEGRATED_COMPLETION_V1,FALSE,ACTIVE
CFINT_978ED771DAE11578BB2E,FUND_0003,,,,,EVTINT_98DF579D495B2A66F0B3,cashflow,2016-09-20,day,2016-09-20,,,capital_call,-35790208.650472,USD,-35790208.650472,USD,1.0000000000,0.000000,SYNTHETIC,,generated from FPRINT_CD32EC1729642FDD0E79,INTEGRATED_COMPLETION_V1,FALSE,ACTIVE
CFINT_763A421CF75696751ADF,FUND_0003,,,,,EVTINT_213BA3ED46B1029AB128,cashflow,2019-07-07,day,2019-07-07,,,distribution,49991548.116414,USD,49991548.116414,USD,1.0000000000,0.000000,SYNTHETIC,,generated from FPRINT_CD32EC1729642FDD0E79,INTEGRATED_COMPLETION_V1,FALSE,ACTIVE
CFINT_CDD3E804AACE9CDB2EED,FUND_0003,,,,,EVTINT_14F0B7AD3BBF33EAC8FE,cashflow,2022-04-22,day,2022-04-22,,,distribution,69988167.362980,USD,69988167.362980,USD,1.0000000000,0.000000,SYNTHETIC,,generated from FPRINT_CD32EC1729642FDD0E79,INTEGRATED_COMPLETION_V1,FALSE,ACTIVE
CFINT_6F7920DFC9DC24AFF5E0,FUND_0003,,,,,EVTINT_46CF23B07C18162BAAEF,cashflow,2024-09-30,day,2024-09-30,,,distribution,79986476.986263,USD,79986476.986263,USD,1.0000000000,0.000000,SYNTHETIC,,generated from FPRINT_CD32EC1729642FDD0E79,INTEGRATED_COMPLETION_V1,FALSE,ACTIVE
CFINT_76EC8313399467003040,FUND_0004,,,,,EVTINT_BADD7FF6235595D3001D,cashflow,2008-01-05,day,2008-01-05,,,capital_call,-767562.900000,USD,-767562.900000,USD,1.0000000000,0.000000,SYNTHETIC,,generated from FPRINT_CDA69B0F87B24F979F5B,INTEGRATED_COMPLETION_V1,FALSE,ACTIVE
