position_id,source_holding_id,owner_id,owner_fund_id,instrument_id,position_class,accounting_scope,date_role,date_raw,date_precision,as_of_date,report_date,period_start_date,period_end_date,effective_date,quantity_raw,quantity,quantity_unit,currency,cost,fair_value,market_value,reported_value,realized_proceeds,commitment,unfunded_commitment,principal_amount,notional_amount,fund_ownership_fraction,portfolio_weight_fraction,initial_investment_date,exit_date,classification_confidence,classification_confidence_basis,classification_confidence_reason,provenance_type,origin_type,source_document_id,source_page,source_anchor,synthetic_parameter_set_id,record_status
POS_GENERATED_0052EC0229B04D13AD7A,,OWNER_FUND_0967,FUND_0967,INSTR_GENERATED_0052EC0229B04D13AD7A,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,37578032.033213,43214736.838195,,,,,,,,0.1500000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_006EB61582D2FBAF04AA,,OWNER_FUND_0841,FUND_0841,INSTR_GENERATED_006EB61582D2FBAF04AA,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,21478689.633101,28996231.004686,,,,,,,,0.2500000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_0076C4E35D47BF7A094B,,OWNER_FUND_0478,FUND_0478,INSTR_GENERATED_0076C4E35D47BF7A094B,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,8914517.766498,11143147.208122,,,,,,,,0.2000000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_0079D7203C7FFBBD63C8,,OWNER_FUND_0409,FUND_0409,INSTR_GENERATED_0079D7203C7FFBBD63C8,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,71397657.489667,82107306.113117,,,,,,,,0.1500000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_0090326304AE1D91EC31,,OWNER_FUND_0514,FUND_0514,INSTR_GENERATED_0090326304AE1D91EC31,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,32817176.722396,44303188.575234,,,,,,,,0.2500000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_00BEB266E656BFD3714A,,OWNER_FUND_0673,FUND_0673,INSTR_GENERATED_00BEB266E656BFD3714A,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,1372000.000000,1715000.000000,,,,,,,,0.2000000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_00C8A200BBA422D8910A,,OWNER_FUND_0314,FUND_0314,INSTR_GENERATED_00C8A200BBA422D8910A,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,96812152.044563,111333974.851247,,,,,,,,0.1500000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_00CF70CEC4B266E84F08,,OWNER_FUND_0140,FUND_0140,INSTR_GENERATED_00CF70CEC4B266E84F08,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,51243591.104271,58930129.769912,,,,,,,,0.1500000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_00DCF1CBC4AF9E0C46A8,,OWNER_FUND_0493,FUND_0493,INSTR_GENERATED_00DCF1CBC4AF9E0C46A8,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,104648241.441457,120345477.657675,,,,,,,,0.1500000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_00F94C3F31A98A277F87,,OWNER_FUND_0642,FUND_0642,INSTR_GENERATED_00F94C3F31A98A277F87,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,33649488.777691,45426809.849883,,,,,,,,0.2500000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
