"canonical_doc_type","route","default_product_tier","allowed_record_families","excluded_scope"
"Financials","01-financials","CORE","document_context|financial_statement_observation|fund_economics_observation|position_observation|fee_observation|financing_observation","Generic statement transcription; non-investment operating lines; null cells; hypothetical values."
"Performance","02-performance","CORE","document_context|performance_observation|fund_economics_observation|cash_flow_observation","Blank, dash, N/A, calculated, inferred, template, and out-of-scope facts."
"Institutional_Report","03-institutional-report","CORE","document_context|performance_observation|fund_economics_observation|position_observation|allocation_observation","Blank, dash, N/A, calculated, inferred, template, and out-of-scope facts."
"Quarterly_Report","04-quarterly-report","CORE","document_context|performance_observation|fund_economics_observation|allocation_observation|cash_flow_observation|position_observation","Unapproved exposure charts and generic breakdowns; use position or allocation only when the printed structure matches."
"PPM","05-fund-legal-docs","CORE","document_context|legal_term","Risk-factor transcription and clauses outside the term whitelist."
"LPA","05-fund-legal-docs","CORE","document_context|legal_term|legal_clause","Clauses outside the term whitelist and generic document transcription."
"Subscription","05-fund-legal-docs","SECONDARY","document_context|subscription_reference","Qualification questionnaires; representations; personal identifiers; bank/wire data; signatures."
"Side_Letter","05-fund-legal-docs","CORE","document_context|legal_term|legal_clause","Clauses outside the term whitelist and generic document transcription."
"DDQ","05-fund-legal-docs","CORE","document_context|ddq_quantitative_observation","Exhaustive question-and-answer transcription; personal names; broker lists; narrative answers without a selected quantitative fact."
"Schedule_Inv","06-statements-and-economics","CORE","document_context|position_observation","Blank, dash, N/A, calculated, inferred, template, and out-of-scope facts."
"Fee_Report","06-statements-and-economics","CORE","document_context|fee_observation|fund_economics_observation","Blank, dash, N/A, calculated, inferred, template, and out-of-scope facts."
"Valuation","06-statements-and-economics","CORE","document_context|valuation_observation","Blank, dash, N/A, calculated, inferred, template, and out-of-scope facts."
"NAV_Statement","06-statements-and-economics","CORE","document_context|nav_observation|valuation_observation","Blank, dash, N/A, calculated, inferred, template, and out-of-scope facts."
"Cash_Flow_Notice","06-statements-and-economics","CORE","document_context|cash_flow_observation|fund_economics_observation","Blank, dash, N/A, calculated, inferred, template, and out-of-scope facts."
"PCAP","06-statements-and-economics","CORE","document_context|fund_economics_observation|cash_flow_observation","Blank, dash, N/A, calculated, inferred, template, and out-of-scope facts."
"Foundations_Annual","07-institutional-mission","SECONDARY","document_context","Grants, officers, compensation, personal identifiers, and non-investment schedules."
"Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","document_context|stewardship_observation|stewardship_policy","Case-study narration without a policy or bounded metric."
