"route_order","file_id","filename","page_count","canonical_doc_type","source_header_doc_type","route","product_tier","routing_status","routing_reason","issuer","source_sha256","txt_path","pdf_path","image_dir","grid_path"
"1","SRC147","Fee_Report_PSERS_Fee_Transparency_Response_Bullet2.pdf","1","Financials","Fee_Report","01-financials","CORE","RATIFIED_HEADER_OVERRIDE","SOURCE_LEDGER_ADJUDICATION_SUPERSEDES_STALE_TXT_HEADER","Pennsylvania Public School Employees Retirement System (PSERS)","dd2549012abb94269a2b925c785a3cf80e9be22f8179111d0fccef39a899ea07","data/documents/txt/Fee_Report_PSERS_Fee_Transparency_Response_Bullet2.txt","data/documents/pdf/Fee_Report_PSERS_Fee_Transparency_Response_Bullet2.pdf","data/documents/images/Fee_Report_PSERS_Fee_Transparency_Response_Bullet2","data/documents/grids/Fee_Report_PSERS_Fee_Transparency_Response_Bullet2.csv"
"2","SRC152","Financials_PSERS_Notes_To_Financial_Statements_Response002.pdf","5","Financials","Financials","01-financials","CORE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","Pennsylvania Public School Employees Retirement System (PSERS)","3c5ea49df11ea7acd103759a4d84ab994abbe40fe6b9770ac1f2a723929dc717","data/documents/txt/Financials_PSERS_Notes_To_Financial_Statements_Response002.txt","data/documents/pdf/Financials_PSERS_Notes_To_Financial_Statements_Response002.pdf","data/documents/images/Financials_PSERS_Notes_To_Financial_Statements_Response002","data/documents/grids/Financials_PSERS_Notes_To_Financial_Statements_Response002.csv"
"3","SRC377","Financials_Gates_Foundation_Trust_Dec2016.pdf","13","Financials","Financials","01-financials","CORE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","Bill & Melinda Gates Foundation Trust","2a3ff4eb15e88df08d12b0ffd4696117b642b6f1ff19ee5fb8bd8d1a3a025988","data/documents/txt/Financials_Gates_Foundation_Trust_Dec2016.txt","data/documents/pdf/Financials_Gates_Foundation_Trust_Dec2016.pdf","data/documents/images/Financials_Gates_Foundation_Trust_Dec2016","data/documents/grids/Financials_Gates_Foundation_Trust_Dec2016.csv"
"4","SRC034","Financials_Versa_Capital_Fund_II_LP_PSERS_FOIA.pdf","14","Financials","Financials","01-financials","CORE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","Versa Capital Management, LLC","c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8","data/documents/txt/Financials_Versa_Capital_Fund_II_LP_PSERS_FOIA.txt","data/documents/pdf/Financials_Versa_Capital_Fund_II_LP_PSERS_FOIA.pdf","data/documents/images/Financials_Versa_Capital_Fund_II_LP_PSERS_FOIA","data/documents/grids/Financials_Versa_Capital_Fund_II_LP_PSERS_FOIA.csv"
"5","SRC102","PCAP_Jefferson_Partners_Fund_IV_PSERS_FOIA.pdf","14","Financials","PCAP","01-financials","CORE","RATIFIED_HEADER_OVERRIDE","SOURCE_LEDGER_ADJUDICATION_SUPERSEDES_STALE_TXT_HEADER","JPIV G.P., L.P. / Jefferson Partners Fund IV Management Corp.","dec577c036c11f70b30193bbfbdf4d478fabfc36f3ef15ae68249a2810f8ddfe","data/documents/txt/PCAP_Jefferson_Partners_Fund_IV_PSERS_FOIA.txt","data/documents/pdf/PCAP_Jefferson_Partners_Fund_IV_PSERS_FOIA.pdf","data/documents/images/PCAP_Jefferson_Partners_Fund_IV_PSERS_FOIA","data/documents/grids/PCAP_Jefferson_Partners_Fund_IV_PSERS_FOIA.csv"
"6","SRC376","Financials_Gates_Foundation_Consolidated_Dec2024.pdf","20","Financials","Financials","01-financials","CORE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","Bill & Melinda Gates Foundation","0cb015ca0b614caa657358e97514857fd81f64b60ad57c146f75293e82923169","data/documents/txt/Financials_Gates_Foundation_Consolidated_Dec2024.txt","data/documents/pdf/Financials_Gates_Foundation_Consolidated_Dec2024.pdf","data/documents/images/Financials_Gates_Foundation_Consolidated_Dec2024","data/documents/grids/Financials_Gates_Foundation_Consolidated_Dec2024.csv"
"7","SRC369","Financials_Kresge_Foundation_Dec2023_Audited.pdf","22","Financials","Financials","01-financials","CORE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","The Kresge Foundation","5f1d3f7cf46b2a7281c4519445959e07999d7f4f7e3488b21ef94f37dfb4a2be","data/documents/txt/Financials_Kresge_Foundation_Dec2023_Audited.txt","data/documents/pdf/Financials_Kresge_Foundation_Dec2023_Audited.pdf","data/documents/images/Financials_Kresge_Foundation_Dec2023_Audited","data/documents/grids/Financials_Kresge_Foundation_Dec2023_Audited.csv"
"8","SRC370","Financials_Kresge_Foundation_Dec2021_Audited.pdf","22","Financials","Financials","01-financials","CORE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","The Kresge Foundation","1740eb022caad11cab5fbe5c426f047579c63e51125783e57c4efea2954336a8","data/documents/txt/Financials_Kresge_Foundation_Dec2021_Audited.txt","data/documents/pdf/Financials_Kresge_Foundation_Dec2021_Audited.pdf","data/documents/images/Financials_Kresge_Foundation_Dec2021_Audited","data/documents/grids/Financials_Kresge_Foundation_Dec2021_Audited.csv"
"9","SRC447","Financials_RicheyMay_Private_Equity_Template_2016.pdf","22","Financials","Financials","01-financials","REFERENCE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","Richey May & Co.","cc9e523bbff904197a09a644084ae162a36d939d34b886d15984eea33922d7a3","data/documents/txt/Financials_RicheyMay_Private_Equity_Template_2016.txt","data/documents/pdf/Financials_RicheyMay_Private_Equity_Template_2016.pdf","data/documents/images/Financials_RicheyMay_Private_Equity_Template_2016","data/documents/grids/Financials_RicheyMay_Private_Equity_Template_2016.csv"
"10","SRC309","Financials_Brederode_Half_Year_Report_Jun2025.pdf","23","Financials","Financials","01-financials","CORE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","Brederode SA","097586c34c0d80fe51d8b37d6467dd2b27771ba041d3cb087f587cb9e6cc6c6b","data/documents/txt/Financials_Brederode_Half_Year_Report_Jun2025.txt","data/documents/pdf/Financials_Brederode_Half_Year_Report_Jun2025.pdf","data/documents/images/Financials_Brederode_Half_Year_Report_Jun2025","data/documents/grids/Financials_Brederode_Half_Year_Report_Jun2025.csv"
"11","SRC379","Financials_Duke_Endowment_Annual_Report_2023.pdf","24","Financials","Financials","01-financials","CORE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","The Duke Endowment","67d940b40b6871e3dcafbcef9a276c637fe7df008e8581d01e7ab3348bfe5d1b","data/documents/txt/Financials_Duke_Endowment_Annual_Report_2023.txt","data/documents/pdf/Financials_Duke_Endowment_Annual_Report_2023.pdf","data/documents/images/Financials_Duke_Endowment_Annual_Report_2023","data/documents/grids/Financials_Duke_Endowment_Annual_Report_2023.csv"
"12","SRC382","Financials_J_Paul_Getty_Trust_FY2009_Audited.pdf","24","Financials","Financials","01-financials","CORE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","The J. Paul Getty Trust","38c952a82e3672399f8d69f6d4858eae1c06a0f56141ec4deac8e4fcf51956c5","data/documents/txt/Financials_J_Paul_Getty_Trust_FY2009_Audited.txt","data/documents/pdf/Financials_J_Paul_Getty_Trust_FY2009_Audited.pdf","data/documents/images/Financials_J_Paul_Getty_Trust_FY2009_Audited","data/documents/grids/Financials_J_Paul_Getty_Trust_FY2009_Audited.csv"
"13","SRC448","Financials_RicheyMay_Private_Equity_Template_2020.pdf","24","Financials","Financials","01-financials","REFERENCE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","Richey May & Co.","669ddf8a5fadc02516ef74a7ce9f48f434b3a63f782daa01120aa6e7c3f2b6b3","data/documents/txt/Financials_RicheyMay_Private_Equity_Template_2020.txt","data/documents/pdf/Financials_RicheyMay_Private_Equity_Template_2020.pdf","data/documents/images/Financials_RicheyMay_Private_Equity_Template_2020","data/documents/grids/Financials_RicheyMay_Private_Equity_Template_2020.csv"
"14","SRC450","Financials_RicheyMay_SPV_Template_2025.pdf","24","Financials","Financials","01-financials","REFERENCE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","Richey May & Co.","d6afd4c66d87fa52ed668ba0b821bef4d346b113dd994b21d6e583657cf871f7","data/documents/txt/Financials_RicheyMay_SPV_Template_2025.txt","data/documents/pdf/Financials_RicheyMay_SPV_Template_2025.pdf","data/documents/images/Financials_RicheyMay_SPV_Template_2025","data/documents/grids/Financials_RicheyMay_SPV_Template_2025.csv"
"15","SRC378","Financials_Duke_Endowment_Annual_Report_2024.pdf","26","Financials","Financials","01-financials","CORE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","The Duke Endowment","55e5198c886f22129c9256f012017039db6a2c1c086600774ca087bfa4066f2e","data/documents/txt/Financials_Duke_Endowment_Annual_Report_2024.txt","data/documents/pdf/Financials_Duke_Endowment_Annual_Report_2024.pdf","data/documents/images/Financials_Duke_Endowment_Annual_Report_2024","data/documents/grids/Financials_Duke_Endowment_Annual_Report_2024.csv"
"16","SRC380","Financials_J_Paul_Getty_Trust_FY2023_Audited.pdf","27","Financials","Financials","01-financials","CORE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","The J. Paul Getty Trust","30217bef0caa7d97e1211e2201bb2179f5f0c3e47ca141409185b63ec0e43298","data/documents/txt/Financials_J_Paul_Getty_Trust_FY2023_Audited.txt","data/documents/pdf/Financials_J_Paul_Getty_Trust_FY2023_Audited.pdf","data/documents/images/Financials_J_Paul_Getty_Trust_FY2023_Audited","data/documents/grids/Financials_J_Paul_Getty_Trust_FY2023_Audited.csv"
"17","SRC089","Financials_Withum_Venture_Capital_Fund_Illustrative.pdf","28","Financials","Financials","01-financials","REFERENCE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","WithumSmith+Brown, PC","9f4a56d9da5cb9882de870d279e8d877c7802c113905822c2e691d5e981cd28f","data/documents/txt/Financials_Withum_Venture_Capital_Fund_Illustrative.txt","data/documents/pdf/Financials_Withum_Venture_Capital_Fund_Illustrative.pdf","data/documents/images/Financials_Withum_Venture_Capital_Fund_Illustrative","data/documents/grids/Financials_Withum_Venture_Capital_Fund_Illustrative.csv"
"18","SRC287","Financials_ICG_Enterprise_Trust_Annual_Report_FY2025_Jan_Statements.pdf","28","Financials","Financials","01-financials","CORE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","ICG Enterprise Trust plc","94c3568f1c316c5ac2b50951013809529eede5f57b05792e8bd2a99a93cee64c","data/documents/txt/Financials_ICG_Enterprise_Trust_Annual_Report_FY2025_Jan_Statements.txt","data/documents/pdf/Financials_ICG_Enterprise_Trust_Annual_Report_FY2025_Jan_Statements.pdf","data/documents/images/Financials_ICG_Enterprise_Trust_Annual_Report_FY2025_Jan_Statements","data/documents/grids/Financials_ICG_Enterprise_Trust_Annual_Report_FY2025_Jan_Statements.csv"
