file_id,source_table,source_column_label,metric_id,method,fee_basis,note,evidence_page,evidence_text
SRC063,Real Assets Ending Market Value & Performance Summary (By Partnership),,performance_observation.return,time_weighted,net_of_investment_expenses,"Computed by the AREIS Investment Book of Record from financial statements received through period end; partnerships under $50,000 excluded. Partnerships printed with ** (HC LTH LLC, Sylvanus LLC, Strategic Property Fund Asia SCSP, Tower Bridge Infrastructure Partners L.P.) include the impact of CalPERS foreign currency hedges. NM is printed where a partnership is funding or liquidating.",1;2,"Market values and time weighted returns of Real Asset Partnerships are net of investment expenses and are computed by AREIS Investment Book of Record and reflect financial statements received through the end of the reporting period. Only partnerships with asset values greater than $50,000 are included in reporting."
SRC457,Investment Detail,,fund_economics_observation.return,modified_dietz_time_weighted,net,"Quarterly return periods. Inactive investments are included in performance metrics but excluded from commitment totals. IRRs are reported for investments one full year after initial capital investment.",9;10,"Time weighted returns shown use a Modified Dietz methodology, based on quarterly return periods."
SRC457,Total Portfolio Performance,,fund_economics_observation.return,modified_dietz_time_weighted,net,"Quarterly return periods; rows are labelled (Net).",4,"Time weighted returns shown use a Modified Dietz methodology, based on quarterly return periods."
SRC457,Net Total Portfolio Performance,,performance_observation.return,modified_dietz_time_weighted,net,"Portfolio-level net TWR under the Modified Dietz footnote on the preceding page.","4;5","Time weighted returns shown use a Modified Dietz methodology, based on quarterly return periods."
SRC192,10-Year Total Pension Investment Rates of Return,Fair Value Rate of Return,performance_observation.return,total_return,gross_of_investment_fees,"The table reports gross results; footnote (2) separately reports a 2021 net result.",3,"Fair Value Rate of Return consists of cash income plus gains and losses due to changes in fair value, whether realized or unrealized (before deduction of investment fees)."
SRC192,10-Year Total Pension Investment Rates of Return,Fair Value Rate of Return net of fees,performance_observation.return,total_return,net_of_investment_fees,"Footnote (2) reports the 2021 net return separately from the gross table value.",3,"(For 2021, 17.29% net of fees.)"
SRC192,10-Year Total Pension Investment Rates of Return,Money Weighted Rate of Return,performance_observation.return,money_weighted_irr,net_of_investment_expenses,"An internal rate of return printed under a return heading; filed as return because the page does not label it IRR.",3,"Money Weighted Rate or Return is calculated as the internal rate of return on pension plan investments, net of investment expenses."
SRC192,Comparative Investment Results,,performance_observation.return,unstated,unstated,"No method or fee basis printed with the table.",4,
SRC356,"Investment Performance of the Ten Largest Stock Holdings – July 1, 2024 through June 30, 2025.",,performance_observation.return,holding_period_total_return,unstated,"Total return of one stock holding for July 1, 2024 through June 30, 2025; method and fee basis remain unstated.",3,"Investment Performance of the Ten Largest Stock Holdings, July 1, 2024 through June 30, 2025."
SRC363,INVESTMENT PERFORMANCE,,performance_observation.return,annualized_return,net_of_fees_and_expenses,"Periods ended June 30, 2024; 5, 10, and 20-year figures annualized; the second row is the median college and university endowment.",1,"Net of Fees and Expenses. Periods Ended June 30, 2024. Annualized."
SRC375,Long Term Pool Strategy Allocation and Investment Returns,,performance_observation.return,annualized_return,gross_of_uvimco_fees_net_of_manager_fees,"As of June 30, 2025; 3, 5, 10, and 20-year figures annualized; the policy benchmark is the geometrically linked blend in footnote 3.",2,"Long Term Pool returns are presented gross of UVIMCO management and incentive fees but net of underlying manager fees."
SRC375,Long Term Pool Relative Performance,,performance_observation.return,annualized_return,gross_of_uvimco_fees_net_of_manager_fees,"Annualized through June 30, 2025, against the policy portfolio and the TUCS master trust median.",2,"Long Term Pool returns are presented gross of UVIMCO management and incentive fees but net of underlying manager fees."
SRC375,Long Term Pool Performance,,performance_observation.return,fiscal_year_return,gross_of_uvimco_fees_net_of_manager_fees,"Narrative figures for fiscal 2025 and the 5, 10, and 20-year annualized returns; same basis as Table 1.",2,"The LTP generated a 12.4% return."
SRC384,"Figure 1. General Endowment Pool as of March 31, 2025",,performance_observation.return,annualized_return,net_per_narrative,"Fiscal YTD 9 Months and 1 to 30-year columns; the narrative calls the one-year figure a net return; no footnote on the figure.",2,"The one-year net return was 7.3 percent, the five-year return was 11.2 percent, the ten-year return was 8.1 percent, the 20-year return was 7.7 percent, and the 30-year return was 8.9 percent."
SRC384,"Figure 2. Blue and Gold Endowment Pool as of March 31, 2025",,performance_observation.return,annualized_return,net_per_narrative,"The narrative calls the one-year figure a net return; no footnote on the figure.",3,"The pool's one-year net return was 6.5 percent, and the three-year return was 5.8 percent."
SRC384,"Figure 3. Pension as of March 31, 2025",,performance_observation.return,annualized_return,unstated,"No method or fee basis printed on the figure.",3,
SRC384,"Figure 4. Working Capital as of March 31, 2025",,performance_observation.return,annualized_return,unstated,"No method or fee basis printed on the figure.",4,
