"file_id","route","product_tier","dispatch_scope","scope_reason"
"SRC147","01-financials","CORE","ACTIVE","RETAINED_CORE_ACTIVE_SCOPE"
"SRC152","01-financials","CORE","ACTIVE","RETAINED_CORE_ACTIVE_SCOPE"
"SRC377","01-financials","CORE","ACTIVE","RETAINED_CORE_ACTIVE_SCOPE"
"SRC034","01-financials","CORE","ACTIVE","RETAINED_CORE_ACTIVE_SCOPE"
"SRC102","01-financials","CORE","ACTIVE","RETAINED_CORE_ACTIVE_SCOPE"
"SRC376","01-financials","CORE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC369","01-financials","CORE","DEFERRED","HELD_FOR_LATER_WAVE_PILOT_CAP_5_PER_ROUTE"
"SRC370","01-financials","CORE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC447","01-financials","REFERENCE","REFERENCE","ROUTED_TEMPLATE_OR_MODEL_TO_REFERENCE_PRODUCT"
"SRC309","01-financials","CORE","DEFERRED","HELD_FOR_LATER_WAVE_PILOT_CAP_5_PER_ROUTE"
"SRC379","01-financials","CORE","DEFERRED","HELD_FOR_LATER_WAVE_PILOT_CAP_5_PER_ROUTE"
"SRC382","01-financials","CORE","DEFERRED","HELD_FOR_LATER_WAVE_PILOT_CAP_5_PER_ROUTE"
"SRC448","01-financials","REFERENCE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC450","01-financials","REFERENCE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC378","01-financials","CORE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC380","01-financials","CORE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC089","01-financials","REFERENCE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC287","01-financials","CORE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC381","01-financials","CORE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC410","01-financials","CORE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC368","01-financials","CORE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC445","01-financials","REFERENCE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC449","01-financials","REFERENCE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC360","01-financials","CORE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC444","01-financials","REFERENCE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC087","01-financials","REFERENCE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC294","01-financials","CORE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC406","01-financials","CORE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC446","01-financials","REFERENCE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC394","01-financials","CORE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC481","01-financials","CORE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC419","01-financials","CORE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC479","01-financials","CORE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC387","01-financials","CORE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC430","01-financials","REFERENCE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC037","01-financials","CORE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC130","01-financials","REFERENCE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC361","01-financials","CORE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC091","01-financials","REFERENCE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC393","01-financials","CORE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC431","01-financials","REFERENCE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC354","01-financials","CORE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC129","01-financials","REFERENCE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC386","01-financials","CORE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC388","01-financials","CORE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC428","01-financials","REFERENCE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC392","01-financials","CORE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC039","01-financials","CORE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC390","01-financials","CORE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC411","01-financials","CORE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC418","01-financials","CORE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC474","01-financials","CORE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC299","01-financials","CORE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC429","01-financials","REFERENCE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC451","01-financials","REFERENCE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC026","01-financials","REFERENCE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC337","01-financials","CORE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC343","01-financials","CORE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC364","01-financials","CORE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC417","01-financials","CORE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC307","01-financials","CORE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC482","01-financials","CORE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC355","01-financials","CORE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC415","01-financials","CORE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC197","01-financials","CORE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC305","01-financials","CORE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC391","01-financials","CORE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC226","01-financials","CORE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC413","01-financials","CORE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC308","01-financials","CORE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC402","01-financials","CORE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC111","01-financials","CORE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
"SRC311","01-financials","CORE","UNSCHEDULED","NOT_IN_ACTIVE_SCOPE"
