"record_family","description","grain","category_kind","tabular","required_business_fields","allowed_business_fields","preferred_categories","table_cell_rule"
"document_context","One source-backed document identity and reporting context row.","one row per document","context","no","subject_name|subject_type","as_of_date|asset_class|currency_scale|geography|investor_name|manager_name|period_end|period_start|portfolio_name|strategy|subject_name|subject_type|text_raw|vintage_year","","NOT_APPLICABLE"
"financial_statement_observation","A whitelisted alternative-investment financial-statement value cell.","one populated allowed source value cell","metric","yes","metric_category|metric_name|metric_value_raw|subject_name","as_of_date|asset_class|currency_scale|geography|horizon|metric_category|metric_name|metric_value_raw|period_end|period_start|strategy|subject_name|subject_type|unit|vintage_year","beginning_capital|ending_capital|cash|total_assets|total_liabilities|net_assets|partners_capital|net_investment_income|investment_fair_value|investment_cost|fund_expense|interest_expense|realized_gain_loss|unrealized_gain_loss","ONE_POPULATED_ELIGIBLE_VALUE_CELL_ONE_ROW"
"performance_observation","A printed return, multiple, risk, valuation, or benchmark value cell.","one populated allowed source value cell","metric","yes","metric_category|metric_name|metric_value_raw|subject_name|subject_type","as_of_date|asset_class|currency_scale|geography|horizon|metric_category|metric_name|metric_value_raw|period_end|period_start|strategy|subject_name|subject_type|unit|vintage_year","return|irr|alpha|pme|direct_alpha|sharpe_ratio|tracking_error|yield|aum","ONE_POPULATED_ELIGIBLE_VALUE_CELL_ONE_ROW"
"fund_economics_observation","A printed commitment, paid-in, distribution, NAV, unfunded, multiple, or capital-account value cell.","one populated allowed source value cell","metric","yes","metric_category|metric_name|metric_value_raw|subject_name","as_of_date|asset_class|currency_scale|geography|horizon|metric_category|metric_name|metric_value_raw|period_end|period_start|strategy|subject_name|subject_type|unit|vintage_year","commitment|paid_in_capital|contribution|distribution|nav|unfunded_commitment|recallable_distribution|tvpi|dpi|rvpi|moic|ownership_percentage|income|fee|carried_interest","ONE_POPULATED_ELIGIBLE_VALUE_CELL_ONE_ROW"
"position_observation","A printed holding or private-market position measure.","one populated allowed source value cell for one named position","metric","yes","metric_category|metric_name|metric_value_raw|subject_name","as_of_date|asset_class|currency_scale|geography|horizon|metric_category|metric_name|metric_value_raw|period_end|period_start|strategy|subject_name|subject_type|unit|vintage_year","quantity|cost|fair_value|market_value|notional|portfolio_weight|interest_rate|maturity_date","ONE_POPULATED_ELIGIBLE_VALUE_CELL_ONE_ROW"
"allocation_observation","A printed portfolio allocation amount or percentage.","one populated allowed source value cell for one allocation bucket","metric","yes","metric_category|metric_name|metric_value_raw|subject_name","as_of_date|asset_class|currency_scale|geography|horizon|metric_category|metric_name|metric_value_raw|period_end|period_start|strategy|subject_name|subject_type|unit|vintage_year","actual_allocation|target_allocation","ONE_POPULATED_ELIGIBLE_VALUE_CELL_ONE_ROW"
"fee_observation","A printed fee, carry, expense, offset, cost, rate, or benchmark value.","one populated allowed source value cell","metric","yes","metric_category|metric_name|metric_value_raw|subject_name","as_of_date|asset_class|currency_scale|geography|horizon|metric_category|metric_name|metric_value_raw|period_end|period_start|strategy|subject_name|subject_type|unit|vintage_year","management_fee|performance_fee|cost_bps|offset|fee_benchmark|nav_aum_denominator","ONE_POPULATED_ELIGIBLE_VALUE_CELL_ONE_ROW"
"cash_flow_observation","A printed call, contribution, distribution, fee, expense, or other investor cash-flow value.","one populated allowed source value cell or one notice component the page states in words","metric","yes","metric_category|metric_name|metric_value_raw|subject_name","as_of_date|asset_class|currency_scale|geography|horizon|metric_category|metric_name|metric_value_raw|period_end|period_start|strategy|subject_name|subject_type|unit|vintage_year","capital_call|return_of_capital|preferred_return|expense|interest|net_cash_flow","ONE_POPULATED_ELIGIBLE_VALUE_CELL_ONE_ROW"
"nav_observation","A printed NAV, share-class, transaction-price, component, repurchase, assumption, or sensitivity value.","one populated allowed source value cell","metric","yes","metric_category|metric_name|metric_value_raw|subject_name","as_of_date|asset_class|currency_scale|geography|horizon|metric_category|metric_name|metric_value_raw|period_end|period_start|strategy|subject_name|subject_type|unit|vintage_year","nav_per_share|shares_units|transaction_price|nav_component|repurchase_limit|request_satisfaction|valuation_assumption|valuation_sensitivity","ONE_POPULATED_ELIGIBLE_VALUE_CELL_ONE_ROW"
"valuation_observation","A printed valuation result, method, input, adjustment, frequency, or governance fact.","one printed valuation fact or one populated value cell","metric","yes","metric_category|metric_name|metric_value_raw|subject_name","as_of_date|asset_class|currency_scale|geography|horizon|metric_category|metric_name|metric_value_raw|period_end|period_start|strategy|subject_name|subject_type|unit|vintage_year","method|frequency|valuer|oversight|independent_review|enterprise_value","ONE_POPULATED_ELIGIBLE_VALUE_CELL_ONE_ROW"
