metric_id,standard_measure,measure_scope,note,decided_by,evidence
allocation_observation.actual_allocation,actual_allocation_weight,allocation_bucket,"Share of a portfolio in one bucket, as printed.","metric vocabulary review, 2026-08-28","EXTRACTION-METRIC-CATEGORIES.csv definition; published subject types"
allocation_observation.market_value,allocation_bucket_market_value,allocation_bucket,"Market value of one allocation bucket. The same heading at holding grain is holding_market_value and at fund grain fund_residual_value.","metric vocabulary review, 2026-08-28","published rows: subject types asset_class, foundation, investor, fund"
allocation_observation.target_allocation,target_allocation_weight,allocation_bucket,"Target or policy weight of one bucket.","metric vocabulary review, 2026-08-28","EXTRACTION-METRIC-CATEGORIES.csv definition"
cash_flow_observation.distribution,distribution_cash_flow,cash_flow_event,"One dated distribution.","metric vocabulary review, 2026-08-28","EXTRACTION-METRIC-CATEGORIES.csv definition"
cash_flow_observation.expense,expense_cash_flow,cash_flow_event,"One expense or tax charge in a capital-account or cash-flow statement.","metric vocabulary review, 2026-08-28","EXTRACTION-METRIC-CATEGORIES.csv definition"
cash_flow_observation.interest,interest_cash_flow,cash_flow_event,"Interest paid or charged in a capital-account statement.","metric vocabulary review, 2026-08-28","EXTRACTION-METRIC-CATEGORIES.csv definition"
ddq_quantitative_observation.aum,reported_assets_under_management,mixed,"Assets under management reported for a manager, fund, feeder, asset class, or related investment vehicle.","metric vocabulary review, 2026-08-28","published rows: manager 4, fund 7, asset_class 3"
ddq_quantitative_observation.leverage,leverage_ratio,ddq_answer,"Leverage ratio or policy limit.","metric vocabulary review, 2026-08-28","EXTRACTION-METRIC-CATEGORIES.csv definition"
ddq_quantitative_observation.liquidity,redemption_liquidity_terms,ddq_answer,"Four rows: two print days to receive proceeds, two print a percent of proceeds or of NAV; the unit column separates them.","metric vocabulary review, 2026-08-28","published rows: unit days on 2, percent on 2"
ddq_quantitative_observation.lockup,lockup_period,ddq_answer,"Lock-up period.","metric vocabulary review, 2026-08-28","EXTRACTION-METRIC-CATEGORIES.csv definition"
ddq_quantitative_observation.management_fee,management_fee_rate,ddq_answer,"One row, a percent. The amount form is management_fee_amount under fee_observation.","metric vocabulary review, 2026-08-28","published row: value kind percent"
ddq_quantitative_observation.minimum_investment,minimum_investment,ddq_answer,"Minimum initial investment.","metric vocabulary review, 2026-08-28","EXTRACTION-METRIC-CATEGORIES.csv definition"
ddq_quantitative_observation.ownership_percentage,ownership_percentage,ddq_answer,"Share of the firm or vehicle held by the subject.","metric vocabulary review, 2026-08-28","EXTRACTION-METRIC-CATEGORIES.csv definition"
ddq_quantitative_observation.performance_fee,performance_fee_rate,ddq_answer,"Incentive or performance fee rate.","metric vocabulary review, 2026-08-28","published row: value kind percent"
ddq_quantitative_observation.position_limit,position_limit,ddq_answer,"Position or exposure limit.","metric vocabulary review, 2026-08-28","EXTRACTION-METRIC-CATEGORIES.csv definition"
ddq_quantitative_observation.redemption_notice,redemption_notice_days,ddq_answer,"Redemption notice period in days.","metric vocabulary review, 2026-08-28","published rows: value kind number, unit days"
ddq_quantitative_observation.service_provider_count,service_provider_count,ddq_answer,"Number of service providers or counterparties stated.","metric vocabulary review, 2026-08-28","EXTRACTION-METRIC-CATEGORIES.csv definition"
ddq_quantitative_observation.staff_count,staff_count,ddq_answer,"Employees or investment professionals at the firm.","metric vocabulary review, 2026-08-28","EXTRACTION-METRIC-CATEGORIES.csv definition"
document_context,document_context,document,One context row per document.,"metric vocabulary review, 2026-08-28",record family definition
fee_observation.cost_bps,fee_in_basis_points,fee_line,"A fee or cost expressed in basis points.","metric vocabulary review, 2026-08-28","EXTRACTION-METRIC-CATEGORIES.csv definition"
fee_observation.fee_benchmark,fee_benchmark_level,fee_line,"A peer or benchmark fee level the report compares against.","metric vocabulary review, 2026-08-28","EXTRACTION-METRIC-CATEGORIES.csv definition"
fee_observation.management_fee,management_fee_amount,fee_line,"Management fee as an amount on a fee report. The rate form is management_fee_rate under ddq_quantitative_observation.","metric vocabulary review, 2026-08-28","published rows: 33 amounts, no percent"
fee_observation.nav_aum_denominator,fee_asset_base,fee_line,"The asset base a fee is measured on.","metric vocabulary review, 2026-08-28","EXTRACTION-METRIC-CATEGORIES.csv definition"
fee_observation.offset,fee_offset_amount,fee_line,"A fee offset, adjustment, or rebate amount.","metric vocabulary review, 2026-08-28","EXTRACTION-METRIC-CATEGORIES.csv definition"
financial_statement_observation.beginning_capital,capital_opening_balance,statement_line,"Opening balance at the grain the statement prints: two investor rows, seven reporting-entity rows.","metric vocabulary review, 2026-08-28","published rows: subject types investor 2, reporting_entity 7"
financial_statement_observation.cash,cash_and_equivalents,statement_line,"Cash and cash equivalents at a date or as an opening or closing balance.","metric vocabulary review, 2026-08-28","EXTRACTION-METRIC-CATEGORIES.csv definition"
financial_statement_observation.commitment,commitment,statement_line,"Commitment printed on a statement or note.","metric vocabulary review, 2026-08-28","EXTRACTION-METRIC-CATEGORIES.csv definition"
financial_statement_observation.contribution,contribution_amount,statement_line,"Contributions for a period as a statement line.","metric vocabulary review, 2026-08-28","EXTRACTION-METRIC-CATEGORIES.csv definition"
financial_statement_observation.distribution,distribution_amount,statement_line,"Distributions for a period as a statement line.","metric vocabulary review, 2026-08-28","EXTRACTION-METRIC-CATEGORIES.csv definition"
financial_statement_observation.ending_capital,capital_closing_balance,statement_line,Closing balance at the reporting-entity or partner grain printed by the statement.,"metric vocabulary review, 2026-08-28",published rows: subject type reporting_entity 7
financial_statement_observation.fund_expense,fund_expense,statement_line,"An expense line or expense ratio of the fund.","metric vocabulary review, 2026-08-28","EXTRACTION-METRIC-CATEGORIES.csv definition"
financial_statement_observation.interest_expense,interest_expense,statement_line,"Interest expense for a period.","metric vocabulary review, 2026-08-28","EXTRACTION-METRIC-CATEGORIES.csv definition"
financial_statement_observation.investment_cost,investment_cost_basis,statement_line,"Cost basis of investments on a statement.","metric vocabulary review, 2026-08-28","EXTRACTION-METRIC-CATEGORIES.csv definition"
financial_statement_observation.investment_fair_value,investments_at_fair_value,statement_line,"Investments on a statement or note, including Level 1, 2, and 3 components. Entity NAV also incorporates other assets and liabilities.","metric vocabulary review, 2026-08-28","published rows: labels Fair Value, Level 1, Level 2, Level 3, Gross fair value, Net fair value; subject types asset_class 254, reporting_entity 64"
financial_statement_observation.management_fee,management_fee_expense,statement_line,"Management fees as an expense line of a statement.","metric vocabulary review, 2026-08-28","published rows: subject types reporting_entity, investor, fee_scope"
financial_statement_observation.net_assets,entity_net_assets,statement_line,"Net assets of the reporting entity: total assets less total liabilities.","metric vocabulary review, 2026-08-28","published rows: subject type reporting_entity 2"
financial_statement_observation.net_investment_income,net_investment_income,statement_line,"Net investment income or loss for a period.","metric vocabulary review, 2026-08-28","EXTRACTION-METRIC-CATEGORIES.csv definition"
financial_statement_observation.paid_in_capital,paid_in_capital,statement_line,"Paid-in capital printed on a statement.","metric vocabulary review, 2026-08-28","EXTRACTION-METRIC-CATEGORIES.csv definition"
financial_statement_observation.partners_capital,partners_capital,statement_line,"Partners' capital by class or in total at entity grain.","metric vocabulary review, 2026-08-28","published rows: subject types reporting_entity 12, investor 8"
financial_statement_observation.realized_gain_loss,realized_gain_loss,statement_line,"Realized gain or loss for a period.","metric vocabulary review, 2026-08-28","EXTRACTION-METRIC-CATEGORIES.csv definition"
financial_statement_observation.total_assets,entity_total_assets,statement_line,"Total assets of the reporting entity.","metric vocabulary review, 2026-08-28","published rows: subject type reporting_entity 7"
financial_statement_observation.total_liabilities,entity_total_liabilities,statement_line,"Total liabilities of the reporting entity.","metric vocabulary review, 2026-08-28","EXTRACTION-METRIC-CATEGORIES.csv definition"
financial_statement_observation.unfunded_commitment,unfunded_commitment,statement_line,"Unfunded commitment printed on a statement or note.","metric vocabulary review, 2026-08-28","EXTRACTION-METRIC-CATEGORIES.csv definition"
financial_statement_observation.unrealized_gain_loss,unrealized_gain_loss,statement_line,"Change in unrealized gain or loss for a period.","metric vocabulary review, 2026-08-28","EXTRACTION-METRIC-CATEGORIES.csv definition"
financing_observation.outstanding_balance,credit_facility_balance,statement_line,"Balance drawn on a credit facility or loan.","metric vocabulary review, 2026-08-28","EXTRACTION-METRIC-CATEGORIES.csv definition"
fund_economics_observation.actual_allocation,actual_allocation_weight,allocation_bucket,"Share of a portfolio in one bucket, printed inside a capital-account table.","metric vocabulary review, 2026-08-28","EXTRACTION-METRIC-CATEGORIES.csv definition"
fund_economics_observation.alpha,excess_return_vs_benchmark,mixed,"Difference rows against the stated benchmark at fund, portfolio, or asset-class grain in SRC457.","metric vocabulary review, 2026-08-28","SRC457 pages 4, 9, 10: Difference rows under NCREIF Property Index and CPI-U Index + 4%"
fund_economics_observation.beginning_capital,capital_opening_balance,mixed,"Opening balance at the investor, portfolio, or asset-class grain printed by the source.","metric vocabulary review, 2026-08-28","published rows: investor 2, portfolio 1, asset_class 6"
fund_economics_observation.carried_interest,carried_interest_amount,investor_position,Carried interest reported for one investor position.,"metric vocabulary review, 2026-08-28",published rows: investor 4
