"pair_id","pair_status","requires_review","source_page","record_family","source_table","source_row_label","source_column_label","source_occurrence","metric_category","term_category","a_row_number","b_row_number","difference_fields"
"PAIR_6FF9A7EDDAAF87717B02E124","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Alinda Infrastructure Fund II","Capital Commitment","1","commitment","","2","2","source_section|subject_type"
"PAIR_36A86B129F1596BB4A12BA05","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Alinda Infrastructure Fund II","Fair Market Value","1","nav","","3","3","source_section|subject_type"
"PAIR_88E8EF0F31116B4E93F87A99","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Alinda Infrastructure Fund II","IRR","1","irr","","4","4","source_section|subject_type"
"PAIR_ABE3DC11DD93423CC525C83F","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Alinda Infrastructure Fund II","Total Capital Contributed","1","paid_in_capital","","5","5","source_section|subject_type"
"PAIR_CF1BF6A518C6BDB021A1BA31","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Alinda Infrastructure Fund II","Total Capital Distributed","1","distribution","","6","6","source_section|subject_type"
"PAIR_816446FD44A452A5845A3642","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Alinda Infrastructure Fund II","Total Value Multiple","1","tvpi","","7","7","source_section|subject_type"
"PAIR_FE1673AACA28A77ABACBC0B5","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Alterna Core Capital Assets Fund II","Capital Commitment","1","commitment","","8","8","source_section|subject_type"
"PAIR_57201B7488B4F389F86991DE","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Alterna Core Capital Assets Fund II","Fair Market Value","1","nav","","9","9","source_section|subject_type"
"PAIR_ED77190903221FE40AD45B25","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Alterna Core Capital Assets Fund II","IRR","1","irr","","10","10","source_section|subject_type"
"PAIR_D9758CE3792C9F525BF9B0CF","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Alterna Core Capital Assets Fund II","Total Capital Contributed","1","paid_in_capital","","11","11","source_section|subject_type"
"PAIR_F760C48522EF396EC7AB2F8D","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Alterna Core Capital Assets Fund II","Total Capital Distributed","1","distribution","","12","12","source_section|subject_type"
"PAIR_4010E43F5F4B01EE1AAD0076","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Alterna Core Capital Assets Fund II","Total Value Multiple","1","tvpi","","13","13","source_section|subject_type"
"PAIR_2074FDCA8EFF7DBEECDF4E4D","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Appian Natural Resources Fund","Capital Commitment","1","commitment","","14","14","source_section|subject_type"
"PAIR_265A3B01949186983D45B04E","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Appian Natural Resources Fund","Fair Market Value","1","nav","","15","15","source_section|subject_type"
