wide_row_id,document_id,route,canonical_doc_type,page_id,source_page,source_section,source_table,source_row_label,source_occurrence,column_group,subject_type,subject_alias_id,subject_entity_id,subject_name,subject_standardized_name,subject_manager_name,asset_class,strategy,geography,vintage_year,sector,canonical_asset_class,canonical_strategy,canonical_sub_strategy,canonical_sector,horizon,as_of_date_raw,as_of_date,period_start,period_end,currency,unit_scale,unit_scale_multiplier,method_qualifier,fee_basis,definition_keys,value_scope,beginning_capital,ending_capital,cash,total_assets,total_liabilities,net_assets,partners_capital,net_investment_income,investment_fair_value,investment_cost,fund_expense,interest_expense,realized_gain_loss,unrealized_gain_loss,commitment,paid_in_capital,contribution,distribution,unfunded_commitment,management_fee,observation_ids,observation_count,unparsed_values,scale_note,collision_note,qualifier_note
65617a8ec4db7a81aefc,SRC034,01-financials,Financials,d5c42ec78baaa5891724,10,Combining Statement of Operations,Combining Statement of Operations,Interest expense,1,Combined Total,other_printed_scope,820c030d16d6e98d30d9,,Interest expense,,,,,,,,,,,,,,,,2018-03-31,USD,absolute,1,,,,,,,,,,,,,,,,55260,,,,,,,,,154450ebc092e7004c28,1,,,,
ba01e58e5f85f9e7bb16,SRC034,01-financials,Financials,d5c42ec78baaa5891724,10,Combining Statement of Operations,Combining Statement of Operations,Interest expense,1,"Versa Capital Fund II, L.P.",other_printed_scope,820c030d16d6e98d30d9,,Interest expense,,,,,,,,,,,,,,,,2018-03-31,USD,absolute,1,,,,,,,,,,,,,,,,39025,,,,,,,,,c632592eb2ec101c8601,1,,,,
4a53f41915113beda6b9,SRC034,01-financials,Financials,d5c42ec78baaa5891724,10,Combining Statement of Operations,Combining Statement of Operations,Interest expense,1,"Versa Capital Fund II-A, L.P.",other_printed_scope,820c030d16d6e98d30d9,,Interest expense,,,,,,,,,,,,,,,,2018-03-31,USD,absolute,1,,,,,,,,,,,,,,,,16235,,,,,,,,,2fdf1b964a4ef74faf0b,1,,,,
c5ba6b0d0536f7a697fd,SRC034,01-financials,Financials,d5c42ec78baaa5891724,10,Combining Statement of Operations,Combining Statement of Operations,Management fees,1,Combined Total,other_printed_scope,df2c22f1c4a3a9ef8b49,,Management fees,,,,,,,,,,,,,,,,2018-03-31,USD,absolute,1,,,,,,,,,,,,,,,,,,,,,,,,"2,374,563",58f02eacf945c5a1505a,1,,,,
183fa6b96685233f608d,SRC034,01-financials,Financials,d5c42ec78baaa5891724,10,Combining Statement of Operations,Combining Statement of Operations,Management fees,1,"Versa Capital Fund II, L.P.",other_printed_scope,df2c22f1c4a3a9ef8b49,,Management fees,,,,,,,,,,,,,,,,2018-03-31,USD,absolute,1,,,,,,,,,,,,,,,,,,,,,,,,"1,649,387",c65565356b451db87c6b,1,,,,
64c51584193868b99624,SRC034,01-financials,Financials,d5c42ec78baaa5891724,10,Combining Statement of Operations,Combining Statement of Operations,Management fees,1,"Versa Capital Fund II-A, L.P.",other_printed_scope,df2c22f1c4a3a9ef8b49,,Management fees,,,,,,,,,,,,,,,,2018-03-31,USD,absolute,1,,,,,,,,,,,,,,,,,,,,,,,,"725,176",cc856c61860e70180c5c,1,,,,
6616b3d7d897c4b88db5,SRC034,01-financials,Financials,d5c42ec78baaa5891724,10,Combining Statement of Operations,Combining Statement of Operations,Net change in unrealized gain on investments,1,Combined Total,other_printed_scope,219b63469eb75843cdd3,,Net change in unrealized gain on investments,,,,,,,,,,,,,,,,2018-03-31,USD,absolute,1,,,,,,,,,,,,,,,,,,-28572,,,,,,,9620cf19d3dfbe65587c,1,,,,
54c925c4a8d054940c69,SRC034,01-financials,Financials,d5c42ec78baaa5891724,10,Combining Statement of Operations,Combining Statement of Operations,Net change in unrealized gain on investments,1,"Versa Capital Fund II, L.P.",other_printed_scope,219b63469eb75843cdd3,,Net change in unrealized gain on investments,,,,,,,,,,,,,,,,2018-03-31,USD,absolute,1,,,,,,,,,,,,,,,,,,-20178,,,,,,,e6a61442e2efe7568b4a,1,,,,
6f9d7b582af94c7d61ee,SRC034,01-financials,Financials,d5c42ec78baaa5891724,10,Combining Statement of Operations,Combining Statement of Operations,Net change in unrealized gain on investments,1,"Versa Capital Fund II-A, L.P.",other_printed_scope,219b63469eb75843cdd3,,Net change in unrealized gain on investments,,,,,,,,,,,,,,,,2018-03-31,USD,absolute,1,,,,,,,,,,,,,,,,,,-8394,,,,,,,40e6e2a5cf149c675f11,1,,,,
c2c80e93984d2957407e,SRC034,01-financials,Financials,d5c42ec78baaa5891724,10,Combining Statement of Operations,Combining Statement of Operations,Net increase in partners' capital resulting from operations,1,Combined Total,other_printed_scope,6f9346bfd74145bd641d,,Net increase in partners' capital resulting from operations,,,,,,,,,,,,,,,,2018-03-31,USD,absolute,1,,,,,,,,,,,2374016,,,,,,,,,,,,,,d61e1ccf431a48288c87,1,,,,
4a2da1d1a3c6c8bbf5b0,SRC034,01-financials,Financials,d5c42ec78baaa5891724,10,Combining Statement of Operations,Combining Statement of Operations,Net increase in partners' capital resulting from operations,1,"Versa Capital Fund II, L.P.",other_printed_scope,6f9346bfd74145bd641d,,Net increase in partners' capital resulting from operations,,,,,,,,,,,,,,,,2018-03-31,USD,absolute,1,,,,,,,,,,,1704087,,,,,,,,,,,,,,d018e0e7d7cd9865b685,1,,,,
2d15519534ae22baa925,SRC034,01-financials,Financials,d5c42ec78baaa5891724,10,Combining Statement of Operations,Combining Statement of Operations,Net increase in partners' capital resulting from operations,1,"Versa Capital Fund II-A, L.P.",other_printed_scope,6f9346bfd74145bd641d,,Net increase in partners' capital resulting from operations,,,,,,,,,,,,,,,,2018-03-31,USD,absolute,1,,,,,,,,,,,669929,,,,,,,,,,,,,,37af1cd01fae37e645c4,1,,,,
ca884205d31990f4d606,SRC034,01-financials,Financials,d5c42ec78baaa5891724,10,Combining Statement of Operations,Combining Statement of Operations,Net investment income,1,Combined Total,other_printed_scope,884d16d50f04933b63f0,,Net investment income,,,,,,,,,,,,,,,,2018-03-31,USD,absolute,1,,,,,,,,,,,,1808592,,,,,,,,,,,,,a2715438bf4708f35df0,1,,,,
5cb87d5c18c79235948c,SRC034,01-financials,Financials,d5c42ec78baaa5891724,10,Combining Statement of Operations,Combining Statement of Operations,Net investment income,1,"Versa Capital Fund II, L.P.",other_printed_scope,884d16d50f04933b63f0,,Net investment income,,,,,,,,,,,,,,,,2018-03-31,USD,absolute,1,,,,,,,,,,,,1304781,,,,,,,,,,,,,8574302e639fcbc23610,1,,,,
aee76069f24ea7db0540,SRC034,01-financials,Financials,d5c42ec78baaa5891724,10,Combining Statement of Operations,Combining Statement of Operations,Net investment income,1,"Versa Capital Fund II-A, L.P.",other_printed_scope,884d16d50f04933b63f0,,Net investment income,,,,,,,,,,,,,,,,2018-03-31,USD,absolute,1,,,,,,,,,,,,503811,,,,,,,,,,,,,428bf6f070e49984edfc,1,,,,
f8b0a3531b9f549a9257,SRC034,01-financials,Financials,d5c42ec78baaa5891724,10,Combining Statement of Operations,Combining Statement of Operations,Net realized gain on investments,1,Combined Total,other_printed_scope,875197199da575b87768,,Net realized gain on investments,,,,,,,,,,,,,,,,2018-03-31,USD,absolute,1,,,,,,,,,,,,,,,,,593996,,,,,,,,6638bd6ccecc99d66014,1,,,,
