target_id,target_kind,canonical_name,printed_name_primary,legal_name,company_entity_id,investee_fund_id,parent_target_id,sector,canonical_sector,sub_sector,country,identity_status,identity_confidence,identity_confidence_basis,identity_confidence_reason,provenance_type,synthetic_parameter_set_id,record_status,created_at
TARGET_CO_0001,PORTFOLIO_COMPANY,Alphabet,Alphabet,,CO_0001,,,,,,,RESOLVED,HIGH,fact_holding:a05aef29e785283cab80; dim_entity:CO_0001,Reviewed source identity resolves the held name to a company.,DERIVED,,ACTIVE,
TARGET_CO_0002,PORTFOLIO_COMPANY,Amazon,Amazon,,CO_0002,,,,,,,RESOLVED,HIGH,fact_holding:e25aec84bcd51285bde4; dim_entity:CO_0002,Reviewed source identity resolves the held name to a company.,DERIVED,,ACTIVE,
TARGET_CO_0004,PORTFOLIO_COMPANY,Apple,Apple,,CO_0004,,,,,,,RESOLVED,HIGH,fact_holding:04560728c5fcf6f30358; dim_entity:CO_0004,Reviewed source identity resolves the held name to a company.,DERIVED,,ACTIVE,
TARGET_CO_0008,PORTFOLIO_COMPANY,DIRECT INVESTMENT #1,DIRECT INVESTMENT #1,,CO_0008,,,,,,,RESOLVED,HIGH,fact_holding:f6edf9ca379655228588; dim_entity:CO_0008,Reviewed source identity resolves the held name to a company.,DERIVED,,ACTIVE,
TARGET_CO_0009,PORTFOLIO_COMPANY,DIRECT INVESTMENT #2,DIRECT INVESTMENT #2,,CO_0009,,,,,,,RESOLVED,HIGH,fact_holding:33b06fb843825a6ed6aa; dim_entity:CO_0009,Reviewed source identity resolves the held name to a company.,DERIVED,,ACTIVE,
TARGET_CO_0010,PORTFOLIO_COMPANY,DIRECT INVESTMENT #3,DIRECT INVESTMENT #3,,CO_0010,,,,,,,RESOLVED,HIGH,fact_holding:b9eb781920a63f50f63f; dim_entity:CO_0010,Reviewed source identity resolves the held name to a company.,DERIVED,,ACTIVE,
TARGET_CO_0011,PORTFOLIO_COMPANY,Embraer,Embraer,,CO_0011,,,,,,,RESOLVED,HIGH,fact_holding:da3bc1377afe9ccfd976; dim_entity:CO_0011,Reviewed source identity resolves the held name to a company.,DERIVED,,ACTIVE,
TARGET_CO_0020,COUNTERPARTY,Lloyds Bank plc.,Lloyds Bank plc.,,CO_0020,,,,,,,RESOLVED,HIGH,fact_holding:d24e984afcdb9a9aa822; dim_entity:CO_0020,Named derivative counterparty.,DERIVED,,ACTIVE,
TARGET_CO_0021,COUNTERPARTY,Nomura Global Financial Products Inc.,Nomura Global Financial Products Inc.,,CO_0021,,,,,,,RESOLVED,HIGH,fact_holding:4997674d9ee7913b4ec2; dim_entity:CO_0021,Named derivative counterparty.,DERIVED,,ACTIVE,
TARGET_CO_0027,PORTFOLIO_COMPANY,Tesla,Tesla,,CO_0027,,,,,,,RESOLVED,HIGH,fact_holding:1ca652d820e7b5bd4211; dim_entity:CO_0027,Reviewed source identity resolves the held name to a company.,DERIVED,,ACTIVE,
TARGET_CO_0028,PORTFOLIO_COMPANY,United Healthcare Group,United Healthcare Group,,CO_0028,,,,,,,RESOLVED,HIGH,fact_holding:05ccef01fcfb88b27627; dim_entity:CO_0028,Reviewed source identity resolves the held name to a company.,DERIVED,,ACTIVE,
TARGET_CO_0033,PORTFOLIO_COMPANY,Meta Platforms,Meta Platforms,,CO_0033,,,,,,,RESOLVED,HIGH,fact_holding:b4880e7e2c161b83709c; dim_entity:CO_0033,Reviewed source identity resolves the held name to a company.,DERIVED,,ACTIVE,
TARGET_CO_0034,PORTFOLIO_COMPANY,Microsoft,Microsoft,,CO_0034,,,,,,,RESOLVED,HIGH,fact_holding:d9a7bc34fe7187395af4; dim_entity:CO_0034,Reviewed source identity resolves the held name to a company.,DERIVED,,ACTIVE,
TARGET_CO_0035,PORTFOLIO_COMPANY,Nvidia,Nvidia,,CO_0035,,,,,,,RESOLVED,HIGH,fact_holding:76327062b8f9e00ece33; dim_entity:CO_0035,Reviewed source identity resolves the held name to a company.,DERIVED,,ACTIVE,
TARGET_DEBT_01C416CF1FC327A19A90,UNRESOLVED,United States Treasury Bond 3.125% 11/15/2041,United States Treasury Bond 3.125% 11/15/2041,,,,,,,,,UNRESOLVED,LOW,fact_holding:660f553dbf62eec94224; dim_entity:CO_0030,The printed row is a security title; the current company alias is not treated as issuer identity.,DERIVED,,ACTIVE,
TARGET_DEBT_0306840504858087D0D4,UNRESOLVED,FNMA Single Family Mortgage 0% 1/2022,FNMA Single Family Mortgage 0% 1/2022,,,,,,,,,UNRESOLVED,LOW,fact_holding:63e2085b4b81684294d4; dim_entity:CO_0013,The printed row is a security title; the current company alias is not treated as issuer identity.,DERIVED,,ACTIVE,
TARGET_DEBT_16865901C0C9EDC152A2,UNRESOLVED,FNMA Single Family Mortgage 3.0% 1/2022,FNMA Single Family Mortgage 3.0% 1/2022,,,,,,,,,UNRESOLVED,LOW,fact_holding:4a207818915b10d61255; dim_entity:CO_0015,The printed row is a security title; the current company alias is not treated as issuer identity.,DERIVED,,ACTIVE,
TARGET_DEBT_1DDEFAC7A7A74A6BF39F,UNRESOLVED,GNMA 2% 1/15/2051,GNMA 2% 1/15/2051,,,,,,,,,UNRESOLVED,LOW,fact_holding:2dcb9be5f0746b70088b; dim_entity:CO_0018,The printed row is a security title; the current company alias is not treated as issuer identity.,DERIVED,,ACTIVE,
TARGET_DEBT_246980F085C76364E4EB,UNRESOLVED,United States Treasury Bond 1.75% 8/15/2041,United States Treasury Bond 1.75% 8/15/2041,,,,,,,,,UNRESOLVED,LOW,fact_holding:5fe9247177e4a1728802; dim_entity:CO_0029,The printed row is a security title; the current company alias is not treated as issuer identity.,DERIVED,,ACTIVE,
TARGET_DEBT_25B3F06C7EDCC550D701,UNRESOLVED,United States Treasury Note .625% 11/15/2024,United States Treasury Note .625% 11/15/2024,,,,,,,,,UNRESOLVED,LOW,fact_holding:538ad44d0bd6c0696fa3; dim_entity:CO_0032,The printed row is a security title; the current company alias is not treated as issuer identity.,DERIVED,,ACTIVE,
TARGET_DEBT_2B958330E1CF4738E9CD,UNRESOLVED,CRC CF 5/4/2026,CRC CF 5/4/2026,,,,,,,,,UNRESOLVED,LOW,fact_holding:e4bcea864d90577f2c09; dim_entity:CO_0007,The printed row is a security title; the current company alias is not treated as issuer identity.,DERIVED,,ACTIVE,
TARGET_DEBT_52CD6303DCAE9C9B602C,UNRESOLVED,United States Treasury Bond 3.125% 5/15/2048,United States Treasury Bond 3.125% 5/15/2048,,,,,,,,,UNRESOLVED,LOW,fact_holding:d9d469cca69b699a4505; dim_entity:CO_0031,The printed row is a security title; the current company alias is not treated as issuer identity.,DERIVED,,ACTIVE,
TARGET_DEBT_86674E3C5689DB99798C,UNRESOLVED,Gate SME Ser 144A 12/15/2025,Gate SME Ser 144A 12/15/2025,,,,,,,,,UNRESOLVED,LOW,fact_holding:ee3181fc1f78702f1fb8; dim_entity:CO_0017,The printed row is a security title; the current company alias is not treated as issuer identity.,DERIVED,,ACTIVE,
TARGET_DEBT_B94ACE11735D4478E24B,UNRESOLVED,FNMA Single Family Mortgage 0% 2/2022,FNMA Single Family Mortgage 0% 2/2022,,,,,,,,,UNRESOLVED,LOW,fact_holding:122b052ae7ed8e6cd1a0; dim_entity:CO_0014,The printed row is a security title; the current company alias is not treated as issuer identity.,DERIVED,,ACTIVE,
TARGET_FUND_0003,FUND,"New Mountain Partners IV, L.P.","New Mountain Partners IV, L.P.",,,FUND_0003,,,,,,RESOLVED,HIGH,fact_holding:b674a1c21850cac0f8db; dim_entity:FUND_0003,Reviewed source identity resolves the held name to a fund.,DERIVED,,ACTIVE,
TARGET_FUND_0119,FUND,"TA XI, L.P.","TA XI, L.P.",,,FUND_0119,,,,,,RESOLVED,HIGH,fact_holding:cd8d927e1c499ea5ffd5; dim_entity:FUND_0119,Reviewed source identity resolves the held name to a fund.,DERIVED,,ACTIVE,
TARGET_FUND_0260,FUND,A10 USD (Feeder) L.P.,A10 USD (Feeder) L.P.,,,FUND_0260,,,,,,RESOLVED,HIGH,fact_holding:0b646cf2190b63f50f84; dim_entity:FUND_0260,Reviewed source identity resolves the held name to a fund.,DERIVED,,ACTIVE,
TARGET_FUND_0261,FUND,A9 EUR (Feeder) L.P.,A9 EUR (Feeder) L.P.,,,FUND_0261,,,,,,RESOLVED,HIGH,fact_holding:29a930856d1df85286bf; dim_entity:FUND_0261,Reviewed source identity resolves the held name to a fund.,DERIVED,,ACTIVE,
TARGET_FUND_0262,FUND,A9 USD (Feeder) L.P.,A9 USD (Feeder) L.P.,,,FUND_0262,,,,,,RESOLVED,HIGH,fact_holding:2e8da637c713bab856ac; dim_entity:FUND_0262,Reviewed source identity resolves the held name to a fund.,DERIVED,,ACTIVE,
TARGET_FUND_0264,FUND,"ABRY Partners IX, L.P.","ABRY Partners IX, L.P.",,,FUND_0264,,,,,,RESOLVED,HIGH,fact_holding:728a5d3c51461478361f; dim_entity:FUND_0264,Reviewed source identity resolves the held name to a fund.,DERIVED,,ACTIVE,
TARGET_FUND_0265,FUND,"ABRY Senior Equity V, L.P.","ABRY Senior Equity V, L.P.",,,FUND_0265,,,,,,RESOLVED,HIGH,fact_holding:2fb7335fd2cd7949b1ce; dim_entity:FUND_0265,Reviewed source identity resolves the held name to a fund.,DERIVED,,ACTIVE,
