position_id,source_holding_id,owner_id,owner_fund_id,instrument_id,position_class,accounting_scope,date_role,date_raw,date_precision,as_of_date,report_date,period_start_date,period_end_date,effective_date,quantity_raw,quantity,quantity_unit,currency,cost,fair_value,market_value,reported_value,realized_proceeds,commitment,unfunded_commitment,principal_amount,notional_amount,fund_ownership_fraction,portfolio_weight_fraction,initial_investment_date,exit_date,classification_confidence,classification_confidence_basis,classification_confidence_reason,provenance_type,origin_type,source_document_id,source_page,source_anchor,synthetic_parameter_set_id,record_status,acquisition_channel,acquisition_date_basis,commitment_only,fair_value_level,balance_raw,balance_basis
POS_SOURCE_010146821D144FFD89DB,c21ff051e2bb89ad7138,OWNER_ALPINVEST_SEED_FUND_II,,INSTR_SOURCE_010146821D144FFD89DB,FUND_INTEREST,portfolio_total,as_of,2025-12-31,day,2025-12-31,,,,,,,,USD,15162905,14002899,,,,,,,,,,2025-09-30,,MEDIUM,source_holding=c21ff051e2bb89ad7138; owner_decision=NATIVEOWN_SRC624_OWNER_ALPINVEST_SEED_FUND_II,The native reader classed the row FUND_INTEREST; the entity registry has no settled identity for the printed name.,EXTRACTED,SOURCE_NORMALIZED,SRC624,table-001,9/30/2025,,ACTIVE,SECONDARY,UNSTATED,,UNSTATED,,
POS_SOURCE_013F09FCFBA66EFCB1C0,3692cf482bfc7c3fc190,OWNER_POMONA_INVESTMENT_FUND,,INSTR_SOURCE_013F09FCFBA66EFCB1C0,FUND_INTEREST,portfolio_total,as_of,"December 31, 2025",day,2025-12-31,,,,,,,,USD,3990815,11279219,,,,,,,,,,,,HIGH,source_holding=3692cf482bfc7c3fc190; owner_decision=OWNMAP008,Reviewed source identity resolves the held name to a fund.,EXTRACTED,SOURCE_NORMALIZED,SRC407,1,"Investcorp Aspen Offshore Fund, L.P.(d) Rest of World 07/01/2019 3,990,815 11,279,219",,ACTIVE,DIRECT,UNSTATED,,UNSTATED,,
POS_SOURCE_01C416CF1FC327A19A90,660f553dbf62eec94224,OWNER_UTAH_RETIREMENT_INVESTMENT_FUND,,INSTR_SOURCE_01C416CF1FC327A19A90,DEBT_INVESTMENT,portfolio_total,as_of,"December 31, 2021",day,2021-12-31,,,,,,,,USD,,34702071,,,,,,,28790000,,,,,LOW,source_holding=660f553dbf62eec94224; owner_decision=OWNMAP003,The printed row is a security title; the current company alias is not treated as issuer identity.,EXTRACTED,SOURCE_NORMALIZED,SRC192,5,"28,790,000 34,702,071",,ACTIVE,UNKNOWN,UNSTATED,,UNSTATED,,
POS_SOURCE_0285D9EAF06A885249D9,9f928bd1708c4da56887,OWNER_ALPINVEST_CAPS_BLOCKER,,INSTR_SOURCE_0285D9EAF06A885249D9,FUND_INTEREST,portfolio_total,as_of,2026-03-31,day,2026-03-31,,,,,,,,USD,100,,,,,,,,,,,2025-12-31,,MEDIUM,source_holding=9f928bd1708c4da56887; owner_decision=NATIVEOWN_SRC623_OWNER_ALPINVEST_CAPS_BLOCKER,The native reader classed the row FUND_INTEREST; the entity registry has no settled identity for the printed name.,EXTRACTED,SOURCE_NORMALIZED,SRC623,table-012,Apheon MidCap Buyout VI SCSp —,,ACTIVE,SECONDARY,UNSTATED,,UNSTATED,,
POS_SOURCE_0306840504858087D0D4,63e2085b4b81684294d4,OWNER_UTAH_RETIREMENT_INVESTMENT_FUND,,INSTR_SOURCE_0306840504858087D0D4,DEBT_INVESTMENT,portfolio_total,as_of,"December 31, 2021",day,2021-12-31,,,,,,,,USD,,32818434,,,,,,,31681960,,,,,LOW,source_holding=63e2085b4b81684294d4; owner_decision=OWNMAP003,The printed row is a security title; the current company alias is not treated as issuer identity.,EXTRACTED,SOURCE_NORMALIZED,SRC192,5,"31,681,960 32,818,434",,ACTIVE,UNKNOWN,UNSTATED,,UNSTATED,,
POS_SOURCE_03DC689BF2CE1A13DA26,9e574362df9127e34827,OWNER_POMONA_INVESTMENT_FUND,,INSTR_SOURCE_03DC689BF2CE1A13DA26,FUND_INTEREST,portfolio_total,as_of,"December 31, 2025",day,2025-12-31,,,,,,,,USD,1177910,179841,,,,,,,,,,,,HIGH,source_holding=9e574362df9127e34827; owner_decision=OWNMAP008,Reviewed source identity resolves the held name to a fund.,EXTRACTED,SOURCE_NORMALIZED,SRC407,2,"Berkshire Fund VII, L.P.(d)(f)(g) North America 12/31/2018 1,177,910 179,841",,ACTIVE,SECONDARY,UNSTATED,,UNSTATED,,
POS_SOURCE_0551C3C518C35977B908,f7b9494337eeae986f0e,OWNER_POMONA_INVESTMENT_FUND,,INSTR_SOURCE_0551C3C518C35977B908,FUND_INTEREST,portfolio_total,as_of,"December 31, 2025",day,2025-12-31,,,,,,,,USD,3915482,361,,,,,,,,,,,,HIGH,source_holding=f7b9494337eeae986f0e; owner_decision=OWNMAP008,Reviewed source identity resolves the held name to a fund.,EXTRACTED,SOURCE_NORMALIZED,SRC407,4,"Icon Partners III, L.P.(f)(g) North America 03/19/2021 3,915,482 361",,ACTIVE,SECONDARY,UNSTATED,,UNSTATED,,
POS_SOURCE_061C711F4B8AE9B0C40A,9feae2e60be3551d4072,OWNER_POMONA_INVESTMENT_FUND,,INSTR_SOURCE_061C711F4B8AE9B0C40A,FUND_INTEREST,portfolio_total,as_of,"December 31, 2025",day,2025-12-31,,,,,,,,USD,467090,61553,,,,,,,,,,,,HIGH,source_holding=9feae2e60be3551d4072; owner_decision=OWNMAP008,Reviewed source identity resolves the held name to a fund.,EXTRACTED,SOURCE_NORMALIZED,SRC407,6,"Sun Capital Partners V, L.P.(g) North America 12/31/2018 467,090 61,553",,ACTIVE,SECONDARY,UNSTATED,,UNSTATED,,
POS_SOURCE_063D5739DC8E3E2EDE22,78ab23cc391aa98b5b34,OWNER_POMONA_INVESTMENT_FUND,,INSTR_SOURCE_063D5739DC8E3E2EDE22,FUND_INTEREST,portfolio_total,as_of,"December 31, 2025",day,2025-12-31,,,,,,,,USD,777423,188855,,,,,,,,,,,,HIGH,source_holding=78ab23cc391aa98b5b34; owner_decision=OWNMAP008,Reviewed source identity resolves the held name to a fund.,EXTRACTED,SOURCE_NORMALIZED,SRC407,5,"Lovell Minnick Equity Partners III LP(d)(f) North America 06/30/2021 777,423 188,855",,ACTIVE,SECONDARY,UNSTATED,,UNSTATED,,
POS_SOURCE_06E0D9881495ADC358EA,3f01f452e3d9701b339e,OWNER_ALPINVEST_SEED_FUND_II,,INSTR_SOURCE_06E0D9881495ADC358EA,FUND_INTEREST,portfolio_total,as_of,2025-12-31,day,2025-12-31,,,,,,,,USD,14559031,15422302,,,,,,,,,,2025-09-30,,MEDIUM,source_holding=3f01f452e3d9701b339e; owner_decision=NATIVEOWN_SRC624_OWNER_ALPINVEST_SEED_FUND_II,The native reader classed the row FUND_INTEREST; the entity registry has no settled identity for the printed name.,EXTRACTED,SOURCE_NORMALIZED,SRC624,table-001,"ECI 12 Special Purpose, L.P. $15,422,302",,ACTIVE,SECONDARY,UNSTATED,,UNSTATED,,
