analysis_result_id,entity_id,as_of_date,metric_id,value_numeric,unit,formula_id,input_record_ids,benchmark_id,provenance_type,quality_population,notes,input_fee_basis,input_method
ANL_POSITION_FUND_0004_LP_0018_UNNAMED_LP_ALL_CLASSES_20211231_DPI,POSITION_FUND_0004_LP_0018_UNNAMED_LP_ALL_CLASSES,2021-12-31,dpi,1.949525179,multiple,DPI_DISTRIBUTIONS_OVER_PAID_IN_V1,FP_631018aee601270b,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_POSITION_FUND_0004_LP_0018_UNNAMED_LP_ALL_CLASSES_20211231_RVPI,POSITION_FUND_0004_LP_0018_UNNAMED_LP_ALL_CLASSES,2021-12-31,rvpi,0,multiple,RVPI_NAV_OVER_PAID_IN_V1,FP_631018aee601270b,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_POSITION_FUND_0004_LP_0018_UNNAMED_LP_ALL_CLASSES_20211231_TVPI,POSITION_FUND_0004_LP_0018_UNNAMED_LP_ALL_CLASSES,2021-12-31,tvpi,1.949525179,multiple,TVPI_VALUE_OVER_PAID_IN_V1,FP_631018aee601270b,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_POSITION_FUND_0005_LP_0018_UNNAMED_LP_ALL_CLASSES_20211231_DPI,POSITION_FUND_0005_LP_0018_UNNAMED_LP_ALL_CLASSES,2021-12-31,dpi,0,multiple,DPI_DISTRIBUTIONS_OVER_PAID_IN_V1,FP_d18ec355f3700ac7,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_POSITION_FUND_0005_LP_0018_UNNAMED_LP_ALL_CLASSES_20211231_RVPI,POSITION_FUND_0005_LP_0018_UNNAMED_LP_ALL_CLASSES,2021-12-31,rvpi,1.021216,multiple,RVPI_NAV_OVER_PAID_IN_V1,FP_d18ec355f3700ac7,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_POSITION_FUND_0005_LP_0018_UNNAMED_LP_ALL_CLASSES_20211231_TVPI,POSITION_FUND_0005_LP_0018_UNNAMED_LP_ALL_CLASSES,2021-12-31,tvpi,1.021216,multiple,TVPI_VALUE_OVER_PAID_IN_V1,FP_d18ec355f3700ac7,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_POSITION_FUND_0006_LP_0018_UNNAMED_LP_ALL_CLASSES_20211231_DPI,POSITION_FUND_0006_LP_0018_UNNAMED_LP_ALL_CLASSES,2021-12-31,dpi,0.624534,multiple,DPI_DISTRIBUTIONS_OVER_PAID_IN_V1,FP_9e4b516c37003861,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_POSITION_FUND_0006_LP_0018_UNNAMED_LP_ALL_CLASSES_20211231_RVPI,POSITION_FUND_0006_LP_0018_UNNAMED_LP_ALL_CLASSES,2021-12-31,rvpi,0.547196,multiple,RVPI_NAV_OVER_PAID_IN_V1,FP_9e4b516c37003861,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_POSITION_FUND_0006_LP_0018_UNNAMED_LP_ALL_CLASSES_20211231_TVPI,POSITION_FUND_0006_LP_0018_UNNAMED_LP_ALL_CLASSES,2021-12-31,tvpi,1.17173,multiple,TVPI_VALUE_OVER_PAID_IN_V1,FP_9e4b516c37003861,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_POSITION_FUND_0007_LP_0018_UNNAMED_LP_ALL_CLASSES_20211231_DPI,POSITION_FUND_0007_LP_0018_UNNAMED_LP_ALL_CLASSES,2021-12-31,dpi,0.066947,multiple,DPI_DISTRIBUTIONS_OVER_PAID_IN_V1,FP_ae664b4f721879be,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_POSITION_FUND_0007_LP_0018_UNNAMED_LP_ALL_CLASSES_20211231_RVPI,POSITION_FUND_0007_LP_0018_UNNAMED_LP_ALL_CLASSES,2021-12-31,rvpi,1.337358,multiple,RVPI_NAV_OVER_PAID_IN_V1,FP_ae664b4f721879be,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_POSITION_FUND_0007_LP_0018_UNNAMED_LP_ALL_CLASSES_20211231_TVPI,POSITION_FUND_0007_LP_0018_UNNAMED_LP_ALL_CLASSES,2021-12-31,tvpi,1.404305,multiple,TVPI_VALUE_OVER_PAID_IN_V1,FP_ae664b4f721879be,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
