fund_term_clause_id,fund_id,lp_id,lp_name,share_class_name,perspective,term_scope,overrides_fund_term_id,effective_date,effective_end_date,source_document_id,metric_id,clause_title,value_raw,value_text,currency,provenance_type,source_page,source_anchor,extractor_version,synthetic_parameter_set_id,record_status
FTC_38944689c9cd90c4,FUND_1061,,,,fund_total,base_fund,,,,SRC421,terms.special_term,Fees and Expenses,"The Fund will bear certain of its organizational and initial offering costs in connection with this offering. The Fund’s initial offering costs, whether borne by the Adviser or the Fund, are being capitalized and amortized over the 12-month period following the commencement of operations. The Fund’s organizational costs are expensed as incurred.","The Fund will bear certain of its organizational and initial offering costs in connection with this offering. The Fund’s initial offering costs, whether borne by the Adviser or the Fund, are being capitalized and amortized over the 12-month period following the commencement of operations. The Fund’s organizational costs are expensed as incurred.",,EXTRACTED,24,Fees and Expenses,2026-09-01.2,,ACTIVE
FTC_3523a3bf655f27f3,FUND_1061,,,,fund_total,base_fund,,,,SRC421,terms.special_term,Management Fee,"In consideration of the advisory services provided by the Adviser, the Fund pays the Adviser a fee of 1.50% on an annualized basis of the value of the Fund's net assets calculated and accrued monthly as of the last business day of each month and payable monthly (the ""Management Fee""). For purposes of determining the Management Fee payable to the Adviser, the value of the Fund's net assets will be calculated prior to the inclusion of the Management Fee payable to the Adviser and prior to any reduction for any fees and expenses of the Fund for that month. Purchased Shares are incorporated into the beginning of month NAV and included in the computation of the Management Fee payable. The Management Fee will be calculated before giving effect to any repurchase of Shares by the Fund or any distributions by the Fund. The Management Fee will be payable in arrears within 5 business days after the completion of the NAV computation for the month. The Management Fee is paid to the Adviser out of the Fund's assets, and therefore decreases the net profits or increases the net losses of the Fund.","In consideration of the advisory services provided by the Adviser, the Fund pays the Adviser a fee of 1.50% on an annualized basis of the value of the Fund's net assets calculated and accrued monthly as of the last business day of each month and payable monthly (the ""Management Fee""). For purposes of determining the Management Fee payable to the Adviser, the value of the Fund's net assets will be calculated prior to the inclusion of the Management Fee payable to the Adviser and prior to any reduction for any fees and expenses of the Fund for that month. Purchased Shares are incorporated into the beginning of month NAV and included in the computation of the Management Fee payable. The Management Fee will be calculated before giving effect to any repurchase of Shares by the Fund or any distributions by the Fund. The Management Fee will be payable in arrears within 5 business days after the completion of the NAV computation for the month. The Management Fee is paid to the Adviser out of the Fund's assets, and therefore decreases the net profits or increases the net losses of the Fund.",,EXTRACTED,24,SUMMARY OF OFFERING TERMS / Management Fee,2026-09-01.2,,ACTIVE
FTC_2f382d4f394ae42a,FUND_1061,,,,fund_total,base_fund,,,,SRC421,terms.special_term,Term,The Fund’s term is perpetual unless the Fund is otherwise terminated under the terms of the Declaration of Trust.,The Fund’s term is perpetual unless the Fund is otherwise terminated under the terms of the Declaration of Trust.,,EXTRACTED,27,SUMMARY OF OFFERING TERMS / Term,2026-09-01.2,,ACTIVE
FTC_78572716431a87a7,FUND_1061,,,,fund_total,base_fund,,,,SRC421,terms.special_term,Management Fee,1.50%,1.50%,,EXTRACTED,29,Estimated Annual Operating Expenses / Management Fee / Class I2 Shares,2026-09-01.2,,ACTIVE
FTC_7d7627c390f47d0f,FUND_1061,,,,fund_total,base_fund,,,,SRC421,terms.special_term,Management Fee,1.50%,1.50%,,EXTRACTED,29,Estimated Annual Operating Expenses / Management Fee / Class S2 Shares,2026-09-01.2,,ACTIVE
FTC_6ac9170ec654ae9f,FUND_1061,,,,fund_total,base_fund,,,,SRC421,terms.special_term,Term,The Fund’s term is perpetual unless the Fund is otherwise terminated under the terms of the Declaration of Trust.,The Fund’s term is perpetual unless the Fund is otherwise terminated under the terms of the Declaration of Trust.,,EXTRACTED,33,THE FUND / Term,2026-09-01.2,,ACTIVE
FTC_47993a3d3664fae4,FUND_1061,,,,fund_total,base_fund,,,,SRC421,terms.special_term,Fees Paid to Apollo,"Certain fees received by the Adviser will not be applied to reduce management fees and a portion of such fees will be retained by and be for the benefit of the Adviser or any of its affiliates or employees, in each case, in accordance with the fee arrangements set forth in the Advisory Agreement and Affiliate Administration Agreement, as applicable.","Certain fees received by the Adviser will not be applied to reduce management fees and a portion of such fees will be retained by and be for the benefit of the Adviser or any of its affiliates or employees, in each case, in accordance with the fee arrangements set forth in the Advisory Agreement and Affiliate Administration Agreement, as applicable.",,EXTRACTED,85,POTENTIAL CONFLICTS OF INTEREST / Fees Paid to Apollo,2026-09-01.2,,ACTIVE
FTC_b37a4de006e5bd61,FUND_1061,,,,fund_total,base_fund,,,,SRC421,terms.special_term,Management Fee,"In consideration of the advisory services provided by the Adviser, the Fund pays the Adviser a monthly Management Fee at an annual rate of 1.50% based on the value of the Fund's net assets calculated and accrued monthly as of the last business day of each month. For purposes of determining the Management Fee payable to the Adviser, the value of the Fund's net assets will be calculated prior to the inclusion of the Management Fee payable to the Adviser and prior to any reduction for any fees and expenses of the Fund for that month. Purchased Shares are incorporated into the beginning of month NAV and included in the computation of the Management Fee payable. The Management Fee will be calculated before giving effect to any repurchase of Shares by the Fund or any distributions by the Fund. The Management Fee will be payable in arrears within 5 business days after the completion of the NAV computation for the month. The Management Fee is paid to the Adviser out of the Fund's assets, and therefore decreases the net profits or increases the net losses of the Fund. Purchased Shares are incorporated into the beginning of month NAV and included in the computation of the Management Fee payable. The Management Fee will be calculated before giving effect to any repurchase of Shares by the Fund or any distributions by the Fund as described in ""Repurchase of Shares."" The Management Fee is paid to the Adviser out of the Fund's assets, and therefore decreases the net profits or increases the net losses of the Fund. The Management Fee is payable in cash. The Fund could apply for exemptive relief from the SEC in the future that if granted would permit the Fund to pay the Adviser all or a portion of its Management Fee in Shares in lieu of paying the Adviser an equivalent amount of such fees in cash. As a condition of any such exemptive relief, the Adviser would have to commit not to sell any such Shares received in lieu of a cash payment of its Management Fee for at least 12 months from the date of issuance, except in exceptional circumstances. As of the date of this Prospectus, the Fund has not applied for such exemptive relief.","In consideration of the advisory services provided by the Adviser, the Fund pays the Adviser a monthly Management Fee at an annual rate of 1.50% based on the value of the Fund's net assets calculated and accrued monthly as of the last business day of each month. For purposes of determining the Management Fee payable to the Adviser, the value of the Fund's net assets will be calculated prior to the inclusion of the Management Fee payable to the Adviser and prior to any reduction for any fees and expenses of the Fund for that month. Purchased Shares are incorporated into the beginning of month NAV and included in the computation of the Management Fee payable. The Management Fee will be calculated before giving effect to any repurchase of Shares by the Fund or any distributions by the Fund. The Management Fee will be payable in arrears within 5 business days after the completion of the NAV computation for the month. The Management Fee is paid to the Adviser out of the Fund's assets, and therefore decreases the net profits or increases the net losses of the Fund. Purchased Shares are incorporated into the beginning of month NAV and included in the computation of the Management Fee payable. The Management Fee will be calculated before giving effect to any repurchase of Shares by the Fund or any distributions by the Fund as described in ""Repurchase of Shares."" The Management Fee is paid to the Adviser out of the Fund's assets, and therefore decreases the net profits or increases the net losses of the Fund. The Management Fee is payable in cash. The Fund could apply for exemptive relief from the SEC in the future that if granted would permit the Fund to pay the Adviser all or a portion of its Management Fee in Shares in lieu of paying the Adviser an equivalent amount of such fees in cash. As a condition of any such exemptive relief, the Adviser would have to commit not to sell any such Shares received in lieu of a cash payment of its Management Fee for at least 12 months from the date of issuance, except in exceptional circumstances. As of the date of this Prospectus, the Fund has not applied for such exemptive relief.",,EXTRACTED,91,Management Fee / Management Fee,2026-09-01.2,,ACTIVE
FTC_dec8e32d3121529f,FUND_1061,,,,fund_total,base_fund,,,,SRC421,terms.special_term,Expense Limitation Agreement,may be extended for additional one-year periods with the consent of the Adviser and the Fund,may be extended for additional one-year periods with the consent of the Adviser and the Fund,,EXTRACTED,92,Expense Limitation Agreement / Expense Limitation Agreement,2026-09-01.2,,ACTIVE
FTC_37389b1ebde9995e,FUND_1061,,,,fund_total,base_fund,,,,SRC421,terms.special_term,Investment Advisory and Management Agreement,"After the initial term of two years, the Investment Advisory and Management Agreement may continue in effect from year to year if such continuance is approved annually by either the Board or the vote of a majority of the outstanding voting securities of the Fund","After the initial term of two years, the Investment Advisory and Management Agreement may continue in effect from year to year if such continuance is approved annually by either the Board or the vote of a majority of the outstanding voting securities of the Fund",,EXTRACTED,92,Investment Advisory and Management Agreement / Investment Advisory and Management Agreement,2026-09-01.2,,ACTIVE
FTC_94d6cc210b198658,FUND_1061,,,,fund_total,base_fund,,,,SRC421,terms.special_term,organizational and initial offering costs,The Fund will bear certain of its organizational and initial offering costs in connection with this offering. The Fund’s initial offering costs are being capitalized and amortized over the 12-month period following commencement of operations. The Fund’s organizational costs are expensed as incurred. The Adviser has agreed to advance those costs to the Fund. Such costs incurred by the Adviser are subject to recoupment by the Adviser in accordance with the Expense Limitation Agreement.,The Fund will bear certain of its organizational and initial offering costs in connection with this offering. The Fund’s initial offering costs are being capitalized and amortized over the 12-month period following commencement of operations. The Fund’s organizational costs are expensed as incurred. The Adviser has agreed to advance those costs to the Fund. Such costs incurred by the Adviser are subject to recoupment by the Adviser in accordance with the Expense Limitation Agreement.,,EXTRACTED,92,Investment Advisory and Management Agreement and Reimbursement Arrangements / organizational and initial offering costs,2026-09-01.2,,ACTIVE
FTC_41fde34a870d7153,FUND_1061,,,,fund_total,base_fund,,,,SRC421,terms.special_term,Distribution Agreement,"After the initial term of two years, the Distribution Agreement will continue in effect with respect to the Fund for successive one-year periods, provided that each such continuance is specifically approved by a majority of the entire Board cast in person at a meeting called for that purpose or by a majority of the outstanding voting securities of the Fund and, in either case, also by a majority of the Independent Trustees.","After the initial term of two years, the Distribution Agreement will continue in effect with respect to the Fund for successive one-year periods, provided that each such continuance is specifically approved by a majority of the entire Board cast in person at a meeting called for that purpose or by a majority of the outstanding voting securities of the Fund and, in either case, also by a majority of the Independent Trustees.",,EXTRACTED,98,Distributor / Distribution Agreement,2026-09-01.2,,ACTIVE
