"pair_id","decision","reason","contract_version","file_id","source_sha256","canonical_doc_type","route","product_tier","agent_role","record_family","source_page","source_structure_type","source_section","source_table","source_row_label","source_column_label","source_occurrence","subject_type","subject_name","asset_class","strategy","geography","manager_name","investor_name","portfolio_name","vintage_year","period_start","period_end","as_of_date","horizon","currency_scale","metric_category","metric_name","metric_value_raw","unit","term_category","text_raw","basis_raw","condition_raw","evidence_quote","evidence_class","notes","source_agents","adjudication_status","definition_keys","method","fee_basis","value_scope","sector"
"PAIR_4A0B8ABD270AFB8DB9492E84","MERGE","Document rule 1 (subject): the boxed heading prints INVESTEE FUND ANTIN INFRASTRUCTURE PARTNERS II LP, so the subject is the named vehicle (subject_type fund), and the investor belongs in investor_name; B filed subject_type investor. Document rule 2 (section): page 1 prints CAPITAL ACCOUNT above the tables, so the populated source_section is right and B blank is wrong. Document rule 3 (metric_name): the printed row label is Initial Commitment and the A in the next narrow cell is the formula key, so B metric_name Initial Commitment A stores the key as part of the name.; Source review: p1: INVESTOR (The capital account belongs to the investor, not the investee fund.) | p1: Northumberland County Council (The source prints this investor name on both pages.)","2026-09-01.2","SRC463","ac5d733acff368c8d0df821d1311f97f2474a707afdae5eeeb7b23ab817372f3","PCAP","06-statements-and-economics","CORE","A","fund_economics_observation","1","TABLE","CAPITAL ACCOUNT","COMMITMENT","Initial Commitment A","Capital Contribution series","1","investor","Northumberland County Council","","","","","","","","","","31/03/2017","","All amounts in euros","commitment","Initial Commitment","240","","","","","","Initial Commitment A 240 23,999,760 24,000,000","actual","","","","","","","",""
"PAIR_8C9252BBAB9521C3DE4233C0","MERGE","Document rules 1, 2 and 3 as on the Capital Contribution series cell of this row.; Source review: p1: INVESTOR (The capital account belongs to the investor, not the investee fund.) | p1: Northumberland County Council (The source prints this investor name on both pages.)","2026-09-01.2","SRC463","ac5d733acff368c8d0df821d1311f97f2474a707afdae5eeeb7b23ab817372f3","PCAP","06-statements-and-economics","CORE","A","fund_economics_observation","1","TABLE","CAPITAL ACCOUNT","COMMITMENT","Initial Commitment A","Loan Commitment series","1","investor","Northumberland County Council","","","","","","","","","","31/03/2017","","All amounts in euros","commitment","Initial Commitment","23,999,760","","","","","","Initial Commitment A 240 23,999,760 24,000,000","actual","","","","","","","",""
"PAIR_DEA02478E915650BDE833C5A","MERGE","Document rules 1, 2 and 3 as on the Capital Contribution series cell of this row.; Source review: p1: INVESTOR (The capital account belongs to the investor, not the investee fund.) | p1: Northumberland County Council (The source prints this investor name on both pages.)","2026-09-01.2","SRC463","ac5d733acff368c8d0df821d1311f97f2474a707afdae5eeeb7b23ab817372f3","PCAP","06-statements-and-economics","CORE","A","fund_economics_observation","1","TABLE","CAPITAL ACCOUNT","COMMITMENT","Initial Commitment A","TOTAL","1","investor","Northumberland County Council","","","","","","","","","","31/03/2017","","All amounts in euros","commitment","Initial Commitment","24,000,000","","","","","","Initial Commitment A 240 23,999,760 24,000,000","actual","","","","","","","",""
"PAIR_E29054D3D5D014D69B181B70","MERGE","Document rules 1, 2 and 3. Printed line: Paid-in capital B 240 20,033,688 20,033,928; the printed metric name is Paid-in capital and B is the formula key.; Source review: p1: INVESTOR (The capital account belongs to the investor, not the investee fund.) | p1: Northumberland County Council (The source prints this investor name on both pages.)","2026-09-01.2","SRC463","ac5d733acff368c8d0df821d1311f97f2474a707afdae5eeeb7b23ab817372f3","PCAP","06-statements-and-economics","CORE","A","fund_economics_observation","1","TABLE","CAPITAL ACCOUNT","CAPITAL CALLS","Paid-in capital B","Capital Contribution series","1","investor","Northumberland County Council","","","","","","","","","","31/03/2017","","All amounts in euros","paid_in_capital","Paid-in capital","240","","","","","","Paid-in capital B 240 20,033,688 20,033,928","actual","","","","","","","",""
"PAIR_04A4BB5718B267B96CEB2AFC","MERGE","Document rules 1, 2 and 3 as on the Capital Contribution series cell of this row.; Source review: p1: INVESTOR (The capital account belongs to the investor, not the investee fund.) | p1: Northumberland County Council (The source prints this investor name on both pages.)","2026-09-01.2","SRC463","ac5d733acff368c8d0df821d1311f97f2474a707afdae5eeeb7b23ab817372f3","PCAP","06-statements-and-economics","CORE","A","fund_economics_observation","1","TABLE","CAPITAL ACCOUNT","CAPITAL CALLS","Paid-in capital B","Loan Commitment series","1","investor","Northumberland County Council","","","","","","","","","","31/03/2017","","All amounts in euros","paid_in_capital","Paid-in capital","20,033,688","","","","","","Paid-in capital B 240 20,033,688 20,033,928","actual","","","","","","","",""
"PAIR_1F2C84847A6BBF156FF680AD","MERGE","Document rules 1, 2 and 3 as on the Capital Contribution series cell of this row.; Source review: p1: INVESTOR (The capital account belongs to the investor, not the investee fund.) | p1: Northumberland County Council (The source prints this investor name on both pages.)","2026-09-01.2","SRC463","ac5d733acff368c8d0df821d1311f97f2474a707afdae5eeeb7b23ab817372f3","PCAP","06-statements-and-economics","CORE","A","fund_economics_observation","1","TABLE","CAPITAL ACCOUNT","CAPITAL CALLS","Paid-in capital B","TOTAL","1","investor","Northumberland County Council","","","","","","","","","","31/03/2017","","All amounts in euros","paid_in_capital","Paid-in capital","20,033,928","","","","","","Paid-in capital B 240 20,033,688 20,033,928","actual","","","","","","","",""
"PAIR_246206FC55CC0963EAAE0835","MERGE","Document rules 1, 2 and 3. Printed line: Residual Commitment C=A-B - 3,966,072 3,966,072; C=A-B is the formula key, not part of the metric name.; Source review: p1: INVESTOR (The capital account belongs to the investor, not the investee fund.) | p1: Northumberland County Council (The source prints this investor name on both pages.)","2026-09-01.2","SRC463","ac5d733acff368c8d0df821d1311f97f2474a707afdae5eeeb7b23ab817372f3","PCAP","06-statements-and-economics","CORE","A","fund_economics_observation","1","TABLE","CAPITAL ACCOUNT","COMMITMENT","Residual Commitment C=A-B","Loan Commitment series","1","investor","Northumberland County Council","","","","","","","","","","31/03/2017","","All amounts in euros","unfunded_commitment","Residual Commitment","3,966,072","","","","","","Residual Commitment C=A-B - 3,966,072 3,966,072","actual","","","","","","","",""
"PAIR_F50111D95226215A21D5FD98","MERGE","Document rules 1, 2 and 3 as on the Loan Commitment series cell of this row.; Source review: p1: INVESTOR (The capital account belongs to the investor, not the investee fund.) | p1: Northumberland County Council (The source prints this investor name on both pages.)","2026-09-01.2","SRC463","ac5d733acff368c8d0df821d1311f97f2474a707afdae5eeeb7b23ab817372f3","PCAP","06-statements-and-economics","CORE","A","fund_economics_observation","1","TABLE","CAPITAL ACCOUNT","COMMITMENT","Residual Commitment C=A-B","TOTAL","1","investor","Northumberland County Council","","","","","","","","","","31/03/2017","","All amounts in euros","unfunded_commitment","Residual Commitment","3,966,072","","","","","","Residual Commitment C=A-B - 3,966,072 3,966,072","actual","","","","","","","",""
"PAIR_9F447967D7D4BC07DDBC2880","MERGE","Document rules 1, 2 and 3. Printed line: Income E - 273,234 273,234. Both lanes agree the category is income, which is the word the page prints.; Source review: p1: INVESTOR (The capital account belongs to the investor, not the investee fund.) | p1: Northumberland County Council (The source prints this investor name on both pages.)","2026-09-01.2","SRC463","ac5d733acff368c8d0df821d1311f97f2474a707afdae5eeeb7b23ab817372f3","PCAP","06-statements-and-economics","CORE","A","fund_economics_observation","1","TABLE","CAPITAL ACCOUNT","DISTRIBUTIONS","Income E","Loan Commitment series","1","investor","Northumberland County Council","","","","","","","","","","31/03/2017","","All amounts in euros","income","Income","273,234","","","","Income","","Income E - 273,234 273,234","actual","","","","","","","",""
"PAIR_501089EC75121DF938363FE2","MERGE","Document rules 1, 2 and 3 as on the Loan Commitment series cell of this row.; Source review: p1: INVESTOR (The capital account belongs to the investor, not the investee fund.) | p1: Northumberland County Council (The source prints this investor name on both pages.)","2026-09-01.2","SRC463","ac5d733acff368c8d0df821d1311f97f2474a707afdae5eeeb7b23ab817372f3","PCAP","06-statements-and-economics","CORE","A","fund_economics_observation","1","TABLE","CAPITAL ACCOUNT","DISTRIBUTIONS","Income E","TOTAL","1","investor","Northumberland County Council","","","","","","","","","","31/03/2017","","All amounts in euros","income","Income","273,234","","","","Income","","Income E - 273,234 273,234","actual","","","","","","","",""
