"fund_name_raw","standardized_fund_name","fund_family","fund_id","decision_status","seen_in_agents","source_files","a_count","b_count","merge_note"
"Clift","Clift","","FUND_0442","decided","02-performance","SRC058","6","0","sole printed variant"
"Cohen & Steers","Cohen & Steers","","FUND_0443","decided","02-performance","SRC058","3","0","sole printed variant"
"Coller International Partners VI, L.P.","Coller International Partners VI, L.P.","","FUND_0444","decided","06-statements-and-economics","SRC407","2","0","sole printed variant"
"Commonwealth Fund III","Commonwealth Fund III","","FUND_0108","decided","A+B","SRC038","1","1","sole printed variant"
"Comvest Capital III International (Cayman), L.P.","Comvest Capital III International (Cayman), L.P.","","FUND_0445","decided","06-statements-and-economics","SRC407","2","0","sole printed variant"
"Concession Investment Holdings, LLC","Concession Investment Holdings, LLC","","FUND_0446","decided","02-performance","SRC063","4","0","sole printed variant"
"Connecticut Bioscience Innovation Fund","Connecticut Bioscience Innovation Fund","","FUND_0124","decided","B","SRC039","0","1","sole printed variant"
"Connecticut Capital Access Fund","Connecticut Capital Access Fund","","FUND_0125","decided","B","SRC039","0","1","sole printed variant"
"Connecticut Works Fund","Connecticut Works Fund","","FUND_0128","decided","B","SRC039","0","1","distinct: separate vehicle from Connecticut Works Guarantee Fund"
"Connecticut Works Guarantee Fund","Connecticut Works Guarantee Fund","","FUND_0129","decided","B","SRC039","0","1","distinct: separate vehicle from Connecticut Works Fund"
"Conservation Forestry Capital Fund II, L.P.","Conservation Forestry Capital Fund II, L.P.","Conservation Forestry Capital","","decided","04-quarterly-report","SRC457","13","0","merged with the LP spelling of the same vehicle"
"Conservation Forestry Capital Fund II, LP","Conservation Forestry Capital Fund II, L.P.","Conservation Forestry Capital","","decided","04-quarterly-report","SRC457","3","0","merged into the fuller L.P. spelling"
"Conservation Forestry Capital Fund IV, L.P.","Conservation Forestry Capital Fund IV, L.P.","Conservation Forestry Capital","","decided","04-quarterly-report","SRC457","11","0","merged with the LP spelling; Fund IV distinct from Fund II"
"Conservation Forestry Capital Fund IV, LP","Conservation Forestry Capital Fund IV, L.P.","Conservation Forestry Capital","","decided","04-quarterly-report","SRC457","3","0","merged into the fuller L.P. spelling; Fund IV distinct from Fund II"
"Core Property Index Trust","Core Property Index Trust","","FUND_0447","decided","02-performance","SRC063","1","0","sole printed variant"
"Cornerstone Patriot Fund, L.P.","Cornerstone Patriot Fund, L.P.","","FUND_0190","decided","A+B","SRC137","1","1","sole printed variant"
"Corsair IV Financial Services Capital Partners, L.P.","Corsair IV Financial Services Capital Partners, L.P.","Corsair","FUND_0448","decided","06-statements-and-economics","SRC407","2","0","distinct series from Corsair V"
"Corsair V Financial Services Capital Partners, L.P.","Corsair V Financial Services Capital Partners, L.P.","Corsair","FUND_0449","decided","06-statements-and-economics","SRC407","2","0","distinct series from Corsair IV"
"Court Square Capital Partners (Offshore) III, L.P.","Court Square Capital Partners (Offshore) III, L.P.","","FUND_0450","decided","06-statements-and-economics","SRC407","2","0","sole printed variant"
"CP VII Investors, L.P.","CP VII Investors, L.P.","","FUND_0451","decided","06-statements-and-economics","SRC407","2","0","sole printed variant"
"Crestview Partners II, L.P.","Crestview Partners II, L.P.","","FUND_0452","decided","06-statements-and-economics","SRC407","2","0","sole printed variant"
"Crow Holdings Realty Fund VII, LP","Crow Holdings Realty Fund VII, LP","Crow Holdings","FUND_0453","decided","04-quarterly-report","SRC457","3","0","distinct: printed as Realty Fund not Realty Partners; not merged into Realty Partners VII"
"Crow Holdings Realty Partners IX, L.P.","Crow Holdings Realty Partners IX, L.P.","Crow Holdings","FUND_0454","decided","04-quarterly-report","SRC457","5","0","sole printed variant"
"Crow Holdings Realty Partners VI, L.P.","Crow Holdings Realty Partners VI, L.P.","Crow Holdings","","decided","04-quarterly-report","SRC457","14","0","merged with the LP spelling of the same vehicle"
"Crow Holdings Realty Partners VI, LP","Crow Holdings Realty Partners VI, L.P.","Crow Holdings","","decided","04-quarterly-report","SRC457","3","0","merged into the fuller L.P. spelling"
"Crow Holdings Realty Partners VII, L.P.","Crow Holdings Realty Partners VII, L.P.","Crow Holdings","FUND_0455","decided","04-quarterly-report","SRC457","12","0","distinct from Crow Holdings Realty Fund VII"
"Crow Retail Fund II, L.P.","Crow Retail Fund II, L.P.","","FUND_0456","decided","04-quarterly-report","SRC457","15","0","sole printed variant; stem differs from Crow Holdings so family left blank"
"CS Strategic Partners IV RE, L.P.","CS Strategic Partners IV RE, L.P.","","FUND_0191","decided","A+B","SRC137","1","1","distinct series from CSFB Strategic Partners II and III; printed stem differs"
"CSFB Strategic Partners II RE, L.P.","CSFB Strategic Partners II RE, L.P.","CSFB Strategic Partners","FUND_0192","decided","A+B","SRC137","1","1","distinct series from III"
"CSFB Strategic Partners III RE, L.P.","CSFB Strategic Partners III RE, L.P.","CSFB Strategic Partners","FUND_0193","decided","A+B","SRC137","1","1","distinct series from II"
"Cube Infrastructure Fund III","Cube Infrastructure Fund III","","FUND_0457","decided","02-performance","SRC060","5","0","sole printed variant"
"Cube Salem Co-Investment","Cube Salem Co-Investment","","FUND_0458","decided","02-performance","SRC060","5","0","distinct co-investment vehicle"
"CVC Capital Partners VI (A) L.P.","CVC Capital Partners VI (A) L.P.","CVC","FUND_0459","decided","06-statements-and-economics","SRC407","2","0","distinct parallel vehicle from VI (B)"
"CVC Capital Partners VI (B) L.P.","CVC Capital Partners VI (B) L.P.","CVC","FUND_0460","decided","06-statements-and-economics","SRC407","2","0","distinct parallel vehicle from VI (A)"
"CVC Capital Partners VII (A) L.P.","CVC Capital Partners VII (A) L.P.","CVC","FUND_0461","decided","06-statements-and-economics","SRC407","2","0","distinct series from VI"
"CVC European Equity Partners V (A) L.P.","CVC European Equity Partners V (A) L.P.","CVC","FUND_0462","decided","06-statements-and-economics","SRC407","2","0","distinct parallel vehicle from V (C)"
"CVC European Equity Partners V (C) L.P.","CVC European Equity Partners V (C) L.P.","CVC","FUND_0463","decided","06-statements-and-economics","SRC407","2","0","distinct parallel vehicle from V (A)"
"Cybersecurity Investment Fund","Cybersecurity Investment Fund","","FUND_0142","decided","B","SRC040","0","1","sole printed variant"
"DB SAF C Strategic Partners, LP","DB SAF C Strategic Partners, LP","","FUND_0464","decided","02-performance","SRC063","1","0","distinct from DCP C Strategic Partners"
"DCM V, L.P.","DCM V, L.P.","DCM","FUND_0465","decided","06-statements-and-economics","SRC407","2","0","distinct series from DCM VI"
