"fund_name_raw","standardized_fund_name","fund_family","fund_id","decision_status","seen_in_agents","source_files","a_count","b_count","merge_note"
"Blackstone RE Partners X LP","Blackstone RE Partners X LP","Blackstone","FUND_0359","decided","02-performance","SRC058","6","0","printed abbreviation kept; no fuller Series X spelling here"
"Blackstone Real Estate Debt Strategies II, L.P.","Blackstone Real Estate Debt Strategies II, L.P.","Blackstone","FUND_0170","decided","A+B","SRC137","1","1","sole printed variant"
"Blackstone Real Estate Partners Europe III, L.P.","Blackstone Real Estate Partners Europe III, L.P.","Blackstone","FUND_0171","decided","A+B","SRC137","1","1","distinct Europe series"
"Blackstone Real Estate Partners IX","Blackstone Real Estate Partners IX","Blackstone","FUND_0360","decided","02-performance","SRC058","6","0","distinct series; no other IX spelling"
"Blackstone Real Estate Partners V, L.P.","Blackstone Real Estate Partners V, L.P.","Blackstone","FUND_0172","decided","A+B","SRC137","1","1","distinct series from VI and VII"
"Blackstone Real Estate Partners VI, L.P.","Blackstone Real Estate Partners VI, L.P.","Blackstone","FUND_0173","decided","A+B","SRC137","1","1","merged with the VI LP spelling"
"Blackstone Real Estate Partners VI, LP","Blackstone Real Estate Partners VI, L.P.","Blackstone","","decided","02-performance","SRC058","6","0","merged: LP = L.P."
"Blackstone Real Estate Partners VII, L.P.","Blackstone Real Estate Partners VII, L.P.","Blackstone","FUND_0174","decided","A+B","SRC137","1","1","merged with the VII LP spelling"
"Blackstone Real Estate Partners VII, LP","Blackstone Real Estate Partners VII, L.P.","Blackstone","","decided","02-performance","SRC058","6","0","merged: LP = L.P."
"Blue Owl GP Stakes Nimbus Cayman (B) LP","Blue Owl GP Stakes Nimbus Cayman (B) LP","Blue Owl","FUND_0361","decided","06-statements-and-economics","SRC407","2","0","distinct parallel vehicle from the U.S. (A) entity"
"Blue Owl GP Stakes Nimbus U.S. (A) LLC","Blue Owl GP Stakes Nimbus U.S. (A) LLC","Blue Owl","FUND_0362","decided","06-statements-and-economics","SRC407","2","0","distinct parallel vehicle from the Cayman (B) entity"
"Blue Owl GP Stakes US Investors LP","Blue Owl GP Stakes US Investors LP","Blue Owl","FUND_0363","decided","06-statements-and-economics","SRC407","2","0","distinct GP Stakes vehicle"
"Blue Owl GP Stakes V Offshore Investors LP","Blue Owl GP Stakes V Offshore Investors LP","Blue Owl","FUND_0364","decided","06-statements-and-economics","SRC407","2","0","distinct GP Stakes vehicle"
"Blue Owl Real Estate Capital Fund V","Blue Owl Real Estate Capital Fund V","Blue Owl","FUND_0365","decided","02-performance","SRC058","6","0","distinct series from Fund VI"
"Blue Owl Real Estate Capital Fund VI","Blue Owl Real Estate Capital Fund VI","Blue Owl","FUND_0366","decided","02-performance","SRC058","6","0","distinct series from Fund V"
"Blue Road Capital, L.P.","Blue Road Capital, L.P.","","FUND_0367","decided","04-quarterly-report","SRC457","16","0","sole printed variant"
"Bluescape Energy Recapitalization and Restructuring Fund III","Bluescape Energy Recapitalization and Restructuring Fund III, L.P.","Bluescape","","decided","04-quarterly-report","SRC457","3","0","merged into the fuller printed L.P. form"
"Bluescape Energy Recapitalization and Restructuring Fund III, L.P.","Bluescape Energy Recapitalization and Restructuring Fund III, L.P.","Bluescape","","decided","04-quarterly-report","SRC457","12","0","fullest printed form of Fund III; distinct from Fund IV"
"Bluescape Energy Recapitalization and Restructuring Fund IV","Bluescape Energy Recapitalization and Restructuring Fund IV, L.P.","Bluescape","","decided","04-quarterly-report","SRC457","3","0","merged into the fuller printed L.P. form"
"Bluescape Energy Recapitalization and Restructuring Fund IV, L.P.","Bluescape Energy Recapitalization and Restructuring Fund IV, L.P.","Bluescape","","decided","04-quarterly-report","SRC457","11","0","fullest printed form of Fund IV; distinct from Fund III"
"Bolt Energy LLC","Bolt Energy LLC","","FUND_0368","decided","02-performance","SRC060","6","0","sole printed variant"
