fund_name_raw,standardized_fund_name,fund_family,fund_id,decision_status,seen_in_agents,source_files,a_count,b_count,merge_note
Fortress Residential Inv. Deutschland,Fortress Residential Inv. Deutschland,Fortress,FUND_0507,decided,02-performance,SRC058,6,0,distinct: separate Fortress vehicle
Fortress V,Fortress V,Fortress,FUND_0508,decided,02-performance,SRC058,6,0,distinct: separate Fortress vehicle
"Founders' Co-op III, L.P.","Founders' Co-op III, L.P.",Founders' Co-op,FUND_0019,decided,A+B,SRC035,1,1,distinct: Fund III not Fund IV
"Founders’ Co-op IV, L.P.","Founders’ Co-op IV, L.P.",Founders' Co-op,FUND_0020,decided,A+B,SRC035,1,1,distinct: Fund IV not Fund III
"Francisco Partners II, L.P.","Francisco Partners II, L.P.",,FUND_0509,decided,06-statements-and-economics,SRC407,1,0,sole printed spelling; confirmed
Frontenac XI Private Capital (M) Limited Partnership,Frontenac XI Private Capital (M) Limited Partnership,,FUND_0510,decided,06-statements-and-economics,SRC407,2,0,sole printed spelling; confirmed
"FS Equity Partners CV1, L.P.","FS Equity Partners CV1, L.P.",,FUND_0511,decided,06-statements-and-economics,SRC407,2,0,sole printed spelling; confirmed
FSN Capital IV L.P.,FSN Capital IV L.P.,,FUND_0512,decided,06-statements-and-economics,SRC407,2,0,sole printed spelling; confirmed
FSP - Base,FSP - Base,,FUND_0513,decided,02-performance,SRC063,5,0,distinct: separate FSP sleeve; stem too thin for a family
FSP - DT 2012 and Beyond,FSP - DT 2012 and Beyond,,FUND_0514,decided,02-performance,SRC063,3,0,distinct: separate FSP sleeve; stem too thin for a family
"FSV II-B, L.P.","FSV II-B, L.P.",,FUND_0094,decided,A+B,SRC036,1,1,sole printed spelling; confirmed
Gap Investment Fund,Gap Investment Fund,,FUND_0143,decided,B,SRC040,0,1,sole printed spelling; confirmed
"General Atlantic Investment Partners 2013, L.P.","General Atlantic Investment Partners 2013, L.P.",,FUND_0515,decided,06-statements-and-economics,SRC407,2,0,sole printed spelling; no sibling in file
"Genstar Capital Partners VIII BL (EU), L.P.","Genstar Capital Partners VIII BL (EU), L.P.",Genstar,FUND_0516,decided,06-statements-and-economics,SRC407,2,0,distinct: VIII BL (EU) blocker vehicle
"Genstar Capital Partners XI, L.P.","Genstar Capital Partners XI, L.P.",Genstar,FUND_0517,decided,06-statements-and-economics,SRC407,2,0,distinct: Fund XI series
