"fund_name_raw","standardized_fund_name","fund_family","fund_id","decision_status","seen_in_agents","source_files","a_count","b_count","merge_note"
"Hearthstone Housing Partners II, LLC","Hearthstone Housing Partners II, LLC","","FUND_0616","decided","02-performance","SRC063","1","0","confirmed sole printed variant"
"Heartwood Partners II, LP","Heartwood Partners II, LP","","FUND_0617","decided","06-statements-and-economics","SRC407","2","0","confirmed sole printed variant"
"Heitman America Real Estate Trust, L.P.","Heitman America Real Estate Trust, L.P.","","FUND_0618","decided","02-performance","SRC058","6","0","confirmed sole printed variant"
"Hellman & Friedman Capital Partners IX (Parallel), L.P.","Hellman & Friedman Capital Partners IX (Parallel), L.P.","Hellman & Friedman","FUND_0619","decided","06-statements-and-economics","SRC407","2","0","distinct: Fund IX parallel vehicle"
"Hellman & Friedman Capital Partners VII (Parallel), L.P.","Hellman & Friedman Capital Partners VII (Parallel), L.P.","Hellman & Friedman","FUND_0620","decided","06-statements-and-economics","SRC407","2","0","distinct: Fund VII parallel vehicle not the main fund"
"Hellman & Friedman Capital Partners VII, L.P.","Hellman & Friedman Capital Partners VII, L.P.","Hellman & Friedman","FUND_0621","decided","06-statements-and-economics","SRC407","2","0","distinct: main Fund VII not a parallel vehicle"
"Hellman & Friedman Capital Partners X (Parallel), L.P.","Hellman & Friedman Capital Partners X (Parallel), L.P.","Hellman & Friedman","FUND_0622","decided","06-statements-and-economics","SRC407","2","0","distinct: Fund X parallel vehicle"
"Hellman & Friedman Capital Partners XI (Parallel), L.P.","Hellman & Friedman Capital Partners XI (Parallel), L.P.","Hellman & Friedman","FUND_0623","decided","06-statements-and-economics","SRC407","1","0","distinct: Fund XI parallel vehicle"
"Heritage Fields Capital","Heritage Fields Capital","","FUND_0624","decided","02-performance","SRC058","6","0","distinct: unrelated to Heritage Fund I"
"Heritage Fund I, L.P.","Heritage Fund I, L.P.","","FUND_0152","decided","A+B","SRC101","1","1","distinct: unrelated to Heritage Fields Capital"
"HFCP VII (Parallel-A), L.P.","HFCP VII (Parallel-A), L.P.","Hellman & Friedman","FUND_0625","decided","06-statements-and-economics","SRC407","2","0","distinct: Parallel-A is a separate vehicle from the (Parallel) fund"
"Hg Genesis 7 C L.P.","Hg Genesis 7 C L.P.","Hg Genesis","FUND_0626","decided","06-statements-and-economics","SRC407","2","0","distinct: C vehicle not the E vehicle"
"Hg Genesis 7 E L.P.","Hg Genesis 7 E L.P.","Hg Genesis","FUND_0627","decided","06-statements-and-economics","SRC407","2","0","distinct: E vehicle not the C vehicle"
"Highstar Capital Fund IV","Highstar Capital Fund IV","","FUND_0628","decided","02-performance","SRC060","6","0","confirmed sole printed variant"
"HighVista Private Equity VIII (Offshore), L.P.","HighVista Private Equity VIII (Offshore), L.P.","","FUND_0629","decided","06-statements-and-economics","SRC407","2","0","confirmed sole printed variant"
"HighYield Opportunities Fund","HighYield Opportunities Fund","","FUND_0630","decided","05-fund-legal-docs","SRC107","1","0","confirmed sole printed variant"
"Hildred Perennial Partners I, LP","Hildred Perennial Partners I, LP","","FUND_0631","decided","06-statements-and-economics","SRC407","2","0","confirmed sole printed variant"
"Hines European Development Fund, L.P.","Hines European Development Fund, L.P.","Hines","FUND_0632","decided","02-performance","SRC063","4","0","distinct: European vehicle not a U.S. office fund"
"Hines U.S. Office Value Added Fund, L.P.","Hines U.S. Office Value Added Fund, L.P.","Hines","FUND_0204","decided","A+B","SRC137","1","1","distinct: first U.S. office fund not Fund II"
"Hines US Office Value Add Fund II","Hines US Office Value Add Fund II","Hines","FUND_0633","decided","02-performance","SRC058","6","0","distinct: Fund II is a later series than the Value Added Fund"
"Homestead Capital USA Farmland Fund II","Homestead Capital USA Farmland Fund II","Homestead Capital","FUND_0634","decided","02-performance","SRC060","6","0","distinct: Fund II not Fund III"
"Homestead Capital USA Farmland Fund III, L.P.","Homestead Capital USA Farmland Fund III, L.P.","Homestead Capital","FUND_0023","decided","A+B","SRC035","1","1","distinct: Fund III not Fund II"
"HPE Continuation Fund I C.V.","HPE Continuation Fund I C.V.","","FUND_0635","decided","06-statements-and-economics","SRC407","2","0","confirmed sole printed variant"
"Icon Partners II, L.P.","Icon Partners II, L.P.","Icon Partners","FUND_0636","decided","06-statements-and-economics","SRC407","2","0","distinct: Fund II not Fund III"
"Icon Partners III, L.P.","Icon Partners III, L.P.","Icon Partners","FUND_0637","decided","06-statements-and-economics","SRC407","2","0","distinct: Fund III not Fund II"
"IFM Global Infrastructure (U.S), L.P.","IFM Global Infrastructure (U.S), L.P.","","FUND_0638","decided","02-performance","SRC063","1","0","confirmed sole printed variant; (U.S) printed without the closing period"
"IIF Hedged LP","IIF Hedged LP","","FUND_0639","decided","02-performance","SRC063","2","0","confirmed sole printed variant"
"IL & FS India Realty Fund","IL & FS India Realty Fund","IL & FS","FUND_0640","decided","02-performance","SRC058","6","0","distinct: first fund not Fund II"
"IL & FS India Realty Fund II","IL & FS India Realty Fund II","IL & FS","FUND_0641","decided","02-performance","SRC058","6","0","distinct: Fund II not the first fund"
"IMI - Base","IMI - Base","","FUND_0642","decided","02-performance","SRC063","5","0","distinct: IMI account not the IMP account"
"IMP - Base","IMP - Base","","FUND_0643","decided","02-performance","SRC063","5","0","distinct: IMP account not the IMI account"
"IMP - DT 2012 and Beyond","IMP - DT 2012 and Beyond","","FUND_0644","decided","02-performance","SRC063","4","0","distinct: 2012 and beyond sleeve not IMP DT 2020"
"IMP - ICMI","IMP - ICMI","","FUND_0645","decided","02-performance","SRC063","3","0","distinct: separate IMP sleeve"
"IMP Abaca","IMP Abaca","","FUND_0646","decided","02-performance","SRC063","3","0","distinct: separate IMP sleeve"
"IMP DT 2020","IMP DT 2020","","FUND_0647","decided","02-performance","SRC063","2","0","distinct: 2020 sleeve not IMP - DT 2012 and Beyond"
"IMP Fairmont Residential Owner, LLC","IMP Fairmont Residential Owner, LLC","","FUND_0648","decided","02-performance","SRC063","2","0","distinct: single property owner entity"
"Incline Equity Partners III (PSERS), L.P.","Incline Equity Partners III (PSERS), L.P.","","FUND_0001","decided","A+B","SRC029","1","1","confirmed sole printed variant"
"Incubator Development Fund","Incubator Development Fund","","FUND_0144","decided","B","SRC040","0","1","confirmed sole printed variant"
"Insight Equity I LP","Insight Equity I LP","Insight Equity","FUND_0649","decided","06-statements-and-economics","SRC407","2","0","distinct: Insight Equity is not the Insight Partners series"
"Insight Equity II LP","Insight Equity II LP","Insight Equity","FUND_0650","decided","06-statements-and-economics","SRC407","2","0","distinct: Fund II not Fund I"
"Insight Partners (Cayman) XII Buyout Annex Fund, L.P.","Insight Partners (Cayman) XII Buyout Annex Fund, L.P.","Insight Partners","FUND_0651","decided","06-statements-and-economics","SRC407","2","0","distinct: Cayman annex vehicle for Fund XII"
"Insight Partners Continuation Fund (Cayman), L.P.","Insight Partners Continuation Fund (Cayman), L.P.","Insight Partners","FUND_0652","decided","06-statements-and-economics","SRC407","2","0","distinct: Cayman parallel of the continuation fund"
"Insight Partners Continuation Fund, L.P.","Insight Partners Continuation Fund, L.P.","Insight Partners","FUND_0653","decided","06-statements-and-economics","SRC407","2","0","distinct: onshore continuation fund not the Cayman vehicle"
"Insight Venture Partners (Cayman) IX, L.P.","Insight Venture Partners (Cayman) IX, L.P.","Insight Partners","FUND_0654","decided","06-statements-and-economics","SRC407","2","0","distinct: Cayman parallel of Fund IX"
